"word_id","first","original_pair","second","syll","original_freq","replacement_pair","replacement_syll","replacement_freq","freq_diff","char_diff","letter_diff","original_word","replacement_word"
852,"gasm","gasm-last_blank","last_blank",2,1,"pant-last_blank","pant",1,0,0,1,"orgasm","orpant"
307,"first_blank","first_blank-uf","uf",1,1,"first_blank-هس","هس",1,0,0,1,"ufo","هسo"
350,"first_blank","first_blank-آئ","آئ",1,125,"first_blank-جل","جل",125,0,0,1,"آئرن","جلرن"
224,"first_blank","first_blank-آب","آب",1,116,"first_blank-تح","تح",116,0,0,1,"آبادی","تحادی"
980,"first_blank","first_blank-آپ","آپ",1,47,"first_blank-bu","bu",47,0,0,1,"آپریشنل","buریشنل"
21,"first_blank","first_blank-آٹ","آٹ",1,19,"first_blank-il","il",19,0,0,1,"آٹوگراف","ilوگراف"
676,"آج","آج-last_blank","last_blank",1,4,"ضي-last_blank","ضي",4,0,0,1,"آج","ضي"
94,"first_blank","first_blank-آخ","آخ",1,34,"first_blank-رت","رت",34,0,0,1,"آخر","رتر"
860,"first_blank","first_blank-آخ","آخ",1,34,"first_blank-am","am",34,0,0,1,"آخر میں","amر میں"
165,"می","می-last_blank","last_blank",1,227,"وا-last_blank","وا",227,0,0,1,"آدمی","آدوا"
737," ر"," ر-ات","ات",1,1,"ئي-ات","ئي",1,0,0,1,"آدھی رات","آدھیئيات"
248,"first_blank","first_blank-آر","آر",1,224,"first_blank-کم","کم",224,0,0,1,"آرام","کمام"
55,"ام","ام- د"," د",1,1,"ام-در","در",1,0,0,1,"آرام دہ اور پرسکون","آرامدرہ اور پرسکون"
638,"آر","آر-ٹ","ٹ",1,1,"بن-ٹ","بن",1,0,0,1,"آرٹ","بنٹ"
18,"آر","آر-ٹف","ٹف",1,1,"آر-ہے","ہے",1,0,0,1,"آرٹفیکٹ","آرہےیکٹ"
487,"آر","آر-ٹی","ٹی",1,4,"مو-ٹی","مو",4,0,0,1,"آرٹیکل","موٹیکل"
201,"آر","آر-کس","کس",1,2,"آر-او","او",2,0,0,1,"آرکسٹرا","آراوٹرا"
716,"طو","طو-ر ","ر ",1,1,"طو-عہ","عہ",1,0,0,1,"آزادانہ طور پر","آزادانہ طوعہپر"
513,"first_blank","first_blank-آز","آز",1,40,"first_blank-ko","ko",40,0,0,1,"آزادی","koادی"
273,"آس","آس-ما","ما",1,6,"اع-ما","اع",6,0,0,1,"آسمان","اعمان"
393,"آگ","آگ-last_blank","last_blank",1,1,"ﺪﯼ-last_blank","ﺪﯼ",1,0,0,1,"آگ","ﺪﯼ"
775,"ھو","ھو-last_blank","last_blank",1,32,"نر-last_blank","نر",32,0,0,1,"آگے بڑھو","آگے بڑنر"
750,"آل","آل-و","و",1,1,"وب-و","وب",1,0,0,1,"آلو","وبو"
993,"گی","گی-last_blank","last_blank",1,160,"اء-last_blank","اء",160,0,0,1,"آلودگی","آلوداء"
781,"آل","آل-ے","ے",1,1,"وز-ے","وز",1,0,0,1,"آلے","وزے"
528,"first_blank","first_blank-آم","آم",1,75,"first_blank-نس","نس",75,0,0,1,"آمد","نسد"
290,"آن","آن-سو","سو",1,5,"ری-سو","ری",5,0,0,1,"آنسو","ریسو"
546,"آن","آن-کھ","کھ",1,4,"رو-کھ","رو",4,0,0,1,"آنکھ","روکھ"
647,"آہ","آہ-ست","ست",1,2,"تر-ست","تر",2,0,0,1,"آہستہ آہستہ","ترستہ آہستہ"
898,"first_blank","first_blank-آو","آو",1,52,"first_blank-وف","وف",52,0,0,1,"آواز","وفاز"
98,"اب","اب-دی","دی",1,4,"لح-دی","لح",4,0,0,1,"ابدی","لحدی"
190,"ھی","ھی-last_blank","last_blank",1,124,"نس-last_blank","نس",124,0,0,1,"ابھی","ابنس"
484,"وخ","وخ-last_blank","last_blank",1,8,"so-last_blank","so",8,0,0,1,"اثر و رسوخ","اثر و رسso"
7,"از","از-ت","ت",1,2,"پن-ت","پن",2,0,0,1,"اجازت","اجپنت"
950,"اع","اع-ی","ی",1,22,"کر-ی","کر",22,0,0,1,"اجتماعی","اجتمکری"
765,"first_blank","first_blank-اچ","اچ",1,72,"first_blank-صو","صو",72,0,0,1,"اچانک","صوانک"
184,"first_blank","first_blank-اچ","اچ",1,72,"first_blank-صو","صو",72,0,0,1,"اچھا","صوھا"
581,"first_blank","first_blank-اچ","اچ",1,72,"first_blank-صو","صو",72,0,0,1,"اچھی","صوھی"
829,"تج","تج-اج","اج",1,6,"ار-اج","ار",6,0,0,1,"احتجاج","احاراج"
246,"first_blank","first_blank-اح","اح",1,118,"first_blank-ex","ex",118,0,0,1,"احترام","exترام"
631,"سا","سا-س","س",1,11,"نک-س","نک",11,0,0,1,"احساس","احنکس"
66,"first_blank","first_blank-اخ","اخ",1,113,"first_blank-کے","کے",113,0,0,1,"اختیار","کےتیار"
258,"اد","اد-اس","اس",1,5,"ون-اس","ون",5,0,0,1,"اداس","وناس"
926,"first_blank","first_blank-ار","ار",1,359,"first_blank-re","re",359,0,0,1,"ارتقاء","reتقاء"
989,"first_blank","first_blank-ار","ار",1,359,"first_blank-re","re",359,0,0,1,"ارسنل","reسنل"
725,"اس","اس-پر","پر",1,8,"اس-تم","تم",8,0,0,1,"اسپرین","استمین"
705,"اس","اس-تح","تح",1,10,"اس-ات","ات",10,0,0,1,"استحقاق","اساتقاق"
958,"تع","تع-فی","فی",1,2,"ثق-فی","ثق",2,0,0,1,"استعفی","اسثقفی"
915,"با","با-ل","ل",1,17,"ڈی-ل","ڈی",17,0,0,1,"استقبال","استقڈیل"
279,"ٹی","ٹی-ڈی","ڈی",1,5,"ٹی-را","را",5,0,0,1,"اسٹیڈیم","اسٹیرام"
540,"ٹی","ٹی-نڈ","نڈ",1,6,"یگ-نڈ","یگ",6,0,0,1,"اسٹینڈ","اسیگنڈ"
594,"رٹ","رٹ-last_blank","last_blank",1,84,"ود-last_blank","ود",84,0,0,1,"اسمارٹ","اسماود"
969,"مر","مر-تت","تت",1,1,"مر-گھ","گھ",1,0,0,1,"اسمرتتا","اسمرگھا"
935,"اس","اس-ہا","ہا",1,3,"اس-تے","تے",3,0,0,1,"اسہال","استےل"
269,"طر","طر-ح","ح",1,7,"لا-ح","لا",7,0,0,1,"اسی طرح","اسی لاح"
119,"اش","اش-ار","ار",1,14,"اش-یا","یا",14,0,0,1,"اشارہ","اشیاہ"
927,"تہ","تہ-ار","ار",1,7,"کم-ار","کم",7,0,0,1,"اشتہارات","اشکمارات"
203,"first_blank","first_blank-اص","اص",1,76,"first_blank-بچ","بچ",76,0,0,1,"اصل","بچل"
1,"first_blank","first_blank-اص","اص",1,76,"first_blank-وت","وت",76,0,0,1,"اصل میں","وتل میں"
256,"first_blank","first_blank-اص","اص",1,76,"first_blank-قی","قی",76,0,0,1,"اصول","قیول"
565,"first_blank","first_blank-اض","اض",1,25,"first_blank-رپ","رپ",25,0,0,1,"اضافہ","رپافہ"
948,"first_blank","first_blank-اض","اض",1,25,"first_blank-بي","بي",25,0,0,1,"اضافی","بيافی"
709,"ی ","ی -ان","ان",1,1,"ئٹ-ان","ئٹ",1,0,0,1,"اضافی انعام","اضافئٹانعام"
303,"تم","تم-اد","اد",1,4,"مو-اد","مو",4,0,0,1,"اعتماد","اعمواد"
698,"اع","اع-صا","صا",1,6,"اع-تد","تد",6,0,0,1,"اعصابی","اعتدبی"
955,"اغ","اغ-وا","وا",1,5,"یا-وا","یا",5,0,0,1,"اغوا","یاوا"
