"word_combo","pt_cue","pt_target","type","cue_type","target_type","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"abaixoacima","abaixo","acima","related","word","word",-0.68991993446691,0.64502704932553,0.0687601144924743,88,92,92,2,1,92,93,1,0.989247311827957,TRUE,TRUE,TRUE
"abaixojogo","abaixo","jogo","unrelated","word","word",-0.696497510999984,0.418228555631649,0.0459065479154649,83,88,88,0,1,86,88,0,0.977272727272727,TRUE,TRUE,TRUE
"abaixoperprestar","abaixo","perprestar","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abaixotordativo","abaixo","tordativo","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abandoaraquentaruda","abandoar","aquentaruda","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abandoardrugrante","abandoar","drugrante","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abandoaresperar","abandoar","esperar","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abandoarhiv","abandoar","hiv","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abelhaformiga","abelha","formiga","related","word","word",-0.534548984407087,0.637631561668293,0.0717391555281562,79,83,86,3,0.965116279069767,82,86,3,0.953488372093023,TRUE,TRUE,TRUE
"abelhaincluístúnio","abelha","incluístúnio","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abelhaperigoblins","abelha","perigoblins","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abelharemover","abelha","remover","unrelated","word","word",-0.369366272816874,0.724613505919778,0.0912927206334459,63,65,68,1,0.955882352941177,66,68,1,0.970588235294118,FALSE,TRUE,TRUE
"aberturaestupitrais","abertura","estupitrais","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aberturafecho","abertura","fecho","related","word","word",-0.394368504265862,0.747778209965858,0.0893765909988055,70,74,81,1,0.91358024691358,81,82,0,0.98780487804878,TRUE,TRUE,TRUE
"aberturaformiga","abertura","formiga","unrelated","word","word",-0.482632227337322,0.659027342960222,0.0932005406389051,50,52,52,1,1,52,52,1,1,FALSE,TRUE,TRUE
"aberturasalvador","abertura","salvador","unrelated","word","word",-0.515726102987767,0.726810712458211,0.101773856551344,51,53,54,0,0.981481481481482,52,54,0,0.962962962962963,FALSE,TRUE,TRUE
"aberturasimpard","abertura","simpard","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abeurarmário de rblishing","abeur","armário de rblishing","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abeurexplosão","abeur","explosão","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abeurrenda","abeur","renda","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abeurtranhasra","abeur","tranhasra","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abriradoximo","abrir","adoximo","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abrirequipa","abrir","equipa","unrelated","word","word",-0.574940038308057,0.876443177995694,0.12784237670673,47,50,51,1,0.980392156862745,50,51,1,0.980392156862745,FALSE,TRUE,FALSE
"abrirequipe","abrir","equipe","unrelated","word","word",-0.46295316192227,0.579021456038369,0.0835745483775804,48,53,53,1,1,51,53,1,0.962264150943396,TRUE,TRUE,FALSE
"abrirfechar","abrir","fechar","related","word","word",-0.509792055816586,0.650102410070436,0.0812628012588045,64,66,68,4,0.970588235294118,67,69,3,0.971014492753623,TRUE,TRUE,TRUE
"abrirmastições","abrir","mastições","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absolucarraimpéções","absolucarra","impéções","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absolucarralizmio","absolucarra","lizmio","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absolucarramissão","absolucarra","missão","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absolucarraprivacidade","absolucarra","privacidade","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absolutamenteassaltar","absolutamente","assaltar","unrelated","word","word",-0.37118624405519,0.507616800126986,0.0611098815239556,69,75,75,0,1,72,75,0,0.96,TRUE,TRUE,TRUE
"absolutamentecompletamente","absolutamente","completamente","related","word","word",-0.464404380033878,0.629869934008,0.0813158588229916,60,63,63,0,1,61,63,0,0.968253968253968,TRUE,TRUE,TRUE
"absolutamentenutriear","absolutamente","nutriear","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absolutamentesumptude","absolutamente","sumptude","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absteperfume","abste","perfume","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abstepisxo","abste","pisxo","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abstetartaruga","abste","tartaruga","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abstevarviqueicho","abste","varviqueicho","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acalmanoeir","acalmano","eir","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acalmanoheroína","acalmano","heroína","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acalmanoquartel-general","acalmano","quartel-general","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acalmanoquerruto","acalmano","querruto","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
