"ro_cue","ro_target","type","cue_type","target_type","ro_cosine"
"admira","a aprecia","related","word","word",NA
"atenţie","a atrage","related","word","word",NA
"confirmare","a confirma","related","word","word",NA
"a picta","a desena","related","word","word",NA
"realizează","a intelege","related","word","word",NA
"suferi","a muri","related","word","word",NA
"hold","a pastra","related","word","word",NA
"învăța","a preda","related","word","word",NA
"gata","a pregati","related","word","word",NA
"introduce","a pune","related","word","word",NA
"zâmbet","a rade","related","word","word",NA
"administra","a reusi","related","word","word",NA
"rezistenţă","a rezista","related","word","word",NA
"a urca","a sari","related","word","word",NA
"rupere","a tăia","related","word","word",NA
"teren","a zbura","related","word","word",NA
"părăsi","abandon","related","word","word",0.344572193263962
"spinarii","abdominal","related","word","word",0.354773929544213
"capacitate","abilitate","related","word","word",0.634985984014984
"număr","abordare","related","word","word",0.0714411317960121
"prezenţă","absența","related","word","word",0.266249336185714
"diplomă","absolvent","related","word","word",0.553363950453237
"ridicol","absurd","related","word","word",0.720543451103389
"voce","accent","related","word","word",0.354017606338877
"refuza","accept","related","word","word",0.446660354022623
"incident","accident","related","word","word",0.667743180644971
"ce","acea","related","word","word",0.271185438029443
"aici","acolo","related","word","word",0.736373885838478
"contracta","acord","related","word","word",0.152391705888307
"gest","act","related","word","word",0.555052781346052
"trigger","activati","related","word","word",0.231588547212461
"activ","activitate","related","word","word",0.471967126219208
"autor","actor","related","word","word",0.431796709760089
"plângere","acuzare","related","word","word",0.333288475859581
"refugiu","adăpost","related","word","word",0.62958739112984
"suplimentar","adiţional","related","word","word",0.400605708313791
"management","administrativ","related","word","word",0.464827462985334
"adolescenta","adolescent","related","word","word",0.77672005839543
"hormon","adrenalina","related","word","word",0.52406011641231
"colectarea","aduna","related","word","word",0.42195022509435
"dusman","adversar","related","word","word",0.486901205367814
"terminal","aeroport","related","word","word",0.417373981243752
"industrie","afaceri","related","word","word",0.335012526010307
"cometariu","afirmație","related","word","word",NA
"firmă","agenţie","related","word","word",0.566789073818243
"îngrijorat","agitat","related","word","word",0.520443808663175
"al treilea","al patrulea","related","word","word",NA
"alerta","alarma","related","word","word",0.50589659018747
"maro","albastru","related","word","word",0.620034403185399
"colţ","alee","related","word","word",0.343459222650669
"candidat","alegător","related","word","word",0.495398380732075
"campanie","alegeri","related","word","word",0.424897513376057
"bravo","alfa","related","word","word",0.373475080493296
"motiv","alibi","related","word","word",0.384939657581488
"africa","america","related","word","word",0.680488739817676
"combinaţie","amestec","related","word","word",0.443768603184805
"miezul nopţii","amiază","related","word","word",NA
"adn","amprentă","related","word","word",0.531031572427714
"spiritual","amuzant","related","word","word",0.307853271281233
"autopsie","analiză","related","word","word",0.471421298205966
