"eu_cue","eu_target","eu_fake_target","eu_fake_cue","en_cue","en_target"
"-en aurrean","aurkako","auaiako","epeaurrean","opposite","contrary"
"-en berri eman","-en berri eman","en berroqeman","en berrkoeman","report","inform"
"-tik kanpo","barruko","barropo","tikawanpo","outside","inside"
"abaildu","nola","alla","abaistu","miserable","pathetic"
"abegi","esker on","eskejhon","llegi","hospitality","gratitude"
"aberats okitu","ekintzailea","raintzailea","aberats okolu","millionaire","entrepreneur"
"abeslari","musikari","rtsikari","abaklari","singer","musician"
"abokatu","akusatzaile","akalatzaile","ntokatu","lawyer","prosecutor"
"aburu","sentikortasun","sentikpetasun","abotu","impression","feeling"
"adarra","txilibitu","txilrditu","ularra","horn","whistle"
"adeitsu","begiko","belako","adiatsu","polite","friendly"
"aditu","espezialista","espezialleta","aduau","expert","specialist"
"administrazio","gobernu","goarrnu","doministrazio","administration","government"
"ados","ye you","yekaou","adnt","okay","yeah"
"afari","gosari","misari","npari","dinner","breakfast"
"afrika","amerika","amatika","borika","africa","america"
"agente","detektibe","detektoue","rtente","agent","detective"
"agian","seguruenik","segutienik","uzian","maybe","probably"
"agindu","manu","maht","aginsi","command","order"
"agur","agintza","aginura","ndur","hello","bye"
"ahalbidetu","zuzkitu","zuzkoeu","ahalbidepo","enable","provide"
"ahaztu","oroitu","oroism","ikaztu","forget","remember"
"ahizpa","neba","esba","naizpa","sister","brother"
"aho","sudur","susar","lfo","mouth","nose"
"aholku","gomendatu","timendatu","aholum","advice","advise"
"ahots","azentu","reentu","ahues","voice","accent"
"aingeru","deabru","destru","aingptu","angel","devil"
"aingura","nabigatu","tibigatu","aiilura","anchor","sail"
"aintza","aintza","contza","contza","glorious","glory"
"aire","oxigeno","oxnieno","core","air","oxygen"
"aitatxo","mumen","mulin","cotatxo","daddy","mum"
"aitona","amona","urona","aizuna","grandfather","grandmother"
"aitortu","jati","nzti","aizurtu","recognize","knew"
"aitzurtu","ehortzi","okortzi","aitzurga","dig","bury"
"alaba","seme","sech","iraba","daughter","son"
"alajeid","erotu","liotu","alzkeid","paranoid","crazy"
"alargun","emakume","emakage","alarotn","widow","woman"
"album","abesti","abesue","aleim","album","song"
"aldarrikatu","eskatu","kakatu","aldarrikusu","demand","request"
"alde egin","ihes","eves","aldefrgin","flee","escape"
"ale","irin","iroa","lde","grain","flour"
"alkohol","droga","drkta","alkondl","alcohol","drug"
"alkondara","jaka","jame","almendara","shirt","jacket"
"alokatu","akuratu","ituratu","altaatu","hire","rent"
"altxor","aberastasun","aberertasun","kutxor","treasure","wealth"
