fi_cue,fi_target,type,cue_type,target_type,fi_cosine
ääni,aksentti,related,word,word,0.392289289274302
aarre,varallisuus,related,word,word,0.290802084749973
aasi,hevonen,related,word,word,0.327280927220987
aavikko,laakso,related,word,word,0.416997806715452
afrikka,amerikka,related,word,word,0.60527523730271
agentti,etsivä,related,word,word,0.467583724050729
aids,hiv,related,word,word,0.548106347200079
aikuinen,vanhempi,related,word,word,0.405554456502418
aina,jatkuvasti,related,word,word,0.515120548261965
äiti,isä,related,word,word,0.831561954637823
aivot,aivojen,related,word,word,0.560387164571719
ajaa,ratsastaa,related,word,word,0.432127917644288
ajoneuvo,auto,related,word,word,0.629532530337147
aktiivinen,toiminta,related,word,word,0.315545394247478
ala,liiketoiminta,related,word,word,0.177511022625918
alas,ylöspäin,related,word,word,0.488304450795305
alaston,alasti,related,word,word,0.602650594109808
albumi,laulu,related,word,word,0.417774608907133
alempi,ylempi,related,word,word,0.733467018091899
aliarvioida,liioitella,related,word,word,0.422277896644257
alkoholi,lääke,related,word,word,0.365792167447411
alkuperäinen,kopio,related,word,word,0.343513239225149
alue,vyöhyke,related,word,word,0.373850075968281
alueellinen,paikallinen,related,word,word,0.559333339758688
amatööri,ammattitaitoinen,related,word,word,0.352916538328819
ambulanssi,helikopteri,related,word,word,0.455583467368248
ampuja,tarkka-ampuja,related,word,word,
analyytikko,tutkija,related,word,word,0.546103144987266
anarkia,kapitalismi,related,word,word,0.430282402837464
anatomia,psykologia,related,word,word,0.455821197512719
ankkuri,purjehtia,related,word,word,0.360562425316642
annos,injektio,related,word,word,0.370651263316243
anonyymi,tuntematon,related,word,word,0.32164762437836
ansa,syötti,related,word,word,0.341895464901846
ansaitseva,arvoinen,related,word,word,0.394011962175153
tuli,liekki,related,word,word,0.232158532014998
antaa anteeksi,tekosyy,related,word,word,
anteeksianto,armo,related,word,word,0.502596360497595
apina,gorilla,related,word,word,0.452251241143276
areena,taistelukenttä,related,word,word,0.359908003280275
arkku,hautajaiset,related,word,word,0.357963163619669
arsenaali,armeija,related,word,word,0.390933516604669
artikkeli,sanomalehti,related,word,word,0.47472110375289
arvo,hinta,related,word,word,0.483985910374676
arvokas,tärkeä,related,word,word,0.580568503417083
aine,hiukkanen,related,word,word,0.426080112949746
ekspertti,asiantuntija,related,word,word,0.567228754467748
aspiriini,morfiini,related,word,word,0.507210437003547
astronautti,lentäjä,related,word,word,0.457693313661987
atomi-,ydin,related,word,word,
auringonlasku,aamunkoitto,related,word,word,0.466303374738358
auttaa,avustaa,related,word,word,0.504281938683204
autografi,valokuvaaja,related,word,word,
avaaminen,sulkeminen,related,word,word,0.754674552142214
avain,lukko,related,word,word,0.487412664227679
avata,sulkea,related,word,word,0.632773622077709
tie,katu,related,word,word,0.392941985270859
avioero,avioliitto,related,word,word,0.580448552700011
aviomies,vaimo,related,word,word,0.644657647663612
avuton,voimaton,related,word,word,0.494709925763943
banaani,mansikka,related,word,word,0.464229478169353
bonus,palkinto,related,word,word,0.299997065095461
brändi,tuote,related,word,word,0.374251884091401
bravo,alfa,related,word,word,0.514222113365657
budjetti,rahoitus,related,word,word,0.474629312138868
caesar,rooma,related,word,word,0.53764184047572
college,yliopisto,related,word,word,0.515514057476289
