"word_combo","sr_cue","sr_target","type","cue_type","target_type","sr_cosine","M_Z","SD_Z","sr_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"aeраефикарлос","aeра","ефикарлос","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aeранестанак","aeра","нестанак","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ojлолечење","ojло","лечење","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ojлоудобција","ojло","удобција","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ojпехпројектил","ojпех","пројектил","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ojпехруним","ojпех","руним","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"yeдосећање","yeд","осећање","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"yeдсао","yeд","сао","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"аберсвло","абер","свло","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"аберхладан","абер","хладан","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"абрицврата","абриц","врата","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"абрицјастукда","абриц","јастукда","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"авенијависочанлност","авенија","височанлност","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"авенијаручак","авенија","ручак","unrelated","word","word",0.33476255361179,-0.644992535267155,0.510191092349699,0.0888128694457126,33,35,36,0,0.972222222222222,28,36,0,0.777777777777778,FALSE,FALSE,FALSE
"авенијаулица","авенија","улица","related","word","word",0.575889458806157,-0.750164399475804,0.546116142126031,0.0980853546482428,31,32,32,1,1,27,32,1,0.84375,FALSE,FALSE,FALSE
"агенрањеакцеквог","агенрање","акцеквог","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"агенрањеигра","агенрање","игра","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"агентвеома","агент","веома","unrelated","word","word",0.303722251993742,-0.606533820072609,0.778580682156693,0.127997875682075,37,40,40,1,1,40,40,1,1,FALSE,FALSE,FALSE
"агентдетектив","агент","детектив","related","word","word",0.496881979835068,-0.509005571892176,0.472191588148628,0.0834724684997851,32,32,32,0,1,29,32,0,0.90625,FALSE,FALSE,FALSE
"агентдокурвин","агент","докурвин","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"адвокатпојединац","адвокат","појединац","unrelated","word","word",0.42920132350414,-0.31429018664098,0.744933106895234,0.162557730953621,21,21,21,0,1,21,21,0,1,FALSE,FALSE,FALSE
"адвокатсимлавој","адвокат","симлавој","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"адвокаттужилац","адвокат","тужилац","related","word","word",0.586541302213935,-0.546426196767253,0.439216740521104,0.0669799249956149,43,47,48,1,0.979166666666667,48,48,1,1,FALSE,FALSE,FALSE
"адвопиммговити","адвопим","мговити","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"адвопимпрезиме","адвопим","презиме","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"адресатиоставина","адресати","оставина","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"адресатихитан случај","адресати","хитан случај","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"аеравпоглас","аерав","поглас","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"аеравпредузетник","аерав","предузетник","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ајепзатвор","ајеп","затвор","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ајепистомити","ајеп","истомити","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ајкулавиљурург","ајкула","виљурург","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ајкулазаједница","ајкула","заједница","unrelated","word","word",0.421560047391702,-0.661265815535301,0.482421197548821,0.0852808250437266,32,35,37,0,0.945945945945946,35,37,0,0.945945945945946,FALSE,FALSE,FALSE
"ајкулариба","ајкула","риба","related","word","word",0.564122628040843,-0.728205629056045,0.599201441528607,0.109398715338277,30,31,32,1,0.96875,32,32,1,1,FALSE,FALSE,FALSE
"акт ташнакофер","акт ташна","кофер","related","word","word",NA,-0.274754527755086,0.818156035532535,0.144630920198439,32,35,35,1,1,13,36,0,0.361111111111111,FALSE,FALSE,FALSE
"акт ташнаспособност","акт ташна","способност","unrelated","word","word",NA,0.0742240133739923,0.936964003391988,0.158375822798841,35,36,37,1,0.972972972972973,10,38,0,0.263157894736842,FALSE,FALSE,FALSE
"акт ташнаубрза","акт ташна","убрза","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"активанактивност","активан","активност","related","word","word",0.629353917373316,-0.523555424671573,0.448136031969002,0.0846897495798051,28,28,28,1,1,28,28,1,1,FALSE,FALSE,FALSE
"активанјезац","активан","језац","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"активанмотор","активан","мотор","unrelated","word","word",0.438570842819103,-0.83367518147193,0.396601724738049,0.0619387833238505,41,42,42,1,1,41,42,1,0.976190476190476,FALSE,FALSE,FALSE
"актистимборба","актистим","борба","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"актистимфрамнути","актистим","фрамнути","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"актостишпедог","актостиш","педог","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"актостишсвештеник","актостиш","свештеник","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"алатинструмент","алат","инструмент","related","word","word",0.49838362206986,-0.529185934581505,0.506320386408972,0.119340859560926,18,19,20,0,0.95,20,20,0,1,FALSE,FALSE,FALSE
"алатмишљаоја","алат","мишљаоја","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"алатнос","алат","нос","unrelated","word","word",0.447403688586249,-0.784031353156923,0.796638209085345,0.166110549382908,23,24,24,0,1,23,24,0,0.958333333333333,FALSE,FALSE,FALSE
"албершавањевентилација","албершавање","вентилација","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"албершавањеодсупруг","албершавање","одсупруг","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"албумжена","албум","жена","unrelated","word","word",0.342356594354958,-0.860447470910876,0.630270646867788,0.0929283370811991,46,50,50,1,1,50,50,1,1,FALSE,TRUE,FALSE
"албумогромдржати","албум","огромдржати","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
