"word_id","first","original_pair","second","syll","original_freq","replacement_pair","replacement_syll","replacement_freq","freq_diff","char_diff","letter_diff","original_word","replacement_word"
818,"first_blank","first_blank-ali","ali",2,3,"first_blank-tvs","tvs",3,0,0,1,"alibi","tvsbi"
172,"آب","آب- م"," م",1,1,"آب-در","در",1,0,0,1,"آب میوه","آبدریوه"
408,"جو","جو-last_blank","last_blank",1,30,"عی-last_blank","عی",30,0,0,1,"آبجو","آبعی"
33,"آب","آب-ی","ی",1,1,"فس-ی","فس",1,0,0,1,"آبی","فسی"
110,"آخ","آخ-ر","ر",1,3,"ــ-ر","ــ",3,0,0,1,"آخر","ــر"
793,"آد","آد-رن","رن",1,3,"جو-رن","جو",3,0,0,1,"آدرنالین","جورنالین"
338,"کش","کش-ی","ی",1,10,"لو-ی","لو",10,0,0,1,"آدم کشی","آدم لوی"
83," ک"," ک-رد","رد",1,1,"دپ-رد","دپ",1,0,0,1,"آرزو کردن","آرزودپردن"
193,"آر","آر-ه","ه",1,9,"نج-ه","نج",9,0,0,1,"آره","نجه"
130,"first_blank","first_blank-آز","آز",1,162,"first_blank-زا","زا",162,0,0,1,"آزمایش","زامایش"
109,"آژ","آژ-ان","ان",1,4,"جر-ان","جر",4,0,0,1,"آژانس","جرانس"
550,"آس","آس-ان","ان",1,13,"خي-ان","خي",13,0,0,1,"آسان","خيان"
273,"آس","آس-ما","ما",1,8,"کن-ما","کن",8,0,0,1,"آسمانی","کنمانی"
768,"first_blank","first_blank-آف","آف",1,51,"first_blank-زب","زب",51,0,0,1,"آفتاب","زبتاب"
625,"اس","اس-لی","لی",1,6,"اس-يه","يه",6,0,0,1,"آلت تناسلی","آلت تناسيه"
31,"آل","آل-فا","فا",1,8,"تع-فا","تع",8,0,0,1,"آلفا","تعفا"
389,"ه ","ه -کر","کر",1,1,"وش-کر","وش",1,0,0,1,"آماده کردن","آمادوشکردن"
133,"جا","جا-last_blank","last_blank",1,57,"قه-last_blank","قه",57,0,0,1,"آنجا","آنقه"
576,"first_blank","first_blank-آی","آی",1,78,"first_blank-دک","دک",78,0,0,1,"آینه","دکنه"
781,"first_blank","first_blank-اب","اب",1,191,"first_blank-مج","مج",191,0,0,1,"ابزار","مجزار"
582,"اپ","اپ-ار","ار",1,7,"سن-ار","سن",7,0,0,1,"اپارتمان","سنارتمان"
584,"اق","اق- خ"," خ",1,1,"اق-ضا","ضا",1,0,0,1,"اتاق خواب","اتاقضاواب"
693,"فر","فر-last_blank","last_blank",1,37,"مد-last_blank","مد",37,0,0,1,"اتمسفر","اتمسمد"
59,"first_blank","first_blank-ات","ات",1,231,"first_blank-کم","کم",232,1,0,1,"اتهام","کمهام"
347,"وب","وب-وس","وس",1,12,"پي-وس","پي",12,0,0,1,"اتوبوس","اتپيوس"
799,"first_blank","first_blank-اث","اث",1,38,"first_blank-هش","هش",38,0,0,1,"اثبات","هشبات"
484,"اث","اث-ر","ر",1,5,"تز-ر","تز",5,0,0,1,"اثر","تزر"
962,"ر ","ر -ان","ان",1,1,"دق-ان","دق",1,0,0,1,"اثر انگشت","اثدقانگشت"
136,"ار","ار-ه ","ه ",1,1,"ار-یـ","یـ",1,0,0,1,"اجاره دادن","اجاریـدادن"
7,"از","از-ه ","ه ",1,1,"از-گل","گل",1,0,0,1,"اجازه دهید","اجازگلدهید"
877,"اق","اق- گ"," گ",1,1,"اق-یش","یش",1,0,0,1,"اجاق گاز","اجاقیشاز"
4,"first_blank","first_blank-اچ","اچ",1,10,"first_blank-رت","رت",10,0,0,1,"اچآیوی","رتآیوی"
229," د"," د-ار","ار",1,1,"زی-ار","زی",1,0,0,1,"احتمال دارد","احتمالزیارد"
143,"سا","سا-س","س",1,6,"نی-س","نی",6,0,0,1,"احساس","احنیس"
177,"مق","مق-last_blank","last_blank",1,2,"of-last_blank","of",2,0,0,1,"احمق","احof"
44,"first_blank","first_blank-اخ","اخ",1,172,"first_blank-پل","پل",172,0,0,1,"اخبار","پلبار"
778,"ظر","ظر-last_blank","last_blank",1,13,"خی-last_blank","خی",13,0,0,1,"اختلاف نظر","اختلاف نخی"
958,"اخ","اخ-را","را",1,16,"پد-را","پد",16,0,0,1,"اخراج","پدراج"
953,"first_blank","first_blank-اد","اد",1,207,"first_blank-حر","حر",206,1,0,1,"اداری","حراری"
775,"ام","ام-ه ","ه ",1,1,"ام-کت","کت",1,0,0,1,"ادامه هید","ادامکتهید"
638,"اد","اد-بی","بی",1,5,"اد-ون","ون",5,0,0,1,"ادبیات","ادونات"
542,"ر ","ر -کر","کر",1,1,"مف-کر","مف",1,0,0,1,"ادرار کردن","ادرامفکردن"
416,"یه","یه- و"," و",1,1,"یه-شی","شی",1,0,0,1,"ادم سفیه و احمق","ادم سفیهشی احمق"
964,"ه ","ه -دا","دا",1,1,"ــ-دا","ــ",1,0,0,1,"ارائه دادن","ارائــدادن"
469,"ار","ار-ام","ام",1,10,"ار-وپ","وپ",10,0,0,1,"ارامش","اروپش"
510,"اط","اط-last_blank","last_blank",1,28,"مز-last_blank","مز",28,0,0,1,"ارتباط","ارتبمز"
760,"تش","تش-last_blank","last_blank",1,290,"ید-last_blank","ید",290,0,0,1,"ارتش","ارید"
642,"اع","اع-last_blank","last_blank",1,21,"زر-last_blank","زر",21,0,0,1,"ارتفاع","ارتفزر"
923,"ار","ار-د","د",1,54,"ون-د","ون",49,5,0,1,"ارد","وند"
890,"دک","دک-last_blank","last_blank",1,10,"چن-last_blank","چن",10,0,0,1,"اردک","ارچن"
559,"ار","ار-زا","زا",1,13,"ار-اي","اي",13,0,0,1,"ارزان","اراين"
862,"من","من-د","د",1,27,"تا-د","تا",27,0,0,1,"ارزشمند","ارزشتاد"
191,"زی","زی-اب","اب",1,2,"زی-مش","مش",2,0,0,1,"ارزیابی","ارزیمشی"
796,"ار","ار-سا","سا",1,10,"ار-چي","چي",10,0,0,1,"ارسال","ارچيل"
938,"صد","صد-last_blank","last_blank",1,15,"رج-last_blank","رج",15,0,0,1,"از قصد","از قرج"
343,"اج","اج-last_blank","last_blank",1,28,"مر-last_blank","مر",28,0,0,1,"ازدواج","ازدومر"
711,"اس","اس-ب","ب",1,4,"لا-ب","لا",3,1,0,1,"اسب","لاب"
652,"با","با-ب ","ب ",1,1,"با-ضا","ضا",1,0,0,1,"اسباب بازی","اسباضابازی"
751,"تا","تا-د","د",1,27,"من-د","من",27,0,0,1,"استاد","اسمند"
649,"تع","تع-دا","دا",1,50,"زن-دا","زن",50,0,0,1,"استعداد","اسزنداد"
