meta_platform,cs,da,de,el,en,es,fr,hu,it,ja,ko,pl,pt_combo,ro,ru,sr,tr,zh
Linux armv8l,2,0,0,3,4,5,0,0,3,0,0,1,0,0,0,0,1,0
Linux i686,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linux x86_64,14,5,45,8,158,42,31,8,25,8,0,7,29,10,37,6,15,24
MacIntel,47,462,923,49,2623,223,237,126,277,121,57,183,163,61,157,14,193,153
Missing,2,2,2,1,728,4,3,0,0,0,2,0,5,1,9,3,6,168
Win32,1369,527,2117,757,3206,1464,737,762,905,1713,1513,1310,1310,843,2557,767,2766,674
Linux aarch64,0,0,5,0,8,7,1,1,7,2,0,3,0,0,1,0,1,1
Linux armv7l,0,0,2,0,2,0,0,0,2,0,4,0,0,0,0,0,25,0
Linux armv81,0,0,1,1,0,7,2,1,8,0,0,2,3,0,0,0,1,0
Windows,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
