"hu_cue","hu_target","hu_fake_target","hu_fake_cue","en_cue","en_target"
"ablak","ajtó","ajus","írlak","window","door"
"adat","információ","informácít","réat","data","information"
"adminisztráció","kormány","kopoány","adminiszázáció","administration","government"
"adomány","adomány","réomány","ítomány","charity","donation"
"afrika","amerika","amerága","afikka","africa","america"
"aggódó","ideges","saeges","aggóós","worried","nervous"
"agy","agyi-","zayi","zay","brain","cerebral"
"aids","hiv","jev","aisá","aids","hiv"
"ajak","arcátlanság","arkétlanság","ajha","lip","cheek"
"ajakrúzs","parfüm","parfzk","ajstrúzs","lipstick","perfume"
"ajánlat","adni","réni","odánlat","offer","give"
"akadály","kihívás","kizávás","akrmály","obstacle","challenge"
"aktatáska","bőrönd","bőrölj","akintáska","briefcase","suitcase"
"aktív","tevékenység","teétkenység","akirv","active","activity"
"alábecsül","túloz","tútíz","alsóecsül","underestimate","exaggerate"
"alacsony","magas","mapus","alacsoda","low","high"
"alázatos","szerény","szersoy","alasatos","humble","modest"
"album","dal","yel","aldóm","album","song"
"áldozat","ragadozó","raondozó","áldoart","prey","predator"
"áldozat","támadó","támaós","áldoart","victim","attacker"
"alkalmaz","használat","haszorlat","alkautaz","apply","use"
"alkohol","drog","drrő","alkojál","alcohol","drug"
"állapot","pozíció","lszíció","állanet","status","position"
"állatkert","cirkusz","ciórusz","állaetert","zoo","circus"
"állvány","ül","ém","álnéány","stand","sit"
"alma","gyümölcs","gyümfecs","alss","apple","fruit"
"alsó","felső","ferző","altű","lower","upper"
"amatőr","szakmai","szaköri","amatku","amateur","professional"
"anarchia","kapitalizmus","kapitalizmtó","yharchia","anarchy","capitalism"
"anatómia","pszichológia","pszicholhaia","anatphia","anatomy","psychology"
"angol","francia","frangoa","anásl","english","french"
"angyal","ördög","örhog","anural","angel","devil"
"anya","apa","bba","anid","mother","father"
"apu","mama","macl","zsu","daddy","mum"
"aranyifjú","magazin","maganán","aranyiérú","playboy","magazine"
"aranysárga","ezüst","eziet","arandzárga","golden","silver"
"aréna","csatatér","csatatya","arába","arena","battlefield"
"árnyék","sötét","vetét","árnyűg","shadow","dark"
"ártatlan","bűnös","bűfus","árostlan","innocent","guilty"
"árvaház","kolostor","kodestor","áriuház","orphanage","convent"
"árverés","eladás","elneás","méverés","auction","sale"
"arzenál","fegyvertár","fegyvertad","lizenál","arsenal","armory"
"ás","eltemet","értemet","cí","dig","bury"
"aszpirin","morfin","mokiin","asútirin","aspirin","morphine"
"asztal","hivatal","lávatal","asmmal","desk","office"
"asztal","szék","szke","asmmal","table","chair"
"átok","boszorkány","boruorkány","hiok","curse","witch"
"atom","nukleáris","nukleádos","síom","atomic","nuclear"
"autogram","fotós","fovés","autoldam","autograph","photographer"
"baba","gyermek","gyerock","ltba","baby","child"
"baba","játék","isték","ltba","doll","toy"
"baj","probléma","probléli","zdj","trouble","problem"
"báj","szépség","szőrség","anj","charm","beauty"
"bajnok","harcos","haapos","barlok","champion","fighter"
"banán","eper","íler","bazin","banana","strawberry"
"banda","csoport","csopiát","bazva","gang","group"
"bankár","befektető","befeldető","bankna","banker","investor"
"banki","pénzügyi","pénzpnyi","bazli","banking","financial"
"barna","kék","őnk","vérna","brown","blue"
"báró","grófnő","grófcs","omró","baron","countess"
"bátorság","meghatározás","meghatogozás","bátomaág","courage","determination"
"bázis","központ","közpzet","bános","base","headquarters"
"becenév","vezetéknév","vezetéknps","becerrv","nickname","surname"
"becsületes","ésszerű","ésükerű","becsületsz","fair","reasonable"
"befolyás","hatás","hazas","befolyek","influence","effect"
"beismerni","bevallani","begyllani","begymerni","admit","confess"
"béka","gyík","gylc","núka","frog","lizard"
"békés","atlanti","atlajái","bévos","pacific","atlantic"
"belép","megy","meol","túlép","enter","go"
"belső","külső","küörő","beélő","internal","external"
"bélyeg","aláírás","aláíkos","gályeg","stamp","signature"
"benyomás","érzés","érlis","benyomrt","impression","feeling"
"bérel","bérlés","bégyés","ezrel","hire","rent"
"bérlő","földesúr","földesőn","béévő","tenant","landlord"
"beszéd","szentbeszéd","szentbeslád","beszzó","speech","sermon"
"beszélgetés","beszél","beszab","beszabgetés","talk","speak"
"beszélgetés","vita","lata","beszabgetés","conversation","discussion"
"beteg","beteg","beyag","berig","ill","sick"
"beteg","ügyfél","joyfél","berig","patient","client"
"betét","tedd","telg","berüt","insert","put"
"betöltés","szállítmány","szállícsány","betöövés","load","cargo"
"biblia","könyv","költv","biitia","bible","book"
"bíróság","bíró","bíum","bíttság","court","judge"
"bizalom","hinni","hirdi","biillom","trust","believe"
"bizonyíték","bizonyíték","bizonyítse","bizonyítst","evidence","proof"
"biztonság","biztonság","biztontog","biztontog","security","safety"
"biztonságos","biztonságos","biztonsáiós","biztonsámes","safe","secure"
"bók","ajándék","ajánvek","gék","compliment","gift"
"bokor","fa","ys","dakor","bush","tree"
"bolond","idióta","idltta","bololj","fool","idiot"
"bolygó","pálya","pátna","bolyto","planet","orbit"
"bomba","robbanó","robbrsó","bozta","bomb","explosive"
"boncolás","elemzés","elemegs","boljolás","autopsy","analysis"
"bónusz","jutalom","betalom","ulnusz","bonus","reward"
"bor","pezsgő","pedegő","ner","wine","champagne"
"bőr","szövet","szrhet","vor","skin","tissue"
"boríték","csomag","csomjt","boölték","envelope","package"
"borító","elrejt","elrero","boríus","cover","hide"
"borzalom","félelem","férjlem","borzikom","horror","fear"
"bosszú","igazságszolgáltatás","duazságszolgáltatás","bosséj","revenge","justice"
"bravo","alfa","alőn","breto","bravo","alpha"
"brutális","kegyetlen","kegyázlen","szutális","brutal","cruel"
"bűn","bűn","rón","kón","sin","crime"
"büntet","letartóztatás","lesértóztatás","thntet","punish","arrest"
"büntetés","bebörtönzés","bebörtönébs","thntetés","penalty","imprisonment"
"burgonya","paradicsom","parajocsom","burgonid","potato","tomato"
"büszke","izgatott","izettott","thszke","proud","excited"
"büszkeség","méltóság","méltukág","thszkeség","pride","dignity"
"caesar","róma","nnma","caesco","caesar","rome"
"cápa","hal","tül","cánk","shark","fish"
"cég","ügynökség","ügynelség","bog","firm","agency"
"célja","szándék","szomdék","nulja","purpose","intention"
"cement","műanyag","kwanyag","cebont","cement","plastic"
"cikk","újság","waság","cinz","article","newspaper"
"civil","katonai","kaáknai","cihűl","civil","military"
"csapda","csali","csvei","csjoda","trap","bait"
"császári","császár","csúczár","csásféri","imperial","emperor"
"csatorna","hírek","sirek","csataina","channel","news"
"csendes","nyugodt","nyughőt","csennos","quiet","calm"
"csendes","csend","lmend","csennos","silent","silence"
"csepp","korty","konay","cstop","drop","sip"
"csésze","kávé","kápe","csésgó","cup","coffee"
"csiga","teknősbéka","teknősiúka","csőda","snail","turtle"
"csirke","pulyka","pulygy","csnéke","chicken","turkey"
"csodál","méltányol","méltánail","csodni","admire","appreciate"
"csodálatos","fantasztikus","faámasztikus","cstnálatos","wonderful","fantastic"
"csók","ölelés","suelés","cson","kiss","hug"
"csomagtartó","cipő","ciúm","csomaglártó","boot","shoe"
"csont","koponya","kopogba","cszet","bone","skull"
"csúnya","mocskos","mocsles","csguya","nasty","filthy"
"cukor","csokoládé","csokukádé","átkor","sugar","chocolate"
"dajka","szobalány","szzgalány","dagma","nanny","maid"
"dékán","egyetemi tanár","egyetemiffanár","dénan","dean","professor"
"déli","északi","ésszki","máli","south","north"
"déli","nyugati","nyugdíi","máli","southern","western"
"desszert","torta","börta","rasszert","dessert","cake"
"detonátor","időzítő","idégítő","fotonátor","detonator","timer"
"diák","tanár","tahér","zzák","student","teacher"
"dicső","dicsőség","dicsékég","diödő","glorious","glory"
"dinasztia","birodalom","bilidalom","diálsztia","dynasty","empire"
"divatos","elegáns","elótáns","divargs","fashionable","elegant"
"dna","ujjlenyomat","ujnbenyomat","mˇa","dna","fingerprint"
"doboz","táska","táara","doysz","box","bag"
"dohány","cigaretta","ciátretta","doktny","tobacco","cigarette"
"dózis","injekció","injeziió","zszis","dose","injection"
"drága","olcsó","olunó","drlla","expensive","cheap"
"dráma","komédia","komérka","drula","drama","comedy"
"drámai","romantikus","romantélus","drámró","dramatic","romantic"
"dvd","videó-","vipló","mjd","dvd","video"
"dzsessz","zene","móne","éksessz","jazz","music"
"dzsip","kamion","kabron","dzöpp","jeep","truck"
"dzsungel","erdő","erné","éksungel","jungle","forest"
"éber","riasztás","riumztás","leer","alert","alarm"
"édes","aranyos","aransás","woes","sweet","cute"
"édesem","vaj","ráj","woesem","honey","butter"
"ég","mennyei","menntői","ór","sky","heavenly"
"egér","patkány","paklány","egts","mouse","rat"
"egészség","oktatás","ajtatás","egésbeég","health","education"
"egészséges","normál","nodtál","egésbeéges","healthy","normal"
"egy","három","elrom","ály","one","three"
"egyedül","magányos","magányar","egyekél","alone","lonely"
"egyensúly","harmónia","harmulia","egyenszky","balance","harmony"
"egyetlen","házas","háows","egyerten","single","married"
"egyszerűen","egyszerű","egyszeói","egyszeiden","simply","simple"
"éhség","szomjúság","szegjúság","egség","hunger","thirst"
"éjfél","dél","vul","éjzul","midnight","noon"
"éjszaka","este","eseb","éjszvja","night","evening"
"eladó","vevő","vedy","elkaó","seller","buyer"
"elég","elegendő","elegengé","elvé","enough","sufficient"
"elégedett","boldog","boldón","elvéedett","satisfied","happy"
"elemző","nyomozó","nyomató","elemin","analyst","investigator"
"elfelejt","emlékezik","emléfizik","elfeleha","forget","remember"
"elhagy","elhagyott","elhagyest","elhasd","leave","abandon"
"elismerik","tudta","tutsa","elítmerik","recognize","knew"
"elkötelezettség","esküvő","eskünn","elkötelezeyiség","engagement","wedding"
