"sl_target","sl_cue","sl_fake_cue","sl_fake_target","en_cue","en_target"
"\ t","žlička","elecka","\ t","spoon","fork"
"abdominalno","spinal","spilie","abdomippuccino","spinal","abdominal"
"abduct","ugrabit","ugrahan","abcvet","kidnap","abduct"
"absurdno","smešno","smedeš","abugledno","ridiculous","absurd"
"adrenalin","hormon","njemon","opornalin","hormone","adrenaline"
"agencija","podjetje","podjemnik","travcija","firm","agency"
"aktivirajte","sprožilec","ublažilec","aktivimarquette","trigger","activate"
"alarm","opozorilo","ustrezorilo","alomm","alert","alarm"
"alibi","motiv","movan","rodbi","motive","alibi"
"alien","ufo","vho","vneen","ufo","alien"
"alley","kotiček","kotistič","alšim","corner","alley"
"alpha","bravo","zlovo","alann","bravo","alpha"
"amerika","afrika","arabka","ogrorika","africa","america"
"analiza","autopsion","auschwision","stroliza","autopsy","analysis"
"apartma","hiša","proša","opravma","house","apartment"
"aretirati","kaznovati","kašljalvati","obljutirati","punish","arrest"
"arhitekt","inženir","inžeslom","arhipids","engineer","architect"
"armory","arsenal","arsestvo","arsoft","arsenal","armory"
"arogance","nevednost","nevenwood","arodnjice","ignorance","arrogance"
"arterija","vein","frin","vzcveterija","vein","artery"
"artilerija","konjenica","kozdravnica","blackbriartilerija","cavalry","artillery"
"atlantic","pacific","pacišmar","atlansco","pacific","atlantic"
"atmosfera","okolje","teklje","obljumosfera","environment","atmosphere"
"avto","vozilo","vovljalo","pleto","vehicle","car"
"avtobus","vlak","lmak","avtožnic","train","bus"
"avtocesta","cesta","celje","avtocepljen","road","highway"
"babica","dedek","debim","babistve","grandfather","grandmother"
"band","orkester","orkeglje","bače","orchestra","band"
"bar","club","cldd","lor","club","bar"
"baseball","stadion","zgrudion","basešnim","stadium","baseball"
"bataljon","regiment","regilroy","batachie","regiment","battalion"
"batman","superman","suwhitman","evoman","superman","batman"
"battlefield","arena","dnina","battlefistvom","arena","battlefield"
"berka","norec","novič","gonka","fool","idiot"
"bes","anger","anžil","wls","anger","rage"
"biologija","kemija","nostmija","bioloustvarja","chemistry","biology"
"biološki","kemikalije","oblastmikalije","biolomljen","chemical","biological"
"bitje","pošast","posekt","bidal","monster","creature"
"bitka","vojna","mnina","zbrka","war","battle"
"bogastvo","treasure","wozniasure","boganjan","treasure","wealth"
"boj","boj","rlj","alj","combat","fight"
"bolan","bolan","botik","boney","ill","sick"
"bolečina","trpljenje","trshranje","boleobravna","suffering","pain"
"bolezen","flue","fltr","bolenjav","flu","disease"
"bombaž","silk","sike","bomaua","silk","cotton"
"book","biblija","bikravja","bodne","bible","book"
"borec","prvak","prplo","bočar","champion","fighter"
"boston","washington","wastockton","botost","washington","boston"
"božanska","bog","žeg","boskopska","god","divine"
"bra","stari","kriri","eya","dude","bro"
"brada","lase","husse","upoda","hair","beard"
"braniti","zaščititi","zaatlantiti","veljniti","protect","defend"
"brat","sestra","sesley","hyat","sister","brother"
"bratranec","relativno","relasquezno","elektranec","relative","cousin"
"brave","plemeniti","zmanjmeniti","silve","noble","brave"
"brazgotina","tattoo","tatpid","vplivgotina","tattoo","scar"
"brez vrednosti","neuporabna","neuporabnagravžni","brez vrednchmond","useless","worthless"
"bright","shine","gačne","bridor","shine","bright"
"brisačo","odeja","lebja","usposačo","blanket","towel"
"brizga","igla","atla","brihle","needle","syringe"
"bruise","scratch","ekratch","oglaise","scratch","bruise"
"bullet","caliber","calikšni","ogolet","caliber","bullet"
"butt","ass","sks","buna","ass","butt"
"bye","zdravo","tljavo","tue","hello","bye"
"cake","sladica","vzbudica","cairn","dessert","cake"
"cap","očala","tamla","arp","glasses","cap"
"cardinal","bishop","bisexa","cardiplom","bishop","cardinal"
"čarovnica","prekletstvo","prestopstvo","častnimnica","curse","witch"
"čarovnik","magic","mahov","čaveljnik","magic","wizard"
"carpet","nadstropje","nadškofpje","carmil","floor","carpet"
"časopis","članek","sunnek","časoment","article","newspaper"
"časovnik","detonator","detonaključ","čajajčnik","detonator","timer"
"čast","privilege","ognjevilege","rist","privilege","honor"
"čebula","garlic","blelic","čeveljla","garlic","onion"
"cena","vrednost","obodnost","torna","value","price"
