"cue","target","cosine","fake_cue","fake_target"
"zrobić","robić",0.729339595595053,"zrobkć","robix"
"zrobić","uczynić",0.522524456448581,"zgobić","uczyniz"
"zrobić","wykonać",0.519984769828811,"zżobić","wykcnać"
"zrobić","poradzić",0.501658109592555,"zroboć","porydzić"
"zrobić","załatwić",0.501357696422593,"zrofić","ćałatwić"
"powiedzieć","powiedziec",0.725541843816162,"powiedzieć","powsedziec"
"powiedzieć","opowiedzieć",0.616749856657445,"pnwiedzieć","ąpowiedzieć"
"powiedzieć","mówić",0.611150694067048,"powieuzieć","mógić"
"powiedzieć","wyznać",0.585592911473508,"powiełzieć","tyznać"
"powiedzieć","spytać",0.575007270320317,"powmedzieć","spyteć"
"prawda","nieprawda",0.613370893609702,"prdwda","niepjawda"
"prawda","rzeczywiście",0.397224942576968,"priwda","rzecaywiście"
"prawda","słonko",0.354491095582297,"trawda","łłonko"
"prawda","panienko",0.352230577827167,"prewda","pansenko"
"prawda","siostrzyczko",0.349825951811329,"prjwda","siostrwyczko"
"mieć","miec",0.718079281269564,"bieć","ćiec"
"mieć","posiadać",0.543553533873361,"miać","mosiadać"
"mieć","miać",0.515667281560175,"yieć","mwać"
"mieć","chcieć",0.480749080005099,"ćieć","chłieć"
"mieć","widzieć",0.473846036445775,"yieć","ńidzieć"
"razem","jedność",0.441876396339899,"razee","jednyść"
"razem","wraz",0.436652368836062,"razez","wryz"
"razem","wspólny",0.368628585594913,"razel","wspólpy"
"razem","zjednoczyć",0.367744481669314,"razek","ztednoczyć"
"razem","szczęśliwie",0.357350679320519,"dazem","mzczęśliwie"
"życie","dzieciństwo",0.504309797290488,"życge","dziecicstwo"
"życie","małżeństwo",0.447971083300298,"żyzie","małżebstwo"
"życie","żyć",0.415303060445348,"żęcie","żyv"
"życie","człowieczeństwo",0.408054943903257,"życne","człowieczedstwo"
"życie","uratować",0.404378707300968,"życne","uratowax"
"miejsce","miejsca",0.641664308616169,"miejscy","mietsca"
"miejsce","stanowisko",0.516596566715067,"siejsce","itanowisko"
"miejsce","miejsc",0.507517490828924,"miejsce","miedsc"
"miejsce","pomieszczenie",0.497481627930185,"miejsfe","pomieszczenwe"
"miejsce","mieszkanie",0.47193341522866,"mieżsce","mseszkanie"
"czego","zamian",0.39358189676314,"czegm","zamirn"
"czego","pragnąć",0.345225540934751,"czkgo","ppagnąć"
"czego","osiągnąć",0.337659394825475,"szego","osiągnąd"
"czego","robić",0.310175527164292,"rzego","rolić"
"czego","nauczka",0.29757538119363,"czego","ćauczka"
"czas","pora",0.629137632089836,"cras","poma"
"czas","okres",0.434135989766899,"zzas","ckres"
"czas","moment",0.428681082846467,"czaż","eoment"
"czas","termin",0.402135704050552,"łzas","termiu"
"czas","ranek",0.399977148863505,"gzas","rahek"
"wiedzieć","wiedziec",0.720453748319837,"wiedzikć","wieiziec"
"wiedzieć","wiedzić",0.665869841877772,"wiebzieć","wiedzrć"
"wiedzieć","dowiedzieć",0.642972314912892,"włedzieć","dooiedzieć"
"wiedzieć","powiedzieć",0.538562769554719,"wzedzieć","śowiedzieć"
"wiedzieć","spytać",0.499631905955712,"wiedzier","stytać"
"zobaczyć","zobaczyc",0.741812444684139,"zobacayć","zobactyc"
"zobaczyć","ujrzeć",0.72119228095489,"zopaczyć","ugrzeć"
"zobaczyć","obejrzeć",0.69109893908654,"zobaczoć","obebrzeć"
"zobaczyć","popatrzeć",0.650220912797894,"zobacząć","popatązeć"
"zobaczyć","widzieć",0.626983047129537,"zobacgyć","widvieć"
"pomóc","pomagać",0.668615983120397,"potóc","pomwgać"
"pomóc","przeszkodzić",0.553896283259095,"xomóc","przeszksdzić"
"pomóc","zaszkodzić",0.499159335315161,"pcmóc","zaszkodzim"
"pomóc","ulżyć",0.497200593763794,"romóc","ucżyć"
"pomóc","pomocny",0.480226192068222,"poeóc","pomocoy"
"robić","zrobić",0.729339595595053,"rjbić","łrobić"
"robić","wyprawiać",0.531055456799942,"royić","wyprawiap"
"robić","załatwiać",0.514238100154363,"rdbić","załatwiaś"
"robić","jeść",0.508843661409467,"robik","jlść"
"robić","czynić",0.503062729272213,"roboć","czynid"
"znaleźć","znależć",0.866290837366287,"zbaleźć","znależą"
"znaleźć","znaleść",0.857910594304428,"znaleźl","znaleać"
"znaleźć","odnaleźć",0.754720972447298,"znaloźć","odnkleźć"
"znaleźć","znalezc",0.661427697218381,"znuleźć","znplezc"
"znaleźć","odszukać",0.652473138295722,"znwleźć","odszukść"
"iść","pójść",0.850497861772791,"iżć","pójśn"
"iść","jechać",0.677335534778027,"iśj","bechać"
"iść","pojechać",0.6090672450028,"łść","pojechać"
"iść","wracać",0.543916183520814,"ęść","wrdcać"
"iść","udać",0.539616314920119,"iśw","udam"
"samo","dokładnie",0.437920801934174,"sato","dokładsie"
"samo","równie",0.3989034350117,"ęamo","równże"
"samo","identyczny",0.370863924590725,"ramo","hdentyczny"
"samo","niezależnie",0.343300856908321,"samł","hiezależnie"
"samo","inaczej",0.320716366002373,"jamo","intczej"
"nadal","wciąż",0.896242147334182,"uadal","wsiąż"
"nadal","ciągle",0.755658096269693,"nadsl","ciigle"
"nadal","wciaz",0.61843714693088,"nadyl","wbiaz"
"nadal","ciagle",0.584151255226229,"nłdal","giagle"
"nadal","stale",0.483904015436469,"uadal","słale"
"zabić","zastrzelić",0.763515691946385,"zapić","zcstrzelić"
"zabić","zamordować",0.714537072793206,"yabić","zhmordować"
"zabić","skrzywdzić",0.66757612280294,"mabić","sktzywdzić"
"zabić","wykończyć",0.656679165085298,"zalić","wykońazyć"
"zabić","pozabijać",0.631410485411648,"labić","pozadijać"
"szybko","prędko",0.708554612417612,"yzybko","prędkb"
"szybko","gwałtownie",0.457919056478744,"szysko","gwałtownix"
"szybko","łatwo",0.432058359170653,"szybkw","łatwł"
"szybko","szybki",0.42571133664785,"szybkd","szybsi"
"szybko","szybka",0.417534447439026,"szybko","szybką"
"kiedyś","kiedykolwiek",0.572034078622534,"kicdyś","kienykolwiek"
"kiedyś","nieraz",0.380769240634228,"kfedyś","nieraw"
"kiedyś","niedawno",0.365603736177534,"kiedye","niedcwno"
"kiedyś","ostatnio",0.35241512652323,"kiedyź","ostatnso"
"kiedyś","wkrótce",0.349813843181784,"kiedył","wkrótch"
"dziecko","maleństwo",0.527499689675083,"dziecgo","maliństwo"
"dziecko","zwierzę",0.486344811447722,"dzimcko","ziierzę"
"dziecko","córeczka",0.480323204791284,"dziezko","córeceka"
"dziecko","rodzeństwo",0.478687324861156,"dziecky","rodzeńsżwo"
"dziecko","dziewczynka",0.45789034787498,"dzińcko","dziewcrynka"
"mówić","mowić",0.716309466954521,"mówią","dowić"
"mówić","powiadać",0.631913837078067,"móbić","powiadeć"
"mówić","rozmawiać",0.623229575496465,"jówić","rozmawiuć"
"mówić","gadać",0.616322694065416,"mówią","gadić"
"mówić","powiedzieć",0.611150694067048,"mócić","powiedzieć"
"wciąż","nadal",0.896242147334182,"iciąż","nadań"
"wciąż","ciągle",0.86252322048391,"wcikż","cgągle"
"wciąż","wciaz",0.63325448999107,"wcłąż","wjiaz"
"wciąż","ciagle",0.622630658414597,"iciąż","ciaglb"
"wciąż","stale",0.552592319063869,"wciąć","seale"
"potem","najpierw",0.509092752957717,"pitem","najpiorw"
"potem","wpierw",0.439590162682449,"pptem","wpierw"
"potem","nagle",0.428561482915252,"poteł","nggle"
"potem","tymczasem",0.358858922833466,"phtem","tymcoasem"
"potem","ostatecznie",0.357836898431931,"potum","ostłtecznie"
"zostać","pozostać",0.679326443807799,"zostać","pozostuć"
"zostać","zostawać",0.677584778352031,"zostić","zdstawać"
"zostać","pozostawać",0.499025586118452,"zosmać","pozostawab"
"zostać","zamieszkać",0.489241684575038,"zoswać","zamizszkać"
"zostać","mieszkać",0.466430802046145,"zęstać","mceszkać"
"pewnie","widocznie",0.571180760731189,"peenie","widocznpe"
"pewnie","prawdopodobnie",0.487089013428578,"pewnpe","prawdojodobnie"
"pewnie","ponoć",0.459971389891266,"pawnie","pęnoć"
"pewnie","biedak",0.425883224255558,"pewnle","biedae"
"pewnie","szkoda",0.3936809376059,"ćewnie","szkęda"
"dać","dawać",0.704587650517336,"żać","dafać"
"dać","podarować",0.611131649807992,"daq","podarowoć"
"dać","zaoferować",0.526068311159856,"deć","zaoferokać"
"dać","wręczyć",0.507712380985158,"dax","wręczać"
"dać","oferować",0.498589572934743,"dan","ofehować"
"jutro","pojutrze",0.774742260166705,"jstro","jojutrze"
"jutro","poniedziałek",0.655880143223882,"gutro","poviedziałek"
"jutro","czwartek",0.620278517128367,"jugro","czcartek"
"jutro","jutrzejszy",0.588878089892728,"jutrę","jutrzhjszy"
"jutro","piątek",0.588447741553698,"jutrę","piątek"
"imię","imie",0.83877558421711,"ipię","imye"
"imię","nazwisko",0.713325053757449,"imlę","nazsisko"
"imię","imić",0.501307304975481,"icię","fmić"
"imię","nazwa",0.423291931488944,"imię","nazda"
"imię","słowo",0.415499614737692,"imkę","swowo"
"dom","domek",0.682351796344287,"uom","dzmek"
"dom","budynek",0.652552088241463,"dod","budżnek"
"dom","mieszkanie",0.645051333827755,"dtm","mieszkanve"
"dom","garaż",0.59429059665861,"doś","gnraż"
"dom","posiadłość",0.577447057787837,"dżm","posiadxość"
"stąd","stamtąd",0.798231127513925,"łtąd","utamtąd"
"stąd","tąd",0.79293760545201,"styd","wąd"
"stąd","stad",0.737475327702083,"stżd","dtad"
"stąd","wynoście",0.463681251434952,"btąd","wynościl"
"stąd","wynieść",0.423277857294637,"stąp","hynieść"
"długo","dlugo",0.688242676039232,"długg","dlugą"
"długo","krótko",0.48542185865324,"dłhgo","krótkó"
"długo","dawna",0.469755034313067,"hługo","diwna"
"długo","wieczność",0.443365690133779,"bługo","iieczność"
"długo","szczęśliwie",0.409364403852953,"długt","szczgśliwie"
"wrócić","powrócić",0.829680401501393,"wrrcić","yowrócić"
"wrócić","wracać",0.770665377987292,"mrócić","wracrć"
"wrócić","powracać",0.597045156302961,"wrbcić","powrżcać"
"wrócić","pojechać",0.562988137168614,"wwócić","pcjechać"
"wrócić","wyjechać",0.543597377674031,"wrócit","wyjechić"
"stary","ziom",0.566960476127747,"staay","zilm"
"stary","koleś",0.52764077991288,"xtary","coleś"
"stary","ziomek",0.514499458359896,"svary","ziomok"
"stary","durny",0.477248436091675,"stawy","dmrny"
"stary","jebany",0.452429873567704,"stacy","żebany"
"porozmawiać","pogadać",0.883399384355372,"porązmawiać","ćogadać"
"porozmawiać","pomówić",0.876769304794723,"pirozmawiać","pomówąć"
"porozmawiać","rozmawiać",0.756858862358128,"porodmawiać","rozmawtać"
"porozmawiać","domówić",0.649767128103067,"porozmawirć","domódić"
"porozmawiać","rozmówić",0.642165164241778,"porozmawisć","rosmówić"
"dzień","dzien",0.700475917387249,"dzgeń","dlien"
"dzień","poranek",0.614093739919577,"zzień","porapek"
"dzień","noc",0.59069778430052,"dzień","noż"
"dzień","tydzień",0.579334726631325,"dvień","kydzień"
"dzień","wieczór",0.571395423779572,"dzaeń","wiekzór"
"dostać","zdobyć",0.631207435108722,"dłstać","zdobył"
"dostać","przedostać",0.601021248187096,"dostać","przezostać"
"dostać","otrzymać",0.581592061554099,"dgstać","otozymać"
"dostać","uzyskać",0.577809404510385,"ńostać","uzysyać"
"dostać","dostawać",0.566509670643332,"doslać","dostanać"
"dobre","lepsze",0.531721048918604,"dhbre","lepszm"
"dobre","wspaniałe",0.513656996998769,"doare","wspaniała"
"dobre","dobry",0.457763392176512,"dobłe","dobrk"
"dobre","zle",0.429033064238553,"dzbre","zlm"
"dobre","negatywne",0.421191345059585,"dtbre","negatywne"
"dobry","świetny",0.708797212112379,"dobry","śwbetny"
"dobry","kiepski",0.683454414435476,"dobzy","kiepskę"
"dobry","doskonały",0.622348420580625,"dobgy","doskonałó"
"dobry","zły",0.614550057668674,"docry","óły"
"dobry","wspaniały",0.600864820711551,"zobry","wspnniały"
"człowiek","facet",0.687566975138294,"cełowiek","fażet"
"człowiek","gość",0.685246962869266,"człoeiek","gożć"
"człowiek","czlowiek",0.684988743267315,"człobiek","czlogiek"
"człowiek","mężczyzna",0.677308664685968,"człowied","mężclyzna"
"człowiek","chłopiec",0.550150816925966,"człuwiek","chgopiec"
"dokładnie","dokładny",0.484533540834356,"hokładnie","dokłaćny"
"dokładnie","samo",0.437920801934174,"dokłednie","sabo"
"dokładnie","doskonale",0.38993766898314,"dokyadnie","dbskonale"
"dokładnie","ładnie",0.368599063317882,"dokłacnie","yadnie"
"dokładnie","niezależnie",0.365197000861377,"dokładnge","niezalużnie"
"ciągle","wciąż",0.86252322048391,"ciągie","wsiąż"
"ciągle","nadal",0.755658096269693,"cirgle","nadal"
"ciągle","ciagle",0.70913786293449,"giągle","yiagle"
"ciągle","stale",0.696134471064086,"ciągln","ńtale"
"ciągle","nieustannie",0.612352784888668,"ctągle","nifustannie"
"miejsca","miejsc",0.669662849330607,"migjsca","miejąc"
"miejsca","miejsce",0.641664308616169,"miejkca","mikjsce"
"miejsca","pomieszczenie",0.34607836788809,"hiejsca","pomiepzczenie"
"miejsca","stanowisko",0.314343292124857,"miejsca","stanowhsko"
"miejsca","stolik",0.307044694806546,"miejąca","etolik"
"problem","kłopot",0.683369423016197,"probuem","kłoptt"
"problem","rozwiązać",0.501808343937481,"prtblem","rozoiązać"
"problem","konflikt",0.461552879648948,"proglem","konflist"
"problem","kryzys",0.45745009540278,"problgm","kryoys"
"problem","spór",0.405559261697108,"problec","sphr"
"samochód","wóz",0.840905528198092,"samochóz","kóz"
"samochód","auto",0.764129228702131,"slmochód","zuto"
"samochód","samochod",0.727103619746162,"oamochód","sażochod"
"samochód","pojazd",0.705542589825297,"sćmochód","źojazd"
"samochód","motor",0.69850407068695,"gamochód","movor"
"śmierć","smierc",0.689793459828109,"śmieść","łmierc"
"śmierć","wierć",0.441053326185861,"śmyerć","wiers"
"śmierć","zagład",0.429849608682523,"śtierć","zsgład"
"śmierć","cierpienie",0.426119917850944,"omierć","cierpienie"
"śmierć","zgon",0.417998806954549,"śzierć","zgoi"
"och","ooo",0.648212783954667,"ocv","oao"
"och","ech",0.553339277907389,"żch","ecw"
"och","yeah",0.492562007114312,"nch","ueah"
"och","doprawdy",0.486269202267429,"uch","doorawdy"
"och","mamo",0.430107700481447,"occ","majo"
"źle","żle",0.798424957200605,"cle","żlc"
"źle","zle",0.626889113910483,"źlj","ćle"
"źle","kiepsko",0.623503460952464,"źde","kiepskl"
"źle","słabo",0.524500776265431,"źlż","słabł"
"źle","głupio",0.50965587601151,"fle","gżupio"
"kurwa","kurna",0.685274656505906,"kurwz","kurnh"
"kurwa","pierdolona",0.566999943321879,"kuswa","pigrdolona"
"kurwa","jebany",0.558398693484481,"krrwa","jebans"
"kurwa","chuj",0.530309815108696,"kurwy","shuj"
"kurwa","dziwko",0.529669630028419,"kuuwa","dzlwko"
"zabrać","zabierać",0.689452869941068,"zabraż","zabieoać"
"zabrać","zawieźć",0.671712312484069,"zabrak","zawiećć"
"zabrać","wziąć",0.636991561137193,"tabrać","wzioć"
"zabrać","odwieźć",0.634945232927109,"zagrać","odwieźd"
