"hy_target","hy_cue","type","target_type","cue_type","hy_cosine"
"տեսանյութ","dvd","related","word","word",0.343401790367058
"սամուրայ","ninja","related","word","word",0.255017154494933
"ամսագիր","playboy","related","word","word",0.310402367699007
"օտար","ufo","related","word","word",0.0672584887708553
"վամպիր","zombie","related","word","word",0.265260991722091
"ոսկեգույն","ադամանդ","related","word","word",0.291885714244278
"անվճար","ազատորեն","related","word","word",0.271100567914947
"ժողովրդավարություն","ազատություն","related","word","word",0.582256397372592
"զարմիկ","ազգական","related","word","word",0.477238522721449
"համաշխարհային","ազգային","related","word","word",0.387141007085313
"ազդեցություն","ազդեցություն","related","word","word",1
"մրցանակ","ազնվական","related","word","word",0.0944411492923486
"երգ","ալբոմ","related","word","word",0.516534504919115
"դեղ","ալկոհոլ","related","word","word",0.311424455265823
"սինդրոմ","ախտանիշ","related","word","word",0.555187360159716
"ջրածին","ածխածին","related","word","word",0.651522802851469
"յուղ","ածուխ","related","word","word",0.374685487457827
"գլխարկ","ակնոց","related","word","word",0.426849026550771
"գործունեություն","ակտիվ","related","word","word",0.514152356288416
"տագնապ","ահ","related","word","word",0.190274883029226
"աղբ","աղբ","related","word","word",1
"տեղեկատու","աղբյուր","related","word","word",0.253841205911338
"ձայն","աղմուկ","related","word","word",0.38724111479112
"տղա","աղջիկ","related","word","word",0.671838635942273
"ճագար","աղվես","related","word","word",0.387327100077004
"ճառագայթում","աղտոտում","related","word","word",0.355813884386669
"հարուստ","աղքատ","related","word","word",0.552460201684003
"աղքատություն","աղքատություն","related","word","word",1
"նվազեցնել","աճ","related","word","word",0.228679453924913
"վաճառք","աճուրդ","related","word","word",0.452988042811341
"ձմեռ","ամառ","related","word","word",0.551124089280034
"լսարան","ամբոխ","related","word","word",0.247425501576898
"շաբաթ","ամիս","related","word","word",0.55251062063329
"կին","ամուսին","related","word","word",0.439052847699247
"ամուսնություն","ամուսնալուծություն","related","word","word",0.772266229275654
"գործակալություն","ամուր","related","word","word",0.131042726774957
"խիստ","ամուր","related","word","word",0.224936786780688
"մառախուղ","ամպ","related","word","word",0.41784492941001
"իմանալ","այժմ","related","word","word",0.225553757083774
"ինչ-որ տեղ","այլուր","related","word","word",NA
"այնտեղ","այստեղ","related","word","word",0.621413502703445
"երեկ","այսօր","related","word","word",0.270701166587452
"կին","այրին","related","word","word",0.282330573518099
"խնդիր","անախորժություն","related","word","word",NA
"հիասթափություն","անակնկալ","related","word","word",0.301632309508978
"անհայտ","անանուն","related","word","word",0.355813784287673
"ապահով","անապահով","related","word","word",0.640374412706341
"հովիտ","անապատ","related","word","word",0.28843709401039
"հոգեբանություն","անատոմիա","related","word","word",0.453846634568818
"անարդար","անարդարություն","related","word","word",0.658760809057708
"կապիտալիզմ","անարխիա","related","word","word",0.558458399881291
"ֆրանսիական","անգլերեն","related","word","word",0.221008792006724
"ղեկավար","անդամ","related","word","word",0.418427202890644
"կախարդ","անիծել","related","word","word",0.266488207584354
"անպատասխանատու","անխոհեմ","related","word","word",0.358934744220291
"անկարող","անկարողություն","related","word","word",0.522199712118196
"ծառուղի","անկյուն","related","word","word",0.304806019918795
"գդալ","անկում","related","word","word",0.119259291771627
"նյարդային","անհանգստությամբ","related","word","word",0.317745163286646
"դժբախտություն","անհաջող","related","word","word",0.235775538429914
"հաղթող","անհաջողակ","related","word","word",0.169249446779287
"տհաճ","անհարմար","related","word","word",0.430589873067546
"պարզ","անհնարին","related","word","word",0.308706257971789
"կարիք","անհրաժեշտ","related","word","word",0.33852748897277
"նավ","անձնակազմ","related","word","word",0.438271174737091
"մտերիմ","անձնական","related","word","word",0.344915629257836
"ձյուն","անձրեւ","related","word","word",0.465380367370011
"մեղավոր","անմեղ","related","word","word",0.51419147673597
"կոչում","անուն","related","word","word",0.266004469695799
"օտար","անսովոր","related","word","word",0.145762148698085
"անվտանգություն","անվտանգություն","related","word","word",1
"գոռոզություն","անտեղյակություն","related","word","word",0.613477931229001
"անզոր","անօգնական","related","word","word",0.348165441587943
"անարժեք","անօգուտ","related","word","word",0.326355570172532
"օրինական","անօրինական","related","word","word",0.737506264472969
"աշխատանք","աշխատանք","related","word","word",1
"շինություն","աշտարակ","related","word","word",0.442681831218315
"ականջ","աչք","related","word","word",0.364978992669653
"անցյալ","ապագա","related","word","word",0.323259748206759
"շիշ","ապակի","related","word","word",0.370024029829115
"ապաստարան","ապաստան","related","word","word",0.688293006407148
"աղցան","ապուր","related","word","word",0.593812279483291
"ապրանքի","ապրանքանիշը","related","word","word",0.541238860386566
"գոյատեւել","ապրել","related","word","word",0.366926779922469
"օգնություն","աջակցություն","related","word","word",0.701888955459746
"զարգացում","առաջադիմություն","related","word","word",0.379890878423263
"առաջարկել","առաջարկել","related","word","word",1
"տալ","առաջարկել","related","word","word",0.326534096558269
"տեւել","առաջին","related","word","word",0.167183721652259
"լեգենդ","առասպել","related","word","word",0.503191621350102
"առեվանգել","առեվանգել","related","word","word",1
"փրկանք","առլան","related","word","word",NA
"վաճառական","առլտրական","related","word","word",NA
"բացակայություն","առկայություն","related","word","word",0.766701070921244
"նորմալ","առողջ","related","word","word",0.349207955908307
"կրթություն","առողջապահություն","related","word","word",0.461235540864524
"թիկունք","առջեվի","related","word","word",NA
"ներարկիչ","ասեղ","related","word","word",0.427942221308418
"պատմել","ասենք","related","word","word",0.216186794811354
"մարտադաշտ","ասպարեզ","related","word","word",0.301136435129738
"մորֆին","ասպիրին","related","word","word",0.226254838988522
"աստվածային","աստված","related","word","word",0.586771175763455
"գիրք","աստվածաշունչ","related","word","word",0.39452602987626
"կրտսեր","ավագ","related","word","word",0.557521215643114
"վերին","ավելի ցածր","related","word","word",NA
"սեր","ատելություն","related","word","word",0.522571937514618
"ատոմային","ատոմային","related","word","word",1
"զենք","ատրճանակ","related","word","word",0.439555643394757
"իգական","արական","related","word","word",0.840683360319555
"փակ","արգելափակված","related","word","word",0.368701566311685
"արգելել","արգելված","related","word","word",0.631899459457848
"խելամիտ","արդար","related","word","word",0.366808464611763
"դեռահաս","արդեն","related","word","word",0.221518688184613
"գործ","արդյունաբերություն","related","word","word",0.234637692459352
"արդյունք","արդյունք","related","word","word",1
"արեւելք","արեւմուտք","related","word","word",0.737578725081664
"արժանի","արժանանալ","related","word","word",0.511581537173668
"գինը","արժեք","related","word","word",0.325469423287216
"կարեւոր","արժեքավոր","related","word","word",0.312620149670052
"որոշում","արիություն","related","word","word",0.180508761351801
"մեզի","արյան","related","word","word",0.43156728742811
"ընտրություն","արշավ","related","word","word",0.175912409248193
"գայլ","արջ","related","word","word",0.494916542917503
"գրականություն","արվեստ","related","word","word",0.533788963851915
"ռեժիսոր","արտադրող","related","word","word",0.238001048619222
"հայելի","արտացոլում","related","word","word",0.258198572064438
"մեդալ","արտեֆակտ","related","word","word",0.175998190084243
"նկարիչ","արտիստ","related","word","word",0.417361563729157
"պատիվ","արտոնություն","related","word","word",0.390531023378212
"կտրել","արցունք","related","word","word",0.248479087781799
"իշխան","արքայադուստր","related","word","word",0.410164312650124
"թագավորություն","արքայական","related","word","word",0.330910252039736
"ամերիկա","աֆրիկա","related","word","word",0.538418948936017
"անկողն","բազմոց","related","word","word",NA
"պարբերություն","բաժին","related","word","word",0.263081263721377
"խայտառակություն","բամբասանք","related","word","word",0.399143405491665
"կողպել","բանալի","related","word","word",0.284392756277515
