"nl_cue","nl_fake_cue","nl_target","nl_fake_target","en_cue","en_target"
"advocaat","advostok","aanklager","aandeelger","lawyer","prosecutor"
"conclusie","conaversie","aanname","vietname","conclusion","assumption"
"uitleg","uitbun","aannemelijk","aannemethaan","explanation","plausible"
"aandacht","anvart","aantrekken","aanslagken","attention","attract"
"weigeren","vormgeren","aanvaarden","aanleefden","refuse","accept"
"invasie","inverand","aanval","aanber","invasion","attack"
"slachtoffer","schamover","aanvaller","anvaltof","victim","attacker"
"extra","exvit","aanvullend","aanvulgar","extra","additional"
"punt","puza","aanwijzen","ansluzin","point","indicate"
"banaan","bahhen","aardbei","aardmak","banana","strawberry"
"val","ull","aas","lds","trap","bait"
"ruggengraat","grannettan","buik","kibbu","spinal","abdominal"
"belachelijk","belagequers","absurd","ablumo","ridiculous","absurd"
"stem","staw","accent","aczelf","voice","accent"
"voorkant","voorvens","achterkant","akterblie","front","rear"
"bijnaam","banijr","achternaam","achterther","nickname","surname"
"volgen","mangen","achtervolging","aktervolmekt","follow","chase"
"schrijver","sprukveer","acteur","acnaar","author","actor"
"in gang zetten","ni ang zwuste","activeren","activenaard","trigger","activate"
"actief","aclijn","activiteit","activivians","active","activity"
"beheer","bepeld","administratief","admanicholstief","management","administrative"
"hormoon","hormuur","adrenaline","klompaline","hormone","adrenaline"
"nummer","bigmer","adres","wires","number","address"
"advies","adrest","adviseren","adviselaars","advice","advise"
"serie","selek","aflevering","aflevenaard","series","episode"
"vies","vikan","walglijk","elgawek","dirty","disgusting"
"diploma","digendma","afstuderen","afdrugderon","diploma","graduate"
"vuilnis","uvilnes","afval","afber","trash","garbage"
"aanwezigheid","aanwezigtisch","afwezigheid","afwezigtisch","presence","absence"
"contract","constraf","akkoord","akbeurd","contract","agreement"
"alert","ueert","alarm","qwarm","alert","alarm"
"motief","moveer","alibi","dakbi","motive","alibi"
"alleen","alfles","eenzaam","uunzoem","alone","lonely"
"bravo","heivo","alpha","nymha","bravo","alpha"
"afrika","vleika","amerika","looprika","africa","america"
"basketbal","schaketbal","amerikaans voetbal","ameriweter blavute","basketball","football"
"autopsie","augressie","analyse","vuurlyse","autopsy","analysis"
"verschrikking","varspridding","angst","ancat","horror","fear"
"antwoord","kliwoord","antwoorden","antbeelden","answer","reply"
"chip","zinp","apparaat","appastof","chip","device"
"huis","alis","appartement","apparteraars","house","apartment"
"ingenieur","ingenifoons","architect","archirall","engineer","architect"
"hand","hati","arm","umi","hand","arm"
"straffen","strafien","arresteren","arschetier","punish","arrest"
"onwetendheid","wekonheidwa","arrogantie","scraptorantie","ignorance","arrogance"
"cavalerie","cavalefoons","artillerie","archerslerie","cavalry","artillery"
"chirurg","chiwerp","arts","argu","surgeon","doctor"
"secretaris","secretamaakt","assistent","assiskwam","secretary","assistant"
"grote oceaan","torg osberdaan","atlantische oceaan","lantercet osberdaan","pacific","atlantic"
"omgeving","gemower","atmosfeer","atmoskof","environment","atmosphere"
"dichter","schetuur","schrijver","aunaar","poet","writer"
"voertuig","erectuig","auto","bijto","vehicle","car"
"nacht","narnt","avond","odond","night","evening"
"planeet","plakern","baan","lyan","planet","orbit"
"haar","habe","baard","snard","hair","beard"
"manager","manalist","baas","bado","manager","boss"
"douche","pische","badkamer","badkaring","shower","bathroom"
"orkest","arcool","band","baha","orchestra","band"
"club","clis","bar","har","club","bar"
"stadion","bloedion","honkbal","ohonklab","stadium","baseball"
"regiment","regicorp","bataljon","batalgrid","regiment","battalion"
"superman","superfect","batman","kilman","superman","batman"
"laten schrikken","nate rikken","beangstigen","beleefdstigen","scare","frighten"
"bank","bace","bed","cud","sofa","bed"
"slaaf","sloff","bediende","buwoerd","slave","servant"
"industrie","induhardt","bedrijf","bijlest","industry","business"
"begeleiden","begemaaktden","vergezellen","forgazellon","escort","accompany"
"graf","grok","begraafplaats","bargofploots","grave","cemetery"
"kist","tosk","begrafenis","beschikfenis","coffin","funeral"
"graven","disven","begraven","bereidven","dig","bury"
"realiseren","gihifmarelaser","begrijpen","berospten","realize","understand"
"feliciteren","felaceplats","begroeten","besnopten","congratulate","greet"
"therapie","theranaar","behandeling","behandejaars","therapy","treatment"
"vereist","verbein","behoefte","besparte","necessary","need"
"populair","popuchet","beroemd","bastemd","popular","famous"
"betekenis","beteketeerd","belang","bewond","meaning","importance"
"waardevol","zelfdevol","belangrijk","belangmans","valuable","important"
"belediging","beledineerd","beledigen","beleditisch","insult","offend"
"bankier","bannijd","belegger","begrijger","banker","investor"
"garantie","gaspectie","belofte","bequette","guarantee","promise"
"bonus","benoen","beloning","belobel","bonus","reward"
"moed","moxi","vastberadenheid","fustberondenhijd","courage","determination"
"klaar","kloor","bereiden","besoeden","ready","prepare"
"tellen","fallun","berekenen","berekelaars","count","calculate"
"heuvel","sidvel","berg","beso","hill","mountain"
"waarschuwing","warschukop","bericht","elebart","warning","message"
"stelen","chalen","beroven","beroprak","steal","rob"
"diefstal","bindstal","beroving","berogaan","theft","robbery"
"cultuur","nettuur","beschaving","bezoekving","culture","civilization"
"nederig","nadelaas","bescheiden","bedachtdon","humble","modest"
"profiel","probaal","beschrijving","beschrijgaan","profile","description"
"klacht","notacht","beschuldiging","betaldiging","complaint","accusation"
"lotsbestemming","hetdrow","bestemming","lafsbekomming","fate","destiny"
"passagier","passalans","bestuurder","bespreider","passenger","driver"
"bevestiging","bevestischer","bevestigen","beschiktigen","confirmation","confirm"
"smelten","aderten","bevriezen","belijdzen","melt","freeze"
"bewijsmateriaal","kewoesnateriool","bewijs","benier","evidence","proof"
"drankje","dragje","bier","bido","drink","beer"
"liefdadigheid","trinsdadiger","donatie","doneska","charity","donation"
"verzamelen","hofdzamelon","bijeenkomen","bijlichtkemon","collect","gather"
"steun","stubon","bijstand","derstand","support","assistance"
"buiten","winten","binnen","volnen","outside","inside"
