"es_cue","es_target","type","cue_type","target_type","es_cosine"
"ming","abadejo","related","word","word",0.150026421073934
"salir","abandonar","related","word","word",0.388653074043973
"espinal","abdominal","related","word","word",0.559094139236123
"beso","abrazo","related","word","word",0.753043969772915
"ridículo","absurdo","related","word","word",0.70364100441895
"abuelo","abuela","related","word","word",0.745065084356621
"incidente","accidente","related","word","word",0.597080919686046
"voz","acento","related","word","word",0.458633040885444
"rehusar","aceptar","related","word","word",0.574423943774328
"hormigón","acero","related","word","word",0.6110672055161
"escolta","acompañar","related","word","word",0.367999771373667
"consejo","aconsejar","related","word","word",0.43977395616434
"opinión","actitud","related","word","word",0.449027035266226
"desencadenar","activar","related","word","word",0.526176463371002
"activo","actividad","related","word","word",0.441750151807585
"autor","actor","related","word","word",0.419040076793978
"nuevo","actualizar","related","word","word",0.261677876016264
"gesto","actuar","related","word","word",0.199660160271783
"queja","acusación","related","word","word",0.400701563360057
"extra","adicional","related","word","word",0.673172032565411
"hola","adiós","related","word","word",0.51856744119469
"dios","adivinar","related","word","word",0.112921800493776
"administración","administrativo","related","word","word",0.602339877706256
"adolescente","adolescente","related","word","word",1
"hormona","adrenalina","related","word","word",0.578199336173516
"enemigo","adversario","related","word","word",0.621926202840498
"terminal","aeropuerto","related","word","word",0.491826275453774
"firma","agencia","related","word","word",0.347157160337021
"cómodo","agradable","related","word","word",0.454832751842429
"admirar","agradecer","related","word","word",0.409100498618014
"víctima","agresor","related","word","word",0.586907437337213
"grieta","agujero","related","word","word",0.57294607941942
"alerta","alarma","related","word","word",0.519231533190145
"alguacil","alcalde","related","word","word",0.579361605871738
"placer","alegría","related","word","word",0.457669541591437
"bravo","alfa","related","word","word",0.537637079847038
"piso","alfombra","related","word","word",0.42011822624332
"nada","algo","related","word","word",0.598620856522358
"seda","algodón","related","word","word",0.558704055865493
"en otra parte","algun lado","related","word","word",NA
"aquí","allí","related","word","word",0.700283331383079
"ronda","alrededor","related","word","word",0.188524189359498
"majestad","alteza","related","word","word",0.821828459680753
"peso","altura","related","word","word",0.462159779299109
"espejismo","alucinación","related","word","word",0.390171654983634
"suave","amable","related","word","word",0.426661363953404
"puesta de sol","amanecer","related","word","word",NA
"amante","amante","related","word","word",1
"rojo","amarillo","related","word","word",0.790445010328217
"áfrica","america","related","word","word",0.403819245173015
"colega","amigo","related","word","word",0.722339101421907
"relación","amistad","related","word","word",0.580304386307248
"cortés","amistoso","related","word","word",0.56328058302337
"odio","amor","related","word","word",0.392546489601178
"estrecho","amplio","related","word","word",0.459217866912083
"autopsia","análisis","related","word","word",0.56520868843499
"correr","andar","related","word","word",0.578218635623225
"bestia","animal","related","word","word",0.565875034888182
"apodo","apellido","related","word","word",0.484796006354918
"permiso","aprobación","related","word","word",0.507718105182258
"arbusto","árbol","related","word","word",0.657520739063351
"lodo","arena","related","word","word",0.54003535318864
"pistola","arma","related","word","word",0.815342701106716
"marina","armada","related","word","word",0.529527243885633
"blindaje","armadura","related","word","word",0.46642080595689
"gabinete","armario","related","word","word",0.485753903223449
"equilibrio","armonía","related","word","word",0.514343608465967
"ingeniero","arquitecto","related","word","word",0.582977563527654
"castigar","arrestar","related","word","word",0.501471566998962
"abajo","arriba","related","word","word",0.855572093602845
"ignorancia","arrogancia","related","word","word",0.612915118969551
"arsenal","arsenal","related","word","word",1
"vena","artería","related","word","word",0.510180317834662
"natural","artificial","related","word","word",0.488992430890554
"caballería","artillería","related","word","word",0.650661805533747
"suicidio","asesinato","related","word","word",0.551473769744629
"mercenario","asesino","related","word","word",0.379014905842136
"asesino","asesino","related","word","word",1
"apoyo","asistencia","related","word","word",0.528285336026357
"secretario","asistente","related","word","word",0.546136532216278
"sucio","asqueroso","related","word","word",0.733508264042649
"desagradable","asqueroso","related","word","word",0.619935219040376
"susto","asustar","related","word","word",0.349921709446966
"invasión","ataque","related","word","word",0.494280400720247
"pacífico","atlántico","related","word","word",0.295805166855967
"ambiente","atmósfera","related","word","word",0.551888365487038
"atención","atraer","related","word","word",0.500265587157988
"tomar","atrapar","related","word","word",0.207186786975435
"multitud","audiencia","related","word","word",0.43789647453779
"presencia","ausencia","related","word","word",0.524196686996213
"entrenar","autobús","related","word","word",0.115960651592758
"jurisdicción","autoridad","related","word","word",0.552160421114107
"hoy dia","ayer","related","word","word",NA
"ayuda","ayudar","related","word","word",0.583241408655081
"marrón","azul","related","word","word",0.685677177545977
"calibre","bala","related","word","word",0.503891973478325
"orquesta","banda","related","word","word",0.586516167102158
"ducha","baño","related","word","word",0.732584677841306
"club","bar","related","word","word",0.574669381343143
"caro","barato","related","word","word",0.703862267942718
"cabello","barba","related","word","word",0.562830955928791
"basura","basura","related","word","word",1
"guerra","batalla","related","word","word",0.641212830830955
"regimiento","batallón","related","word","word",0.751938840395553
"estadio","béisbol","related","word","word",0.484911198486749
"encanto","belleza","related","word","word",0.498381571596127
"bolsillo","billetera","related","word","word",0.599580609374245
"millón","billón","related","word","word",0.779124588835903
"química","biología","related","word","word",0.669006928955811
"químico","biológico","related","word","word",0.524111132232829
