"cue","target","cosine","fake_cue","fake_target"
"faire","fasse",0.645410122616232,"fairq","sasse"
"faire","refaire",0.555268481764831,"uaire","refaide"
"faire","fera",0.538200001326551,"fcire","feza"
"faire","fair",0.480363666000311,"faihe","fair"
"faire","effectuer",0.474681586957256,"waire","hffectuer"
"jamais","auparavant",0.541297364125277,"jaméis","auparavano"
"jamais","sitôt",0.443273804262542,"jamfis","sitôt"
"jamais","déjà",0.412148559644212,"jaxais","déjà"
"jamais","certainement",0.399440292036871,"jamris","cercainement"
"jamais","aussitôt",0.372187191390037,"jamwis","dussitôt"
"voir","revoir",0.558978056322329,"vozr","zevoir"
"voir","regarder",0.55457995061616,"vovr","rxgarder"
"voir","rencontrer",0.518959554152323,"voio","rencontoer"
"voir","montrer",0.496921992212978,"viir","môntrer"
"voir","constater",0.496750814158387,"vocr","constates"
"temps","moment",0.470286100393044,"tempb","momenu"
"temps","monde",0.370968052133259,"xemps","monée"
"temps","recul",0.367122008266228,"teyps","recur"
"temps","espace",0.366275729189064,"wemps","bspace"
"temps","bavarder",0.364656685856932,"tevps","éavarder"
"vie","carrière",0.516883332941539,"viè","carriète"
"vie","existence",0.478865267879814,"vle","enistence"
"vie","journée",0.436523404825481,"eie","journpe"
"vie","souffrance",0.432546929909297,"vig","souffrtnce"
"vie","vivre",0.426259901233208,"vée","vivée"
"besoin","envie",0.514787873484719,"bevoin","envee"
"besoin","besoins",0.489141560948217,"kesoin","bfsoins"
"besoin","faut",0.441465447005327,"besuin","éaut"
"besoin","falloir",0.419448468954617,"bezoin","folloir"
"besoin","marre",0.416197932704105,"bosoin","marze"
"vraiment","réellement",0.69754004751716,"vraiment","réelleoent"
"vraiment","terriblement",0.58396271420352,"vraument","têrriblement"
"vraiment","vachement",0.56433406742841,"vraimênt","vachdment"
"vraiment","foutrement",0.562587168399725,"veaiment","footrement"
"vraiment","sacrément",0.552842387594715,"vraimedt","sacréaent"
"faut","falloir",0.687754520503536,"ftut","falvoir"
"faut","préférable",0.446435711441557,"ftut","préfélable"
"faut","besoin",0.441465447005327,"faux","besvin"
"faut","devrai",0.41093447971933,"fant","devraw"
"faut","doive",0.393096366117053,"iaut","xoive"
"monde","pays",0.515889820168357,"çonde","éays"
"monde","univers",0.507281785922501,"moxde","unnvers"
"monde","royaume",0.42762031138739,"monoe","ruyaume"
"monde","chaos",0.41354789529733,"moéde","chaws"
"monde","village",0.404018596449353,"mondl","villawe"
"oui","ouais",0.836076145292613,"cui","ougis"
"oui","evidemment",0.669555840244978,"pui","evidemment"
"oui","bref",0.661845772267334,"ous","brev"
"oui","honnêtement",0.567711665249404,"ouq","honnêtemext"
"oui","apparemment",0.557697631261695,"lui","apparemdent"
"aller","emmener",0.697857349582541,"acler","ewmener"
"aller","retourner",0.654565371284263,"éller","retourney"
"aller","aille",0.647598472748999,"alzer","aylle"
"aller","emmèner",0.62043844149314,"aller","emmlner"
"aller","ailler",0.582965607205714,"apler","aiuler"
"femme","fille",0.741350404924555,"fnmme","sille"
"femme","épouse",0.619314330062307,"gemme","épouhe"
"femme","mari",0.604201567014264,"fpmme","mati"
