zh_cue,zh_target,type,cue_type,target_type,zh_cosine
实际,真的,related,word,word,0.549328823975712
钦佩,欣赏,related,word,word,0.893933682137328
特工,侦探,related,word,word,0.889838031816502
艾滋,hiv,related,word,word,0.564106736380062
空气,氧气,related,word,word,0.811813791417628
酒精,毒品,related,word,word,0.901832201627001
允许,准许,related,word,word,0.901248654797591
孤独,寂寞,related,word,word,0.653369770106662
已经,仍然,related,word,word,0.912059282224908
总是,一直,related,word,word,0.920828138052879
大使,部长,related,word,word,0.85790597516162
救护车,直升机,related,word,word,0.794063561325502
天使,魔鬼,related,word,word,0.937343217834177
匿名,无名,related,word,word,0.895911942865484
解药,疫苗,related,word,word,0.881819744096522
申请,采用,related,word,word,0.539421276382143
到达,过来,related,word,word,0.492480308582365
仿品,奖章,related,word,word,
诱人,迷人,related,word,word,0.92633763997225
作家,演员,related,word,word,0.80001413205584
签名,拍照,related,word,word,0.565039848729939
解剖,分析,related,word,word,0.788351633367467
香蕉,草莓,related,word,word,0.805251558070963
银行家,投资人,related,word,word,0.893022241618526
银行业,金融业,related,word,word,
海湾,港口,related,word,word,0.897614036051003
野兽,动物,related,word,word,0.864538191624186
蜜蜂,蚂蚁,related,word,word,0.811863044739373
诞生,怀孕,related,word,word,0.768742395242228
男孩们,女孩们,related,word,word,0.967825598912263
好极了,一级棒,related,word,word,0.676635458975289
公文包,手提箱,related,word,word,0.857808291507353
棕色,蓝色,related,word,word,0.884283940786123
船舱,甲板,related,word,word,0.828880460789467
口径,子弹,related,word,word,0.962286469682818
通话,电话,related,word,word,0.901974972524096
狂欢,节日,related,word,word,0.896475674399755
天主教,基督教,related,word,word,0.930012269432007
名人,巨星,related,word,word,0.825427139476304
水泥,塑料,related,word,word,0.75849297965687
冠军,斗士,related,word,word,0.802681756466981
校长,总统,related,word,word,0.833551641162589
变化,提升,related,word,word,0.856202299110901
频道,新闻,related,word,word,0.738295619862449
芯片,设备,related,word,word,0.762040782190258
圣诞,假期,related,word,word,0.891094382259409
打扫,清洗,related,word,word,0.907683738009464
清楚,明显,related,word,word,0.862482893218379
抹布,手帕,related,word,word,0.853602082473226
云朵,烟雾,related,word,word,0.593104004809998
教练,选手,related,word,word,0.756351333860193
煤炭,石油,related,word,word,0.727483477567259
棺材,葬礼,related,word,word,0.890475850142485
战斗,打架,related,word,word,0.9279151135168
舒适,愉快,related,word,word,0.909311589372203
指挥,命令,related,word,word,0.897732487914788
贸易,商业,related,word,word,0.878250417159576
竞赛,冠军,related,word,word,0.804948556346666
抱怨,指控,related,word,word,0.87941441850866
忧虑,担心,related,word,word,0.7239431094469
推论,假设,related,word,word,0.818070570078568
祝贺,欢迎,related,word,word,0.770284250681184
斟酌,思考,related,word,word,
构造,修建,related,word,word,0.847474581425016
包含,内容,related,word,word,0.634394496791532
控制,操纵,related,word,word,0.89964323976876
角落,胡同,related,word,word,0.882265697066379
数数,计算,related,word,word,0.833448473940154
掩盖,隐藏,related,word,word,
裂缝,洞穴,related,word,word,0.90141331186112
奶油,酱汁,related,word,word,0.895852049975568
创造,生产,related,word,word,0.901662783928039
创作,毁灭,related,word,word,0.911125792153209
关键的,政治的,related,word,word,
皇冠,王座,related,word,word,0.939860879346274
水流,电流,related,word,word,0.915101136526407
爸爸,妈妈,related,word,word,0.742068558539425
黑暗,光明,related,word,word,0.90574651446877
死亡,消失,related,word,word,0.80447737911489
体面,诚实,related,word,word,0.796861968313618
描述,表达,related,word,word,0.79390464500243
沙漠,山谷,related,word,word,0.867430459671716
欲望,心愿,related,word,word,0.946426795822485
恶心,丑陋,related,word,word,0.817454843113313
距离,速度,related,word,word,0.822885303932321
怀疑,猜想,related,word,word,0.893398481817627
下,上,related,word,word,0.660418303146379
巨龙,狮子,related,word,word,0.732108537773371
戏剧,浪漫,related,word,word,0.907612758532498
滴,啜,related,word,word,0.732891699859951
地震,爆炸,related,word,word,0.869275833365539
别处,某地,related,word,word,0.843891721534803
使馆,部委,related,word,word,
结尾,完毕,related,word,word,0.650227094522933
足够,充分,related,word,word,0.692925784857282
进入,走出,related,word,word,0.963357253886659
信封,包裹,related,word,word,0.89918054298729
无穷,永远,related,word,word,0.638228139905391
邪恶,残忍,related,word,word,0.934249721793962
检验,调查,related,word,word,0.801269802646995
优秀,伟大,related,word,word,0.962451435146368
极其,非常,related,word,word,0.556882719603708
工厂,生产,related,word,word,0.92709176176802
虚假,错误,related,word,word,
农民,工人,related,word,word,0.945373156371052
联邦,政府,related,word,word,0.920176267951096
忠诚,奉献,related,word,word,0.819937611584844
金融,投资,related,word,word,0.863624612291738
公司,机构,related,word,word,0.877092077319999
第一,最后,related,word,word,0.517309268092479
旗帜,符号,related,word,word,0.793874743505622
流感,疾病,related,word,word,0.930652665908916
跟随,追赶,related,word,word,0.920567161290634
原谅,借口,related,word,word,0.90050761599853
饶恕,仁慈,related,word,word,0.812740933049168
表格,签名,related,word,word,0.607228225963618
获得,取胜,related,word,word,0.885443763014077
天才,科学家,related,word,word,0.746096124462162
手势,动作,related,word,word,0.573212536178633
眼镜,帽子,related,word,word,0.90062300611641
上帝,神圣,related,word,word,0.574448692333842
抓住,捉住,related,word,word,0.679364453305222
外孙,侄子,related,word,word,0.589757339194392
感激,谢谢,related,word,word,0.757312650045997
绿色,橙色,related,word,word,0.873577748345092
手掌,胳膊,related,word,word,0.933850112779761
绞刑,处决,related,word,word,0.723702527016675
健康,教育,related,word,word,0.78724882559779
健康,正常,related,word,word,0.883352048902181
审讯,诉讼,related,word,word,0.931978628129531
你好,再见,related,word,word,0.480120544453742
帮忙,协助,related,word,word,0.686197169271187
这里,那儿,related,word,word,0.748818516638233
遗产,继承,related,word,word,0.779269871306605
英雄,救主,related,word,word,0.831607933330849
聘请,租赁,related,word,word,
抓住,保持,related,word,word,0.721607345808387
蜜糖,黄油,related,word,word,0.776807819299556
希望,信仰,related,word,word,0.819438707400411
恐怖,害怕,related,word,word,0.873148029124497
打猎,钓鱼,related,word,word,0.883205983848833
错觉,幻觉,related,word,word,0.872892033980979
印象,感觉,related,word,word,0.891978221039096
工业,商业,related,word,word,0.909763536351513
冤屈,不公,related,word,word,
国际,世界,related,word,word,0.910982791001388
吉普,卡车,related,word,word,0.921073958212803
刚才,最近,related,word,word,0.875221067370657
着陆,起飞,related,word,word,0.869469636298527
图书馆,博物馆,related,word,word,0.936318222286778
电闪,雷鸣,related,word,word,0.886915400335006
液体,流质,related,word,word,
很少,很小,related,word,word,0.926521061382808
锁定,关闭,related,word,word,0.902039181543662
看见,手表,related,word,word,0.827545719271302
主人,夫人,related,word,word,0.806848022861674
输家,胜者,related,word,word,0.952975149446815
低,高,related,word,word,0.796835549570757
忠心,诚实,related,word,word,0.894334504585718
魔法,巫师,related,word,word,0.86691797607168
磁的,电的,related,word,word,
邮件,传真,related,word,word,0.855474370055015
制作,做到,related,word,word,0.651069153948672
经理,老板,related,word,word,0.747069575873609
男子,人类,related,word,word,0.83903686437319
火星,金星,related,word,word,0.901239274178448
物质,粒子,related,word,word,0.895074390338965
可能,大概,related,word,word,0.717976439242211
意义,重要,related,word,word,0.844999388847645
医疗的,心理的,related,word,word,
英里,厘米,related,word,word,0.931913648185203
牛奶,果汁,related,word,word,0.917415089133948
百万,十亿,related,word,word,0.86633476905284
明,凌,related,word,word,0.764958207888799
现代,传统,related,word,word,0.947236250744059
移动,转移,related,word,word,0.801070564532792
天真,愚蠢,related,word,word,0.880141872990403
姓名,称号,related,word,word,0.544704761741004
国家,全球,related,word,word,0.875294324322937
近处,远方,related,word,word,
必要,需要,related,word,word,0.902778453356898
巢,蛋,related,word,word,0.925141943408329
绝不,曾经,related,word,word,0.838867023849109
美好,可爱,related,word,word,0.873761738112695
忍者,武士,related,word,word,0.874698418593314
崇高,勇敢,related,word,word,0.734894422500661
一般,通常,related,word,word,0.734443081075779
没有,某物,related,word,word,0.506774047277917
十一月,十二月,related,word,word,0.949339206100904
现在,知道,related,word,word,0.395421319538062
观察,评估,related,word,word,0.826537704519879
提供,给予,related,word,word,0.684669486061608
好的,是的,related,word,word,0.555524028730856
苍老,年轻,related,word,word,
一,三,related,word,word,0.774655994802897
打开,关闭,related,word,word,0.866848096647512
开端,结尾,related,word,word,0.780635654932277
操作,手术,related,word,word,0.909269640865148
观点,看法,related,word,word,0.865514444288779
乐观,切实,related,word,word,0.960287248853268
管弦,乐队,related,word,word,
平常,通常,related,word,word,0.671937105142769
原件,副本,related,word,word,
外边,周围,related,word,word,0.908795897903157
外部,里面,related,word,word,0.580293325982576
绘画,素描,related,word,word,0.931220672494213
天堂,地狱,related,word,word,0.90531304704288
偏执,疯狂,related,word,word,0.887006380548491
国会,议院,related,word,word,0.940030667968177
患者,客户,related,word,word,0.92733312602635
私人,个人,related,word,word,0.716711245253557
现象,事件,related,word,word,0.819046512926934
哲学,宗教,related,word,word,0.678995900739958
物理,数学,related,word,word,0.845125828624726
野餐,露营,related,word,word,0.904889642063672
手枪,武器,related,word,word,0.862374155342283
地点,位置,related,word,word,0.819803000091715
行星,轨道,related,word,word,0.928065006935797
花花公子,杂志,related,word,word,0.836646976150538
加法,减法,related,word,word,0.895053097279214
指出,表明,related,word,word,0.90637289342786
毒害,杀死,related,word,word,
政策,政治家,related,word,word,0.940771645702499
族群,大众,related,word,word,0.946353793055155
入口,大门,related,word,word,0.926048951399785
准备,计划,related,word,word,0.808676846292345
漂亮,美丽,related,word,word,0.864349134066301
猎物,猎手,related,word,word,0.92376288103112
可能,大概,related,word,word,0.717976439242211
进步,发展,related,word,word,0.849009918929155
项目,程序,related,word,word,0.880616570937688
财产,物主,related,word,word,
自豪,兴奋,related,word,word,0.881395907519151
酒吧,餐厅,related,word,word,0.946603275968253
脉冲,压力,related,word,word,0.965343032703865
惩治,逮捕,related,word,word,
质疑,询问,related,word,word,0.400033311436638
种族主义,共产主义,related,word,word,0.903106244095452
阅读,写作,related,word,word,0.676269442562737
原因,理由,related,word,word,0.869519986091989
承认,知道,related,word,word,0.614640714391024
难民,逃犯,related,word,word,0.828696439208943
亲戚,表哥,related,word,word,0.897224823618753
替换,取代,related,word,word,0.673732100679875
报告,通知,related,word,word,0.794318945864424
尊重,信任,related,word,word,0.833665754094504
责任,义务,related,word,word,0.889378355958989
休息,睡觉,related,word,word,0.878139568880718
揭晓,眼光,related,word,word,
韵律,风格,related,word,word,0.920396375162557
右边,左边,related,word,word,0.914654077264726
风险,危险,related,word,word,0.748852800155159
道路,高速,related,word,word,0.911426136832207
转圈,围绕,related,word,word,0.804497560314395
皇室,王国,related,word,word,0.943663443003376
规则,协议,related,word,word,0.80179812788685
朗姆酒,白兰地,related,word,word,0.966997566512214
伤心,悲惨,related,word,word,0.920993745942135
周六,周日,related,word,word,0.886171661982753
说出,告诉,related,word,word,
抓破,挫伤,related,word,word,
屏幕,监控,related,word,word,0.868084581212246
片刻,分钟,related,word,word,0.781513554644299
秘密,谜团,related,word,word,0.856249744976126
