"word_id","first","original_pair","second","syll","original_freq","replacement_pair","replacement_syll","replacement_freq","freq_diff","char_diff","letter_diff","original_word","replacement_word"
640,"lut","lut-last_blank","last_blank",3,3,"marn-last_blank","marn",3,0,1,1,"absolut","absomarn"
186,"first_blank","first_blank-äd","äd",1,9,"first_blank-ss","ss",9,0,0,1,"ädel","ssel"
623,"ni","ni-stre","stre",5,2,"ni-towocs","towocs",1,1,2,1,"administrering","adminitowocsring"
441,"kat","kat-last_blank","last_blank",3,180,"ling-last_blank","ling",190,10,1,1,"advokat","advoling"
767,"fär","fär-last_blank","last_blank",2,28,"lys-last_blank","lys",28,0,0,1,"affär","aflys"
405,"first_blank","first_blank-af","af",3,102,"first_blank-döds","döds",105,3,2,1,"afrika","dödsrika"
4,"ai","ai-ds","ds",1,1,"ai-gh","gh",1,0,0,1,"aids","aigh"
343,"skaps","skaps-skill","skill",5,1,"skaps-testet","testet",1,0,1,1,"äktenskapsskillnad","äktenskapstestetnad"
430,"first_blank","first_blank-ak","ak",3,105,"first_blank-döds","döds",105,0,2,1,"aktiva","dödstiva"
660,"bum","bum-last_blank","last_blank",2,4,"rir-last_blank","rir",4,0,0,1,"album","alrir"
183,"first_blank","first_blank-ald","ald",2,3,"first_blank-döp","döp",3,0,0,1,"aldrig","döprig"
6,"hol","hol-last_blank","last_blank",3,4,"hol-lingsworth","lingsworth",1,3,0,6,"alkohol","alkohollingsworth"
332,"first_blank","first_blank-all","all",2,46,"first_blank-ner","ner",46,0,0,1,"allmän","nermän"
10,"first_blank","first_blank-all","all",2,46,"first_blank-fär","fär",46,0,0,1,"alltid","färtid"
387,"first_blank","first_blank-ama","ama",2,33,"first_blank-fas","fas",33,0,0,1,"amatör","fastör"
93,"bas","bas-sad","sad",3,1,"bas-kern","kern",1,0,1,1,"ambassad","ambaskern"
11,"sa","sa-dör","dör",4,1,"sa-royan","royan",1,0,2,1,"ambassadör","ambassaroyan"
12,"lans","lans-last_blank","last_blank",3,23,"film-last_blank","film",23,0,0,1,"ambulans","ambufilm"
951,"first_blank","first_blank-ana","ana",4,47,"first_blank-hjärt","hjärt",42,5,2,1,"analytiker","hjärtlytiker"
992,"an","an-ar","ar",3,7,"an-lägg","lägg",7,0,2,1,"anarki","anläggki"
967,"ana","ana-to","to",3,10,"kryp-to","kryp",10,0,1,1,"anatomi","kryptomi"
770,"mål","mål-last_blank","last_blank",3,42,"blem-last_blank","blem",42,0,1,1,"ändamål","ändablem"
263,"first_blank","first_blank-and","and",2,35,"first_blank-she","she",35,0,0,1,"andra","shera"
13,"first_blank","first_blank-äng","äng",2,16,"first_blank-rek","rek",16,0,0,1,"ängel","rekel"
354,"an","an-in","in",1,1,"rr-in","rr",1,0,0,1,"aning","rring"
317,"än","än-ka","ka",2,1,"zoo-ka","zoo",1,0,1,1,"änka","zooka"
889,"an","an-ka","ka",3,6,"stic-ka","stic",6,0,2,1,"ankare","stickare"
528,"an","an-komst","komst",2,3,"an-tipsy","tipsy",3,0,0,2,"ankomst","antipsy"
17,"an","an-län","län",3,4,"an-ders","ders",4,0,1,1,"anlända","andersda"
240,"led","led-ning","ning",3,50,"led-värk","värk",1,49,0,1,"anledning","anledvärk"
14,"nym","nym-last_blank","last_blank",2,4,"raj-last_blank","raj",4,0,0,1,"anonym","anoraj"
80,"an","an-stän","stän",3,6,"an-märk","märk",6,0,0,1,"anständig","anmärkdig"
247,"svar","svar-last_blank","last_blank",2,6,"tral-last_blank","tral",6,0,0,1,"ansvar","antral"
310,"vänd","vänd-bar","bar",3,3,"rykt-bar","rykt",2,1,0,1,"användbar","anryktbar"
813,"ap","ap-a","a",1,1,"iy-a","iy",1,0,0,1,"apa","iya"
745,"first_blank","first_blank-äpp","äpp",2,5,"first_blank-boc","boc",5,0,0,1,"äpple","bocle"
975,"first_blank","first_blank-are","are",2,7,"first_blank-oor","oor",7,0,0,1,"arena","oorna"
453,"de","de-last_blank","last_blank",4,3908,"de-ståndskrav","ståndskrav",1,3907,0,6,"århundrade","århundradeståndskrav"
663,"first_blank","first_blank-års","års",2,30,"first_blank-ame","ame",30,0,0,1,"årsdag","amedag"
989,"nal","nal-last_blank","last_blank",3,61,"sion-last_blank","sion",61,0,1,1,"arsenal","arsesion"
18,"fakt","fakt-last_blank","last_blank",3,1,"sync-last_blank","sync",1,0,0,1,"artefakt","artesync"
662,"ar","ar-tig","tig",2,6,"ar-gen","gen",6,0,0,1,"artig","argen"
487,"kel","kel-last_blank","last_blank",3,73,"löst-last_blank","löst",70,3,1,1,"artikel","artilöst"
134,"ar","ar-v","v",1,4,"ju-v","ju",2,2,0,1,"arv","juv"
199,"ik","ik-t","t",1,10,"ät-t","ät",10,0,0,1,"åsikt","åsätt"
500,"as","as-ka","ka",2,1,"bot-ka","bot",1,0,1,1,"aska","botka"
711,"ås","ås-na","na",2,1,"gen-na","gen",1,0,1,1,"åsna","genna"
725,"first_blank","first_blank-aspi","aspi",2,6,"first_blank-svim","svim",6,0,0,1,"aspirin","svimrin"
675,"naut","naut-last_blank","last_blank",3,3,"frey-last_blank","frey",3,0,0,1,"astronaut","astrofrey"
895,"om","om-last_blank","last_blank",1,48,"gs-last_blank","gs",48,0,0,1,"atom","atgs"
19,"at","at-trak","trak",3,10,"at-lant","lant",2,8,0,1,"attraktiv","atlanttiv"
666,"first_blank","first_blank-auk","auk",2,21,"first_blank-ras","ras",21,0,0,1,"auktion","rastion"
21,"graf","graf-last_blank","last_blank",3,10,"hopp-last_blank","hopp",10,0,0,1,"autograf","autohopp"
938,"stag","stag-last_blank","last_blank",3,1,"pott-last_blank","pott",1,0,0,1,"av misstag","av mispott"
738,"av","av-bry","bry",3,3,"av-unds","unds",3,0,1,1,"avbryta","avundsta"
502,"first_blank","first_blank-ave","ave",2,5,"first_blank-nik","nik",5,0,0,1,"aveny","nikny"
548,"av","av-fall","fall",2,1,"av-hjäl","hjäl",1,0,0,1,"avfall","avhjäl"
958,"gång","gång-last_blank","last_blank",2,43,"mans-last_blank","mans",42,1,0,1,"avgång","avmans"
608,"first_blank","first_blank-ax","ax",2,20,"first_blank-iso","iso",20,0,1,1,"axel","isoel"
817,"lans","lans-last_blank","last_blank",2,23,"gast-last_blank","gast",23,0,0,1,"balans","bagast"
23,"nan","nan-last_blank","last_blank",2,182,"ley-last_blank","ley",174,8,0,1,"banan","baley"
25,"nk","nk-last_blank","last_blank",1,44,"ls-last_blank","ls",44,0,0,1,"bank","bals"
24,"bank","bank-man","man",2,2,"täck-man","täck",2,0,0,1,"bankman","täckman"
148,"first_blank","first_blank-ba","ba",2,440,"first_blank-kon","kon",455,15,1,1,"bara","konra"
123,"barn","barn-barn","barn",2,1,"barn-pass","pass",1,0,0,1,"barnbarn","barnpass"
976,"barn","barn-hem","hem",2,3,"barn-för","för",3,0,0,1,"barnhem","barnför"
756,"ron","ron-last_blank","last_blank",2,51,"her-last_blank","her",51,0,0,1,"baron","baher"
903,"ba","ba-s","s",1,2,"vt-s","vt",2,0,0,1,"bas","vts"
