"word_id","first","original_pair","second","syll","original_freq","replacement_pair","replacement_syll","replacement_freq","freq_diff","char_diff","letter_diff","original_word","replacement_word"
133,"first_blank","first_blank-dv","dv",1,4,"first_blank-nέ","nέ",4,0,0,1,"dvd","nέd"
778,"first_blank","first_blank-nin","nin",2,3,"first_blank-smi","smi",3,0,0,1,"ninja","smija"
314,"first_blank","first_blank-uf","uf",1,3,"first_blank-nο","nο",3,0,0,1,"ufo","nοo"
252,"first_blank","first_blank-άβ","άβ",1,15,"first_blank-ke","ke",15,0,0,1,"άβολος","keολος"
209,"άγ","άγ-γε","γε",1,12,"άγ-ου","ου",12,0,0,1,"άγγελος","άγουλος"
157,"γλ","γλ-ικ","ικ",1,12,"γλ-υτ","υτ",12,0,0,1,"αγγλικά","αγγλυτά"
980,"ελ","ελ-άδ","άδ",1,9,"ελ-ής","ής",9,0,0,1,"αγελάδα","αγελήςα"
131,"αγ","αγ-ια","ια",1,11,"τσ-ια","τσ",11,0,0,1,"αγια γραφη","τσια γραφη"
648,"first_blank","first_blank-άγ","άγ",1,94,"first_blank-ξυ","ξυ",94,0,0,1,"άγκυρα","ξυκυρα"
23,"άγ","άγ-νο","νο",1,3,"ύπ-νο","ύπ",3,0,0,1,"άγνοια","ύπνοια"
469,"αγ","αγ-όγ","όγ",1,1,"αγ-χό","χό",1,0,0,1,"αγόγγια","αγχόγια"
729,"ορ","ορ-ά","ά",1,15,"αλ-ά","αλ",14,1,0,1,"αγορά","αγαλά"
347,"αγ","αγ-ρό","ρό",1,7,"πε-ρό","πε",7,0,0,1,"αγρότης","περότης"
260,"first_blank","first_blank-άδ","άδ",1,34,"first_blank-οξ","οξ",34,0,0,1,"άδεια","οξεια"
162,"ει","ει-άζ","άζ",1,22,"ιρ-άζ","ιρ",22,0,0,1,"αδειάζω","αδιράζω"
10,"ελ","ελ-φή","φή",1,2,"ελ-αϊ","αϊ",2,0,0,1,"αδελφή","αδελαϊ"
11,"ικ","ικ-ία","ία",1,12,"ικ-ερ","ερ",12,0,0,1,"αδικία","αδικερ"
46,"αμ","αμ-ία","ία",1,7,"ηρ-ία","ηρ",7,0,0,1,"αδυναμία","αδυνηρία"
41,"ύν","ύν-ατ","ατ",1,10,"ώτ-ατ","ώτ",10,0,0,1,"αδύνατο","αδώτατο"
621,"first_blank","first_blank-αέ","αέ",1,7,"first_blank-οθ","οθ",7,0,0,1,"αέρας","οθρας"
439,"first_blank","first_blank-αέ","αέ",1,7,"first_blank-er","er",7,0,0,1,"αέριο","erριο"
58,"first_blank","first_blank-άθ","άθ",1,33,"first_blank-na","na",33,0,0,1,"άθλιος","naλιος"
727,"ρο","ρο-ισ","ισ",1,1,"ρο-άτ","άτ",1,0,0,1,"άθροισμα","άθροάτμα"
304,"αθ","αθ-ώο","ώο",1,5,"αθ-ει","ει",5,0,0,1,"αθώος","αθεις"
635,"first_blank","first_blank-αί","αί",1,35,"first_blank-οφ","οφ",35,0,0,1,"αίμα","οφμα"
722,"first_blank","first_blank-αι","αι",1,313,"first_blank-κυ","κυ",313,0,0,1,"αισθητήρας","κυσθητήρας"
772,"όδ","όδ-οξ","οξ",1,8,"όδ-ωρ","ωρ",8,0,0,1,"αισιόδοξος","αισιόδωρος"
200,"αι","αι-ών","ών",1,24,"στ-ών","στ",24,0,0,1,"αιώνας","στώνας"
171,"ών","ών-ιο","ιο",1,5,"όμ-ιο","όμ",5,0,0,1,"αιώνιος","αιόμιος"
484,"θη","θη-στ","στ",1,3,"οα-στ","οα",3,0,0,1,"ακολουθηστε","ακολουοαστε"
20,"ού","ού-ω","ω",1,3,"σχ-ω","σχ",3,0,0,1,"ακούω","ακσχω"
