"word_id","first","original_pair","second","syll","original_freq","replacement_pair","replacement_syll","replacement_freq","freq_diff","char_diff","letter_diff","original_word","replacement_word"
24,"ecia","ecia-last_blank","last_blank",3,1,"prus-last_blank","prus",1,0,0,1,"a aprecia","a aprprus"
81,"age","age-last_blank","last_blank",3,1,"ombs-last_blank","ombs",1,0,1,1,"a atrage","a atrombs"
222,"first_blank","first_blank-a co","a co",3,1,"first_blank-spil","spil",1,0,0,1,"a confirma","spilnfirma"
7,"first_blank","first_blank-a d","a d",3,1,"first_blank-dhan","dhan",1,0,1,1,"a desena","dhanesena"
759,"ege","ege-last_blank","last_blank",4,1,"slist-last_blank","slist",1,0,2,1,"a intelege","a intelslist"
889,"first_blank","first_blank-a ","a ",1,1,"first_blank-bd","bd",1,0,0,1,"a muri","bdmuri"
398,"stra","stra-last_blank","last_blank",2,1,"soni-last_blank","soni",1,0,0,1,"a pastra","a pasoni"
461,"eda","eda-last_blank","last_blank",2,1,"ppu-last_blank","ppu",1,0,0,1,"a preda","a prppu"
371,"egati","egati-last_blank","last_blank",2,1,"netti-last_blank","netti",1,0,0,1,"a pregati","a prnetti"
457,"une","une-last_blank","last_blank",2,1,"rís-last_blank","rís",1,0,0,1,"a pune","a prís"
995,"first_blank","first_blank-a r","a r",2,1,"first_blank-kum","kum",1,0,0,1,"a rade","kumade"
21,"usi","usi-last_blank","last_blank",3,1,"wnya-last_blank","wnya",1,0,1,1,"a reusi","a rewnya"
784,"sta","sta-last_blank","last_blank",3,7,"mers-last_blank","mers",7,0,1,1,"a rezista","a rezimers"
12,"first_blank","first_blank-a ","a ",1,1,"first_blank-ľi","ľi",1,0,0,1,"a sari","ľisari"
802,"ăia","ăia-last_blank","last_blank",2,1,"guy-last_blank","guy",1,0,0,1,"a tăia","a tguy"
914,"ura","ura-last_blank","last_blank",3,1,"gesh-last_blank","gesh",1,0,1,1,"a zbura","a zbgesh"
655,"don","don-last_blank","last_blank",2,41,"ght-last_blank","ght",41,0,0,1,"abandon","abanght"
867,"mi","mi-nal","nal",4,6,"mi-siuni","siuni",3,3,2,1,"abdominal","abdomisiuni"
151,"first_blank","first_blank-abi","abi",4,21,"first_blank-stran","stran",22,1,2,1,"abilitate","stranlitate"
614,"first_blank","first_blank-abor","abor",3,17,"first_blank-chan","chan",17,0,0,1,"abordare","chandare"
708,"ab","ab-sen","sen",3,5,"ab-bott","bott",1,4,1,1,"absența","abbottța"
283,"vent","vent-last_blank","last_blank",3,9,"niți-last_blank","niți",9,0,0,1,"absolvent","absolniți"
786,"surd","surd-last_blank","last_blank",2,1,"gled-last_blank","gled",1,0,0,1,"absurd","abgled"
