target_word_unique,word_combo_related,cue_word_related,word_combo_unrelated,cue_word_unrelated
त्यौहार,मेलात्यौहार,मेला,दौड़नात्यौहार,दौड़ना
परिमाप,त्रिज्यापरिमाप,त्रिज्या,आशावादीपरिमाप,आशावादी
जानबूझ कर,अकस्मातजानबूझ कर,अकस्मात,पुलजानबूझ कर,पुल
गैर जिम्मेदार,अकारणगैर जिम्मेदार,अकारण,मंचगैर जिम्मेदार,मंच
अकेला,अकेलेअकेला,अकेले,अंतरराष्ट्रीयअकेला,अंतरराष्ट्रीय
वास्तव में,अक्षरशःवास्तव में,अक्षरशः,सामनेवास्तव में,सामने
लड़ाई का मैदान,अखाड़ालड़ाई का मैदान,अखाड़ा,बूढालड़ाई का मैदान,बूढा
फ्रांसीसी,अंग्रेज़ीफ्रांसीसी,अंग्रेज़ी,दाहिनेफ्रांसीसी,दाहिने
अप्रत्याशित रूप से,अचानक सेअप्रत्याशित रूप से,अचानक से,फ़ाइलअप्रत्याशित रूप से,फ़ाइल
खराब,अच्छाखराब,अच्छा,षड़यंत्रखराब,षड़यंत्र
प्यारा,अच्छाप्यारा,अच्छा,वृत्तप्यारा,वृत्त
सिंह,ड्रैगनसिंह,ड्रैगन,मांगसिंह,मांग
अभिमान,अज्ञानअभिमान,अज्ञान,छल्ला/घेराअभिमान,छल्ला/घेरा
दुनिया,अंतरराष्ट्रीयदुनिया,अंतरराष्ट्रीय,सीमेंटदुनिया,सीमेंट
पायलट,अंतरिक्ष यात्रीपायलट,अंतरिक्ष यात्री,सीज़रपायलट,सीज़र
आपातकालीन,अति आवश्यकआपातकालीन,अति आवश्यक,नमूनाआपातकालीन,नमूना
महान,अति उत्कृष्टमहान,अति उत्कृष्ट,मंगल ग्रहमहान,मंगल ग्रह
परम,अंतिमपरम,अंतिम,सदस्यपरम,सदस्य
बैटमैन,अतिमानवबैटमैन,अतिमानव,विश्रामबैटमैन,विश्राम
अतिरिक्त,अधिकअतिरिक्त,अधिक,भ्रमअतिरिक्त,भ्रम
बहुत,अत्यंतबहुत,अत्यंत,धकेलनाबहुत,धकेलना
बाहरी,अंदर काबाहरी,अंदर का,कॉलबाहरी,कॉल
बहरा,अंधाबहरा,अंधा,आजादीबहरा,आजादी
भारी,अधिक वज़नदारभारी,अधिक वज़नदार,कलहंसभारी,कलहंस
रोशनी,अंधेरारोशनी,अंधेरा,विचार करनारोशनी,विचार करना
लिखना,पाठलिखना,पाठ,फायदालिखना,फायदा
आटा,अनाजआटा,अनाज,चुपआटा,चुप
बेवकूफ,अनाड़ीबेवकूफ,अनाड़ी,कांचबेवकूफ,कांच
निंदक,अनाड़ीनिंदक,अनाड़ी,अनुमतिनिंदक,अनुमति
कान्वेंट,अनाथालयकान्वेंट,अनाथालय,झूठकान्वेंट,झूठ
अनजान,अनामअनजान,अनाम,आकारअनजान,आकार
समझौता,अनुबंधसमझौता,अनुबंध,पौधासमझौता,पौधा
ज्ञान,अनुभवज्ञान,अनुभव,जीपज्ञान,जीप
अनुच्छेद,अनुभागअनुच्छेद,अनुभाग,आभारीअनुच्छेद,आभारी
होने देना,अनुमतिहोने देना,अनुमति,परतहोने देना,परत
अनुमोदन,अनुमतिअनुमोदन,अनुमति,आवाज़अनुमोदन,आवाज़
संगत करना,अनुरक्षणसंगत करना,अनुरक्षण,कब्रसंगत करना,कब्र
पढाई,अनुसंधानपढाई,अनुसंधान,सायापढाई,साया
अनुचित,अन्यायअनुचित,अन्याय,ढालअनुचित,ढाल
कष्ट पहुंचाना,अपमानकष्ट पहुंचाना,अपमान,प्रथमकष्ट पहुंचाना,प्रथम
उदारवादी,अपरिवर्तनवादीउदारवादी,अपरिवर्तनवादी,पतिउदारवादी,पति
अपहरण,अपहरण करनाअपहरण,अपहरण करना,ट्रॉफीअपहरण,ट्रॉफी
अमेरिका,अफ्रीकाअमेरिका,अफ्रीका,लंगरअमेरिका,लंगर
चुनाव,अभियानचुनाव,अभियान,फ़्लूचुनाव,फ़्लू
रिकॉर्डिंग,अभिलेखरिकॉर्डिंग,अभिलेख,फैशनेबलरिकॉर्डिंग,फैशनेबल
जानना,अभीजानना,अभी,कार्यजानना,कार्य
हाल ही में,अभी - अभीहाल ही में,अभी - अभी,ज़ोंबीहाल ही में,ज़ोंबी
व्यायाम,अभ्यासव्यायाम,अभ्यास,अभिलेखव्यायाम,अभिलेख
पूंजीवाद,अराजकतापूंजीवाद,अराजकता,मार्गपूंजीवाद,मार्ग
महत्त्व,अर्थमहत्त्व,अर्थ,दाईमहत्त्व,दाई
पैरानॉर्मल,अलौकिकपैरानॉर्मल,अलौकिक,मांपैरानॉर्मल,मां
उड़ान,अवतरणउड़ान,अवतरण,बढ़तउड़ान,बढ़त
मूल्यांकन,अवलोकनमूल्यांकन,अवलोकन,चुननामूल्यांकन,चुनना
अवधि,अवस्थाअवधि,अवस्था,बंदरअवधि,बंदर
कानूनी,अवैधकानूनी,अवैध,लाओकानूनी,लाओ
उलझन,अव्यवस्थाउलझन,अव्यवस्था,केबलउलझन,केबल
आसान,असंभवआसान,असंभव,सिनेमाआसान,सिनेमा
असमर्थ,असमर्थताअसमर्थ,असमर्थता,सूखाअसमर्थ,सूखा
कल्पना,असलियतकल्पना,असलियत,गिरोहकल्पना,गिरोह
उत्कृष्ट,असाधारणउत्कृष्ट,असाधारण,अतिमानवउत्कृष्ट,अतिमानव
अनोखा,असामान्यअनोखा,असामान्य,हीराअनोखा,हीरा
अप्रिय,असुविधाजनकअप्रिय,असुविधाजनक,आनाअप्रिय,आना
क्लिनिक,अस्पतालक्लिनिक,अस्पताल,डाक टिकटक्लिनिक,डाक टिकट
