fr_cue,fr_target,type,cue_type,target_type,fr_cosine
confortable,agréable,related,word,word,0.56153841185006
extérieur,intérieur,related,word,word,0.767217017049474
chic,élégant,related,word,word,0.618089647621719
maintenant,connaître,related,word,word,0.19333758125599
abeille,fourmi,related,word,word,0.52499457384056
accidentellement,intentionnellement,related,word,word,0.549733495120296
réception,fête,related,word,word,0.575095911115431
acheter,vendre,related,word,word,0.693497581152787
actif,activité,related,word,word,0.472190341969602
admettre,avouer,related,word,word,0.721573151013603
administration,gouvernement,related,word,word,0.570435843905131
admirer,apprécier,related,word,word,0.538379415747653
adn,empreinte,related,word,word,0.596149130660484
adolescence,adolescent,related,word,word,0.693674130575531
adulte,parent,related,word,word,0.431707052211934
spectacle,performance,related,word,word,0.4235649053588
afrique,amérique,related,word,word,0.683319187682728
agent,détective,related,word,word,0.440121322154326
mignon,beau,related,word,word,0.514612099343477
aider,assister,related,word,word,0.415021396879072
aiguille,seringue,related,word,word,0.654715045101364
ail,oignon,related,word,word,0.621424595142479
ailleurs,endroit,related,word,word,0.381724740519739
air,oxygène,related,word,word,0.312210591352462
album,chanson,related,word,word,0.487919424795007
alerte,alarme,related,word,word,0.536876783007217
alimentation,manger,related,word,word,0.286806255535721
aliments,repas,related,word,word,0.403040154995977
amateur,professionnel,related,word,word,0.559772898633295
ambassade,ministère,related,word,word,0.473172585578407
ambassadeur,ministre,related,word,word,0.524025774129445
ambulance,hélicoptère,related,word,word,0.465264942950806
âme,esprit,related,word,word,0.511812685732389
analyste,enquêteur,related,word,word,0.483230090571795
anarchie,capitalisme,related,word,word,0.483808338515398
anatomie,psychologie,related,word,word,0.451070706652492
ancre,naviguer,related,word,word,0.372773843662841
âne,cheval,related,word,word,0.560254710503269
ange,diable,related,word,word,0.424511401971976
anglais,français,related,word,word,0.802505330667652
anniversaire,naissance,related,word,word,0.359537315043638
anonyme,inconnu,related,word,word,0.390801573868354
antidote,vaccin,related,word,word,0.630102758914034
caméra,microphone,related,word,word,0.478165864194953
appel,téléphone,related,word,word,0.426363212713768
appliquer,utiliser,related,word,word,0.427240123749121
apporter,envoyer,related,word,word,0.454526142870587
apprendre,enseigner,related,word,word,0.660541193482116
araignée,insecte,related,word,word,0.601109964213656
arène,combat,related,word,word,0.427873813059771
reculer,retourner,related,word,word,0.323209308074053
arrivée,départ,related,word,word,0.522630722770019
arriver,venir,related,word,word,0.398387558638712
arsenal,armurerie,related,word,word,0.472768063313323
art,littérature,related,word,word,0.522336119462196
artéfact,médaillon,related,word,word,0.391405947770931
article,journal,related,word,word,0.565885088744
artiste,peintre,related,word,word,0.697449634357503
aspirine,morphine,related,word,word,0.54306748580508
assez,suffisant,related,word,word,0.4941286699915
astronaute,pilote,related,word,word,0.558269339726464
atelier,garage,related,word,word,0.508148365046125
atomique,nucléaire,related,word,word,0.607767290398879
attendre,espérer,related,word,word,0.537212222083814
attention,attirer,related,word,word,0.549036387298311
alerte,message,related,word,word,0.263358792774749
attractif,charmant,related,word,word,0.349640100230519
littéralement,pratiquement,related,word,word,0.561360122126634
audience,procès,related,word,word,0.516407096540678
augmenter,réduire,related,word,word,0.613356788027788
aujourd'hui,hier,related,word,word,
