ar_target,ar_cue,ar_fake_cue,ar_fake_target,en_cue,en_target
آلة,إنسان آلي,إنساكتآلي,تحة,robot,machine
أحجية,سر,ـي,سأجية,secret,mystery
أخ,يا صديق,ياطفديق,ـذ,dude,bro
أداء,يعرض,يعفت,لغاء,show,performance
أداة,أداة,اساة,أدمي,tool,instrument
أذن,عين,جدن,يهن,eye,ear
أربعة,اثنين,طينين,أريئة,two,four
أرعب,فزع,ظƒع,أرأي,scare,frighten
أرنب,فوكس,اركس,أردف,fox,rabbit
أزرق,بني,تدي,زارق,brown,blue
أساسي,بيشوب,بيتلب,أسعتي,bishop,cardinal
أسبوع,شهر,تلر,أسئلع,month,week
أسبوعي,اليومي,الخيمي,أسئلعي,daily,weekly
أسد,التنين,الاكين,نهد,dragon,lion
أسطورة,خرافة,خروجة,أسيارة,myth,legend
أسلحة,ارسنال,ارطلال,أسعبة,arsenal,armory
أسود,أبيض,قايض,راود,white,black
أسير,رهينة,لاينة,قرير,hostage,prisoner
أطلق النار,اطلاق النار,رجلاق النار,أطلقربلنار,shot,shoot
أعرف,حاليا,ثوليا,أعمك,now,know
أعلى,أدنى,أدام,أعجا,lower,upper
أعلى,أسفل,أستج,أعجا,down,up
أغنية,ألبوم,ألونم,تينية,album,song
أقصى,الحد الأدنى,الحد الأعزى,أقظا,minimum,maximum
ألفا,أحسنت,أحخلت,ألوى,bravo,alpha
ألفت,رسم,عوم,ألحا,paint,draw
أمانة,وفاء,نحاء,يدانة,loyalty,honesty
أمريكا,أفريقيا,لاريقيا,أمريرس,africa,america
أمير,أميرة,لنيرة,لنير,princess,prince
أنانية,عنيد,زايد,نتانية,stubborn,selfish
أنثى,الذكر,النجر,أنخد,male,female
أنفق,يضيع,نظيع,أنطر,waste,spend
أنيق,الموضة,الموعا,أنوا,fashionable,elegant
أهمية,المعنى,المعزو,تامية,meaning,importance
أوتوبيس,قطار,يمار,سنتوبيس,train,bus
أي وقت مضى,أبدا,سعدا,أينفقت مضى,never,ever
أيتها الملازم,شاويش,إدويش,أيتهوثالملازم,sergeant,lieutenant
إبداع,خيال,رفال,إبنتع,imagination,creativity
إبهام,اصبع اليد,اصبعضلليد,إبقدم,finger,thumb
إجراء,معالجة,معاليز,ببراء,process,procedure
إخلاص,الاخلاص,السجلاص,حالاص,fidelity,devotion
إداري,إدارة,صوارة,فجاري,management,administrative
إرجاع,الى الخلف,السةالخلف,غاجاع,back,return
إرسال,احضر,احسع,ستسال,bring,send
إزالة,استبعد,اسباعد,طحالة,eliminate,remove
إزعاج,قاطع,قااث,إزانج,interrupt,disturb
إستراتيجية,خطة,لثة,إستركهيجية,plan,strategy
إشارة,شكل,إفل,قطارة,form,sign
إشعاع,تلوث اشعاعى,تلائ اشعاعى,قطعاع,contamination,radiation
إصابة,جرح,قيح,سجابة,wound,injury
