"word_id","first","original_pair","second","syll","original_freq","replacement_pair","replacement_syll","replacement_freq","freq_diff","char_diff","letter_diff","original_word","replacement_word"
605,"ting","ting-last_blank","last_blank",3,3,"book-last_blank","book",2,1,0,1,"digusting","digusbook"
241,"first_blank","first_blank-dv","dv",1,2,"first_blank-רר","רר",2,0,0,1,"dvd","ררd"
239,"lock","lock-last_blank","last_blank",2,1,"koit-last_blank","koit",1,0,0,1,"sherlock","sherkoit"
2,"first_blank","first_blank-א ","א ",1,1,"first_blank-בf","בf",1,0,0,1,"א ב  א","בfב  א"
841,"first_blank","first_blank-א ","א ",1,1,"first_blank-כף","כף",1,0,0,1,"א דו ם","כףדו ם"
154,"first_blank","first_blank-א ","א ",1,1,"first_blank-tc","tc",1,0,0,1,"א דו ן","tcדו ן"
197,"first_blank","first_blank-א ","א ",1,1,"first_blank-עה","עה",1,0,0,1,"א זה ר ה","עהזה ר ה"
31,"א ","א -זו","זו",1,1,"סו-זו","סו",1,0,0,1,"א זו ר","סוזו ר"
652,"א ","א -זו","זו",1,1,"סו-זו","סו",1,0,0,1,"א זו ר י","סוזו ר י"
838," י"," י-last_blank","last_blank",1,1,"jt-last_blank","jt",1,0,0,1,"א זר ח י","א זר חjt"
269,"first_blank","first_blank-א ","א ",1,1,"first_blank-סף","סף",1,0,0,1,"א ח ר יו ת","סףח ר יו ת"
34,"first_blank","first_blank-א ","א ",1,1,"first_blank-tw","tw",1,0,0,1,"א חו ת","twחו ת"
172,"first_blank","first_blank-א ","א ",1,1,"first_blank-zs","zs",1,0,0,1,"א טו מ י","zsטו מ י"
575," י"," י-last_blank","last_blank",1,1,"סז-last_blank","סז",1,0,0,1,"א יד א ל י","א יד א לסז"
47,"first_blank","first_blank-א ","א ",1,1,"first_blank-ln","ln",1,0,0,1,"א ירו נ י ה","lnירו נ י ה"
51,"first_blank","first_blank-א ","א ",1,1,"first_blank-כף","כף",1,0,0,1,"א כ ז ר י","כףכ ז ר י"
935,"first_blank","first_blank-א ","א ",1,1,"first_blank-צץ","צץ",1,0,0,1,"א לב ו ם","צץלב ו ם"
454," ף"," ף-last_blank","last_blank",1,1,"iq-last_blank","iq",1,0,0,1,"א לו ף","א לוiq"
87,"first_blank","first_blank-א ","א ",1,1,"first_blank-נם","נם",1,0,0,1,"א למ נ ה","נםלמ נ ה"
9,"first_blank","first_blank-א ","א ",1,1,"first_blank-ot","ot",1,0,0,1,"א מ א","otמ א"
629,"first_blank","first_blank-א ","א ",1,1,"first_blank-ים","ים",1,0,0,1,"א מב ו ל נס","יםמב ו ל נס"
817," ה"," ה-last_blank","last_blank",1,1,"tr-last_blank","tr",1,0,0,1,"א נ טו מ י ה","א נ טו מ יtr"
878,"first_blank","first_blank-א ","א ",1,1,"first_blank-ום","ום",1,0,0,1,"א נ רכ י ה","וםנ רכ י ה"
818,"first_blank","first_blank-א ","א ",1,1,"first_blank-cf","cf",1,0,0,1,"א נד רט ה","cfנד רט ה"
317,"first_blank","first_blank-א ","א ",1,1,"first_blank-שך","שך",1,0,0,1,"א סטרו נ או ט","שךסטרו נ או ט"
573,"first_blank","first_blank-א ","א ",1,1,"first_blank-שף","שף",1,0,0,1,"א ספ  יר ין","שףספ  יר ין"
12,"פ ","פ -ר","ר",1,1,"חמ-ר","חמ",1,0,0,1,"א פ ר","א חמר"
64,"first_blank","first_blank-א ","א ",1,1,"first_blank-רם","רם",1,0,0,1,"א פ ר יק ה","רםפ ר יק ה"
62,"first_blank","first_blank-א ","א ",1,1,"first_blank-עף","עף",1,0,0,1,"א צ יל י","עףצ יל י"
14,"  ","  -ע","ע",1,1,"ןי-ע","ןי",1,0,0,1,"א צב  ע","א צבןיע"
119,"first_blank","first_blank-א ","א ",1,1,"first_blank-כץ","כץ",1,0,0,1,"א צט דיו ן","כץצט דיו ן"
717,"first_blank","first_blank-א ","א ",1,1,"first_blank-fp","fp",1,0,0,1,"א ק ד ח","fpק ד ח"
