target_word_unique,word_combo_related,word_combo_unrelated,cue_word_related,cue_word_unrelated
آلة,أداةآلة,أخيراآلة,أداة,أخيرا
آلة.1,إنسان آليآلة,يلمعآلة,إنسان آلي,يلمع
أب,أمأب,جنةأب,أم,جنة
أبدا,قطأبدا,السكرأبدا,قط,السكر
أحد الوالدين,بالغأحد الوالدين,غداأحد الوالدين,بالغ,غدا
أخ,صديقأخ,فوضىأخ,صديق,فوضى
أخبار,قناةأخبار,قليلأخبار,قناة,قليل
أداء,عرضأداء,عنصريأداء,عرض,عنصري
أذن,عينأذن,سخيفأذن,عين,سخيف
أربعة,اثنينأربعة,بطلأربعة,اثنين,بطل
أرنب,ثعلبأرنب,ناديأرنب,ثعلب,نادي
أزرق,بنيأزرق,أملأزرق,بني,أمل
أزمة,حالةأزمة,المستشعرأزمة,حالة,المستشعر
أساسي,ثانويأساسي,رجلأساسي,ثانوي,رجل
أسبوع,شهرأسبوع,ساذجأسبوع,شهر,ساذج
أسبوعي,يوميأسبوعي,تاجأسبوعي,يومي,تاج
أسد,تنينأسد,مطالبةأسد,تنين,مطالبة
أسطورة,خرافةأسطورة,تعافيأسطورة,خرافة,تعافي
أسطول,البحريةأسطول,خيالأسطول,البحرية,خيال
أسلوب,طريقةأسلوب,ضحيةأسلوب,طريقة,ضحية
أسود,أبيضأسود,اتصالأسود,أبيض,اتصال
أسير,رهينةأسير,نميمةأسير,رهينة,نميمة
أطلق النار,اطلاق النارأطلق النار,الشفرةأطلق النار,اطلاق النار,الشفرة
أغنية,ألبومأغنية,سعةأغنية,ألبوم,سعة
أقصى,أخيرأقصى,جنرال لواءأقصى,أخير,جنرال لواء
أقصى.1,الحد الأدنىأقصى,عضوأقصى,الحد الأدنى,عضو
ألفا,أحسنتألفا,صناعةألفا,أحسنت,صناعة
أمانة,وفاءأمانة,تلأمانة,وفاء,تل
أمبراطور,الإمبراطوريأمبراطور,القمريأمبراطور,الإمبراطوري,القمري
أمريكا,أفريقياأمريكا,مرساةأمريكا,أفريقيا,مرساة
أمير,أميرةأمير,تقويمأمير,أميرة,تقويم
أناني,عنيدأناني,حديدأناني,عنيد,حديد
أنثى,ذكرأنثى,تحطيمأنثى,ذكر,تحطيم
أنف,فمأنف,وحشأنف,فم,وحش
أهمية,معنىأهمية,مربيةأهمية,معنى,مربية
إبداع,خيالإبداع,إبرةإبداع,خيال,إبرة
إبهام,اصبع اليدإبهام,جلالةإبهام,اصبع اليد,جلالة
إثبات,دليلإثبات,الى ابعد حدإثبات,دليل,الى ابعد حد
إجازة,كريسماسإجازة,يرغبإجازة,كريسماس,يرغب
إجراء,معالجةإجراء,حارإجراء,معالجة,حار
إخلاص,عبادةإخلاص,لصإخلاص,عبادة,لص
إداري,إدارةإداري,ماذا او ماإداري,إدارة,ماذا او ما
إرجاع,الى الخلفإرجاع,بطريق الخطأإرجاع,الى الخلف,بطريق الخطأ
إستراتيجية,خطةإستراتيجية,حانةإستراتيجية,خطة,حانة
إشعاع,تلوثإشعاع,صف دراسيإشعاع,تلوث,صف دراسي
إصابة,جرحإصابة,أدغالإصابة,جرح,أدغال
