"word_id","first","original_pair","second","syll","original_freq","replacement_pair","replacement_syll","replacement_freq","freq_diff","char_diff","letter_diff","original_word","replacement_word"
28,"first_blank","first_blank-dn","dn",1,1,"first_blank-كچ","كچ",1,0,0,1,"dna","كچa"
182,"first_blank","first_blank-uf","uf",1,1,"first_blank-هع","هع",1,0,0,1,"ufo","هعo"
576,"آت","آت-ش","ش",1,1,"او-ش","او",1,0,0,1,"آتش","اوش"
670,"رب","رب-ا","ا",1,5,"فی-ا","فی",5,0,0,1,"آدم ربا","آدم فیا"
447,"رب","رب-ای","ای",1,2,"رب-يک","يک",2,0,0,1,"آدم ربایی","آدم ربيکی"
35,"م ","م -سا","سا",1,1,"هح-سا","هح",1,0,0,1,"آدم ساده","آدهحساده"
445,"اد","اد-ان","ان",1,4,"زی-ان","زی",4,0,0,1,"آزادانه","آززیانه"
419,"first_blank","first_blank-آز","آز",1,162,"first_blank-زا","زا",162,0,0,1,"آزادی","زاادی"
910,"پر","پر-ین","ین",1,11,"نب-ین","نب",11,0,0,1,"آسپرین","آسنبین"
13,"ما","ما-ن","ن",1,89,"لي-ن","لي",89,0,0,1,"آسمان","آسلين"
802,"first_blank","first_blank-آش","آش",1,174,"first_blank-تل","تل",174,0,0,1,"آشوب","تلوب"
241,"first_blank","first_blank-آل","آل",1,255,"first_blank-خر","خر",255,0,0,1,"آلبوم","خربوم"
223,"ود","ود-گی","گی",1,2,"ود-یت","یت",2,0,0,1,"آلودگی","آلودیت"
17,"first_blank","first_blank-آم","آم",1,287,"first_blank-دی","دی",288,1,0,1,"آماده","دیاده"
141,"اد","اد-ه ","ه ",1,1,"اد-کي","کي",1,0,0,1,"آماده سازی","آمادکيسازی"
462,"آن","آن-ات","ات",1,4,"آن-فل","فل",4,0,0,1,"آناتومی","آنفلومی"
865,"آن","آن-فو","فو",1,4,"آن-ژي","ژي",4,0,0,1,"آنفولانزا","آنژيلانزا"
528,"در","در-یج","یج",1,2,"در-تر","تر",2,0,0,1,"آهسته. تدریجی","آهسته. تدرتری"
776,"first_blank","first_blank-آی","آی",1,78,"first_blank-دک","دک",78,0,0,1,"آینده","دکنده"
222,"اب","اب-دی","دی",1,4,"اب-یت","یت",4,0,0,1,"ابدی","ابیت"
903,"first_blank","first_blank-اب","اب",1,191,"first_blank-مج","مج",191,0,0,1,"ابر","مجر"
207,"اب","اب-ری","ری",1,9,"اب-ته","ته",9,0,0,1,"ابریشم","ابتهشم"
20,"first_blank","first_blank-اب","اب",1,191,"first_blank-مج","مج",191,0,0,1,"ابزار","مجزار"
22,"اق","اق-last_blank","last_blank",1,40,"زت-last_blank","زت",40,0,0,1,"اتاق","اتزت"
