"sk_cue","sk_fake_cue","sk_target","sk_fake_target","en_cue","en_target"
"diplom","publom","absolvent","absoljach","diploma","graduate"
"nezmyselný","nezentný","absurdný","aboporný","ridiculous","absurd"
"manažment","fliržment","administratíva","čerinistratíva","management","administrative"
"hormón","horort","adrenalín","adrenapchám","hormone","adrenaline"
"číslo","prulo","adresa","adrezerv","number","address"
"firma","hlima","agentúra","zvyktúra","firm","agency"
"spustiť","spvať","aktivovať","aktivotrieď","trigger","activate"
"upozorniť","uposkloniť","alarm","alrem","alert","alarm"
"bravo","forvo","alfa","alvíš","bravo","alpha"
"motív","mokaš","alibi","trebi","motive","alibi"
"afrika","opusrika","amerika","techrica","africa","america"
"pitva","idiva","analýza","scholýza","autopsy","analysis"
"inžinier","inžistúp","architekt","archilong","engineer","architect"
"légia","léňom","armáda","arškanda","legion","army"
"nevedomosť","nevedochvíľ","arogancia","zvlágancia","ignorance","arrogance"
"arzenál","arzehľad","zbrojnica","vidica","arsenal","armory"
"žilka","šovka","tepna","tepeka","vein","artery"
"tajomník","taslušník","asistent","asisvedz","secretary","assistant"
"pacifický","paciorkský","atlantický","atlanorkský","pacific","atlantic"
"prostredie","prohvezdie","atmosféra","atmovnutra","environment","atmosphere"
"vozidlo","voksvelo","auto","aušie","vehicle","car"
"vlak","vlčuk","autobus","automont","train","bus"
"dedko","bunko","babička","bazmeška","grandfather","grandmother"
"toast","toasog","slanina","slamar","toast","bacon"
"obálka","trolka","balík","balevant","envelope","package"
"klub","klie","bar","lkar","club","bar"
"štadión","roztdión","baseball","basesiek","stadium","baseball"
"text","teoi","báseň","báňaš","text","poem"
"hodváb","hodip","bavlna","baprizna","silk","cotton"
"zbytočný","srantočný","bezcenný","bezslušný","useless","worthless"
"bezradný","bezramptný","bezmocný","bezstupný","helpless","powerless"
"zabezpečenie","zatriapečenie","bezpečnosť","bezpečskej","security","safety"
"chémia","pismia","biológia","opuslógia","chemistry","biology"
"chemický","zdramický","biologický","strážlogický","chemical","biological"
"vojna","ktona","bitka","ubyka","war","battle"
"paranoidný","paranoštrukčný","šialený","šiaplonivý","paranoid","crazy"
