"word_id","first","original_pair","second","syll","original_freq","replacement_pair","replacement_syll","replacement_freq","freq_diff","char_diff","letter_diff","original_word","replacement_word"
994,"nal","nal-last_blank","last_blank",4,67,"stisk-last_blank","stisk",57,10,2,1,"abdominal","abdomistisk"
809,"surd","surd-last_blank","last_blank",2,1,"kvæd-last_blank","kvæd",1,0,0,1,"absurd","abkvæd"
898,"cent","cent-last_blank","last_blank",2,14,"neys-last_blank","neys",14,0,0,1,"accent","acneys"
686,"cep","cep-te","te",4,5,"forag-te","forag",5,0,2,1,"acceptere","acforagtere"
515,"gangs","gangs-ko","ko",4,4,"komst-ko","komst",4,0,0,1,"adgangskode","adkomstkode"
953,"ve","ve-last_blank","last_blank",6,450,"ve-lasquez","lasquez",1,449,3,1,"administrative","administrativelasquez"
793,"first_blank","first_blank-adre","adre",3,7,"first_blank-flug","flug",7,0,0,1,"adrenalin","flugnalin"
409,"first_blank","first_blank-adres","adres",2,8,"first_blank-stræk","stræk",8,0,0,2,"adresse","strækse"
182,"æg","æg-last_blank","last_blank",1,9,"vy-last_blank","vy",8,1,0,1,"æg","vy"
302,"first_blank","first_blank-æg","æg",2,65,"first_blank-sol","sol",65,0,1,1,"ægte","solte"
343,"te","te-skab","skab",3,2,"te-borg","borg",2,0,0,1,"ægteskab","ægteborg"
705,"ær","ær-e","e",1,1,"ca-e","ca",1,0,0,1,"ære","cae"
80,"ær","ær-lig","lig",2,5,"ær-ger","ger",4,1,0,1,"ærlig","ærger"
159,"ær","ær-lig","lig",3,5,"ær-bart","bart",1,4,1,1,"ærlighed","ærbarthed"
908,"af","af-fald","fald",2,1,"af-skyd","skyd",1,0,0,1,"affald","afskyd"
528,"af","af-gang","gang",2,3,"af-hent","hent",3,0,0,1,"afgang","afhent"
884,"af","af-pres","pres",3,11,"af-spær","spær",12,1,0,1,"afpresse","afspærse"
958,"di","di-gel","gel",5,9,"di-strikt","strikt",11,2,3,1,"afskedigelse","afskedistriktse"
94,"slut","slut-last_blank","last_blank",2,4,"sign-last_blank","sign",4,0,0,1,"afslut","afsign"
816,"snit","snit-last_blank","last_blank",2,7,"mart-last_blank","mart",7,0,0,1,"afsnit","afmart"
478,"af","af-ta","ta",3,22,"af-slut","slut",20,2,2,1,"aftale","afslutle"
407,"ten","ten-last_blank","last_blank",2,707,"ske-last_blank","ske",716,9,0,1,"aften","afske"
871,"ti","ti-ver","ver",3,23,"ti-digt","digt",6,17,1,1,"aktiver","aktidigt"
430,"vi","vi-tet","tet",4,21,"vi-sions","sions",4,17,2,1,"aktivitet","aktivisions"
821,"first_blank","first_blank-alar","alar",2,8,"first_blank-krav","krav",8,0,0,1,"alarmer","kravmer"
31,"fa","fa-last_blank","last_blank",2,17,"kus-last_blank","kus",17,0,1,1,"alfa","alkus"
818,"first_blank","first_blank-ali","ali",2,20,"first_blank-duk","duk",20,0,0,1,"alibi","dukbi"
307,"first_blank","first_blank-ali","ali",2,20,"first_blank-uop","uop",20,0,0,1,"alien","uopen"
405,"first_blank","first_blank-ame","ame",3,24,"first_blank-kryp","kryp",24,0,1,1,"amerika","kryprika"
22,"first_blank","first_blank-ana","ana",3,48,"first_blank-rets","rets",48,0,1,1,"analyse","retslyse"
890,"an","an-d","d",1,28,"de-d","de",11,17,0,1,"and","ded"
466,"ån","ån-d","d",1,4,"el-d","el",4,0,0,1,"ånd","eld"
221,"an","an-gi","gi",3,15,"an-stal","stal",6,9,2,1,"angive","anstalve"
534,"greb","greb-last_blank","last_blank",2,37,"chef-last_blank","chef",37,0,0,1,"angreb","anchef"
800,"an","an-gri","gri",3,7,"an-skaf","skaf",6,1,1,1,"angriber","anskafber"
