target_word_unique,word_combo_related,word_combo_unrelated,cue_word_related,cue_word_unrelated
אבא,אמאאבא,גן עדןאבא,אמא,גן עדן
אבא.1,דודאבא,מתרחשאבא,דוד,מתרחש
אבטיפוס,דגםאבטיפוס,חטיףאבטיפוס,דגם,חטיף
אבן,סלעאבן,תא נוסעיםאבן,סלע,תא נוסעים
אבסורדי,מגוחךאבסורדי,קטשופאבסורדי,מגוחך,קטשופ
אבק,אפראבק,נהראבק,אפר,נהר
אגדה,מיתוסאגדה,להחליםאגדה,מיתוס,להחלים
אגודל,אצבעאגודל,הוד מעלתואגודל,אצבע,הוד מעלתו
אגם,נהראגם,סידרהאגם,נהר,סידרה
אדמיניסטרטיבי,הנהלהאדמיניסטרטיבי,מהאדמיניסטרטיבי,הנהלה,מה
אדריכל,מהנדסאדריכל,עדיןאדריכל,מהנדס,עדין
אדרנלין,הורמוןאדרנלין,לצבועאדרנלין,הורמון,לצבוע
אהבה,שנאהאהבה,טריאהבה,שנאה,טרי
אוגדה,יחידהאוגדה,נרתיקאוגדה,יחידה,נרתיק
אווירה,סביבהאווירה,בעל ערךאווירה,סביבה,בעל ערך
אוזן,עיןאוזן,מגוחךאוזן,עין,מגוחך
אוטובוס,רכבתאוטובוס,נכדאוטובוס,רכבת,נכד
אומה,מדינהאומה,מספיקאומה,מדינה,מספיק
אומללות,עוניאומללות,ארוחת ערבאומללות,עוני,ארוחת ערב
אוניברסיטה,מכללהאוניברסיטה,בלתי אפשריאוניברסיטה,מכללה,בלתי אפשרי
אוקטובר,ספטמבראוקטובר,נוגדןאוקטובר,ספטמבר,נוגדן
אוקיינוס,יםאוקיינוס,פרופילאוקיינוס,ים,פרופיל
אור,חושךאור,תחתוןאור,חושך,תחתון
אורך,גודלאורך,עצהאורך,גודל,עצה
אות,תדראות,התאבדותאות,תדר,התאבדות
אזור,מחוזאזור,הורגאזור,מחוז,הורג
אזעקה,דרוךאזעקה,בורותאזעקה,דרוך,בורות
אח,אחותאח,הערהאח,אחות,הערה
אחי,גבראחי,אי סדראחי,גבר,אי סדר
אחיין,נכדאחיין,אזרחיאחיין,נכד,אזרחי
אחרון,סופיאחרון,ימיןאחרון,סופי,ימין
אחרון.1,ראשוןאחרון,קןאחרון,ראשון,קן
אי פעם,לעולם לאאי פעם,סוכראי פעם,לעולם לא,סוכר
אי שם,במקום אחראי שם,גנבהאי שם,במקום אחר,גנבה
אידיוט,טיפשאידיוט,תליהאידיוט,טיפש,תליה
איוורור,שסתוםאיוורור,רשמיתאיוורור,שסתום,רשמית
איידס,חוֹלִיאיידס,סבלנותאיידס,חוֹלִי,סבלנות
איכות,כמותאיכות,מבחינה כספיתאיכות,כמות,מבחינה כספית
אימפריה,שושלתאימפריה,הפתעהאימפריה,שושלת,הפתעה
אינטואיציה,אינסטינקטאינטואיציה,מסחריאינטואיציה,אינסטינקט,מסחרי
אינטימי,אישיאינטימי,קילואינטימי,אישי,קילו
אינטליגנטי,חכםאינטליגנטי,בובהאינטליגנטי,חכם,בובה
אירוני,אירוניהאירוני,תבואהאירוני,אירוניה,תבואה
אירוע,תופעהאירוע,לא נכוןאירוע,תופעה,לא נכון
אישה,בעלאישה,דגלאישה,בעל,דגל
אישור,בדיקהאישור,פתיחהאישור,בדיקה,פתיחה
אישיות,אופיאישיות,עיווראישיות,אופי,עיוור
אכזבה,הפתעהאכזבה,חומראכזבה,הפתעה,חומר
אכזרי,ברוטליאכזרי,טכנולוגיהאכזרי,ברוטלי,טכנולוגיה
אכזריות,רשעאכזריות,יוניאכזריות,רשע,יוני
אלגנטי,אופנתיאלגנטי,ריקאלגנטי,אופנתי,ריק
אלוהי,אלוהיםאלוהי,קיץאלוהי,אלוהים,קיץ
אלוף משנה,גנרלאלוף משנה,סתירהאלוף משנה,גנרל,סתירה
אליבי,מניעאליבי,לא סביראליבי,מניע,לא סביר
אליפות,תחרותאליפות,אחותאליפות,תחרות,אחות
אלמנט,גורםאלמנט,מיליונראלמנט,גורם,מיליונר
אלפא,הידדאלפא,תעשייהאלפא,הידד,תעשייה
אמא,אבאאמא,פולחןאמא,אבא,פולחן
אמון,כבודאמון,מיוחדאמון,כבוד,מיוחד
אמונה,תקווהאמונה,רכבאמונה,תקווה,רכב
אמיץ,אציליאמיץ,טופסאמיץ,אצילי,טופס
אמיתי,נכוןאמיתי,טעםאמיתי,נכון,טעם
אמריקה,אפריקהאמריקה,עוגןאמריקה,אפריקה,עוגן
אנוכי,עקשןאנוכי,ברזלאנוכי,עקשן,ברזל
אנליזה,נתיחהאנליזה,בטחוןאנליזה,נתיחה,בטחון
אנרגיה,כוחאנרגיה,טבחאנרגיה,כוח,טבח
אנשים,אוכלוסיהאנשים,מלכודתאנשים,אוכלוסיה,מלכודת
אסטרטגיה,לתכנןאסטרטגיה,פאבאסטרטגיה,לתכנן,פאב
אסיר,בן ערובהאסיר,רכילותאסיר,בן ערובה,רכילות
אף,פהאף,חיהאף,פה,חיה
אפל,צלאפל,רעבאפל,צל,רעב
אפשרות,בחירהאפשרות,עשןאפשרות,בחירה,עשן
אפשרות.1,,פהאפשרות,,פה
אקדח,רובהאקדח,רובאקדח,רובה,רוב
ארבעה,שתייםארבעה,אלוףארבעה,שתיים,אלוף
ארוחה,מזוןארוחה,מערבארוחה,מזון,מערב
ארוחת בוקר,ארוחת ערבארוחת בוקר,רשעארוחת בוקר,ארוחת ערב,רשע
ארוחת צהריים,חטיףארוחת צהריים,כוכב לכתארוחת צהריים,חטיף,כוכב לכת
ארוך,קצרארוך,להמלטארוך,קצר,להמלט
ארון,שידהארון,אנרכיהארון,שידה,אנרכיה
ארטילריה,חיל פרשיםארטילריה,גדולארטילריה,חיל פרשים,גדול
אריה,דרקוןאריה,רגילאריה,דרקון,רגיל
ארנב,שועלארנב,רדיוארנב,שועל,רדיו
ארנק,כיסארנק,הרעישארנק,כיס,הרעיש
אשה,אלמנהאשה,חלק עליוןאשה,אלמנה,חלק עליון
אשם,חף מפשעאשם,תפוח אדמהאשם,חף מפשע,תפוח אדמה
אשף,קסםאשף,להטביעאשף,קסם,להטביע
אתגר,מכשולאתגר,אינטרנטאתגר,מכשול,אינטרנט
אתמול,היוםאתמול,לבלועאתמול,היום,לבלוע
באופן ישיר,ישרבאופן ישיר,מרגשבאופן ישיר,ישר,מרגש
באופן כללי,מטבע הדבריםבאופן כללי,רוחבאופן כללי,מטבע הדברים,רוח
באטמן,סופרמןבאטמן,מנוחהבאטמן,סופרמן,מנוחה
באמת,למעשהבאמת,חזיתבאמת,למעשה,חזית
בדיחה,טריקבדיחה,ידבדיחה,טריק,יד
בדיקה,בחינהבדיקה,אומץבדיקה,בחינה,אומץ
בדיקה.1,כמוסהבדיקה,עניבדיקה,כמוסה,עני
בדרך כלל,באופן נורמליבדרך כלל,לאחדבדרך כלל,באופן נורמלי,לאחד
בדרך כלל.1,רגילבדרך כלל,רובוטבדרך כלל,רגיל,רובוט
בהיר,זוהרבהיר,ספהבהיר,זוהר,ספה
בהתנדבות,מתנדבבהתנדבות,פתחבהתנדבות,מתנדב,פתח
בוגד,מרגלבוגד,רכבתבוגד,מרגל,רכבת
בוגר,תעודהבוגר,מחסן נשקבוגר,תעודה,מחסן נשק
בודד,לבדבודד,דרישהבודד,לבד,דרישה
בוחר,מועמדבוחר,מהנדסבוחר,מועמד,מהנדס
בוס,מנהלבוס,שרשרתבוס,מנהל,שרשרת
