"word_combo","th_cue","th_target","type","cue_type","target_type","th_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"กฎชุดกรสว่าง","กฎ","ชุดกรสว่าง","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กฎภรรยาของขุนนาง","กฎ","ภรรยาของขุนนาง","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กฎมาตรการ","กฎ","มาตรการ","related","word","word",0.273277464579077,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กฏชาติความมั่งคั่ง","กฏชาติ","ความมั่งคั่ง","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กฏชาติลาดบอล","กฏชาติ","ลาดบอล","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กฏหมายการเดนข้า","กฏหมาย","การเดนข้า","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กฏหมายรัฐธรรมนูญ","กฏหมาย","รัฐธรรมนูญ","related","word","word",0.388721952690211,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กฏหมายวัยเด็ก","กฏหมาย","วัยเด็ก","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กบกิ้งก่า","กบ","กิ้งก่า","related","word","word",0.34061292925725,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กบลำพหลอน","กบ","ลำพหลอน","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กบห้องนอน","กบ","ห้องนอน","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กรรมประธาน","กรรม","ประธาน","related","word","word",0.284692342081893,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กรรมละครตลก","กรรม","ละครตลก","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กรรมสมลก","กรรม","สมลก","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กรรมสิทธิ์ขึหนัก","กรรมสิทธิ์","ขึหนัก","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กรรมสิทธิ์จากสวรรค์","กรรมสิทธิ์","จากสวรรค์","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กรรมสิทธิ์เจ้าของ","กรรมสิทธิ์","เจ้าของ","related","word","word",0.396124531927846,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กรรมาพ่อค้า","กรรมา","พ่อค้า","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กรรมาอารันนิษฐาน","กรรมา","อารันนิษฐาน","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กรรวิเคราะห์กลวิธี","กรรวิเคราะห์","กลวิธี","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กรรวิเคราะห์ขอนนอ","กรรวิเคราะห์","ขอนนอ","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"กระดาษความื่น","กระดาษ","ความื่น","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
