"de_cue","de_target","de_fake_target","de_fake_cue","en_cue","en_target"
"abendessen","frühstück","kranstück","briefessen","dinner","breakfast"
"abfall","ausgeben","ausgefähr","abstei","waste","spend"
"absolut","vollständig","hausständig","absobill","absolutely","completely"
"abspielen","spiel","triel","abbildlen","play","game"
"abzeichen","uniform","sitform","abzeitung","badge","uniform"
"abzug","aktivieren sie","aktivierenckerst","abweh","trigger","activate"
"affe","gorilla","golandla","frife","monkey","gorilla"
"afrika","amerika","feldrika","breika","africa","america"
"agent","detektiv","deteklegt","aghlt","agent","detective"
"ähnlich","unterschiedlich","untersprünglich","applich","similar","different"
"aids","hiv","ebv","aiza","aids","hiv"
"aktentasche","koffer","hubfer","aktentaments","briefcase","suitcase"
"aktiv","aktivität","aktividence","aklon","active","activity"
"aktivieren","bieten","munten","aktigungsren","enable","provide"
"alarm","alarm","allsm","allsm","alert","alarm"
"albtraum","traum","treem","faktraum","nightmare","dream"
"album","lied","ligu","alzar","album","song"
"alkohol","arzneimittel","schufneimittel","alkoader","alcohol","drug"
"allee","straße","fahrße","alurg","avenue","street"
"allein","einsam","horsam","altens","alone","lonely"
"allgemeines","oberst","lierst","allgedächtnes","general","colonel"
"alt","jung","jubi","rgt","old","young"
"am leben","tot","omt","am ldart","alive","dead"
"amateur","fachmann","fachmord","amazeln","amateur","professional"
"analytiker","ermittler","erlaubler","kleinlytiker","analyst","investigator"
"anarchie","kapitalismus","kapitasprachmus","anarborn","anarchy","capitalism"
"anatomie","psychologie","kleinchologie","kryptomie","anatomy","psychology"
"anderswo","irgendwo","irchetwo","anchetwo","elsewhere","somewhere"
"anforderung","anfrage","anspiege","anfordeschei","demand","request"
"angebot","geben sie","gebenkees","angestal","offer","give"
"anhänger","van","orn","ansteiger","trailer","van"
"anker","segel","sekun","anfra","anchor","sail"
"ankommen","kommen sie","kommennder","angreimen","arrive","come"
"ankunft","abfahrt","abschüt","anwurst","arrival","departure"
"anliegen","sorge","dauge","andockgen","concern","worry"
"anonym","unbekannt","unbesieht","anence","anonymous","unknown"
"anruf","telefon","teleiert","anval","call","telephone"
"ansicht","perspektive","perflüchtive","anschub","view","perspective"
"anständig","ehrlich","gaslich","andersdig","decent","honest"
"antworten","antwort","jeswort","willworten","answer","reply"
"anwalt","staatsanwalt","staatsanvers","anport","lawyer","prosecutor"
"anwenden","verwenden","verrückden","angrifden","apply","use"
"anzahl","berechnung","begleinung","anzeln","count","calculate"
"anzahl","die anschrift","die aschwirrt","anzeln","number","address"
"apfel","frucht","frouht","aptur","apple","fruit"
"arbeit","arbeit","arvoll","arvoll","job","work"
"arbeiten","chirurgie","wollurgie","arrichten","operate","surgery"
"arena","schlachtfeld","schlachtlern","gisna","arena","battlefield"
"ärger","problem","probrik","ärche","trouble","problem"
"arm","reich","refeh","eam","poor","rich"
"armut","elend","gwend","ardon","poverty","misery"
"arsch","hintern","tretern","ardeh","ass","butt"
"arsenal","waffenkammer","waffenreichmer","arsespre","arsenal","armory"
"artefakt","medaillon","meechelon","arteider","artifact","medallion"
"artikel","zeitung","gastung","artisung","article","newspaper"
"asche","staub","strib","asice","ash","dust"
"aspirin","morphium","morlockum","aspitals","aspirin","morphine"
"astronaut","pilot","piwer","astrokirk","astronaut","pilot"
"atomisch","nuklearer","nupfarrer","gibmisch","atomic","nuclear"
"attraktiv","charmant","charmiss","atmesttiv","attractive","charming"
"aufgabe","mission","charsion","stargabe","task","mission"
