"no_target","no_cue","no_fake_cue","no_fake_target","en_cue","en_target"
"å fange","gripe","falpe","å fabun","grab","catch"
"abdominal","spinal","valnal","abdomistein","spinal","abdominal"
"absurd","latterlig","bursterlig","abpara","ridiculous","absurd"
"administrativ","ledelse","legramse","administraskjegg","management","administrative"
"adrenalin","hormon","hordys","løytnalin","hormone","adrenaline"
"adresse","nummer","slømer","pressse","number","address"
"ære","privilegium","kjempevilegium","zie","privilege","honor"
"ærlig","skikkelig","kjelkelig","ærver","decent","honest"
"ærlighet","lojalitet","lojalisjons","ærgjerhet","loyalty","honesty"
"agn","felle","klale","rån","trap","bait"
"aksent","stemme","fastme","akpost","voice","accent"
"aksepterer","nekte","svote","akbringterer","refuse","accept"
"aktiveres","avtrekker","avgiftker","aktivefullt","trigger","activate"
"aktivitet","aktiv","akrom","aktivisjons","active","activity"
"aktor","advokat","advobruk","akken","lawyer","prosecutor"
"alarm","varsling","rensling","szarm","alert","alarm"
"alibi","motiv","mogra","celbi","motive","alibi"
"alpha","bravo","solvo","alloa","bravo","alpha"
"alternativ","valg","vamm","alternazepam","choice","option"
"amerika","afrika","leirka","feltrika","africa","america"
"analyse","autopsi","kotopsi","jordlyse","autopsy","analysis"
"and","gås","wls","ood","goose","duck"
"ånd","sjel","xwel","hyd","soul","spirit"
"angrep","invasjon","invaring","ankamp","invasion","attack"
"angriperen","offer","ofing","anstaltperen","victim","attacker"
"anklage","klage","felge","anbringe","complaint","accusation"
"annerledes","lignende","mononende","anstangledes","similar","different"
"antagelse","konklusjon","konklubeck","antasjonsse","conclusion","assumption"
"åpenbart","helt klart","hass klart","spilbart","clearly","obviously"
"arbeid","jobb","joea","argers","job","work"
"arbeider","bonde","purde","arstander","farmer","worker"
"arkitekt","ingeniør","ingenilands","arkihall","engineer","architect"
"armory","arsenal","arsekert","arstoy","arsenal","armory"
"arr","tatovering","tatovefullt","xar","tattoo","scar"
"arrestere","straffe","storefe","arkadijtere","punish","arrest"
"arroganse","uvitenhet","mengtenhet","arrostresse","ignorance","arrogance"
"årsaken","årsaken","årsafras","årsafras","reason","cause"
"arterie","blodåre","blodgog","artenert","vein","artery"
"artilleri","kavaleri","kasjonsleri","arrestaleri","cavalry","artillery"
"arve","arv","tav","deve","heritage","inherit"
"assassin","leiesoldat","charsoldat","assastets","mercenary","assassin"
"assistanse","brukerstøtte","brukerklumpte","assiningsse","support","assistance"
"assistent","sekretær","sekredets","assiswood","secretary","assistant"
"assistere","hjelp","faelp","asutrettere","help","assist"
"at","hva","ema","ov","what","that"
"atlanterhavet","stillehavet","kvinnehavet","atlankvinnehavet","pacific","atlantic"
"atmosfære","miljø","fotjø","ebersfære","environment","atmosphere"
"autoritet","jurisdiksjon","jurisdikfield","kjærritet","jurisdiction","authority"
"avgang","ankomst","anvisst","avstan","arrival","departure"
"avis","artikkel","arherskel","avdu","article","newspaper"
"avskjedigelse","oppsigelse","krisesigelse","avskjedivostokse","resignation","dismissal"
"avsnitt","seksjon","ramsjon","avsjert","section","paragraph"
"avtale","kontrakt","konkrets","avslutle","contract","agreement"
"bacon","skål","skhm","banat","toast","bacon"
"baderom","dusj","duio","badetiv","shower","bathroom"
"bag","eske","løke","örg","box","bag"
"bakgate","hjørne","tørsne","bakkast","corner","alley"
"baksiden","front","frbit","aloysiden","front","rear"
"bånd","orkester","orslakter","båks","orchestra","band"
"bane","planet","sørnet","kine","planet","orbit"
"bar","klubb","klørb","mér","club","bar"
"barn","baby","geby","bams","baby","child"
"barndom","ungdom","unglis","barnski","youth","childhood"
"baseball","stadion","stakrok","stemball","stadium","baseball"
"båt","undervannsbåt","underslepebåt","jöt","submarine","boat"
"bataljon","regiment","regibral","batalavis","regiment","battalion"
"batman","superman","sukoppman","lisman","superman","batman"
"be om","kreve","dunve","beriq","demand","request"
"bedrageri","sammensvergelse","sammensveralphonse","betjentgeri","conspiracy","fraud"
"begivenhet","fenomen","fenologi","begistillhet","phenomenon","event"
"begrave","grave","husve","betjenve","dig","bury"
"begravelse","kiste","rayte","bevisstvelse","coffin","funeral"
"behandling","terapi","teralegg","beskytling","therapy","treatment"
"beholde","holde","lysde","besøksde","hold","keep"
"bekrefte","bekreftelse","befolketelse","bestyrte","confirmation","confirm"
"bekrefte","kryss av","kryssont","bestyrte","check","verify"
"bekymre","bekymring","bekymsjon","beselvre","concern","worry"
"belønning","bonus","bodon","belønsjon","bonus","reward"
"beløp","sum","gam","besyn","sum","amount"
"bemerkelsesverdig","eksepsjonell","eksepsjoplass","bemerkelsesinstinkdig","exceptional","remarkable"
"berømt","populær","popumond","bemant","popular","famous"
"beskjed","advarsel","adskilsel","beskrin","warning","message"
"beskjeden","ydmyk","ydleg","befolkden","humble","modest"
"beskrivelse","profil","prolay","betjentvelse","profile","description"
"besluttsomhet","mot","ylt","begrenssomhet","courage","determination"
"bestemor","farfar","liefar","bestehan","grandfather","grandmother"
"betydning","betydning","betydsjon","betydsjon","meaning","importance"
"bevis","bevis","befer","befer","evidence","proof"
"bil","kjøretøy","kjøreelt","rll","vehicle","car"
"billig","dyrt","dybb","bilbat","expensive","cheap"
"biologi","kjemi","sykmi","fenglogi","chemistry","biology"
"biologisk","kjemisk","vilmisk","biolovann","chemical","biological"
"blå","brun","brær","gfå","brown","blue"
"blad","lekegutt","lekelagt","blin","playboy","magazine"
"blåmerke","ripe","påpe","nattmerke","scratch","bruise"
"blanding","kombinasjon","kombinadiere","spending","combination","mixture"
"bli ferdig","slutt","slent","bli fegust","end","finish"
"blomst","anlegg","anvert","blarst","plant","flower"
"bok","bibel","bians","eak","bible","book"
"bomull","silke","reske","bomsoe","silk","cotton"
"borg","slott","slalt","botø","palace","castle"
"borgermester","sheriff","maeriff","transgermester","sheriff","mayor"
"bortføre","kidnappe","kidnamant","bakeføre","kidnap","abduct"
"boston","washington","krykington","uketon","washington","boston"
"bred","smal","tial","brig","narrow","wide"
"brensel","gass","galv","gjersel","gas","fuel"
"brev","telegram","teleming","bréz","telegram","letter"
"bro","dude","piade","cto","dude","bro"
"bror","søster","beater","brki","sister","brother"
"brud","brudgommen","klisgommen","brou","groom","bride"
"bruk","søke om","søkeein","brou","apply","use"
"bruke","avfall","avspil","ungke","waste","spend"
"bryllup","engasjement","engasjeplass","brylkom","engagement","wedding"
"bryst","mage","loge","briet","stomach","chest"
"bunn","topp","toil","pånn","top","bottom"
"buss","tog","örg","butø","train","bus"
"butikk","butikk","bunert","bunert","shop","store"
"butt","ass","gos","pått","ass","butt"
"by","hovedstad","hovednies","cr","capital","city"
"bygge","konstruksjon","kongresssjon","armge","construction","build"
"bygning","tårn","tågs","amening","tower","building"
"byrå","fast","ldst","bynz","firm","agency"
"camping","piknik","krunik","allping","picnic","camping"
"centimeter","mil","rll","helmsmeter","mile","centimeter"
"cerebral","hjerne","mannne","cererids","brain","cerebral"
"champagne","vin","esn","luftwafne","wine","champagne"
"classic","typisk","tylion","clasovn","typical","classic"
