"pt_target","pt_cue","pt_fake_cue","pt_fake_target","en_cue","en_target"
"□ gentil","suave","suaming","ífientil","soft","gentle"
"abandono","sair","sawa","quesdono","leave","abandon"
"abdominal","espinal","espilhou","abdomilhões","spinal","abdominal"
"abduct.","seqüestrar","seqüestown","abtucky","kidnap","abduct"
"abraço","beijo","sarjo","lhanço","kiss","hug"
"abrigo","refúgio","refúnhar","acomgo","refuge","shelter"
"absurdo","ridículo","rimaiúsculo","abplendo","ridiculous","absurd"
"acampamento","piquenique","piquenichiwa","triunpamento","picnic","camping"
"aceitar","recusar","recupões","quistar","refuse","accept"
"acidente","incidente","incicluíste","exerdente","incident","accident"
"acima","baixa","claxa","minma","down","up"
"aço","concreto","conamonto","uuo","concrete","steel"
"acompanhar","escolta","esalista","acomparish","escort","accompany"
"acontecer","ocorrer","exerrer","guartecer","occur","happen"
"acordo","contrato","coneleito","agrido","contract","agreement"
"acreditam","confiar em","confiagowan","quesditam","trust","believe"
"acusação","reclamação","warwickshireclamação","gressação","complaint","accusation"
"adicional","extra","expli","fluêncional","extra","additional"
"administrativo","gestão","aretão","adminischewitztivo","management","administrative"
"adolescente","adolescência","triunlescência","adolestruiste","teenage","teenager"
"adrenalina","hormônio","holtznio","oriunnalina","hormone","adrenaline"
"aeroporto","terminal","termicros","aeroportomashevsky","terminal","airport"
"afundar","banheiro","bagensro","adordar","toilet","sink"
"agência","empresa","emamassa","avigcia","firm","agency"
"agendar","calendário","catraiadário","standar","calendar","schedule"
"agradecer","grato","fleto","queidecer","grateful","thank"
"ainda","já","sz","oteda","already","still"
"ajudar","ajuda","broda","opedar","help","assist"
"alarme","alerta","ocorta","traime","alert","alarm"
"alegria","prazer","acezer","aletair","pleasure","joy"
"alfa","bravo","solvo","alzer","bravo","alpha"
"algo","nada","resda","altís","nothing","something"
"algodão","seda","guida","algoligh","silk","cotton"
"álibi","motivo","identivo","saybi","motive","alibi"
"almoço","lanche","lanter","almozart","snack","lunch"
"alteza","majestade","maafrontade","altelefô","majesty","highness"
"alto","baixo","claxo","trito","low","high"
"altura","peso","peder","albertra","weight","height"
"alucinação","ilusão","vessão","strescinação","illusion","hallucination"
"alvorecer","pôr do sol","pôr dobhan","alvoretrans","sunset","dawn"
"amante","amante","emiste","blaste","mistress","lover"
"amar","odiar","lasar","ampi","hate","love"
"amarelo","vermelho","aglomelho","ocorrelo","red","yellow"
"amedrontar","susto","drato","amealistar","scare","frighten"
"américa","áfrica","scroca","eclerica","africa","america"
"amigáveis","educado","atincado","amigáford","polite","friendly"
"amigo","colega","coobriga","tergo","colleague","friend"
"amizade","relação","relagens","sforzade","relationship","friendship"
"ampla","estreito","esquinto","ammax","narrow","wide"
"análise","autópsia","auprússia","chiplise","autopsy","analysis"
"andar","corre","trare","antiá","run","walk"
"animado","orgulhoso","orguagresso","traumado","proud","excited"
"animal","fera","curra","quamal","beast","animal"
"aniversário","aniversário","stresversário","stresversário","anniversary","birthday"
"apanhar","agarrar","atrorar","drinhar","grab","catch"
"apartamento","casa","cador","southtamento","house","apartment"
"apreciar","admirar","admilhei","tranciar","admire","appreciate"
"aprovação","permissão","inadmissão","enervação","permission","approval"
"aquele","que","rwe","quille","what","that"
"arame","cabo","símbo","matme","cable","wire"
"área coberta","cabine","proibine","mangwaa coberta","cabin","deck"
"areia","lama","lagem","arona","mud","sand"
"arma","pistola","electola","arnho","pistol","weapon"
"arma de fogo","rifle","rinau","arma de rensky","rifle","gun"
"armaduras","escudo","esbrindo","armadunholm","shield","armor"
"armário de roupa","gabinete","ganeshanete","armário de rblishing","cabinet","closet"
"armazenar","fazer compras","fazer corothy","armazelhões","shop","store"
"arquiteto","engenheiro","engelingsro","arquitetomashevsky","engineer","architect"
"arrogância","ignorância","ignorânlhões","arrodrickcia","ignorance","arrogance"
"arsenal","arsenal.","arseresh","arsebres","arsenal","armory"
"artéria","veia","veti","artéções","vein","artery"
"artificial","natural","natugens","artificiallegheny","natural","artificial"
"artilharia","cavalaria","cavalakesho","artihistòria","cavalry","artillery"
"árvore","arbusto","arclepto","inexvore","bush","tree"
"assassinato","suicídio","acoscídio","assassinatomashevsky","suicide","murder"
"assassino","mercenário","aplaucenário","asnorthsino","mercenary","assassin"
"assassino","assassino","asnorthsino","asnorthsino","killer","murderer"
"assinatura","carimbo","castrabo","asmangwanatura","stamp","signature"
"assistência","apoio, suporte","apoio, supkelway","astronôtência","support","assistance"
"assistente","secretário","seventhtário","astronôtente","secretary","assistant"
"assistir","veja","velhe","assisguem","look","watch"
"assobiar","chifre","chinil","assobiliões","horn","whistle"
"atacante","vítima","tlântima","frescante","victim","attacker"
"ataque","invasão","invagirl","barque","invasion","attack"
"atirador de elite","atirador","tranrador","atirador de echenwald","shooter","sniper"
"atirar","tomada","afirmada","clarar","shot","shoot"
"atitude","opinião","crínião","sumptude","opinion","attitude"
"ativar","acionar","exeronar","atirás","trigger","activate"
"atividade","ativo","culvo","crestvidade","active","activity"
"atlântico","pacífico","patransfico","cathetico","pacific","atlantic"
"atmosfera","meio ambiente","meio ambiegerwald","attriunfera","environment","atmosphere"
"ato","gesto","tuito","gwo","gesture","act"
"ator","autor","aubri","gror","author","actor"
"atrai","atenção","pleição","atnii","attention","attract"
"atuação","exposição","exposidewin","quesação","show","performance"
"atualizar","fresco","amasco","kingsalizar","fresh","refresh"
"ausência","presença","preaqueça","auvoircia","presence","absence"
"autoridade","jurisdição","juaplaudição","autoridadelinqüen","jurisdiction","authority"
"avaliação","observação","observanaugh","grizzliação","observation","evaluation"
