"cue","target","cosine","fake_cue","fake_target"
"trebuie","trebui",0.683066587139807,"ărebuie","tzebui"
"trebuie","trebuiasca",0.455707094246269,"trebuim","trebuiasăa"
"trebuie","neapărat",0.452930515079452,"frebuie","neapăwat"
"trebuie","vrea",0.430355897488781,"trebuge","vaea"
"trebuie","obliga",0.419049857222698,"trebuiș","oblita"
"aşa","aºa",0.539100136488388,"lşa","aºa"
"aşa","atât",0.528112488349838,"aia","atâr"
"aşa","şti",0.525610057145436,"aşa","şmi"
"aşa","așa",0.506956928975994,"kşa","aya"
"aşa","bineînţeles",0.504652184713484,"aha","bineînţelrs"
"spune","crede",0.515403584971477,"shune","caede"
"spune","spuneti",0.504015964713757,"spunc","spunști"
"spune","cere",0.487783455905771,"spușe","cefe"
"spune","spuna",0.487056853720556,"spunh","spuni"
"spune","zica",0.476300529684601,"spunc","fica"
"într","ntr",0.680306664439519,"îhtr","nir"
"într","printr",0.434177297328298,"îutr","pristr"
"într","întru",0.337120262488658,"înur","kntru"
"într","cutie",0.32233235160174,"îhtr","cătie"
"într","bordel",0.320542517256722,"întv","bordyl"
"atât","destul",0.610262191831372,"atân","destuk"
"atât","aşa",0.528112488349838,"utât","aşg"
"atât","extrem",0.524366772343396,"atâm","extrem"
"atât","incredibil",0.516059882186926,"atâi","inczedibil"
"atât","suficient",0.501039195002253,"aţât","ouficient"
"decât","deca",0.508280373305512,"deţât","dpca"
"decât","atât",0.491332303483542,"debât","vtât"
"decât","precum",0.428961714204024,"drcât","precue"
"decât","comparativ",0.412375096113753,"derât","comparctiv"
"decât","suficient",0.374012787069243,"defât","sîficient"
"venit","veni",0.552511437250691,"șenit","venj"
"venit","veniţ",0.479449879640102,"venat","veniţ"
"venit","vină",0.441434096020101,"veniș","eină"
"venit","sosi",0.404729307416849,"vecit","soxi"
"venit","veniti",0.403061806109631,"veyit","ueniti"
"bun","excelent",0.585507048561787,"bul","ekcelent"
"bun","grozav",0.563655483318606,"bul","groyav"
"bun","decent",0.556430777935581,"pun","decşnt"
"bun","nasol",0.476050568333367,"bup","nasnl"
"bun","rău",0.457935414888601,"buh","țău"
"vrea","dori",0.723415557177796,"zrea","dowi"
"vrea","prefera",0.558292059506416,"vhea","prețera"
"vrea","doresta",0.555305186456797,"vrșa","doreşta"
"vrea","vroi",0.501211181980602,"vrer","lroi"
"vrea","intenţiona",0.43040931623145,"vrpa","inteăţiona"
"putea","dori",0.468904171029978,"putca","dorj"
"putea","poti",0.455085443169305,"puteq","woti"
"putea","folosi",0.435412300131005,"pugea","fologi"
"putea","eventual",0.434337348806762,"putaa","efentual"
"putea","puteti",0.422224497019818,"pvtea","pyteti"
"încă","înca",0.639254809854821,"încţ","încş"
"încă","măcar",0.467858340302709,"încî","mbcar"
"încă","deocamdată",0.429319864747316,"îocă","reocamdată"
"încă","rămâne",0.399711629670807,"înck","rămâne"
"încă","continuare",0.385543897085499,"încț","continbare"
"loc","cămin",0.399613135986412,"lzc","căhin"
"loc","sanctuar",0.394571706927712,"lgc","sanccuar"
"loc","adăpost",0.387505172854887,"loi","adăvost"
"loc","confortabil",0.370020806641139,"lom","confortabcl"
"loc","lucru",0.366806416750668,"woc","lutru"
"niciodată","vreodată",0.600723839460449,"nijiodată","vreopată"
"niciodată","întotdeauna",0.46320976693521,"nociodată","întotdeăuna"
"niciodată","deloc",0.430654783405622,"nicioyată","deloc"
"niciodată","niciunul",0.425311372594661,"niciodată","niciunpl"
"niciodată","veci",0.412829213493501,"niuiodată","vuci"
"esti","sunteti",0.677507540915596,"esji","sunjeti"
"esti","sinteti",0.543883853065817,"exti","sioteti"
"esti","eºti",0.543011602168663,"enti","eºtă"
"esti","poti",0.531157971415773,"esai","pori"
"esti","destept",0.515255249790862,"estg","destext"
"acasă","acasa",0.695488880101533,"aiasă","acasî"
"acasă","înapoi",0.445325514328751,"acgsă","înţpoi"
"acasă","scoală",0.441124604818626,"acavă","scoall"
"acasă","şcoală",0.439131318036194,"acasv","şcoasă"
"acasă","cumpărături",0.429765207097344,"kcasă","cumpărătcri"
"rău","groaznic",0.572297389794199,"răz","groaznie"
"rău","îngrozitor",0.565581948774181,"rău","îtgrozitor"
"rău","nasol",0.506145032315234,"rpu","nasfl"
"rău","teribil",0.499661614111552,"rgu","yeribil"
"rău","oribil",0.490341486327513,"nău","orhbil"
"înapoi","înapoia",0.522497920894531,"îrapoi","tnapoia"
"înapoi","încoace",0.471198646416869,"îhapoi","bncoace"
"înapoi","întoarce",0.470473735192703,"înapoe","întoarco"
"înapoi","returna",0.45734152326369,"înapoz","recurna"
"înapoi","acasă",0.445325514328751,"îsapoi","acksă"
"merge","mers",0.730659307956099,"werge","merx"
"merge","mearga",0.589166367100149,"mekge","meaiga"
"merge","duce",0.551166281242538,"mtrge","duţe"
"merge","decurge",0.490964768136076,"mergî","dpcurge"
"merge","mergeti",0.473545688201388,"aerge","wergeti"
"jos","cobori",0.477262610049752,"joţ","bobori"
"jos","deoparte",0.462033077858603,"jms","dîoparte"
"jos","coborî",0.435012785407955,"joș","coxorî"
"jos","podea",0.432470633376932,"hos","podei"
"jos","înapoi",0.429015773580143,"hos","înasoi"
"place","plăcea",0.704295798048826,"plaăe","plkcea"
"place","displace",0.701224159226786,"plrce","displtce"
"place","placea",0.672762675872816,"placc","plalea"
"place","plăcut",0.581621622512489,"peace","plăaut"
"place","plac",0.575725363985469,"plale","ţlac"
"destul","suficient",0.744255956145342,"destul","sufirient"
"destul","atât",0.610262191831372,"deztul","atyt"
"destul","extrem",0.576753294432469,"deţtul","extrpm"
"destul","incredibil",0.524071399750713,"destuh","iîcredibil"
"destul","oarecum",0.459118033487721,"deţtul","oarecun"
"parte","latură",0.361060544232635,"oarte","latdră"
