"cue","target","cosine","fake_cue","fake_target"
"gaan","teruggaan",0.530097785092739,"gaaa","teruggaan"
"gaan","komen",0.521316429419746,"gaaw","koyen"
"gaan","meegaan",0.480714097807582,"saan","meecaan"
"gaan","laten",0.478563795359018,"gafn","laven"
"gaan","gaal",0.469390777807329,"gaav","gkal"
"goed","slecht",0.691509235727643,"gved","sleüht"
"goed","uitstekend",0.596870745534111,"goei","uitftekend"
"goed","geweldig",0.554097446387982,"goeu","geweloig"
"goed","fantastisch",0.506278475622666,"goeg","fyntastisch"
"goed","lekker",0.466122332128145,"goed","lekkfr"
"zien","tonen",0.543038190369744,"zier","tonea"
"zien","kijken",0.513270509840217,"zieb","kéjken"
"zien","bekijken",0.513061777215061,"zisn","aekijken"
"zien","horen",0.498373312003601,"eien","horkn"
"zien","weten",0.495975675189872,"zinn","wkten"
"man","vrouw",0.763227647791043,"kan","veouw"
"man","kerel",0.696647418014382,"men","kerzl"
"man","vent",0.684720873360743,"max","vent"
"man","jongen",0.578726668603069,"mcn","mongen"
"man","gozer",0.574996225019937,"mmn","mozer"
"echt","werkelijk",0.715878862207296,"ecet","ferkelijk"
"echt","absoluut",0.487299568335824,"ezht","abdoluut"
"echt","daadwerkelijk",0.485282403366889,"echc","duadwerkelijk"
"echt","serieus",0.477202056137095,"echa","seribus"
"echt","waanzinnig",0.450110718126878,"acht","waanzinkig"
"terug","teruggaan",0.534545274948113,"ëerug","teruggaag"
"terug","terugkeren",0.528671198485757,"terun","tgrugkeren"
"terug","keren",0.524505376180496,"terul","keken"
"terug","terugbrengen",0.503954826284572,"terun","terugbrengin"
"terug","teruggeven",0.482684486893617,"teuug","tfruggeven"
"komen","langskomen",0.531262791900616,"ksmen","langskomkn"
"komen","gaan",0.521316429419746,"kamen","gaas"
"komen","geraken",0.487616241167189,"komef","gerakez"
"komen","terugkomen",0.487570749612912,"komin","terugkomon"
"komen","krijgen",0.438451246479149,"komtn","krijgew"
"leven","mensenleven",0.602319928998668,"lexen","mensenlevcn"
"leven","carrière",0.518583609833884,"ldven","cacrière"
"leven","bestaan",0.436970665825609,"levei","besraan"
"leven","levenswerk",0.434910686803693,"lnven","levenkwerk"
"leven","wereld",0.415456993890058,"levan","werpld"
"weten","uitzoeken",0.565408221150209,"aeten","uitzorken"
"weten","vertellen",0.561607867502654,"aeten","vertmllen"
"weten","beseffen",0.515697736552887,"wwten","besefsen"
"weten","zeggen",0.508963633937181,"heten","zwggen"
"weten","nagaan",0.506925089902733,"weuen","nagaam"
"zeggen","vertellen",0.642789687669582,"zezgen","verrellen"
"zeggen","beweren",0.540805494878328,"zlggen","beweten"
"zeggen","weten",0.508963633937181,"zegpen","wdten"
"zeggen","veronderstellen",0.491680810827219,"zegben","verondersteëlen"
"zeggen","eggen",0.444294173811675,"zeggev","egget"
"laten","laat",0.715389000012811,"laken","laao"
"laten","gaan",0.478563795359018,"luten","gaag"
"laten","zien",0.457904574869297,"caten","zken"
"laten","overlaten",0.417658955753967,"lateg","overlateë"
"laten","blijven",0.416276228801379,"uaten","blijvon"
