"sk_cue","sk_target","type","cue_type","target_type","sk_cosine"
"diplom","absolvent","related","word","word",0.353940517353198
"absurdné","absurdný","related","word","word",0.706692966141616
"zvládanie","administratívny","related","word","word",0.242215203956071
"hormón","adrenalín","related","word","word",0.448712323257567
"číslo","adresa","related","word","word",0.406732040076186
"firma","agentúra","related","word","word",0.432220954514854
"spúšť","aktivovať","related","word","word",0.334867564555857
"upozorniť","alarm","related","word","word",0.260031633342689
"bravo","alfa","related","word","word",0.396007530650448
"motív","alibi","related","word","word",0.441448378396127
"afrika","america","related","word","word",0.280863920140192
"pitva","analýza","related","word","word",0.424436487880041
"inžinier","architekt","related","word","word",0.379020254173936
"legie","armáda","related","word","word",0.210000459294029
"nevedomosť","arogancia","related","word","word",0.397324960777924
"arzenál","aróry","related","word","word",NA
"žilka","artérie","related","word","word",NA
"tajomník","asistent","related","word","word",0.365168761401752
"pacifický","atlantický","related","word","word",NA
"prostredie","atmosféra","related","word","word",0.296134994394013
"vozidlo","auto","related","word","word",0.590759293077747
"vlak","autobus","related","word","word",0.655021071727753
"dedko","babička","related","word","word",0.296870263983085
"utiecť","bacon","related","word","word",0.102475550696915
"obálka","balenie","related","word","word",0.229875844515094
"klub","bar","related","word","word",0.459559681386532
"štadión","baseball","related","word","word",0.313185305515635
"text","báseň","related","word","word",0.365117890962619
"silk","bavlna","related","word","word",0.199546428786565
"zbytočný","bezcenný","related","word","word",0.408599002533845
"bezmocný","bezmocný","related","word","word",1
"zabezpečenie","bezpečnosť","related","word","word",0.452912892975848
"chémia","biológia","related","word","word",0.490804656307431
"chemický","biologický","related","word","word",0.538222069642692
"vojna","bitka","related","word","word",0.46908497292267
"paranoidný","blázon","related","word","word",0.402166170216189
"poklad","bohatstvo","related","word","word",0.333987476628252
"chudobný","bohatý","related","word","word",0.593894707583755
"bojovať","boj","related","word","word",0.518949414030044
"aréna","bojisko","related","word","word",0.21328317008713
"vojak","bojovník","related","word","word",0.455634091661721
"majster","bojovník","related","word","word",0.41534056223829
"utrpenie","bolesť","related","word","word",0.537851386543466
"washington","boston","related","word","word",0.415253762629904
"boha","božský","related","word","word",0.309924780354743
"vlasy","brada","related","word","word",0.348536499574371
"portál","brána","related","word","word",0.407736163377301
"sestra","brat","related","word","word",0.444362662555295
"relatívny","bratranec","related","word","word",0.162011530443212
"štít","brnení","related","word","word",0.304977981025372
"frajer","bro","related","word","word",0.216900175462531
"spinálny","brušný","related","word","word",NA
"veža","budovanie","related","word","word",0.234646782013646
"košeľa","bunda","related","word","word",0.579812292866156
"superman","búrka","related","word","word",0.189901294356341
"vetrovať","búrka","related","word","word",NA
"dom","byt","related","word","word",0.499542694095944
"kliatba","čarodejnica","related","word","word",0.454743138832931
"mágia","čarodejník","related","word","word",0.388096844405931
"čašník","čašníčka","related","word","word",0.572103488625214
"detonátor","časovač","related","word","word",0.480642400544963
"záležitosť","častica","related","word","word",0.177524207546778
"niekedy","často","related","word","word",0.298118855821866
"hodnota","cena","related","word","word",0.536373233471744
"míľ","centimeter","related","word","word",0.28447022284654
"privilégium","česť","related","word","word",0.370669954988747
"trasa","cesta","related","word","word",0.398965129275943
"lístok","cestovný pas","related","word","word",NA
"túžba","chcieť","related","word","word",0.256461033120318
"pera","chek","related","word","word",NA
"ovládať","chirurgia","related","word","word",0.160458116417488
"teplý","chladný","related","word","word",0.464221836440577
"horúci","chladný","related","word","word",0.48774449815251
"dievča","chlapec","related","word","word",0.450437899099373
"chorý","chorý","related","word","word",1
"chyba","chyba","related","word","word",1
"cesnak","cibuľa","related","word","word",0.470198772277876
"biely","čierna","related","word","word",0.417262320293873
"dym","cigar","related","word","word",NA
"tabak","cigareta","related","word","word",0.390937246035728
"aktívny","činnosť","related","word","word",0.21243229563933
"hrob","cintorín","related","word","word",0.414327057633865
"zoologická záhrada","cirkus","related","word","word",NA
"cisársky","cisár","related","word","word",0.654057783257702
"delikátny","citlivý","related","word","word",0.375031245092126
"kultúra","civilizácia","related","word","word",0.54665023240212
"ponorka","čln","related","word","word",0.270138440853713
"cukor","čokoláda","related","word","word",0.425122655337664
"neskoro","čoskoro","related","word","word",0.312354078314261
"prax","cvičenie","related","word","word",0.255457744361498
"naivný","cynický","related","word","word",0.462011007115977
"pokračovať","ďalej","related","word","word",0.417240826437592
"v blízkosti","ďaleko","related","word","word",NA
"kompliment","darček","related","word","word",0.352795116602054
"dobročinnosť","darovanie","related","word","word",0.186665428019745
"vložiť","dať","related","word","word",0.465305717637003
"ponúknuť","dať","related","word","word",0.433609451381974
"november","december","related","word","word",0.699087047346861
"koncepcia","definícia","related","word","word",0.449045189709392
"kavaléria","delostrelecký","related","word","word",0.381471538909344
"sloboda","demokracia","related","word","word",0.481733528411187
"protest","demonštrácia","related","word","word",0.454286179112298
"stres","depresia","related","word","word",0.424726977687485
"storočia","desaťročie","related","word","word",0.422967812470766
"zástupca","detektív","related","word","word",0.250310982837882
"mládež","detstvo","related","word","word",0.167581138524667
"anjel","diabol","related","word","word",0.391939721843198
"cesta","diaľnica","related","word","word",0.475452219407251
"prasknúť","diera","related","word","word",0.247232721004772
"baby","dieťaťa","related","word","word",0.0974546921693799
"chlapci","dievča","related","word","word",0.26282015883522
"ping","ding","related","word","word",0.594066586910852
"konverzácia","diskusia","related","word","word",0.50586239290043
"kino","divadlo","related","word","word",0.405695374414313
"jednotka","divízia","related","word","word",0.493957116112253
"krátky","dlhý","related","word","word",0.49750052347338
"veľkosť","dĺžka","related","word","word",0.460220701371337
"senior","dnior","related","word","word",NA
"vrchol","dno","related","word","word",0.327361892185592
"dobrovoľník","dobrovoľne","related","word","word",0.755715074838023
"extra","dodatočný","related","word","word",0.284644081935815
"zmluva","dohoda","related","word","word",0.591736645793382
"dôkaz","dôkaz","related","word","word",1
"ideálny","dokonalý","related","word","word",0.508636724887263
"súboru","dokument","related","word","word",0.235712897404165
"založiť","dolár","related","word","word",0.144625353576185
"cenný","dôležitý","related","word","word",0.482734762459604
"pevne","dôrazne","related","word","word",0.17909308078526
"misa","doska","related","word","word",0.140082588025491
"dosť","dostatočný","related","word","word",0.398804147480985
"pýcha","dôstojnosť","related","word","word",0.35076976366322
"úcta","dôvera","related","word","word",0.405214599226623
"vianoce","dovolenka","related","word","word",0.313130391819133
"toaleta, wc","drez","related","word","word",NA
"alkohol","droga","related","word","word",0.400427557012479
"kábel","drôt","related","word","word",0.430867128025552
"duša","duch","related","word","word",0.361942709080175
"pokles","dúšok","related","word","word",0.283742870700877
"okno","dverí","related","word","word",0.344889747968099
"výstrel","dynamit","related","word","word",0.231971662865965
"módny","elegantný","related","word","word",0.396551765470054
"magnetický","elektrický","related","word","word",0.517065222903566
"prúd","elektrina","related","word","word",0.387834171806824
"duševný","emocionálny","related","word","word",0.514743054846921
"moc","energia","related","word","word",0.152099477538247
"hranica","epidémia","related","word","word",0.290407684255524
"séria","epizóda","related","word","word",0.392004055317133
"orgazmus","erekcia","related","word","word",0.296715871032469
"výbuch","explodovať","related","word","word",0.409262148519917
"zemetrasenie","explózia","related","word","word",0.327702333235167
"opísať","expresné","related","word","word",0.170223780245618
"vnútorný","externý","related","word","word",0.427742615000698
"falošný","falošný","related","word","word",1
"nádherný","fantastický","related","word","word",0.48839728614133
"realita","fantasy","related","word","word",0.173234081768844
"poštový","faxovať","related","word","word",NA
"kolónia","federácia","related","word","word",0.390662832955357
"karneval","festival","related","word","word",0.406235570804907
"porno","film","related","word","word",0.408502098654479
"bankový","finančný","related","word","word",0.554269133158913
"rozpočet","financovanie","related","word","word",0.282037498449543
"finančne","financovanie","related","word","word",0.420929139488136
"sklo","fľaša","related","word","word",0.203415789807057
"námorný","flotila","related","word","word",0.343479996813802
"autogram","fotograf","related","word","word",0.420480421125308
"obraz","fotografia","related","word","word",0.327487137545693
"angličtina","francúzsky","related","word","word",0.381798889531527
"slovník","fráza","related","word","word",0.287809448500569
"utečenec","fugitívny","related","word","word",NA
"prevádzkový","funkčný","related","word","word",0.374859533845668
"basketbal","futbal","related","word","word",0.631759452571054
"sexuálny","fyzický","related","word","word",0.429669092553106
"vesmír","galaxia","related","word","word",0.449473332042161
"dielňa","garáž","related","word","word",0.381235850743719
"klavír","gitara","related","word","word",0.378066782114063
"národný","globálny","related","word","word",0.374607092303717
"opica","gorilla","related","word","word",0.314618175385567
"rímsky","grécky","related","word","word",0.411847798639873
"kilo","gróf","related","word","word",0.0920832925803795
"barón","grófka","related","word","word",0.335648035043789
"kaliber","guľka","related","word","word",0.42401597919503
"červ","had","related","word","word",0.277584240412295
"pumpovať","hadica","related","word","word",0.221155971997189
"ilúzia","halucinácia","related","word","word",0.359122684595841
"sendvič","hamburger","related","word","word",0.500170923904008
"vyváženie","harmónia","related","word","word",0.283431153897593
"autor","herca","related","word","word",0.222527336021697
"kokaín","heroín","related","word","word",0.586368185573369
"kód","heslo","related","word","word",0.434797017461169
"pomoc","hiv","related","word","word",0.148967310562063
"unavený","hladký","related","word","word",0.258193485327306
"väčšina","hlasovať","related","word","word",0.0813218629295756
"stráž","hliadka","related","word","word",0.457372600715222
