target_word_unique,word_combo_related,word_combo_unrelated,cue_word_related,cue_word_unrelated
abdominal,spinalabdominal,sängerabdominal,spinal,sänger
abend,nachtabend,sahneabend,nacht,sahne
abfahrt,ankunftabfahrt,schweinefleischabfahrt,ankunft,schweinefleisch
abfall,müllabfall,landungabfall,müll,landung
abfassung,lesungabfassung,gewinnabfassung,lesung,gewinn
absatz,abschnittabsatz,dankbarabsatz,abschnitt,dankbar
abschluss,öffnungabschluss,hundabschluss,öffnung,hund
absicht,zweckabsicht,originalabsicht,zweck,original
absichtlich,versehentlichabsichtlich,brückeabsichtlich,versehentlich,brücke
absolvent,diplomabsolvent,schlüsselabsolvent,diplom,schlüssel
abstimmung,mehrheitabstimmung,lampeabstimmung,mehrheit,lampe
absurd,lächerlichabsurd,datenabsurd,lächerlich,daten
abwesenheit,anwesenheitabwesenheit,tätowierungabwesenheit,anwesenheit,tätowierung
administrativ,managementadministrativ,wasadministrativ,management,was
adrenalin,hormonadrenalin,malenadrenalin,hormon,malen
adresse,nummeradresse,wahradresse,nummer,wahr
agentur,firmaagentur,baronagentur,firma,baron
aktivieren,auslöseraktivieren,analytikeraktivieren,auslöser,analytiker
aktivität,aktivaktivität,soldataktivität,aktiv,soldat
akzent,stimmeakzent,kavallerieakzent,stimme,kavallerie
akzeptieren,ablehnenakzeptieren,spinneakzeptieren,ablehnen,spinne
alarm,warnenalarm,ignoranzalarm,warnen,ignoranz
alibi,motivalibi,unvernünftigalibi,motiv,unvernünftig
alien,ufoalien,taschealien,ufo,tasche
allgemein,natürlichallgemein,windallgemein,natürlich,wind
alpha,bravoalpha,industriealpha,bravo,industrie
ameise,bieneameise,fensterameise,biene,fenster
amerika,afrikaamerika,ankeramerika,afrika,anker
analyse,autopsieanalyse,mädchenanalyse,autopsie,mädchen
anfrage,anforderunganfrage,unglücklichanfrage,anforderung,unglücklich
anführer,mitgliedanführer,schrecklichanführer,mitglied,schrecklich
angeln,jagdangeln,leiseangeln,jagd,leise
angemessen,fairangemessen,charmeangemessen,fair,charme
angenehm,gemütlichangenehm,kandidatangenehm,gemütlich,kandidat
angreifer,opferangreifer,konferenzangreifer,opfer,konferenz
anklage,beschwerdeanklage,lesenanklage,beschwerde,lesen
annahme,fazitannahme,treffenannahme,fazit,treffen
antwort,antwortenantwort,augeantwort,antworten,auge
anzeigen,punktanzeigen,trickanzeigen,punkt,trick
anziehen,aufmerksamkeitanziehen,schlachtanziehen,aufmerksamkeit,schlacht
arbeit,jobarbeit,flussarbeit,job,fluss
arbeiter,bauerarbeiter,nützlicharbeiter,bauer,nützlich
architekt,ingenieurarchitekt,empfindlicharchitekt,ingenieur,empfindlich
arm,handarm,potenzialarm,hand,potenzial
armee,legionarmee,toastarmee,legion,toast
arroganz,ignoranzarroganz,besondersarroganz,ignoranz,besonders
arterie,venearterie,jugendarterie,vene,jugend
artillerie,kavallerieartillerie,gesperrtartillerie,kavallerie,gesperrt
arzt,chirurgarzt,u-bootarzt,chirurg,u-boot
assistent,sekretärinassistent,stiefelassistent,sekretärin,stiefel
atlantik,pazifikatlantik,berühmtheitatlantik,pazifik,berühmtheit
atmosphäre,umweltatmosphäre,wertvollatmosphäre,umwelt,wertvoll
attacke,invasionattacke,sheriffattacke,invasion,sheriff
attentäter,söldnerattentäter,flaggeattentäter,söldner,flagge
aufgeben,verlassenaufgeben,dreckigaufgeben,verlassen,dreckig
aufgeregt,stolzaufgeregt,lunaraufgeregt,stolz,lunar
aufhören,verhindernaufhören,zelleaufhören,verhindern,zelle
aufnahme,schallplatteaufnahme,modischaufnahme,schallplatte,modisch
auftrag,befehlauftrag,magnetischauftrag,befehl,magnetisch
ausdrücken,beschreibenausdrücken,unschuldigausdrücken,beschreiben,unschuldig
ausgeben,abfallausgeben,begeisterungausgeben,abfall,begeisterung
ausreichend,genügendausreichend,diebausreichend,genügend,dieb
aussage,kommentaraussage,giftaussage,kommentar,gift
ausschuss,kommissionausschuss,paradiesausschuss,kommission,paradies
ausstatten,ausrüstungausstatten,außenausstatten,ausrüstung,außen
ausstellung,galerieausstellung,lebenausstellung,galerie,leben
auswählen,wählenauswählen,telegrammauswählen,wählen,telegramm
auto,fahrzeugauto,halloauto,fahrzeug,hallo
autobahn,straßeautobahn,summeautobahn,straße,summe
außen,innenaußen,anrufaußen,innen,anruf
badezimmer,duschebadezimmer,denkmalbadezimmer,dusche,denkmal
bahnhof,bahnsteigbahnhof,erfolgbahnhof,bahnsteig,erfolg
band,bindenband,ausgezeichnetband,binden,ausgezeichnet
band.1,orchesterband,chemischband,orchester,chemisch
bar,clubbar,mentalbar,club,mental
barmherzigkeit,vergebungbarmherzigkeit,punktbarmherzigkeit,vergebung,punkt
bart,haarebart,überprüfungbart,haare,überprüfung
baseball,stadionbaseball,engelbaseball,stadion,engel
bataillon,regimentbataillon,überraschungbataillon,regiment,überraschung
batman,supermanbatman,ausruhenbatman,superman,ausruhen
bauen,konstruktionbauen,übernatürlichbauen,konstruktion,übernatürlich
baum,buschbaum,wirklichkeitbaum,busch,wirklichkeit
baumwolle,seidebaumwolle,sekundärbaumwolle,seide,sekundär
beeindrucken,schmeichelnbeeindrucken,materiebeeindrucken,schmeicheln,materie
beerdigen,grabenbeerdigen,proteinbeerdigen,graben,protein
beerdigung,sargbeerdigung,geschehenbeerdigung,sarg,geschehen
begleiten,geleitenbegleiten,grabbegleiten,geleiten,grab
behalten,haltenbehalten,bodenbehalten,halten,boden
behandlung,therapiebehandlung,journalismusbehandlung,therapie,journalismus
behörde,zuständigkeitbehörde,tumorbehörde,zuständigkeit,tumor
beleidigen,beleidigungbeleidigen,ersterbeleidigen,beleidigung,erster
belohnen,bonusbelohnen,aktentaschebelohnen,bonus,aktentasche
belüftung,ventilbelüftung,haarebelüftung,ventil,haare
bemerkenswert,außergewöhnlichbemerkenswert,supermanbemerkenswert,außergewöhnlich,superman
beraten,ratberaten,huhnberaten,rat,huhn
berechnen,zählenberechnen,honigberechnen,zählen,honig
berg,hügelberg,zuhörenberg,hügel,zuhören
berühmt,beliebtberühmt,bombeberühmt,beliebt,bombe
bescheiden,demütigbescheiden,taxibescheiden,demütig,taxi
beschreibung,profilbeschreibung,landbeschreibung,profil,land
besitzer,eigentumbesitzer,nachtischbesitzer,eigentum,nachtisch
bestimmung,schicksalbestimmung,umschlagbestimmung,schicksal,umschlag
bestätigen,bestätigungbestätigen,rentebestätigen,bestätigung,rente
betrag,summebetrag,schmeichelnbetrag,summe,schmeicheln
betrug,verschwörungbetrug,klassebetrug,verschwörung,klasse
betrunken,nüchternbetrunken,werkzeugbetrunken,nüchtern,werkzeug
bett,sofabett,verliererbett,sofa,verlierer
bewertung,beobachtungbewertung,wählenbewertung,beobachtung,wählen
bezirk,landbezirk,killerbezirk,land,killer
bier,getränkbier,charakterbier,getränk,charakter
bieten,ermöglichenbieten,blitzbieten,ermöglichen,blitz
bildung,gesundheitbildung,nummerbildung,gesundheit,nummer
billig,teuerbillig,büchereibillig,teuer,bücherei
biologie,chemiebiologie,tänzerbiologie,chemie,tänzer
biologisch,chemischbiologisch,washingtonbiologisch,chemisch,washington
blau,braunblau,hoffenblau,braun,hoffen
bleiben,bleibebleiben,goldenbleiben,bleibe,golden
blume,pflanzeblume,motivblume,pflanze,motiv
boot,u-bootboot,endlichboot,u-boot,endlich
boston,washingtonboston,plötzlichboston,washington,plötzlich
brauchen,notwendigbrauchen,gastfreundschaftbrauchen,notwendig,gastfreundschaft
braut,bräutigambraut,südlichbraut,bräutigam,südlich
breit,schmalbreit,nüchternbreit,schmal,nüchtern
brief,telegrammbrief,gewehrbrief,telegramm,gewehr
brieftasche,taschebrieftasche,magiebrieftasche,tasche,magie
bruder,schwesterbruder,kommentarbruder,schwester,kommentar
brust,magenbrust,verwaltenbrust,magen,verwalten
buch,bibelbuch,schreckbuch,bibel,schreck
bus,zugbus,enkelbus,zug,enkel
butter,honigbutter,suchenbutter,honig,suchen
bürgermeister,sheriffbürgermeister,bewahrenbürgermeister,sheriff,bewahren
