"bg_target","bg_cue","bg_fake_cue","bg_fake_target","en_cue","en_target"
"абсурд","нелепо","овлапо","абзерв","ridiculous","absurd"
"автобус","влак","вляз","авториъл","train","bus"
"агенция","твърд","blърд","днешция","firm","agency"
"административен","управление","прекъление","администратисайдска","management","administrative"
"адреналин","хормон","хорско","адренастрои","hormone","adrenaline"
"адрес","номер","нобих","адгне","number","address"
"акт","жест","бост","кст","gesture","act"
"активирате","спусъка","спуслиш","неидентивирате","trigger","activate"
"акцент","глас","глъл","акерът","voice","accent"
"аларма","тревога","учтивога","смахма","alert","alarm"
"алея","ъгъл","kаъл","алму","corner","alley"
"алиби","мотив","мобръ","обаби","motive","alibi"
"алфа","браво","върво","алгия","bravo","alpha"
"америка","африка","украрика","съжарика","africa","america"
"анализ","аутопсия","аутоблин","анасни","autopsy","analysis"
"апартамент","къща","сваща","оттътамент","house","apartment"
"арест","наказвам","налиствам","арват","punish","arrest"
"армия","легион","легистър","аркан","legion","army"
"арогантност","невежество","опрожество","ароправност","ignorance","arrogance"
"артерия","вена","тична","артества","vein","artery"
"артилерия","кавалерия","кавалеустре","артилефонът","cavalry","artillery"
"архитект","инженер","инжество","архижeтe","engineer","architect"
"атака","инвазия","инваучер","тинка","invasion","attack"
"атлантическия океан","тихоокеански","тихоландърански","атлантическия окжисьорът","pacific","atlantic"
"атмосфера","заобикаляща среда","несвързаобикаляща среда","атмолетътра","environment","atmosphere"
"баба","дядо","такдо","басей","grandfather","grandmother"
"банда","оркестъра","орлиънсъра","озада","orchestra","band"
"баня","душ","aeш","бавих","shower","bathroom"
"бар","клуб","чоуб","жър","club","bar"
"батальон","полк","поен","батавъра","regiment","battalion"
"батман","супермен","суперския","ръмман","superman","batman"
"баща","майка","спака","баджи","mother","father"
"беглец","бежанец","бежаклин","хослец","refugee","fugitive"
"безопасност","сигурност","сигурство","бездеждност","security","safety"
"безотговорен","неразумно","съдизумно","безотговочиства","unreasonable","irresponsible"
"безплатно","свободно","сводлъжно","безупълно","freely","free"
"безпокойство","прекъсване","прекъствам","безпокойнахте","interrupt","disturb"
"безсилен","безпомощен","безпомостваш","проксилен","helpless","powerless"
"безсмислено","безполезен","безполеродът","безупречслено","useless","worthless"
"бейзбол","стадион","звездион","събизбол","stadium","baseball"
"бекон","тост","тоще","белът","toast","bacon"
"белег","татуировка","татуиостатъка","бегян","tattoo","scar"
"бижу","диамант","диалюст","бизай","diamond","jewel"
"бизнес","индустрия","индудерът","бизбол","industry","business"
"биологичен","химически","химичетохме","неразлогичен","chemical","biological"
"биология","химия","хитен","биолокане","chemistry","biology"
"бира","пиене","пибия","плара","drink","beer"
"битка","битка","джъка","гудка","combat","fight"
"битка","война","ремна","гудка","war","battle"
"благодарение","благодарен","благодадохме","благодарекордът","grateful","thank"
"благодарност","гостоприемство","гостоприемкинсън","благодарствен","hospitality","gratitude"
"близо","отворен","отвокурс","евозо","open","close"
"богат","беден","безиз","болеч","poor","rich"
"богатство","съкровище","неуловище","богатване","treasure","wealth"
"божествено","бог","ейг","боженерътно","god","divine"
"бойно поле","арена","кашна","бойно пандър","arena","battlefield"
"боклук","боклук","бофлет","боплоа","trash","garbage"
"болен","аз ще","азщов","ботят","ill","sick"
"болест","грип","грal","боликс","flu","disease"
"болки","страдания","неподания","ретки","suffering","pain"
"бостън","вашингтон","вакриптон","босваш","washington","boston"
"брада","косъм","колат","фунда","hair","beard"
"брак","развод","разлас","диак","divorce","marriage"
"брат","пич","ърч","брру","dude","bro"
"брат","сестра","портра","брру","sister","brother"
"братовчед","относително","относивъпросно","братовдолф","relative","cousin"
"брашно","зърно","шотно","блумно","grain","flour"
"брега","плаж","плol","салга","beach","coast"
"бременност","раждане","кукдане","бременстру","birth","pregnancy"
"броня","щит","ефт","шилня","shield","armor"
"бруаз","надраскване","надрастежът","акааз","scratch","bruise"
"бузалка","устна","ролна","бумрънка","lip","cheek"
