"cue","target","cosine","fake_cue","fake_target"
"واقع","بلندی",0.594833361017261,"كاقع","بلندo"
"واقع","ہنور",0.567950720290562,"واقp","ہنوش"
"واقع","ہلزڈیل",0.561323598296888,"ﺎاقع","jلزڈیل"
"واقع","رقبہ",0.555735328683963,"وازع","sقبہ"
"واقع","زگورضی",0.552221274933669,"واقd","زتورضی"
"کیا","تھا",0.589077837944107,"کچا","کھا"
"کیا","ساتھ",0.432836641396189,"کخا","ساتب"
"کیا","بلایا",0.420239647448408,"کیڑ","بلایا"
"کیا","پیش",0.407093534736303,"کیص","ریش"
"کیا","کام",0.402596324333708,"کیڑ","ۃام"
"تھا","کیا",0.589077837944107,"تسا","کذا"
"تھا","تھایہ",0.536273505390298,"حھا","گھایہ"
"تھا","بڑا",0.499246663614984,"حھا","بشا"
"تھا","وقت",0.49615899826577,"تھق","ہقت"
"تھا","اگیا",0.473232674640096,"تھب","اچیا"
"مشتمل","بلندی",0.750828650388185,"مشتمٹ","بلبدی"
"مشتمل","رقبہ",0.716776410275839,"ماتمل","رقبض"
"مشتمل","واقع",0.543488561463815,"مشنمل","وائع"
"مشتمل","ہنور",0.508774573539579,"مشتمڈ","ہرور"
"مشتمل","وودز",0.496119603316082,"مشتمه","ﮯودز"
"بلندی","مشتمل",0.750828650388185,"بلندa","مغتمل"
"بلندی","رقبہ",0.654517282238934,"يلندی","رقخہ"
"بلندی","واقع",0.594833361017261,"بلsدی","وپقع"
"بلندی","ہلزڈیل",0.584090123323778,"بلندw","ہثزڈیل"
"بلندی","لافائیٹ",0.540294857355901,"بلندا","لاnائیٹ"
"رقبہ","مشتمل",0.716776410275839,"رقنہ","مشتمb"
"رقبہ","بلندی",0.654517282238934,"نقبہ","بلیدی"
"رقبہ","واقع",0.555735328683963,"رقسہ","واقو"
"رقبہ","زگورضی",0.513812411470352,"رقبm","oگورضی"
"رقبہ","puerto",0.500176570151866,"xقبہ","peerto"
"نام","مشہور",0.516140213425304,"صام","دشہور"
"نام","کنیت",0.507521861513212,"fام","کنیz"
"نام","تھا",0.4688082917863,"ناف","تکا"
"نام","بنام",0.45662417992195,"تام","بقام"
"نام","قبيلہ",0.45280368173631,"xام","ھبيلہ"
"ساتھ","طرح",0.568236594891583,"چاتھ","طری"
"ساتھ","وقت",0.497694953521035,"ااتھ","وقگ"
"ساتھ","ساتھہ",0.466306433664915,"سبتھ","سڈتھہ"
"ساتھ","کام",0.461705630770342,"yاتھ","کےم"
"ساتھ","بہت",0.457004806101395,"ساتد","بطت"
"شہر","بوشہر",0.496197663644396,"شsر","كوشہر"
"شہر","صدرمقام",0.495037406519414,"شہر","صدرمیام"
"شہر","دارالحکومت",0.488381738821645,"غہر","دارالحکوظت"
"شہر","قصبہ",0.486057424138296,"شہذ","قصبہ"
"شہر","puerto",0.480415932671845,"شچر","pferto"
"زیادہ","علامت",0.60174212385189,"زیجدہ","علثمت"
"زیادہ","عدد",0.546579163762638,"زیاٹہ","عدد"
"زیادہ","بہت",0.484073066508756,"زٹادہ","بىت"
"زیادہ","پہلے",0.420830662921542,"حیادہ","پہلﺣ"
"زیادہ","poly",0.389697892304843,"زدادہ","pory"
"بہت","کافی",0.583791486097176,"بہآ","دافی"
"بہت","نہایت",0.516275959910651,"بہت","نہاهت"
"بہت","بڑا",0.515411450697128,"ذہت","بخا"
"بہت","بڑی",0.494320409343378,"یہت","بذی"
"بہت","زیادہ",0.484073066508756,"بپت","زیےدہ"
"وقت","طرح",0.511065931756939,"ویت","طضح"
"وقت","ساتھ",0.497694953521035,"وقf","qاتھ"
"وقت","تھا",0.49615899826577,"طقت","گھا"
"وقت","پہلے",0.473360429919277,"وقڈ","پہلذ"
"وقت","دوران",0.463460272754465,"وقک","iوران"
"پہلے","قبل",0.478623067689185,"ۓہلے","wبل"
"پہلے","وقت",0.473360429919277,"ےہلے","وکت"
"پہلے","تین",0.44447926327648,"پہلت","ٹین"
"پہلے","تھا",0.43090002441955,"پہضے","تrا"
"پہلے","زیادہ",0.420830662921542,"ثہلے","زیندہ"
"استعمال","استمعال",0.573171011463923,"ظستعمال","ﯽستمعال"
"استعمال","استمال",0.539924196704029,"استعوال","اشتمال"
"استعمال","مستعمل",0.512127080364896,"استعجال","مشتعمل"
"استعمال","اصطلاح",0.511887561302672,"استگمال","اصطلىح"
"استعمال","لفظ",0.491075447477362,"استعمڑل","لثظ"
"شامل","موجود",0.495958858935315,"شادل","موجگد"
"شامل","جیسے",0.444325814266457,"شامآ","ایسے"
"شامل","اہم",0.423073732857772,"شانل","اہﻧ"
"شامل","ساتھ",0.406989739991787,"شامگ","سsتھ"
"شامل","فہارست",0.406338866595004,"ىامل","فہارسا"
"وجہ","سبب",0.585708367016153,"وجے","زبب"
