target_word_unique,word_combo_related,word_combo_unrelated,cue_word_related,cue_word_unrelated
aanklager,advocaataanklager,controlerenaanklager,advocaat,controleren
aanname,conclusieaanname,rakenaanname,conclusie,raken
aannemelijk,uitlegaannemelijk,collegaaannemelijk,uitleg,collega
aantrekken,aandachtaantrekken,gevechtaantrekken,aandacht,gevecht
aanvaarden,weigerenaanvaarden,torenaanvaarden,weigeren,toren
aanval,invasieaanval,slakaanval,invasie,slak
aanvaller,slachtofferaanvaller,conferentieaanvaller,slachtoffer,conferentie
aanvullend,extraaanvullend,dichteraanvullend,extra,dichter
aanwijzen,puntaanwijzen,trucaanwijzen,punt,truc
aardbei,banaanaardbei,ambulanceaardbei,banaan,ambulance
aas,valaas,federaalaas,val,federaal
absurd,belachelijkabsurd,gegevensabsurd,belachelijk,gegevens
accent,stemaccent,cavalerieaccent,stem,cavalerie
achterkant,voorkantachterkant,amateurachterkant,voorkant,amateur
achternaam,bijnaamachternaam,lerenachternaam,bijnaam,leren
achtervolging,volgenachtervolging,blindachtervolging,volgen,blind
acteur,schrijveracteur,vermeldingacteur,schrijver,vermelding
activeren,in gang zettenactiveren,analistactiveren,in gang zetten,analist
activiteit,actiefactiviteit,soldaatactiviteit,actief,soldaat
administratief,beheeradministratief,levenadministratief,beheer,leven
adrenaline,hormoonadrenaline,vervenadrenaline,hormoon,verven
adres,nummeradres,vluchtenadres,nummer,vluchten
adviseren,adviesadviseren,kipadviseren,advies,kip
aflevering,serieaflevering,zeeaflevering,serie,zee
afstuderen,diplomaafstuderen,arsenaalafstuderen,diploma,arsenaal
afval,vuilnisafval,landenafval,vuilnis,landen
afwezigheid,aanwezigheidafwezigheid,draakafwezigheid,aanwezigheid,draak
akkoord,contractakkoord,stevigakkoord,contract,stevig
alarm,alertalarm,onwetendheidalarm,alert,onwetendheid
algemeen,natuurlijkalgemeen,windalgemeen,natuurlijk,wind
alibi,motiefalibi,onredelijkalibi,motief,onredelijk
alpha,bravoalpha,industriealpha,bravo,industrie
amerika,afrikaamerika,ankeramerika,afrika,anker
amerikaans voetbal,basketbalamerikaans voetbal,gravenamerikaans voetbal,basketbal,graven
analyse,autopsieanalyse,meisjeanalyse,autopsie,meisje
angst,verschrikkingangst,projectangst,verschrikking,project
antwoorden,antwoordantwoorden,oogantwoorden,antwoord,oog
apparaat,chipapparaat,redelijkapparaat,chip,redelijk
appartement,huisappartement,vloeistofappartement,huis,vloeistof
architect,ingenieurarchitect,bruinarchitect,ingenieur,bruin
arm,handarm,therapiearm,hand,therapie
arresteren,straffenarresteren,zangerarresteren,straffen,zanger
arrogantie,onwetendheidarrogantie,eigenlijkarrogantie,onwetendheid,eigenlijk
artillerie,cavalerieartillerie,haarartillerie,cavalerie,haar
arts,chirurgarts,charmearts,chirurg,charme
assistent,secretarisassistent,omlaagassistent,secretaris,omlaag
assisteren,helpenassisteren,pompassisteren,helpen,pomp
atlantische oceaan,grote oceaanatlantische oceaan,beroemdheidatlantische oceaan,grote oceaan,beroemdheid
atmosfeer,omgevingatmosfeer,waardevolatmosfeer,omgeving,waardevol
auto,voertuigauto,halloauto,voertuig,hallo
avond,nachtavond,envelopavond,nacht,envelop
baan,planeetbaan,aspirinebaan,planeet,aspirine
baard,haarbaard,examinatiebaard,haar,examinatie
baas,managerbaas,kritischbaas,manager,kritisch
badkamer,douchebadkamer,monumentbadkamer,douche,monument
band,orkestband,excellentband,orkest,excellent
bar,clubbar,mentaalbar,club,mentaal
bataljon,regimentbataljon,wegbataljon,regiment,weg
batman,supermanbatman,rustbatman,superman,rust
beambte,officieelbeambte,aarsbeambte,officieel,aars
beangstigen,laten schrikkenbeangstigen,chirurgbeangstigen,laten schrikken,chirurg
bed,bankbed,journalistiekbed,bank,journalistiek
bediende,slaafbediende,makenbediende,slaaf,maken
bedrijf,industriebedrijf,godbedrijf,industrie,god
begraafplaats,grafbegraafplaats,toepassenbegraafplaats,graf,toepassen
begrafenis,kistbegrafenis,helmbegrafenis,kist,helm
begraven,gravenbegraven,eiwitbegraven,graven,eiwit
begrijpen,realiserenbegrijpen,vuurbegrijpen,realiseren,vuur
begroeten,feliciterenbegroeten,visiebegroeten,feliciteren,visie
behandeling,therapiebehandeling,magnetischbehandeling,therapie,magnetisch
behoefte,vereistbehoefte,afbeeldingbehoefte,vereist,afbeelding
belang,betekenisbelang,oppasbelang,betekenis,oppas
belangrijk,waardevolbelangrijk,oombelangrijk,waardevol,oom
beledigen,beledigingbeledigen,eerstbeledigen,belediging,eerst
belegger,bankierbelegger,realiteitbelegger,bankier,realiteit
belofte,garantiebelofte,origineelbelofte,garantie,origineel
beloning,bonusbeloning,secundairbeloning,bonus,secundair
bereiden,klaarbereiden,waarschijnlijkheidbereiden,klaar,waarschijnlijkheid
berekenen,tellenberekenen,honingberekenen,tellen,honing
berg,heuvelberg,luisterberg,heuvel,luister
bericht,waarschuwingbericht,armoedebericht,waarschuwing,armoede
beroemd,populairberoemd,bomberoemd,populair,bom
beroven,stelenberoven,absoluutberoven,stelen,absoluut
beroving,diefstalberoving,bevolkingberoving,diefstal,bevolking
beschaving,cultuurbeschaving,geheimbeschaving,cultuur,geheim
bescheiden,nederigbescheiden,taxibescheiden,nederig,taxi
beschrijving,profielbeschrijving,landbeschrijving,profiel,land
beschuldiging,klachtbeschuldiging,veiligbeschuldiging,klacht,veilig
bestemming,lotsbestemmingbestemming,gewoonbestemming,lotsbestemming,gewoon
bestuurder,passagierbestuurder,witbestuurder,passagier,wit
bevel,commandobevel,spanningbevel,commando,spanning
bevestigen,bevestigingbevestigen,pensioenbevestigen,bevestiging,pensioen
bevriezen,smeltenbevriezen,parlementbevriezen,smelten,parlement
bewaren,houdenbewaren,administratiebewaren,houden,administratie
bewijs,bewijsmateriaalbewijs,extreembewijs,bewijsmateriaal,extreem
bier,drankjebier,kampbier,drankje,kamp
bijeenkomen,verzamelenbijeenkomen,prinsesbijeenkomen,verzamelen,prinses
bijstand,steunbijstand,zojuistbijstand,steun,zojuist
binnen,buitenbinnen,beledigingbinnen,buiten,belediging
biologie,chemiebiologie,danserbiologie,chemie,danser
biologisch,chemischbiologisch,washingtonbiologisch,chemisch,washington
blauw,bruinblauw,hoopblauw,bruin,hoop
blessure,wondblessure,jungleblessure,wond,jungle
bloem,plantbloem,motiefbloem,plant,motief
boek,bijbelboek,materieboek,bijbel,materie
boom,struikboom,toernooiboom,struik,toernooi
boos,jaloersboos,fragmentboos,jaloers,fragment
boot,onderzeeërboot,tenslotteboot,onderzeeër,tenslotte
bord,schaalbord,modernbord,schaal,modern
borst,maagborst,beherenborst,maag,beheren
boston,washingtonboston,plotselingboston,washington,plotseling
boter,honingboter,zoekenboter,honing,zoeken
bouwen,bouwbouwen,camerabouwen,bouw,camera
bovenste,lagerbovenste,beerbovenste,lager,beer
brandstof,gasbrandstof,miserabelbrandstof,gas,miserabel
breed,smalbreed,moederbreed,smal,moeder
breken,verpletterenbreken,stadionbreken,verpletteren,stadion
brief,telegrambrief,anatomiebrief,telegram,anatomie
bro,gozerbro,chaosbro,gozer,chaos
broer,zusbroer,griepbroer,zus,griep
bruid,bruidegombruid,zuidelijkbruid,bruidegom,zuidelijk
bruiloft,verlovingbruiloft,wormbruiloft,verloving,worm
buik,ruggengraatbuik,chemischbuik,ruggengraat,chemisch
buitenaards wezen,ufobuitenaards wezen,zakbuitenaards wezen,ufo,zak
bureau,firmabureau,baronbureau,firma,baron
burgemeester,sheriffburgemeester,stilburgemeester,sheriff,stil
bus,treinbus,kleinzoonbus,trein,kleinzoon
busje,aanhangerbusje,weduwebusje,aanhanger,weduwe
camping,picknickcamping,meerderheidcamping,picknick,meerderheid
centimeter,mijlcentimeter,levendcentimeter,mijl,levend
cerebraal,breincerebraal,nooitcerebraal,brein,nooit
ceremonie,ritueelceremonie,riskantceremonie,ritueel,riskant
champagne,wijnchampagne,dichtbijchampagne,wijn,dichtbij
chantage,omkopingchantage,boerchantage,omkoping,boer
charmant,aantrekkelijkcharmant,dienstcharmant,aantrekkelijk,dienst
chef,kokchef,lawaaichef,kok,lawaai
chirurgie,opererenchirurgie,huischirurgie,opereren,huis
chocolade,suikerchocolade,betekenischocolade,suiker,betekenis
christen,katholiekchristen,voortgangchristen,katholiek,voortgang
circus,dierentuincircus,volgencircus,dierentuin,volgen
cliënt,patiëntcliënt,viruscliënt,patiënt,virus
cognac,rumcognac,campagnecognac,rum,campagne
comité,commissiecomité,golfcomité,commissie,golf
commissaris,inspecteurcommissaris,voedselcommissaris,inspecteur,voedsel
communicatie,navigatiecommunicatie,nederigcommunicatie,navigatie,nederig
communistisch,racistischcommunistisch,hormooncommunistisch,racistisch,hormoon
compleet,totaalcompleet,zielcompleet,totaal,ziel
computer,softwarecomputer,tonijncomputer,software,tonijn
concentreren,focusconcentreren,lippenstiftconcentreren,focus,lippenstift
concert,tourconcert,tafelconcert,tour,tafel
correct,foutcorrect,verrassingcorrect,fout,verrassing
cowboy,rodeocowboy,zijdecowboy,rodeo,zijde
creativiteit,verbeeldingcreativiteit,naaldcreativiteit,verbeelding,naald
crimineel,diefcrimineel,gezondheidcrimineel,dief,gezondheid
