"word_id","first","original_pair","second","syll","original_freq","replacement_pair","replacement_syll","replacement_freq","freq_diff","char_diff","letter_diff","original_word","replacement_word"
18,"aan","aan-kla","kla",3,6,"aan-deel","deel",6,0,1,1,"aanklager","aandeelger"
169,"aan","aan-na","na",3,3,"viet-na","viet",3,0,1,1,"aanname","vietname"
859,"me","me-lijk","lijk",4,14,"me-thaan","thaan",2,12,1,1,"aannemelijk","aannemethaan"
2,"aan","aan-trek","trek",3,12,"aan-slag","slag",8,4,0,1,"aantrekken","aanslagken"
952,"vaar","vaar-den","den",3,3,"leef-den","leef",3,0,0,1,"aanvaarden","aanleefden"
379,"val","val-last_blank","last_blank",2,93,"ber-last_blank","ber",93,0,0,1,"aanval","aanber"
758,"val","val-ler","ler",3,7,"val-stof","stof",1,6,1,1,"aanvaller","aanvalstof"
254,"vul","vul-lend","lend",3,2,"vul-gair","gair",1,1,0,1,"aanvullend","aanvulgair"
679,"aan","aan-wij","wij",3,7,"aan-slui","slui",7,0,1,1,"aanwijzen","aansluizen"
62,"bei","bei-last_blank","last_blank",2,7,"mak-last_blank","mak",7,0,0,1,"aardbei","aardmak"
863,"aa","aa-s","s",1,4,"ld-s","ld",4,0,0,1,"aas","lds"
778,"naal","naal-last_blank","last_blank",4,54,"feest-last_blank","feest",54,0,1,1,"abdominaal","abdomifeest"
81,"surd","surd-last_blank","last_blank",2,1,"lumn-last_blank","lumn",1,0,0,1,"absurd","ablumn"
786,"cent","cent-last_blank","last_blank",2,19,"zelf-last_blank","zelf",19,0,0,1,"accent","aczelf"
923,"ter","ter-kant","kant",3,3,"ter-blij","blij",3,0,0,1,"achterkant","achterblij"
107,"naam","naam-last_blank","last_blank",3,34,"ther-last_blank","ther",34,0,0,1,"achternaam","achterther"
919,"vol","vol-ging","ging",4,8,"vol-maakt","maakt",6,2,1,1,"achtervolging","achtervolmaakt"
740,"teur","teur-last_blank","last_blank",2,63,"naar-last_blank","naar",63,0,0,1,"acteur","acnaar"
364,"ve","ve-ren","ren",4,52,"ve-naard","naard",2,50,2,1,"activeren","activenaard"
13,"vi","vi-teit","teit",4,24,"vi-vians","vians",1,23,1,1,"activiteit","activivians"
77,"ni","ni-stra","stra",5,8,"ni-cholls","cholls",1,7,2,1,"administratief","adminichollstief"
