"word_id","first","original_pair","second","syll","original_freq","replacement_pair","replacement_syll","replacement_freq","freq_diff","char_diff","letter_diff","original_word","replacement_word"
588,"miai","miai-nen","nen",3,1,"thor-nen","thor",1,0,0,1,"aamiainen","aathornen"
298,"mu","mu-last_blank","last_blank",2,28,"rän-last_blank","rän",28,0,1,1,"aamu","aarän"
874,"nes","nes-tä","tä",4,31,"erääl-tä","erääl",1,30,2,1,"äänestäjä","ääeräältäjä"
783,"nes","nes-tys","tys",3,6,"coun-tys","coun",2,4,1,1,"äänestys","ääcountys"
376,"first_blank","first_blank-ää","ää",2,133,"first_blank-jou","jou",133,0,1,1,"ääni","jouni"
632,"ni","ni-te","te",3,3,"pääs-te","pääs",3,0,2,1,"äänite","ääpääste"
809,"sur","sur-di","di",3,1,"fren-di","fren",1,0,1,1,"absurdi","abfrendi"
793,"ni","ni-last_blank","last_blank",5,3109,"ni-towocin","towocin",1,3108,3,4,"adrenaliini","adrenaliinitowocin"
610,"ai","ai-he","he",2,2,"ai-dal","dal",2,0,1,1,"aihe","aidal"
410,"ai","ai-kai","kai",3,34,"ai-heut","heut",33,1,1,1,"aikaisin","aiheutsin"
219,"leh","leh-ti","ti",5,38,"idioot-ti","idioot",5,33,3,1,"aikakauslehti","aikakausidiootti"
461,"tui","tui-nen","nen",5,14,"cheyen-nen","cheyen",1,13,3,1,"ainutlaatuinen","ainutlaacheyennen"
468,"ai","ai-ta","ta",2,1,"ai-soi","soi",1,0,1,1,"aita","aisoi"
77,"first_blank","first_blank-äi","äi",2,84,"first_blank-men","men",84,0,1,1,"äiti","menti"
763,"vo","vo-jen","jen",3,15,"vo-kuol","kuol",1,14,1,1,"aivojen","aivokuol"
702,"first_blank","first_blank-ajan","ajan",3,21,"first_blank-ikäi","ikäi",21,0,0,1,"ajanjakso","ikäijakso"
987,"ajas","ajas-tin","tin",2,2,"jain-tin","jain",2,0,0,1,"ajastin","jaintin"
63,"first_blank","first_blank-aja","aja",3,88,"first_blank-pois","pois",90,2,1,1,"ajatella","poistella"
713,"first_blank","first_blank-ajoit","ajoit",2,5,"first_blank-alcat","alcat",5,0,0,1,"ajoittaa","alcattaa"
113,"ajo","ajo-jah","jah",3,2,"ajo-tiel","tiel",2,0,1,1,"ajojahti","ajotielti"
898,"ak","ak-sent","sent",3,3,"ak-kuun","kuun",1,2,0,1,"aksentti","akkuunti"
871,"voi","voi-da","da",4,5,"barks-da","barks",2,3,2,1,"aktivoida","aktibarksda"
844,"alas","alas-ti","ti",2,1,"kees-ti","kees",1,0,0,1,"alasti","keesti"
31,"al","al-fa","fa",2,1,"al-leg","leg",1,0,1,1,"alfa","alleg"
818,"first_blank","first_blank-ali","ali",2,36,"first_blank-ste","ste",36,0,0,1,"alibi","stebi"
941,"tus","tus-last_blank","last_blank",5,211,"rencen-last_blank","rencen",4,207,3,1,"allekirjoitus","allekirjoirencen"
371,"löt","löt-tä","tä",4,5,"reiäs-tä","reiäs",3,2,2,1,"ällöttävä","älreiästävä"
594,"first_blank","first_blank-äly","äly",2,10,"first_blank-epi","epi",10,0,0,1,"älykäs","epikäs"
405,"first_blank","first_blank-ame","ame",3,34,"first_blank-syyl","syyl",34,0,1,1,"amerikka","syylrikka"
387,"nen","nen-last_blank","last_blank",6,1781,"biscuit-last_blank","biscuit",1,1780,4,1,"ammattitaitoinen","ammattitaitoibiscuit"
391,"am","am-pua","pua",2,1,"am-nes","nes",1,0,0,1,"ampua","amnes"
22,"first_blank","first_blank-ana","ana",3,31,"first_blank-sään","sään",31,0,1,1,"analyysi","säänlyysi"
890,"ank","ank-ka","ka",2,1,"von-ka","von",1,0,0,1,"ankka","vonka"
7,"an","an-taa","taa",2,3,"an-kin","kin",2,1,0,1,"antaa","ankin"
988,"lias","lias-last_blank","last_blank",3,14,"seet-last_blank","seet",14,0,0,1,"antelias","anteseet"
681,"ua","ua-last_blank","last_blank",1,8,"lk-last_blank","lk",8,0,0,1,"apua","aplk"
495,"teh","teh-ti","ti",4,1,"abort-ti","abort",1,0,2,1,"arkkitehti","arkkiabortti"
760,"mei","mei-ja","ja",3,3,"taco-ja","taco",1,2,1,1,"armeija","artacoja"
115,"ar","ar-mo","mo",2,5,"ar-vai","vai",6,1,1,1,"armo","arvai"
567,"ar","ar-pi","pi",2,3,"sum-pi","sum",3,0,1,1,"arpi","sumpi"
191,"vioin","vioin-ti","ti",3,1,"eliit-ti","eliit",1,0,0,1,"arviointi","areliitti"
862,"voi","voi-nen","nen",3,4,"voi-tais","tais",2,2,1,1,"arvoinen","arvoitais"
558,"kuus","kuus-last_blank","last_blank",3,13,"tyyn-last_blank","tyyn",13,0,0,1,"arvokkuus","arvoktyyn"
2,"vos","vos-taa","taa",3,1,"ruut-taa","ruut",1,0,1,1,"arvostaa","arruuttaa"
868,"vo","vo-ton","ton",3,13,"vo-neet","neet",2,11,1,1,"arvoton","arvoneet"
216,"as","as-e","e",1,1,"kl-e","kl",1,0,0,1,"ase","kle"
744,"ase","ase-ma","ma",2,8,"pää-ma","pää",8,0,0,1,"asema","pääma"
199,"asen","asen-ne","ne",2,2,"mian-ne","mian",2,0,0,1,"asenne","mianne"
739,"asen","asen-to","to",2,2,"apos-to","apos",2,0,0,1,"asento","aposto"
210,"first_blank","first_blank-asia","asia",2,50,"first_blank-liik","liik",50,0,0,1,"asiakas","liikkas"
474,"first_blank","first_blank-asia","asia",3,50,"first_blank-tark","tark",50,0,0,1,"asiakirja","tarkkirja"
492,"first_blank","first_blank-asian","asian",4,19,"first_blank-chris","chris",23,4,0,1,"asiantuntija","christuntija"
148,"täin","täin-last_blank","last_blank",3,7,"hers-last_blank","hers",7,0,0,1,"äskettäin","äskethers"
797,"first_blank","first_blank-ate","ate",2,16,"first_blank-nah","nah",16,0,0,1,"ateria","nahria"
855,"lan","lan-tin","tin",3,3,"teet-tin","teet",3,0,1,1,"atlantin","atteettin"
768,"rin","rin-ko","ko",3,15,"keuh-ko","keuh",11,4,1,1,"aurinko","aukeuhko"
952,"rin","rin-ko","ko",3,15,"keuh-ko","keuh",11,4,1,1,"aurinko-","aukeuhko"
349,"first_blank","first_blank-au","au",2,248,"first_blank-kor","kor",245,3,1,1,"auto","korto"
748,"to","to-tal","tal",4,8,"to-rioit","rioit",2,6,2,1,"autotalli","autorioitli"
343,"first_blank","first_blank-avio","avio",3,66,"first_blank-kuun","kuun",68,2,0,1,"avioliitto","kuunliitto"
132,"avus","avus-taa","taa",2,1,"kois-taa","kois",1,0,0,1,"avustaa","koistaa"
379,"first_blank","first_blank-avus","avus",3,33,"first_blank-viit","viit",32,1,0,1,"avustaja","viittaja"
511,"first_blank","first_blank-baa","baa",2,27,"first_blank-aje","aje",27,0,0,1,"baari","ajeri"
279,"ball","ball-last_blank","last_blank",3,4,"loit-last_blank","loit",4,0,0,1,"baseball","baseloit"
626,"first_blank","first_blank-bio","bio",3,17,"first_blank-pyyn","pyyn",17,0,1,1,"biologia","pyynlogia"
627,"first_blank","first_blank-bio","bio",4,17,"first_blank-elekt","elekt",15,2,2,1,"biologinen","elektloginen"
537,"bos","bos-ton","ton",2,1,"sau-ton","sau",1,0,0,1,"boston","sauton"
899,"br","br-o","o",1,1,"zz-o","zz",1,0,0,1,"bro","zzo"
35,"bul","bul-let","let",2,1,"moi-let","moi",1,0,0,1,"bullet","moilet"
347,"bus","bus-si","si",2,10,"sak-si","sak",10,0,0,1,"bussi","saksi"
849,"boy","boy-last_blank","last_blank",2,3,"tet-last_blank","tet",3,0,0,1,"cowboy","cowtet"
834,"wn","wn-last_blank","last_blank",1,5,"eä-last_blank","eä",5,0,0,1,"dawn","daeä"
513,"ra","ra-tia","tia",4,2,"ra-mount","mount",1,1,2,1,"demokratia","demokramount"
894,"di","di-ng","ng",1,1,"di-xo","xo",1,0,0,1,"ding","dixo"
429,"first_blank","first_blank-dol","dol",3,21,"first_blank-ajan","ajan",21,0,1,1,"dollari","ajanlari"
944,"miit","miit-ti","ti",4,1,"useas-ti","useas",1,0,1,1,"dynamiitti","dynauseasti"
9,"first_blank","first_blank-edel","edel",2,48,"first_blank-käyn","käyn",48,0,0,2,"edelleen","käynleen"
912,"dot","dot-taa","taa",3,4,"plan-taa","plan",3,1,1,1,"ehdottaa","ehplantaa"
969,"sty","sty-last_blank","last_blank",3,1,"fair-last_blank","fair",1,0,1,1,"ei pysty","ei pyfair"
676,"len","len-last_blank","last_blank",2,251,"vaa-last_blank","vaa",251,0,0,1,"eilen","eivaa"
27,"el","el-äi","äi",1,1,"el-it","it",1,0,0,1,"eläin","elitn"
670,"ment","ment-ti","ti",3,15,"kaas-ti","kaas",16,1,0,1,"elementti","elekaasti"
707,"first_blank","first_blank-elo","elo",3,46,"first_blank-hyök","hyök",46,0,1,1,"elokuva","hyökkuva"
434,"first_blank","first_blank-emo","emo",5,4,"first_blank-oaklan","oaklan",4,0,3,1,"emotionaalinen","oaklantionaalinen"
541,"first_blank","first_blank-ener","ener",2,19,"first_blank-nyrk","nyrk",19,0,0,1,"energia","nyrkgia"
385,"first_blank","first_blank-enim","enim",4,3,"first_blank-ideas","ideas",3,0,1,1,"enimmäismäärä","ideasmäismäärä"
848,"jai","jai-nen","nen",5,7,"cheyen-nen","cheyen",1,6,3,1,"ensisijainen","ensisicheyennen"
86,"epäil","epäil-ty","ty",2,4,"ikään-ty","ikään",3,1,0,2,"epäilty","ikäänty"
309,"lyt","lyt-tä","tä",5,35,"ericis-tä","ericis",1,34,3,1,"epämiellyttävä","epämielericistävä"
