"word_id","first","original_pair","second","syll","original_freq","replacement_pair","replacement_syll","replacement_freq","freq_diff","char_diff","letter_diff","original_word","replacement_word"
912,"first_blank","first_blank-dv","dv",1,3,"first_blank-գթ","գթ",3,0,0,1,"dvd","գթd"
817,"nj","nj-a","a",1,1,"gm-a","gm",1,0,0,1,"ninja","nigma"
24,"ay","ay-bo","bo",1,1,"ay-in","in",1,0,0,1,"playboy","playiny"
987,"first_blank","first_blank-uf","uf",1,1,"first_blank-վգ","վգ",1,0,0,1,"ufo","վգo"
864,"first_blank","first_blank-zo","zo",1,2,"first_blank-ес","ес",2,0,0,1,"zombie","есmbie"
733,"first_blank","first_blank-ադ","ադ",1,143,"first_blank-օգ","օգ",143,0,0,1,"ադամանդ","օգամանդ"
48,"ատ","ատ-որ","որ",1,46,"ատ-ամ","ամ",45,1,0,1,"ազատորեն","ազատամեն"
331,"first_blank","first_blank-ազ","ազ",1,343,"first_blank-սպ","սպ",341,2,0,1,"ազատություն","սպատություն"
274,"գա","գա-կա","կա",1,17,"գա-նո","նո",17,0,0,1,"ազգական","ազգանոն"
501,"գա","գա-յի","յի",1,50,"գա-ղթ","ղթ",50,0,0,1,"ազգային","ազգաղթն"
5,"դե","դե-ցո","ցո",1,19,"դե-րը","րը",19,0,0,1,"ազդեցություն","ազդերըւթյուն"
674,"նվ","նվ-ակ","ակ",1,12,"ռն-ակ","ռն",12,0,0,1,"ազնվական","ազռնական"
256,"բո","բո-մ","մ",1,2,"զի-մ","զի",2,0,0,1,"ալբոմ","ալզիմ"
219,"ալ","ալ-կո","կո",1,10,"ղա-կո","ղա",10,0,0,1,"ալկոհոլ","ղակոհոլ"
830,"first_blank","first_blank-ախ","ախ",1,99,"first_blank-pa","pa",99,0,0,1,"ախտանիշ","paտանիշ"
806,"first_blank","first_blank-ած","ած",1,55,"first_blank-sa","sa",55,0,0,1,"ածխածին","saխածին"
676,"first_blank","first_blank-ած","ած",1,55,"first_blank-քլ","քլ",55,0,0,1,"ածուխ","քլուխ"
177,"ակ","ակ-նո","նո",1,11,"լա-նո","լա",11,0,0,1,"ակնոց","լանոց"
196,"ակ","ակ-տի","տի",1,61,"ակ-ել","ել",62,1,0,1,"ակտիվ","ակելվ"
895,"ահ","ահ-last_blank","last_blank",1,26,"ոլ-last_blank","ոլ",26,0,0,1,"ահ","ոլ"
16,"աղ","աղ-բ","բ",1,1,"հե-բ","հե",1,0,0,1,"աղբ","հեբ"
909,"first_blank","first_blank-աղ","աղ",1,336,"first_blank-բն","բն",336,0,0,1,"աղբյուր","բնբյուր"
585,"մո","մո-ւկ","ւկ",1,11,"մո-դո","դո",11,0,0,1,"աղմուկ","աղմոդո"
918,"ջի","ջի-կ","կ",1,5,"ձա-կ","ձա",5,0,0,1,"աղջիկ","աղձակ"
596,"վե","վե-ս","ս",1,1,"հո-ս","հո",1,0,0,1,"աղվես","աղհոս"
602,"աղ","աղ-տո","տո",1,9,"տի-տո","տի",9,0,0,1,"աղտոտում","տիտոտում"
540,"քա","քա-տ","տ",1,1,"զո-տ","զո",1,0,0,1,"աղքատ","աղզոտ"
19,"քա","քա-տո","տո",1,6,"քա-սթ","սթ",6,0,0,1,"աղքատություն","աղքասթւթյուն"
705,"աճ","աճ-last_blank","last_blank",1,7,"ию-last_blank","ию",7,0,0,1,"աճ","ию"
863,"first_blank","first_blank-աճ","աճ",1,61,"first_blank-նմ","նմ",61,0,0,1,"աճուրդ","նմուրդ"
591,"ամ","ամ-առ","առ",1,18,"գր-առ","գր",18,0,0,1,"ամառ","գրառ"
364,"բո","բո-խ","խ",1,1,"ար-խ","ար",1,0,0,1,"ամբոխ","ամարխ"
709,"ամ","ամ-իս","իս",1,12,"ամ-բի","բի",12,0,0,1,"ամիս","ամբի"
456,"ու","ու-սի","սի",1,94,"ու-ղե","ղե",95,1,0,1,"ամուսին","ամուղեն"
23,"ու","ու-ծո","ծո",1,47,"ու-րգ","րգ",47,0,0,1,"ամուսնալուծություն","ամուսնալուրգւթյուն"
192,"ու","ու-ր","ր",1,51,"տե-ր","տե",50,1,0,1,"ամուր","ամտեր"
617,"ամ","ամ-պ","պ",1,2,"ւս-պ","ւս",2,0,0,1,"ամպ","ւսպ"
334,"ժմ","ժմ-last_blank","last_blank",1,2,"ֆթ-last_blank","ֆթ",2,0,0,1,"այժմ","այֆթ"
336,"այ","այ-լո","լո",1,7,"այ-ժմ","ժմ",7,0,0,1,"այլուր","այժմւր"
26,"այ","այ-ստ","ստ",1,8,"գե-ստ","գե",8,0,0,1,"այստեղ","գեստեղ"
259,"սօ","սօ-ր","ր",1,3,"փա-ր","փա",3,0,0,1,"այսօր","այփար"
455,"first_blank","first_blank-այ","այ",1,377,"first_blank-լի","լի",375,2,0,1,"այրին","լիրին"
389,"որ","որ-ժո","ժո",1,2,"որ-մէ","մէ",2,0,0,1,"անախորժություն","անախորմէւթյուն"
556,"նկ","նկ-ալ","ալ",1,26,"ցի-ալ","ցի",26,0,0,1,"անակնկալ","անակցիալ"
37,"ան","ան-ան","ան",1,64,"ւս-ան","ւս",63,1,0,1,"անանուն","ւսանուն"
57,"ահ","ահ-ով","ով",1,45,"ահ-այ","այ",45,0,0,1,"անապահով","անապահայ"
571,"ան","ան-ապ","ապ",1,38,"ան-գո","գո",38,0,0,1,"անապատ","անգոատ"
569,"ոմ","ոմ-իա","իա",1,6,"ւց-իա","ւց",6,0,0,1,"անատոմիա","անատւցիա"
29,"դա","դա-րո","րո",1,20,"դա-մբ","մբ",20,0,0,1,"անարդարություն","անարդամբւթյուն"
425,"ան","ան-ար","ար",1,38,"ան-ջա","ջա",38,0,0,1,"անարխիա","անջախիա"
1000,"գլ","գլ-եր","եր",1,13,"գլ-խո","խո",13,0,0,1,"անգլերեն","անգլխոեն"
595,"դա","դա-մ","մ",1,11,"իզ-մ","իզ",12,1,0,1,"անդամ","անիզմ"
418,"ան","ան-իծ","իծ",1,4,"ան-ոլ","ոլ",4,0,0,1,"անիծել","անոլել"
45,"խո","խո-հե","հե",1,5,"րա-հե","րա",5,0,0,1,"անխոհեմ","անրահեմ"
34,"րո","րո-ղո","ղո",1,30,"րո-ւց","ւց",31,1,0,1,"անկարողություն","անկարուցւթյուն"
410,"կյ","կյ-ու","ու",1,64,"յն-ու","յն",64,0,0,1,"անկյուն","անյնուն"
164,"ան","ան-կո","կո",1,45,"տա-կո","տա",46,1,0,1,"անկում","տակում"
699,"ստ","ստ-ու","ու",1,97,"ւն-ու","ւն",96,1,0,1,"անհանգստությամբ","անհանգւնությամբ"
224,"հա","հա-ջո","ջո",1,65,"հա-նձ","նձ",65,0,0,1,"անհաջող","անհանձղ"
488,"հա","հա-ջո","ջո",1,65,"հա-ղթ","ղթ",65,0,0,1,"անհաջողակ","անհաղթղակ"
917,"ար","ար-last_blank","last_blank",1,242,"լը-last_blank","լը",242,0,0,1,"անհարմար","անհարմլը"
790,"ան","ան-հն","հն",1,8,"ան-ցմ","ցմ",8,0,0,1,"անհնարին","անցմարին"
445,"ան","ան-հր","հր",1,13,"ան-դը","դը",13,0,0,1,"անհրաժեշտ","անդըաժեշտ"
684,"ազ","ազ-մ","մ",1,4,"հի-մ","հի",4,0,0,1,"անձնակազմ","անձնակհիմ"
672,"ձն","ձն-ակ","ակ",1,12,"ւր-ակ","ւր",12,0,0,1,"անձնական","անւրական"
592,"ան","ան-ձր","ձր",1,8,"ան-ցմ","ցմ",8,0,0,1,"անձրեւ","անցմեւ"
638,"ան","ան-մե","մե",1,6,"սա-մե","սա",6,0,0,1,"անմեղ","սամեղ"
469,"first_blank","first_blank-ան","ան",1,1728,"first_blank-կո","կո",1641,87,0,1,"անուն","կոուն"
988,"ան","ան-սո","սո",1,12,"ան-իի","իի",12,0,0,1,"անսովոր","անիիվոր"
49,"գո","գո-ւթ","ւթ",1,50,"գո-յա","յա",50,0,0,1,"անվտանգություն","անվտանգոյայուն"
186,"ղյ","ղյ-ակ","ակ",1,3,"նչ-ակ","նչ",3,0,0,1,"անտեղյակություն","անտենչակություն"
32,"ան","ան-օգ","օգ",1,3,"ան-կմ","կմ",3,0,0,1,"անօգնական","անկմնական"
30,"օգ","օգ-ու","ու",1,8,"մփ-ու","մփ",8,0,0,1,"անօգուտ","անմփուտ"
989,"ան","ան-օր","օր",1,8,"ան-չե","չե",8,0,0,1,"անօրինական","անչեինական"
52,"first_blank","first_blank-աշ","աշ",1,336,"first_blank-բն","բն",336,0,0,1,"աշխատանք","բնխատանք"
719,"first_blank","first_blank-աշ","աշ",1,336,"first_blank-բն","բն",336,0,0,1,"աշտարակ","բնտարակ"
11,"աչ","աչ-ք","ք",1,1,"ղե-ք","ղե",1,0,0,1,"աչք","ղեք"
51,"ապ","ապ-ագ","ագ",1,8,"ծկ-ագ","ծկ",8,0,0,1,"ապագա","ծկագա"
720,"ակ","ակ-ի","ի",1,158,"ոն-ի","ոն",158,0,0,1,"ապակի","ապոնի"
58,"first_blank","first_blank-ապ","ապ",1,330,"first_blank-պե","պե",330,0,0,1,"ապաստան","պեաստան"
18,"ապ","ապ-ու","ու",1,36,"տմ-ու","տմ",36,0,0,1,"ապուր","տմուր"
62,"իշ","իշ-ը","ը",1,11,"եղ-ը","եղ",11,0,0,1,"ապրանքանիշը","ապրանքանեղը"
185,"first_blank","first_blank-ապ","ապ",1,330,"first_blank-պե","պե",330,0,0,1,"ապրել","պերել"
977,"first_blank","first_blank-աջ","աջ",1,46,"first_blank-լս","լս",46,0,0,1,"աջակցություն","լսակցություն"
271,"իմ","իմ-ու","ու",1,30,"ես-ու","ես",30,0,0,1,"առաջադիմություն","առաջադեսություն"
66,"աջ","աջ-ար","ար",1,45,"րտ-ար","րտ",45,0,0,1,"առաջարկել","առրտարկել"
915,"աջ","աջ-ին","ին",1,13,"սթ-ին","սթ",13,0,0,1,"առաջին","առսթին"
346,"առ","առ-աս","աս",1,24,"առ-նո","նո",24,0,0,1,"առասպել","առնոպել"
75,"եվ","եվ-ան","ան",1,4,"ժյ-ան","ժյ",4,0,0,1,"առեվանգել","առժյանգել"
955,"առ","առ-լա","լա",1,1,"առ-իչ","իչ",1,0,0,1,"առլան","առիչն"
861,"լտ","լտ-րա","րա",1,4,"լտ-իք","իք",4,0,0,1,"առլտրական","առլտիքկան"
139,"առ","առ-կա","կա",1,13,"դե-կա","դե",12,1,0,1,"առկայություն","դեկայություն"
703,"ող","ող-ջ","ջ",1,3,"ջի-ջ","ջի",3,0,0,1,"առողջ","առջիջ"
475,"առ","առ-ող","ող",1,42,"առ-նա","նա",41,1,0,1,"առողջապահություն","առնաջապահություն"
318,"ջե","ջե-վի","վի",1,1,"գի-վի","գի",1,0,0,1,"առջեվի","առգիվի"
691,"եղ","եղ-last_blank","last_blank",1,33,"կո-last_blank","կո",33,0,0,1,"ասեղ","ասկո"
778,"աս","աս-են","են",1,19,"աս-ոց","ոց",20,1,0,1,"ասենք","ասոցք"
628,"պա","պա-րե","րե",1,37,"դե-րե","դե",37,0,0,1,"ասպարեզ","ասդերեզ"
665,"աս","աս-պի","պի",1,14,"պա-պի","պա",14,0,0,1,"ասպիրին","պապիրին"
79,"first_blank","first_blank-աս","աս",1,481,"first_blank-սի","սի",482,1,0,1,"աստված","սիտված"
176,"նչ","նչ-last_blank","last_blank",1,9,"ւխ-last_blank","ւխ",9,0,0,1,"աստվածաշունչ","աստվածաշոււխ"
480,"ագ","ագ-last_blank","last_blank",1,16,"իշ-last_blank","իշ",16,0,0,1,"ավագ","ավիշ"
883,"ծր","ծր-last_blank","last_blank",1,1,"dm-last_blank","dm",1,0,0,1,"ավելի ցածր","ավելի ցաdm"
826,"ատ","ատ-ել","ել",1,37,"որ-ել","որ",37,0,0,1,"ատելություն","որելություն"
88,"ոմ","ոմ-այ","այ",1,9,"գր-այ","գր",9,0,0,1,"ատոմային","ատգրային"
280,"րճ","րճ-ան","ան",1,11,"տե-ան","տե",11,0,0,1,"ատրճանակ","ատտեանակ"
333,"ար","ար-ակ","ակ",1,194,"ար-ձա","ձա",169,25,0,1,"արական","արձաան"
937,"լա","լա-փա","փա",1,9,"լա-յե","յե",9,0,0,1,"արգելափակված","արգելայեկված"
95,"գե","գե-լվ","լվ",1,5,"ցո-լվ","ցո",5,0,0,1,"արգելված","արցոլված"
382,"դա","դա-ր","ր",1,14,"գե-ր","գե",14,0,0,1,"արդար","արգեր"
221,"ար","ար-դե","դե",1,14,"ար-հա","հա",14,0,0,1,"արդեն","արհան"
190,"ար","ար-դյ","դյ",1,71,"ար-յա","յա",70,1,0,1,"արդյունաբերություն","արյաունաբերություն"
98,"նք","նք-last_blank","last_blank",1,119,"րա-last_blank","րա",118,1,0,1,"արդյունք","արդյուրա"
101,"ւտ","ւտ-ք","ք",1,4,"եր-ք","եր",4,0,0,1,"արեւմուտք","արեւմոերք"
104,"նա","նա-նա","նա",1,23,"չի-նա","չի",23,0,0,1,"արժանանալ","արժաչինալ"
170,"ժե","ժե-ք","ք",1,7,"ու-ք","ու",7,0,0,1,"արժեք","արուք"
443,"քա","քա-վո","վո",1,6,"քա-րդ","րդ",6,0,0,1,"արժեքավոր","արժեքարդր"
738,"ար","ար-իո","իո",1,16,"ար-բա","բա",16,0,0,1,"արիություն","արբաւթյուն"
633,"ար","ար-յա","յա",1,70,"ար-դյ","դյ",71,1,0,1,"արյան","արդյն"
303,"շա","շա-վ","վ",1,1,"սգ-վ","սգ",1,0,0,1,"արշավ","արսգվ"
161,"ար","ար-ջ","ջ",1,1,"րի-ջ","րի",1,0,0,1,"արջ","րիջ"
202,"վե","վե-ստ","ստ",1,75,"փա-ստ","փա",74,1,0,1,"արվեստ","արփաստ"
811,"դր","դր-ող","ող",1,25,"ցն-ող","ցն",24,1,0,1,"արտադրող","արտացնող"
