en_cue,en_target,unique,en_cosine,en_fake_cue,en_fake_target,af_target,af_cue,af_cosine,af_fake_cue,af_fake_target,ar_target,ar_cue,ar_cosine,ar_fake_cue,ar_fake_target,bg_target,bg_cue,bg_cosine,bg_fake_cue,bg_fake_target,ca_target,ca_cue,ca_cosine,ca_fake_cue,ca_fake_target,cs_target,cs_cue,cs_cosine,cs_fake_cue,cs_fake_target,da_target,da_cue,da_cosine,da_fake_cue,da_fake_target,de_target,de_cue,de_cosine,de_fake_cue,de_fake_target,el_target,el_cue,el_cosine,el_fake_cue,el_fake_target,es_target,es_cue,es_cosine,es_fake_cue,es_fake_target,et_target,et_cue,et_cosine,et_fake_cue,et_fake_target,eu_target,eu_cue,eu_cosine,eu_fake_cue,eu_fake_target,fa_target,fa_cue,fa_cosine,fa_fake_cue,fa_fake_target,fi_target,fi_cue,fi_cosine,fi_fake_cue,fi_fake_target,fr_target,fr_cue,fr_cosine,fr_fake_cue,fr_fake_target,gl_target,gl_cue,gl_cosine,gl_fake_cue,gl_fake_target,he_target,he_cue,he_cosine,he_fake_cue,he_fake_target,hi_target,hi_cue,hi_cosine,hi_fake_cue,hi_fake_target,hr_target,hr_cue,hr_cosine,hr_fake_cue,hr_fake_target,hu_target,hu_cue,hu_cosine,hu_fake_cue,hu_fake_target,hy_target,hy_cue,hy_cosine,hy_fake_cue,hy_fake_target,id_target,id_cue,id_cosine,id_fake_cue,id_fake_target,it_target,it_cue,it_cosine,it_fake_cue,it_fake_target,ja_target,ja_cue,ja_cosine,ja_fake_cue,ja_fake_target,ko_target,ko_cue,ko_cosine,ko_fake_cue,ko_fake_target,lt_target,lt_cue,lt_cosine,lt_fake_cue,lt_fake_target,lv_target,lv_cue,lv_cosine,lv_fake_cue,lv_fake_target,nl_target,nl_cue,nl_cosine,nl_fake_cue,nl_fake_target,no_target,no_cue,no_cosine,no_fake_cue,no_fake_target,pl_target,pl_cue,pl_cosine,pl_fake_cue,pl_fake_target,pt_target,pt_cue,pt_cosine,pt_fake_cue,pt_fake_target,ro_target,ro_cue,ro_cosine,ro_fake_cue,ro_fake_target,ru_target,ru_cue,ru_cosine,ru_fake_cue,ru_fake_target,sk_target,sk_cue,sk_cosine,sk_fake_cue,sk_fake_target,sl_target,sl_cue,sl_cosine,sl_fake_cue,sl_fake_target,sr_target,sr_cue,sr_cosine,sr_fake_cue,sr_fake_target,sv_target,sv_cue,sv_cosine,sv_fake_cue,sv_fake_target,ta_target,ta_cue,ta_cosine,ta_fake_cue,ta_fake_target,tr_target,tr_cue,tr_cosine,tr_fake_cue,tr_fake_target,uk_target,uk_cue,uk_cosine,uk_fake_cue,uk_fake_target,ur_target,ur_cue,ur_cosine,ur_fake_cue,ur_fake_target,vi_target,vi_cue,vi_cosine,vi_fake_cue,vi_fake_target,zh_cn_target,zh_cn_cue,zh_cn_cosine,zh_cn_fake_cue,zh_cn_fake_target,zh_tw_target,zh_tw_cue,zh_tw_cosine,zh_tw_fake_cue,zh_tw_fake_target,total
actually,really,actuallyreally,NA,NA,NA,werklik,eintlik,0.42603403,eiftlik,werklek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,egentligt,egentlig,0.762240682,egentlin,eguntligt,NA,NA,NA,NA,NA,πραγματικά,πράγματι,0.692868469,προγματι,πααγματικά,NA,NA,NA,NA,NA,päriselt,tegelikult,0.547854105,tegblikult,päriselt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,vraiment,réellement,0.697540048,réellèment,vrazment,NA,NA,NA,NA,NA,באמת,בעצם,0.476493667,ביצם,באמפ,NA,NA,NA,NA,NA,doista,zapravo,0.537745452,zspravo,doistf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,really,actually,0.825095062,actsally,rearly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,virkelig,egentlig,0.389454503,egektlig,virkulig,faktycznie,rzeczywiście,0.743567003,rzeczykiście,faktscznie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,zaista,zapravo,0.609821899,zupravo,zavsta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,really,actually,0.90384744,جctually,redlly,really,actually,0.866778954,actuacly,reallú,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.72972973
admire,appreciate,admireappreciate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ценя,възхищавам,0.528231703,съзхищавам,цзня,NA,NA,NA,NA,NA,oceňovat,obdivovat,0.571139582,cbdivovat,řceňovat,værdsætte,beundre,0.466410784,beunbre,værdsægte,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,arvostaa,ihailla,0.481884956,ihailca,arkostaa,apprécie,admire,0.65691751,admire,apyrécie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,waardeer,bewonder,0.608407268,beronder,waardeeh,verdsette,beundre,0.392730613,beøndre,verdsettn,docenić,podziwiać,0.536636767,podziwiał,dścenić,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ceniti,občudovati,0.567194302,občudovath,oeniti,NA,NA,NA,NA,NA,uppskatta,beundra,0.452758087,beuidra,uppsratta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.97297297
agent,detective,agentdetective,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,detektiv,agent,0.523139603,agení,dhtektiv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nyomozó,ügynök,0.557309082,üeynök,nsomozó,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,detective,agent,0.538628174,agont,detectlve,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,detective,agente,0.546903852,tgente,detective,detectiv,agent,0.517948621,ament,detecţiv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,detektiv,agent,0.483844161,vgent,deteksiv,detektiv,agent,0.533532503,avent,detekliv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dedektif,ajan,0.568999916,anan,dedektiş,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.46846847
aids,hiv,aidshiv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hiv,aids,0.431737684,amds,hit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hiv,aids,0.548106347,aias,hib,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hiv,sida,0.717590883,vida,hib,вич,спид,0.632028703,юпид,вйч,NA,NA,NA,NA,NA,hiv,aids,0.518277668,aidj,hib,hiv,aids,0.615256262,aidv,hhv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hiv,aids,0.706391625,aide,aiv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hiv,aids,0.475498586,aidợ,hiờ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.46846847
air,oxygen,airoxygen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,кислород,въздух,0.606365389,уъздух,кисяород,NA,NA,NA,NA,NA,kyslík,vzduch,0.633769836,víduch,kyslíi,ilt,luft,0.551470458,ldft,ilt,NA,NA,NA,NA,NA,οξυγόνο,αέρα,0.545130599,φέρα,εξυγόνο,oxígeno,aire,0.497396305,aird,oxígeyo,hapnik,õhk,0.459710636,õhf,þapnik,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,חמצן,אוויר,0.463881636,אוואר,חקצן,NA,NA,NA,NA,NA,kisika,vazduha,0.495387602,vrzduha,kisška,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,oksigen,udara,0.427962496,utara,oksigln,ossigeno,aria,0.466564824,arsa,ossigenb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,oksygen,luft,0.517025517,yuft,oksyfen,tlen,powietrza,0.458083073,powićtrza,tlej,NA,NA,NA,NA,NA,oxigen,aer,0.408506603,aep,oxigăn,кислород,воздух,0.547446139,воздтх,кжслород,NA,NA,NA,NA,NA,kisik,zrak,0.432279107,zrag,nisik,kiseonik,vazduh,0.478916284,vazdsh,kiseožik,syre,luft,0.550242898,lult,syxe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.73873874
alcohol,drug,alcoholdrug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,droga,alcohol,0.55681302,alcogol,droja,narkootikum,alkohol,0.496458036,apkohol,nrrkootikum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,drogue,alcool,0.556787067,alzool,drogie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,droga,alkohol,0.58751698,alkobol,iroga,drog,alkohol,0.626478054,alkéhol,srog,թմրամիջոց,ալկոհոլ,0.505571359,ալկոհռլ,թմրամիջքց,NA,NA,NA,NA,NA,droga,alcool,0.522137442,alcoyl,droga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,narkotika,alkohol,0.444819636,alyohol,narkntika,narkotyk,alkohol,0.567924318,aćkohol,ncrkotyk,NA,NA,NA,NA,NA,drog,alcool,0.547544355,alcooî,arog,наркотик,алкоголь,0.576174642,алксголь,наюкотик,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,droga,alkohol,0.592131149,alklhol,zroga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.47747748
allow,let,allowlet,NA,NA,NA,NA,NA,NA,NA,NA,تسمحوا,تسمحي,0.683560542,تسةحي,تبمحوا,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nechat,dovolit,0.477620753,dovrlit,nejhat,lade,tillade,0.48243867,tillvde,ladu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,תרשה,הרשה,0.705302393,זרשה,תרשפ,NA,NA,NA,NA,NA,pustiti,dopustiti,0.698824643,dopuvtiti,pustito,enged,megenged,0.558026021,megánged,engen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,позволять,позволить,0.721010292,позвоиить,позволянь,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.21621622
alone,lonely,alonelonely,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,самотен,самичък,0.415247192,сампчък,самомен,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ensom,alene,0.494667591,alenø,bnsom,einsam,alleine,0.434230602,alleini,einsäm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yksinäinen,yksinään,0.406679751,yksinjän,yksinoinen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ensom,alene,0.463597953,alehe,engom,samotny,samotnie,0.615426301,samwtnie,samotoy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,одинок,одиноко,0.576735982,одиюоко,одинои,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yanlızca,yanlız,0.434108269,yanlşz,yanaızca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lonely,alone,0.771433304,altne,lotely,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.72072072
already,still,alreadystill,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,stadig,allerede,0.411163659,alleredz,stadid,NA,NA,NA,NA,NA,ακόμα,ήδη,0.466970299,λδη,ϊκόμα,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,עדיין,כבר,0.571664732,כבו,עןיין,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,դեռ,արդեն,0.525228509,արձեն,դյռ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fremdeles,allerede,0.324466296,rllerede,hremdeles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,jos,vec,0.459571945,ćec,jog,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hala,şimdiden,0.323749356,şiüdiden,hals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.21621622
always,constantly,alwaysconstantly,NA,NA,NA,heeltyd,altyd,0.416202602,mltyd,hfeltyd,NA,NA,NA,NA,NA,непрестанно,постоянно,0.744988185,пустоянно,непрестаньо,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,andauernd,immerzu,0.641908789,imrerzu,andvuernd,διαρκώς,πάντοτε,0.481168843,ζάντοτε,δέαρκώς,NA,NA,NA,NA,NA,pidevalt,alati,0.441302684,alaüi,pivevalt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,stalno,uvijek,0.593550448,nvijek,staino,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,neustále,vždy,0.408933748,vždg,neugtále,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,постійно,завжди,0.394542976,завжси,посдійно,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.46846847
