"word_id","first","original_pair","second","syll","original_freq","replacement_pair","replacement_syll","replacement_freq","freq_diff","char_diff","letter_diff","original_word","replacement_word"
180,"vents","vents-last_blank","last_blank",3,1,"pongu-last_blank","pongu",1,0,0,1,"absolvents","absolpongu"
813,"surds","surds-last_blank","last_blank",2,1,"truēs-last_blank","truēs",1,0,0,1,"absurds","abtruēs"
793,"first_blank","first_blank-acīm","acīm",4,8,"first_blank-egois","egois",8,0,1,1,"acīmredzami","egoisredzami"
912,"tīvs","tīvs-last_blank","last_blank",5,23,"braukt-last_blank","braukt",12,11,2,1,"administratīvs","administrabraukt"
266,"līns","līns-last_blank","last_blank",4,3,"fordu-last_blank","fordu",3,0,1,1,"adrenalīns","adrenafordu"
572,"re","re-se","se",3,3,"re-dzēs","dzēs",3,0,2,1,"adrese","adredzēs"
833,"first_blank","first_blank-aģen","aģen",3,16,"first_blank-kais","kais",16,0,0,1,"aģentūra","kaistūra"
940,"first_blank","first_blank-ag","ag",2,50,"first_blank-kra","kra",50,0,1,1,"agri","krari"
103,"bēgt","bēgt-last_blank","last_blank",2,4,"deet-last_blank","deet",4,0,0,1,"aizbēgt","aizdeet"
405,"vums","vums-last_blank","last_blank",3,12,"šauj-last_blank","šauj",12,0,0,1,"aizdevums","aizdešauj"
756,"mīgs","mīgs-last_blank","last_blank",3,29,"liek-last_blank","liek",29,0,0,1,"aizdomīgs","aizdoliek"
9,"liegt","liegt-last_blank","last_blank",2,2,"smelt-last_blank","smelt",2,0,0,1,"aizliegt","aizsmelt"
681,"aiz","aiz-mu","mu",4,13,"todža-mu","todža",2,11,2,1,"aizmugurē","todžamugurē"
12,"vēt","vēt-last_blank","last_blank",3,33,"dzas-last_blank","dzas",33,0,1,1,"aizstāvēt","aizstādzas"
815,"na","na-last_blank","last_blank",5,1778,"na-badzîgiem","badzîgiem",1,1777,1,4,"aizturēšana","aizturēšanabadzîgiem"
39,"vai","vai-not","not",3,8,"vai-ries","ries",3,5,1,1,"aizvainot","aizvairies"
75,"vērt","vērt-last_blank","last_blank",2,7,"celt-last_blank","celt",7,0,0,1,"aizvērt","aizcelt"
14,"to","to-tājs","tājs",4,4,"to-reļļu","reļļu",1,3,1,1,"aizvietotājs","aizvietoreļļu"
89,"cents","cents-last_blank","last_blank",2,5,"dists-last_blank","dists",5,0,0,1,"akcents","akdists"
16,"mens","mens-last_blank","last_blank",2,35,"jošs-last_blank","jošs",35,0,0,1,"akmens","akjošs"
545,"ak","ak-nas","nas",2,1,"ak-cio","cio",1,0,0,1,"aknas","akcio"
84,"tie","tie-ris","ris",3,6,"tie-koùo","koùo",1,5,1,1,"aktieris","aktiekoùo"
824,"vi","vi-zēt","zēt",4,3,"vi-rieus","rieus",1,2,2,1,"aktivizēt","aktivirieus"
837,"ale","ale-ja","ja",2,1,"dii-ja","dii",1,0,0,1,"aleja","diija"
123,"fa","fa-last_blank","last_blank",2,34,"dei-last_blank","dei",34,0,1,1,"alfa","aldei"
624,"al","al-ga","ga",2,2,"seš-ga","seš",2,0,1,1,"alga","sešga"
508,"first_blank","first_blank-ali","ali",2,25,"first_blank-mag","mag",25,0,0,1,"alibi","magbi"
200,"al","al-us","us",1,1,"al-po","po",1,0,0,1,"alus","alpo"
827,"at","at-s","s",1,7,"rl-s","rl",7,0,0,1,"amats","amrls"
7,"first_blank","first_blank-ame","ame",3,31,"first_blank-prin","prin",30,1,1,1,"amerika","prinrika"
