"cue","target","cosine","fake_cue","fake_target"
"σου","σoυ",0.613349386610085,"σύυ","σόυ"
"σου","σού",0.551333027181248,"ίου","σοί"
"σου","της",0.490635939868624,"σοζ","τής"
"σου","θες",0.401757739996231,"σον","θες"
"σου","μεγκ",0.377160493793592,"σιυ","μίγκ"
"της","τής",0.609453565262765,"τηά","τως"
"της","σου",0.490635939868624,"τηχ","σήυ"
"της","αυτης",0.478020582442794,"τηv","αττης"
"της","κοινής",0.464656729502959,"όης","ιοινής"
"της","στης",0.457337906704461,"θης","στησ"
"εδώ","εδω",0.74997200443895,"ωδώ","εδω"
"εδώ","εκεί",0.681717210804528,"ύδώ","εέεί"
"εδώ","πέρα",0.551439990462032,"όδώ","πoρα"
"εδώ","eδώ",0.490425113219225,"ωδώ","eδί"
"εδώ","τώρα",0.486545947220766,"αδώ","ττρα"
"πολύ","τόσο",0.761551406634506,"πολγ","τισο"
"πολύ","πολυ",0.692614574500157,"πώλύ","πολί"
"πολύ","υπερβολικά",0.624345962594709,"πολγ","υπερβοάικά"
"πολύ","απίστευτα",0.596694589036808,"πολζ","απίστευτα"
"πολύ","τρομερά",0.596074569557415,"πιλύ","τρομχρά"
"έχει","έχω",0.587130622757195,"έχηι","έχω"
"έχει","ειχε",0.459649767803568,"έχνι","ειζε"
"έχει","είχα",0.448702129278817,"έάει","εόχα"
"έχει","έχoυμε",0.392031410759038,"ςχει","έχτυμε"
"έχει","πρόλαβε",0.381104001226326,"έκει","έρόλαβε"
"είμαι","μαι",0.67631712495821,"είμαι","ςαι"
"είμαι","eίμαι",0.631776046151463,"είμψι","eίμασ"
"είμαι","παραείμαι",0.580556166649231,"είκαι","παραεημαι"
"είμαι","ήμουνα",0.570375837267483,"είπαι","ήμιυνα"
"είμαι","φαίνομαι",0.55808625851197,"ςίμαι","φαίνοχαι"
"τώρα","τωρα",0.58265293686846,"τβρα","τωόα"
"τώρα","tώρα",0.516220266586299,"τώρν","βώρα"
"τώρα","στιγμή",0.487313910556629,"τώπα","φτιγμή"
"τώρα","εδώ",0.486545947220766,"τώλα","εγώ"
"τώρα","πλέον",0.459479222069536,"τώζα","ώλέον"
"εγώ","εγω",0.693932182052093,"εγξ","εvω"
"εγώ","eγώ",0.619383857522566,"εγώ","eγρ"
"εγώ","εσύ",0.608510988333364,"xγώ","επύ"
"εγώ","είμαι",0.498675005709976,"εψώ","ειμαι"
"εγώ","εκείνος",0.43277611974914,"ςγώ","εκείψος"
"μαζί","μαζι",0.700251606431591,"μαωί","μάζι"
"μαζί","χωριστά",0.455718744033678,"μαζω","χωρσστά"
"μαζί","παρέα",0.446711127370813,"μυζί","παράα"
"μαζί","εδώ",0.417330407205165,"μαζί","εδo"
"μαζί","δίπλα",0.370177372887562,"μαρί","δίπλφ"
"έτσι","σωστά",0.604368026395008,"ατσι","σωστβ"
"έτσι","όπως",0.534259760519607,"έέσι","όπωύ"
"έτσι","κάπως",0.44824321652051,"έτση","κάπας"
"έτσι","τώρα",0.437220248566368,"έτσδ","τώρν"
"έτσι","άσχημα",0.436624166500696,"έτσά","άσχρμα"
"μόνο","μονάχα",0.799802213757122,"μώνο","μονάχί"
"μόνο","μονο",0.601332436495489,"μόφο","μοθο"
"μόνο","μόvο",0.547498603695532,"μπνο","μόvλ"
