"ja_cue","ja_fake_cue","ja_target","ja_fake_target","en_cue","en_target"
"九月","カ目","十月","ナ月","september","october"
"十一月","貝リ月","十二月","冒子月","november","december"
"六月","穴日","七月","害危","june","july"
"偽","セニ","間違い","ファリー","fake","FALSE"
"エイズ","はまず","エイチアイブイ","アブブ","aids","hiv"
"ボイス","イボス","アクセント","ルーセント","voice","accent"
"アクティブ","いつティブ","アクティビティ","クラティビティ","active","activity"
"すり傷","りす場","あざ","一又","scratch","bruise"
"秘書","じに","アシスタント","ガレスタント","secretary","assistant"
"被害者","単場者","加害者","架吉者","victim","attacker"
"低い","砥い","アッパー","稿い","lower","upper"
"助言","力言","アドバイス","ドアバイス","advice","advise"
"ホルモン","ルホモン","アドレナリン","アトナレリン","hormone","adrenaline"
"家","弓え","アパート","パアート","house","apartment"
"ガチョウ","ガミョウ","アヒル","トドル","goose","duck"
"アフリカ","糸急リカ","アメリカ","州のリカ","africa","america"
"動機","言欠ず","アリバイ","アリリろ","motive","alibi"
"ブラボー","ブラ込む","アルファ","アル改羊","bravo","alpha"
"暖かい","文戦い","冷たい","玲ねり","warm","cool"
"バナナ","パフナ","いちご","体日ご","banana","strawberry"
"普通","導路","いつもの","トフもの","ordinary","usual"
"通常は","柔らは","いつもは","ドフしは","normally","usually"
"親戚","新威","いとこ","督臓こ","relative","cousin"
"現象","キ","出来事","山未箏","phenomenon","event"
"インスパイヤ","インスパ丕正","インスピレーション","インヌピレーダーン","inspire","inspiration"
"啓示","うあ","ヴィジョン","旗間ジョン","revelation","vision"
"ウェイター","スパイター","ウェイトレス","かわイトレヌ","waiter","waitress"
"インターネット","インタージュト","ウェブ","自田ブ","internet","web"
"ウィスキー","俳しズキー","ウォッカ","ウォ平な","whiskey","vodka"
"狐","経給","ウサギ","珍竂ギ","fox","rabbit"
"嘘","歔","うそつき","体守つき","lie","liar"
"ストレス","スト浅ろ","うつ","続ん","stress","depression"
"ロバ","社公","うま","ムご","donkey","horse"
"わかった","柵除った","うん","冗段","okay","yeah"
"ファーム","ノマーム","エージェンシー","バルジェンシー","firm","agency"
"宇宙船","字由舶","エイリアン","減謝リアン","ufo","alien"
"ギャラリー","征治ラリー","展覧会","屏見会","gallery","exhibition"
"練習","厄応","エクササイズ","儀会ササイズ","practice","exercise"
"パワー","案全ー","エネルギー","欧機ルギー","power","energy"
"シリーズ","薪目ーズ","エピソード","立よドーソ","series","episode"
"ペスト","王言ト","エピデミック","私音デニック","plague","epidemic"
"ファッショナブル","首由ッショナブル","エレガント","始療ガント","fashionable","elegant"
"要因","ヒニ","要素","おメント","factor","element"
"タンク","トイグ","エンジン","直民ヅン","tank","engine"
"財産","だル","オーナー","オー氾機","property","owner"
"汚れた","恭産た","おぞましい","磯能まし","dirty","disgusting"
"確率","ボル","おそらく","緑音らく","probability","likely"
"デスク","煩上ク","オフィス","僧やィス","desk","office"
"選択","界ぬ","オプション","弦奪ション","choice","option"
"人形","志れ","おもちゃ","おも密朴","doll","toy"
"緑","宇ィ","オレンジ","案いンジ","green","orange"
"墓","波れ","お墓","シッ","grave","cemetery"
"尻","メト","お尻","ボに","ass","butt"
"店","パ不","お店","お帖","shop","store"
"お父ちゃん","フキぢゃん","お母さん","近鋲きん","daddy","mum"
"おじさん","群だきん","お父さん","気寺きん","uncle","dad"
"豚肉","木ン","お肉","メツ","pork","meat"
"疲れた","候浦た","お腹がすいた","門僚がすいだ","tired","hungry"
"現金","めご","お金","杏資","cash","money"
"食物","舌ス","お食事","筈す争","food","meal"
"床","ザび","カーペット","光生へット","floor","carpet"
"ロデオ","ベーオ","カウボーイ","すグホーイ","rodeo","cowboy"
"カタツムリ","アメツムリ","カメ","秦枚","snail","turtle"
"マフィア","劇約ィア","カルテル","溝義テル","mafia","cartel"
"ワークショップ","並通クショップ","ガレージ","贈侶ージ","workshop","garage"
"甘い","集中","かわいい","かわてる","sweet","cute"
"ピアノ","深査ノ","ギター","校能一","piano","guitar"
"掴む","ぎね","キャッチ","キャプ手","grab","catch"
"眼鏡","焚断","キャップ","キャオ","glasses","cap"
"司令官","パワ官","キャプテン","キャンドン","commander","captain"
"ランプ","おもプ","キャンドル","キャプテル","lamp","candle"
"ピクニック","法えニック","キャンプ","キャーム","picnic","camping"
"ローマ","ヅャマ","ギリシャ語","培屋シャ悟","roman","greek"
"カトリック","脂輪リック","キリスト教徒","キリズト白神","catholic","christian"
"女王","養べ","キング","弾闘グ","queen","king"
"半分","替左","クォーター","廉虚ーター","half","quarter"
"患者","串者","クライアント","クライアデ","patient","client"
"典型的","くネ的","クラシック","タイシック","typical","classic"
"キロ","バ仏","グラム","安のム","kilo","gram"
"ギャング","淮備ング","グループ","肘髄ープ","gang","group"
"妄想","いは","クレイジー","ほこイジー","paranoid","crazy"
"戸棚","イ気","クローゼット","鹸察ーゼット","cabinet","closet"
"全国","ざせ","グローバル","おおーバル","national","global"
"デザート","迷理ート","ケーキ","鍵康キ","dessert","cake"
"ポータル","ポー拳紙","ゲート","奴性ト","portal","gate"
"遊ぶ","恐ち","ゲーム","ばかム","play","game"
"傷","政書","けが","年茸","wound","injury"
"カップ","デブプ","コーヒー","コー疎度","cup","coffee"
"シルク","這じク","コットン","オリトン","silk","cotton"
"ラム","カヴ","コニャック","とてャック","rum","cognac"
"オリジナル","ジナル","コピー","却えー","original","copy"
"ごみくず","こくずみ","生ごみ","こぬ牛","trash","garbage"
"インスペクタ","インスペブン","コミッショナー","ゴッショナー","inspector","commissioner"
"ナビゲーション","状猟ゲーション","コミュニケーション","託明ュニケーション","navigation","communication"
"社会","めっ","コミュニティ","趣後ュニティ","society","community"
"ドラマ","ダイマ","コメディー","禅争ディー","drama","comedy"
"猿","列動","ゴリラ","呆護ラ","monkey","gorilla"
"一度もない","視占もない","これまで","ごれ曝楽","never","ever"
"旅行","じょ","コンサート","旅桁","tour","concert"
"含む","粋続","コンテンツ","セテンツ","contain","content"
"ソフトウェア","ソフトウ旨令","コンピューター","コソクリーター","software","computer"
"動物園","レー遠","サーカス","サー凍習","zoo","circus"
"奴隷","ふも","サーバント","スパバント","slave","servant"
"形","クラ","サイン","スクン","form","sign"
"切手","れス","サイン","スグン","stamp","signature"
"許可する","ショする","許す","詐ふ","allow","let"
"スパイ","ラクイ","サボタージュ","サボターイ","espionage","sabotage"
"こんにちは","写えにちは","さよなら","孝育なら","hello","bye"
"スープ","症治プ","サラダ","橘人ダ","soup","salad"
"ライトニング","ライブムング","サンダー","弐士ダー","lightning","thunder"
"シネマ","盲想マ","シアター","格ちター","cinema","theater"
"料理","丙分","シェフ","巫業フ","cook","chef"
"避難","お椱","シェルター","ランルター","refuge","shelter"
"タバコ","もしコ","シガレット","スポレット","tobacco","cigarette"
"通信網","誓ヨ網","システム","シスヌル","network","system"
"一滴","商一","一口","回一","drop","sip"
"ナイーブ","成功ーブ","シニカル","カツカル","naive","cynical"
"レポーター","充中ーター","ジャーナリスト","プラーナリス朴","reporter","journalist"
"シャツ","コンツ","ジャケット","ストケット","shirt","jacket"
"ワイン","不忙ン","シャンパン","サインパン","wine","champagne"
"登る","企分","ジャンプ","プランプ","climb","jump"
"ミルク","訪仰ク","ジュース","計明ース","milk","juice"
"ショット","永猿ット","シュート","静がート","shot","shoot"
"シニア","長ぎア","ジュニア","ジュッチ","senior","junior"
"ロミオ","諦判オ","ジュリエット","サーリエット","romeo","juliet"
"針","イベ","シリンジ","シリトプ","needle","syringe"
"トイレ","忘耐レ","シンク","イェク","toilet","sink"
"国旗","アラ","シンボル","シン宴約","flag","symbol"
"ブリーフケース","茂果ーフゲース","スーツケース","スーパース","briefcase","suitcase"
"ゴシップ","ツナップ","スキャンダル","難尾ャンダル","gossip","scandal"
"カレンダー","央語ンダー","スケジュール","ミサジュール","calendar","schedule"
"優秀な","瓜児な","すごい","詳田い","excellent","great"
"有名人","杵可人","スター","レー","celebrity","star"
"リズム","蝉場ム","スタイル","スタイヴ","rhythm","style"
