"ta_target","ta_cue","ta_fake_cue","ta_fake_target","en_cue","en_target"
"alibi","நோக்கம்","நோ மனனள","aluri","motive","alibi"
"false","போலி","மஆலி","facbe","fake","FALSE"
"map","திசைகாட்டி","கரனஃசைகாட்டி","ssp","compass","map"
"motel","ஹோட்டல்","ஹோமனiii","ஸரtel","hotel","motel"
"paranormal","சூப்பர்நேச்சுரல்","சூப்பர்ரmaathavan","parakermal","supernatural","paranormal"
"powerless","உதவியற்ற","உதவி மனனள","poweegess","helpless","powerless"
"ransom","கடத்தல்காரன்","கடத்தலரmaathavan","ransel","kidnapper","ransom"
"requertor","ஜெனரேட்டர்","ஜெனர மனனள","requerosr","generator","reactor"
"ymrogance","அறியாமை","அறமனiii","eyrogance","ignorance","arrogance"
"அக்டோபர்","செப்டம்பர்","செப்மனiii","அக்மனiii","september","october"
"அங்கு","இங்கே","ஐர்கே","அஙகசு","here","there"
"அசிங்கமான","digusting","digustylg","அசிஙமனனனத","digusting","ugly"
"அச்சகம்","பொத்தானை","களஃத்தானை","அச்தiii","button","press"
"அடுக்குமாடி இல்லங்கள்","வீடு","வீஒப","அடுக்குமாடரshrikarsan","house","apartment"
"அடுப்பு","சூளை","ஊணளை","அடரtnse","oven","stove"
"அடையாளம்","படிவம்","படமனனய","அடைரtnse","form","sign"
"அட்டவணை","நாட்காட்டி","மமனனட்காட்டி","அட்கனனள","calendar","schedule"
"அட்லாண்டிக்","பசிபிக்","பச மனனள","அட்லரtnse","pacific","atlantic"
"அணு","அணு","எனு","எனு","atomic","nuclear"
"அணுகுமுறை","கருத்து","கரமனiii","அணு மனனள","opinion","attitude"
"அண்ணனினலின்","ஹார்மோன்","ஈமஃர்மோன்","அண்ணனமனனனத","hormone","adrenaline"
"அதிகபட்சம்","குறைந்தபட்சம்","குறைந் மனனள","அதிகபரmaathavan","minimum","maximum"
"அதிகாரப்பூர்வ","அதிகாரப்பூர்வமாக","அதிகாரப்ரmaathavan","அதிகாரரtnse","officially","official"
