"ur_cue","ur_target","type","cue_type","target_type","ur_cosine"
"رم.","cognac","related","word","word",NA
"ایڈز","hiv","related","word","word",0.388970247632202
"قانون","آئین","related","word","word",0.446051962376858
"عکس","آئینے","related","word","word",0.393810818346177
"اناج","آٹا","related","word","word",0.419676612357647
"آخر میں","آخر میں","related","word","word",NA
"پہلا","آخری","related","word","word",0.343370011609528
"ڈھال","آرمی","related","word","word",0.114493215225354
"لیونئن","آرمی","related","word","word",NA
"قدامت پسند","آزاد خیال","related","word","word",NA
"سماعت","آزمائش","related","word","word",0.111584470636008
"ناممکن","آسان","related","word","word",0.424277749999464
"آسمان","آسمانی","related","word","word",0.686951353554599
"توہین","آفس","related","word","word",0.113863482831705
"ایئر","آکسیجن","related","word","word",0.162066590712079
"رپورٹ","آگاہ کرنا","related","word","word",NA
"چپ","آلہ","related","word","word",0.150705841900968
"روبوٹ","آلہ","related","word","word",0.311767852502937
"منافع","آمدنی","related","word","word",0.45047367959721
"پہنچنا","آو","related","word","word",0.0925840845330484
"شور","آواز","related","word","word",0.269340270766467
"پہلے سے","اب بھی","related","word","word",NA
"دیر","ابتدائی","related","word","word",0.0808592859490981
"نیچے","اپ","related","word","word",0.177665807715333
"گھر","اپارٹمنٹ","related","word","word",0.351469173319782
"توجہ","اپنی طرف متوجہ","related","word","word",NA
"ہفتہ","اتوار","related","word","word",0.45798948419856
"اثر و رسوخ","اثر","related","word","word",NA
"پیسفک","اٹلانٹک","related","word","word",0.402693239175921
"ردعمل","احاطہ","related","word","word",0.119556184702015
"تاثر","احساس","related","word","word",0.38931647891999
"آرٹیکل","اخبار","related","word","word",0.206868518869702
"انتخاب","اختیار","related","word","word",0.2720257306467
"مصنف","اداکار","related","word","word",0.337718903140102
"آرٹ","ادب","related","word","word",0.301123082837223
"مقصد","ارادے","related","word","word",0.33206235007375
"دس لاکھ","ارب","related","word","word",NA
"راؤنڈ","ارد گرد","related","word","word",NA
"طالب علم","استاد","related","word","word",NA
"درخواست دیں","استعمال","related","word","word",NA
"وکیل","استغاثہ","related","word","word",0.35526585787623
"کیلا","اسٹرابیری","related","word","word",NA
"خفیہ","اسرار","related","word","word",0.254013536082478
"سیکرٹری","اسسٹنٹ","related","word","word",0.455877037487173
"کلاس","اسکول","related","word","word",0.292577964591825
"گپ شپ","اسکینڈل","related","word","word",NA
"پوائنٹ","اشارہ","related","word","word",0.0850646157402879
"اضافی","اضافی","related","word","word",1
"تسلیم","اعتراف","related","word","word",0.34468875124237
"احترام","اعتماد","related","word","word",0.327559507574425
"فکر مند","اعصابی","related","word","word",NA
"اغوا","اغوا","related","word","word",1
"دائرہ کار","اقتدار","related","word","word",NA
"ستمبر","اکتوبر","related","word","word",0.618971456669248
"کبھی کبھی","اکثر","related","word","word",NA
"انتباہ","الارم","related","word","word",0.209319861641639
"مقصد","البیبی","related","word","word",NA
"فائنل","الٹی","related","word","word",0.0839290552325846
"افراتفری","الجھاؤ","related","word","word",0.27345355651548
"شکایت","الزام","related","word","word",0.224504750045373
"براوو","الفا","related","word","word",0.323934828053596
"کابینہ","الماری","related","word","word",0.131650934147776
"اداس","المناک","related","word","word",0.27873260875069
"خدا","الہی","related","word","word",0.393608678146676
"ہیلو","الوداع","related","word","word",0.172021555336181
"افریقی","امریکہ","related","word","word",0.281368293921564
"امکانات","امکان","related","word","word",0.662431094233536
"موقع","امکان","related","word","word",0.154849410680385
"غریب","امیر","related","word","word",0.373454470089029
"مہم","انتخابات","related","word","word",0.259995659767439
"مینجمنٹ","انتظامیہ","related","word","word",0.250784562183118
"اسمارٹ","انٹیلجنٹ","related","word","word",NA
"خوراک","انجکشن","related","word","word",0.301509618792111
"ٹانک","انجن","related","word","word",0.160355095646992
"تال","انداز","related","word","word",0.218238711431986
"باہر","اندر","related","word","word",0.519921306633583
"شیڈو","اندھیرے","related","word","word",0.175242398417377
"گھوںسلا","انڈہ","related","word","word",NA
