"word_id","first","original_pair","second","syll","original_freq","replacement_pair","replacement_syll","replacement_freq","freq_diff","char_diff","letter_diff","original_word","replacement_word"
377,"sen","sen-ce","ce",3,1,"kryt-ce","kryt",1,0,1,1,"absence","abkrytce"
850,"sol","sol-vo","vo",4,5,"uzdra-vo","uzdra",2,3,2,1,"absolvovat","abuzdravovat"
809,"surd","surd-ní","ní",3,2,"nent-ní","nent",2,0,0,1,"absurdní","abnentní"
793,"first_blank","first_blank-adre","adre",3,4,"first_blank-oplz","oplz",4,0,0,1,"adrenalin","oplznalin"
409,"sa","sa-last_blank","last_blank",3,59,"sa-mozdřejmě","mozdřejmě",1,58,1,7,"adresa","adresamozdřejmě"
109,"first_blank","first_blank-agen","agen",3,21,"first_blank-vtip","vtip",21,0,0,1,"agentura","vtiptura"
119,"ak","ak-t","t",1,1,"ní-t","ní",1,0,0,1,"akt","nít"
430,"vi","vi-ta","ta",4,17,"plach-ta","plach",2,15,3,1,"aktivita","aktiplachta"
871,"vat","vat-last_blank","last_blank",4,942,"ských-last_blank","ských",79,863,2,1,"aktivovat","aktivoských"
67,"ej","ej-last_blank","last_blank",1,22,"hů-last_blank","hů",22,0,0,1,"alej","alhů"
31,"fa","fa-last_blank","last_blank",2,24,"náš-last_blank","náš",24,0,1,1,"alfa","alnáš"
818,"first_blank","first_blank-ali","ali",2,28,"first_blank-dře","dře",28,0,0,1,"alibi","dřebi"
405,"first_blank","first_blank-ame","ame",3,44,"first_blank-osla","osla",44,0,1,1,"amerika","oslarika"
22,"first_blank","first_blank-ana","ana",3,39,"first_blank-tech","tech",38,1,1,1,"analýza","techlýza"
495,"tekt","tekt-last_blank","last_blank",3,1,"enix-last_blank","enix",1,0,0,1,"architekt","archienix"
760,"má","má-da","da",3,2,"fiel-da","fiel",2,0,2,1,"armáda","arfielda"
843,"first_blank","first_blank-aro","aro",3,9,"first_blank-hlav","hlav",9,0,1,1,"arogance","hlavgance"
379,"tent","tent-last_blank","last_blank",3,3,"view-last_blank","view",3,0,0,1,"asistent","asisview"
855,"lan","lan-tik","tik",3,1,"lan-gley","gley",1,0,1,1,"atlantik","atlangley"
693,"sfé","sfé-ra","ra",4,2,"kelle-ra","kelle",1,1,2,1,"atmosféra","atmokellera"
349,"to","to-last_blank","last_blank",2,235,"ješ-last_blank","ješ",242,7,1,1,"auto","auješ"
347,"bus","bus-last_blank","last_blank",3,8,"znáš-last_blank","znáš",8,0,1,1,"autobus","autoznáš"
717,"ri","ri-ta","ta",4,18,"vzkvé-ta","vzkvé",2,16,3,1,"autorita","autovzkvéta"
423,"bič","bič-ka","ka",3,6,"zmeš-ka","zmeš",6,0,1,1,"babička","bazmeška"
97,"lík","lík-last_blank","last_blank",2,38,"deš-last_blank","deš",38,0,0,1,"balík","badeš"
511,"ba","ba-r","r",1,2,"ci-r","ci",2,0,0,1,"bar","cir"
279,"ball","ball-last_blank","last_blank",2,6,"spal-last_blank","spal",6,0,0,1,"baseball","basespal"
291,"seň","seň-last_blank","last_blank",2,4,"nač-last_blank","nač",4,0,0,1,"báseň","bánač"
854,"ba","ba-tm","tm",1,1,"ba-za","za",1,0,0,1,"bat-man","bazaan"
836,"vl","vl-na","na",3,3,"stei-na","stei",3,0,2,1,"bavlna","basteina"
868,"cen","cen-ný","ný",3,6,"sluš-ný","sluš",6,0,1,1,"bezcenný","bezslušný"
922,"moc","moc-ný","ný",3,9,"stup-ný","stup",7,2,1,1,"bezmocný","bezstupný"
547,"nost","nost-last_blank","last_blank",3,201,"cích-last_blank","cích",170,31,0,1,"bezpečnost","bezpečcích"
924,"first_blank","first_blank-bí","bí",2,27,"first_blank-umě","umě",27,0,1,1,"bída","uměda"
627,"lo","lo-gic","gic",5,58,"lo-ostrov","ostrov",1,57,3,1,"biologický","bioloostrovký"
626,"lo","lo-gie","gie",4,24,"lo-ostro","ostro",2,22,2,1,"biologie","bioloostro"
369,"tv","tv-a","a",1,5,"pi-a","pi",5,0,0,1,"bitva","bipia"
814,"hat","hat-ství","ství",3,1,"hat-ších","ších",1,0,0,1,"bohatství","bohatších"
412,"ha","ha-tý","tý",3,4,"ha-zard","zard",3,1,2,1,"bohatý","bohazard"
975,"bo","bo-jiš","jiš",3,2,"bo-tách","tách",2,0,1,1,"bojiště","botáchtě"
41,"jov","jov-ník","ník",3,1,"dešt-ník","dešt",1,0,1,1,"bojovník","bodeštník"
286,"lest","lest-last_blank","last_blank",2,3,"dley-last_blank","dley",3,0,0,1,"bolest","bodley"
537,"first_blank","first_blank-bos","bos",2,14,"first_blank-uví","uví",14,0,0,1,"boston","uvíton"
779,"bo","bo-ty","ty",2,5,"den-ty","den",4,1,1,1,"boty","denty"
357,"first_blank","first_blank-bouř","bouř",2,12,"first_blank-krou","krou",12,0,0,1,"bouřka","krouka"
121,"first_blank","first_blank-bož","bož",2,10,"first_blank-nut","nut",10,0,0,1,"božský","nutský"
899,"cho","cho-last_blank","last_blank",2,17,"ler-last_blank","ler",17,0,0,1,"brácho","bráler"
225,"first_blank","first_blank-brá","brá",2,31,"first_blank-kur","kur",31,0,0,1,"brána","kurna"
335,"first_blank","first_blank-bra","bra",2,79,"first_blank-nad","nad",81,2,0,1,"bratr","nadtr"
243,"tra","tra-nec","nec",3,1,"tra-band","band",1,0,1,1,"bratranec","bratraband"
994,"first_blank","first_blank-břiš","břiš",2,1,"first_blank-chip","chip",1,0,0,1,"břišní","chipní"
410,"br","br-zy","zy",2,1,"chó-zy","chó",1,0,1,1,"brzy","chózy"
527,"va","va-last_blank","last_blank",3,237,"ních-last_blank","ních",237,0,2,1,"budova","budoních"
420,"first_blank","first_blank-bun","bun",2,20,"first_blank-smi","smi",20,0,0,1,"bunda","smida"
582,"by","by-t","t",1,1,"on-t","on",1,0,0,1,"byt","ont"
561,"děj","děj-ni","ni",5,4,"sestře-ni","sestře",3,1,3,1,"čarodějnice","čarosestřenice"
219,"pis","pis-last_blank","last_blank",3,18,"lích-last_blank","lích",18,0,1,1,"časopis","časolích"
987,"so","so-vač","vač",3,1,"so-bách","bách",1,0,1,1,"časovač","časobách"
167,"first_blank","first_blank-čás","čás",3,16,"first_blank-skvě","skvě",16,0,1,1,"částice","skvětice"
276,"first_blank","first_blank-čas","čas",2,13,"first_blank-pun","pun",13,0,0,1,"často","punto"
311,"first_blank","first_blank-ce","ce",2,133,"first_blank-kou","kou",131,2,1,1,"cena","kouna"
171,"cen","cen-ti","ti",4,5,"gisla-ti","gisla",3,2,2,1,"centimetr","gislatimetr"
573,"pi","pi-ce","ce",3,2,"jížď-ce","jížď",2,0,2,1,"čepice","čejížďce"
322,"čer","čer-ná","ná",2,2,"děj-ná","děj",2,0,0,1,"černá","dějná"
503,"ve","ve-nec","nec",3,4,"ve-jdou","jdou",2,2,1,1,"červenec","červejdou"
705,"če","če-st","st",1,1,"ro-st","ro",1,0,0,1,"čest","rost"
692,"ces","ces-ta","ta",2,1,"nau-ta","nau",1,0,0,1,"cesta","nauta"
555," pas"," pas-last_blank","last_blank",4,1,"gusta-last_blank","gusta",1,0,1,1,"cestovní pas","cestovnígusta"
198,"ace","ace-last_blank","last_blank",7,1,"dustrial-last_blank","dustrial",1,0,5,1,"chirurgická operace","chirurgická operdustrial"
313,"chlad","chlad-ný","ný",2,1,"chvil-ný","chvil",1,0,0,1,"chladný","chvilný"
339,"pec","pec-last_blank","last_blank",2,10,"lyn-last_blank","lyn",10,0,0,1,"chlapec","chlalyn"
112,"cho","cho-ro","ro",3,8,"aste-ro","aste",5,3,1,1,"choroba","asteroba"
782,"chy","chy-ba","ba",2,2,"lej-ba","lej",2,0,0,1,"chyba","lejba"
122,"first_blank","first_blank-chy","chy",2,67,"first_blank-kri","kri",67,0,0,1,"chytit","kritit"
840,"bu","bu-le","le",3,4,"unáh-le","unáh",4,0,2,1,"cibule","ciunáhle"
443,"first_blank","first_blank-či","či",1,59,"first_blank-nu","nu",59,0,0,1,"čich","nuch"
296,"re","re-ta","ta",4,3,"plach-ta","plach",2,1,3,1,"cigareta","cigaplachta"
780,"first_blank","first_blank-cir","cir",2,7,"first_blank-dán","dán",7,0,0,1,"cirkus","dánkus"
759,"sař","sař-last_blank","last_blank",2,5,"kum-last_blank","kum",5,0,0,1,"císař","cíkum"
879,"first_blank","first_blank-cit","cit",3,14,"first_blank-umož","umož",14,0,1,1,"citlivý","umožlivý"
402,"ci","ci-vi","vi",5,17,"pozdra-vi","pozdra",2,15,4,1,"civilizace","pozdravilizace"
165,"věk","věk-last_blank","last_blank",2,5,"gán-last_blank","gán",5,0,0,1,"člověk","člogán"
648,"first_blank","first_blank-čo","čo",4,23,"first_blank-straš","straš",23,0,3,1,"čokoláda","straškoláda"
679,"ťák","ťák-last_blank","last_blank",2,23,"žeš-last_blank","žeš",23,0,0,1,"čtvrťák","čtvržeš"
294,"čtvr","čtvr-tý","tý",2,2,"kris-tý","kris",2,0,0,2,"čtvrtý","kristý"
306,"first_blank","first_blank-čty","čty",2,12,"first_blank-sar","sar",12,0,0,1,"čtyři","sarři"
