"fi_target","fi_cue","type","target_type","cue_type","fi_cosine"
"aksentti","ääni","related","word","word",0.392289289274302
"varallisuus","aarre","related","word","word",0.290802084749973
"hevonen","aasi","related","word","word",0.327280927220987
"laakso","aavikko","related","word","word",0.416997806715452
"amerikka","afrikka","related","word","word",0.605275237302711
"etsivä","agentti","related","word","word",0.467583724050729
"hiv","aids","related","word","word",0.548106347200079
"vanhempi","aikuinen","related","word","word",0.405554456502418
"jatkuvasti","aina","related","word","word",0.515120548261965
"isä","äiti","related","word","word",0.831561954637823
"aivojen","aivot","related","word","word",0.560387164571719
"ratsastaa","ajaa","related","word","word",0.432127917644288
"auto","ajoneuvo","related","word","word",0.629532530337147
"toiminta","aktiivinen","related","word","word",0.315545394247478
"liiketoiminta","ala","related","word","word",0.177511022625918
"ylöspäin","alas","related","word","word",0.488304450795305
"alasti","alaston","related","word","word",0.602650594109808
"laulu","albumi","related","word","word",0.417774608907133
"ylempi","alempi","related","word","word",0.733467018091899
"liioitella","aliarvioida","related","word","word",0.422277896644257
"lääke","alkoholi","related","word","word",0.36579216744741
"kopio","alkuperäinen","related","word","word",0.343513239225149
"vyöhyke","alue","related","word","word",0.373850075968281
"paikallinen","alueellinen","related","word","word",0.559333339758688
"ammattitaitoinen","amatööri","related","word","word",0.352916538328819
"helikopteri","ambulanssi","related","word","word",0.455583467368248
"sniper","ampuja","related","word","word",0.196221046356474
"tutkija","analyytikko","related","word","word",0.546103144987267
"kapitalismi","anarkia","related","word","word",0.430282402837464
"psykologia","anatomia","related","word","word",0.455821197512719
"purjehtia","ankkuri","related","word","word",0.360562425316642
"injektio","annos","related","word","word",0.370651263316243
"tuntematon","anonyymi","related","word","word",0.32164762437836
"syötti","ansa","related","word","word",0.341895464901846
"arvoinen","ansaitseva","related","word","word",0.394011962175153
"liekki","antaa potkut","related","word","word",NA
"tekosyy","anteeksi","related","word","word",0.156051317174404
"armo","anteeksianto","related","word","word",0.502596360497595
"gorilla","apina","related","word","word",0.452251241143276
"taistelukenttä","areena","related","word","word",0.359908003280275
"hautajaiset","arkku","related","word","word",0.357963163619669
"armeija","arsenaali","related","word","word",0.390933516604669
"sanomalehti","artikla","related","word","word",0.3041696873049
"hinta","arvo","related","word","word",0.483985910374676
"tärkeä","arvokas","related","word","word",0.580568503417083
"hiukkanen","asia","related","word","word",0.141488254167943
"asiantuntija","asiantuntija","related","word","word",1
"morfiini","aspiriini","related","word","word",0.507210437003547
"lentäjä","astronautti","related","word","word",0.457693313661987
"ydin","atomi-","related","word","word",NA
"dawn","auringonlasku","related","word","word",0.149832837471848
"avustaa","auta","related","word","word",0.29825749902228
