"no_cue","no_target","type","cue_type","target_type","no_cosine"
"gripe","å fange","related","word","word",NA
"spinal","abdominal","related","word","word",NA
"latterlig","absurd","related","word","word",0.472988731737933
"ledelse","administrativ","related","word","word",0.238073153955838
"hormon","adrenalin","related","word","word",0.394257596199711
"nummer","adresse","related","word","word",0.425400257991394
"privilegium","ære","related","word","word",0.416257485401135
"skikkelig","ærlig","related","word","word",0.280077627584584
"lojalitet","ærlighet","related","word","word",0.554811200708893
"felle","agn","related","word","word",0.342806778875485
"stemme","aksent","related","word","word",0.340313876436208
"nekte","aksepterer","related","word","word",0.35824867970216
"avtrekker","aktiveres","related","word","word",0.231469806805433
"aktiv","aktivitet","related","word","word",0.460226375473976
"advokat","aktor","related","word","word",0.462442156212148
"varsling","alarm","related","word","word",0.350481997968276
"motiv","alibi","related","word","word",0.488404635551681
"bravo","alpha","related","word","word",0.450569034623271
"valg","alternativ","related","word","word",0.391711340217365
"afrika","amerika","related","word","word",0.42566815608853
"autopsi","analyse","related","word","word",NA
"gås","and","related","word","word",0.215223848238893
"sjel","ånd","related","word","word",0.404216919221491
"invasjon","angrep","related","word","word",0.411907503178029
"offer","angriperen","related","word","word",0.208809038703288
"klage","anklage","related","word","word",0.463405181580283
"lignende","annerledes","related","word","word",0.178290445209033
"konklusjon","antagelse","related","word","word",0.381384266449023
"helt klart","åpenbart","related","word","word",NA
"jobb","arbeid","related","word","word",0.525676154272751
"bonde","arbeider","related","word","word",0.148442843624744
"ingeniør","arkitekt","related","word","word",0.361446099419145
"arsenal","armory","related","word","word",NA
"tatovering","arr","related","word","word",0.336886596811186
"straffe","arrestere","related","word","word",0.331079015459517
"uvitenhet","arroganse","related","word","word",0.420187438021777
"årsaken","årsaken","related","word","word",1
"blodåre","arterie","related","word","word",0.495444792337851
"kavaleri","artilleri","related","word","word",0.54431717666685
"arv","arve","related","word","word",0.564359739968298
"leiesoldat","assassin","related","word","word",0.198464430959597
"brukerstøtte","assistanse","related","word","word",NA
"sekretær","assistent","related","word","word",0.47136321940423
"hjelp","assistere","related","word","word",0.299444641308525
"hva","at","related","word","word",0.445834018297961
"stillehavet","atlanterhavet","related","word","word",0.588816766586967
"miljø","atmosfære","related","word","word",0.352589233614338
"jurisdiksjon","autoritet","related","word","word",0.424598967844796
"ankomst","avgang","related","word","word",0.430548719955548
"artikkel","avis","related","word","word",0.440669206844719
"oppsigelse","avskjedigelse","related","word","word",0.665780052143295
"seksjon","avsnitt","related","word","word",0.28530802259851
"kontrakt","avtale","related","word","word",0.5137563523853
"skål","bacon","related","word","word",0.0718718859525964
"dusj","baderom","related","word","word",0.365268164117128
"eske","bag","related","word","word",0.284125165197309
"hjørne","bakgate","related","word","word",0.297578833258217
"front","baksiden","related","word","word",0.160037966900364
"orkester","bånd","related","word","word",0.218896670803377
"planet","bane","related","word","word",0.313222732995128
"klubb","bar","related","word","word",0.408768204884225
"baby","barn","related","word","word",0.423244908485776
"ungdom","barndom","related","word","word",0.299085258300921
"stadion","baseball","related","word","word",0.316384521973566
"undervannsbåt","båt","related","word","word",0.433925878688396
"regiment","bataljon","related","word","word",0.489128994425038
"superman","batman","related","word","word",0.41549331980854
"kreve","be om","related","word","word",NA
"sammensvergelse","bedrageri","related","word","word",0.478715044208839
"fenomen","begivenhet","related","word","word",0.283546854459334
"grave","begrave","related","word","word",0.607972223553967
"kiste","begravelse","related","word","word",0.455338131368737
"terapi","behandling","related","word","word",0.423723857973681
"holde","beholde","related","word","word",0.448821463825512
"bekreftelse","bekrefte","related","word","word",0.725642130101684
