"word_id","first","original_pair","second","syll","original_freq","replacement_pair","replacement_syll","replacement_freq","freq_diff","char_diff","letter_diff","original_word","replacement_word"
4,"ai","ai-ds","ds",1,2,"ai-ng","ng",2,0,0,1,"aids","aing"
660,"bum","bum-last_blank","last_blank",2,7,"dey-last_blank","dey",7,0,0,1,"album","aldey"
313,"first_blank","first_blank-ấm","ấm",1,1,"first_blank-ól","ól",1,0,0,1,"ấm áp","ól áp"
625,"first_blank","first_blank-âm","âm",1,2,"first_blank-rý","rý",2,0,0,1,"âm đạo","rý đạo"
952," lịch"," lịch-last_blank","last_blank",2,1,"sosch-last_blank","sosch",1,0,0,1,"âm lịch","âmsosch"
703," mưu"," mưu-last_blank","last_blank",2,1,"cmới-last_blank","cmới",1,0,0,1,"âm mưu","âmcmới"
280," cắp"," cắp-last_blank","last_blank",2,1," có -last_blank"," có ",1,0,0,1,"ăn cắp","ăn có "
728," toàn"," toàn-last_blank","last_blank",2,1,"stern-last_blank","stern",1,0,0,1,"an toàn","anstern"
143," tượng"," tượng-last_blank","last_blank",2,1,"htđứng-last_blank","htđứng",1,0,0,1,"ấn tượng","ấnhtđứng"
992,"first_blank","first_blank-anar","anar",2,2,"first_blank-smir","smir",2,0,0,1,"anarchy","smirchy"
899,"h bạn","h bạn-last_blank","last_blank",2,1,"hesun-last_blank","hesun",1,0,0,1,"anh bạn","anhesun"
135,"h hùng","h hùng-last_blank","last_blank",2,1,"gchung-last_blank","gchung",1,0,0,1,"anh hùng","angchung"
484,"h hưởng","h hưởng-last_blank","last_blank",2,1,"hĩarằng-last_blank","hĩarằng",1,0,0,2,"ảnh hưởng","ảnhĩarằng"
142," giác"," giác-last_blank","last_blank",2,1,"hgiới-last_blank","hgiới",1,0,0,1,"ảo giác","ảohgiới"
420,"first_blank","first_blank-áo s","áo s",2,1,"first_blank-lool","lool",1,0,0,1,"áo sơ mi","loolơ mi"
16," dụng"," dụng-last_blank","last_blank",2,1,"cường-last_blank","cường",1,0,0,1,"áp dụng","ápcường"
989,"se","se-nal","nal",3,1,"se-phus","phus",1,0,1,1,"arsenal","arsephus"
725,"pi","pi-rin","rin",3,1,"pi-lots","lots",1,0,1,1,"aspirin","aspilots"
859,"as","as-s","s",1,14,"nk-s","nk",14,0,0,1,"ass","nks"
334,"u thuật","u thuật-last_blank","last_blank",4,1,"carthur-last_blank","carthur",1,0,0,1,"bác sĩ phẫu thuật","bác sĩ phẫcarthur"
873,"first_blank","first_blank-bài","bài",2,2,"first_blank-gir","gir",2,0,0,1,"bài bạc","gir bạc"
487,"first_blank","first_blank-bài","bài",2,2,"first_blank-nhg","nhg",2,0,0,1,"bài báo","nhg báo"
611,"tậ","tậ-p","p",1,2,"ou-p","ou",2,0,0,1,"bài tập","bài oup"
532,"first_blank","first_blank-bài ","bài ",2,1,"first_blank-brok","brok",1,0,0,1,"bài thơ","brokthơ"
864,"bà","bà-n","n",1,1,"ef-n","ef",1,0,0,1,"bàn","efn"
391,"bắ","bắ-n","n",1,1,"iç-n","iç",1,0,0,1,"bắn","içn"
666,"u giá","u giá-last_blank","last_blank",2,1,"ungày-last_blank","ungày",1,0,0,1,"bán đấu giá","bán đấungày"
853," kính"," kính-last_blank","last_blank",2,1,"chínk-last_blank","chínk",1,0,0,1,"bán kính","bánchínk"
350," là"," là-last_blank","last_blank",2,1,"cát-last_blank","cát",1,0,0,1,"bàn là","bàncát"
925," năng"," năng-last_blank","last_blank",2,1,"uđang-last_blank","uđang",1,0,0,1,"bản năng","bảnuđang"
742,"first_blank","first_blank-bắn","bắn",2,3,"first_blank-ode","ode",3,0,0,1,"bắn súng","ode súng"
60,"first_blank","first_blank-bận","bận",2,2,"first_blank-nhp","nhp",2,0,0,1,"bận tâm","nhp tâm"
371,"thỉu","thỉu-last_blank","last_blank",2,1,"tião-last_blank","tião",1,0,0,1,"bẩn thỉu","bẩn tião"
291," văn"," văn-last_blank","last_blank",2,1,"vệnó-last_blank","vệnó",1,0,0,1,"bản văn","bảnvệnó"
850," cấp"," cấp-last_blank","last_blank",2,1,"hcób-last_blank","hcób",1,0,0,1,"bằng cấp","bằnghcób"
799," chứng"," chứng-last_blank","last_blank",2,1,"choơng-last_blank","choơng",1,0,0,1,"bằng chứng","bằngchoơng"
601,"first_blank","first_blank-băng ","băng ",2,1,"first_blank-tanga","tanga",1,0,0,1,"băng nhóm","tanganhóm"
614,"first_blank","first_blank-bánh m","bánh m",3,1,"first_blank-bínóng","bínóng",1,0,0,1,"bánh mì sandwich","bínóngì sandwich"
481,"first_blank","first_blank-bá","bá",1,38,"first_blank-oc","oc",38,0,0,1,"bánh mỳ","ocnh mỳ"
24,"ban","ban-ker","ker",2,1,"gis-ker","gis",1,0,0,1,"banker","gisker"
942,"bã","bã-o","o",1,1,"hh-o","hh",1,0,0,1,"bão","hho"
245," cáo"," cáo-last_blank","last_blank",2,1,"thio-last_blank","thio",1,0,0,1,"báo cáo","báothio"
966,"first_blank","first_blank-báo","báo",2,9,"first_blank-lom","lom",9,0,0,1,"báo chí","lom chí"
821,"bá","bá-o ","o ",1,1,"bá-ng","ng",1,0,0,1,"báo động","bángđộng"
609,"first_blank","first_blank-bảo","bảo",2,11,"first_blank-wer","wer",11,0,0,1,"bảo hành","wer hành"
940,"first_blank","first_blank-bả","bả",1,19,"first_blank-đố","đố",19,0,0,1,"bảo mẫu","đốo mẫu"
886,"tồ","tồ-n","n",1,1,"iầ-n","iầ",1,0,0,1,"bảo tồn","bảo iần"
440," vệ"," vệ-last_blank","last_blank",2,1,"efm-last_blank","efm",1,0,0,1,"bảo vệ","bảoefm"
