"word_id","first","original_pair","second","syll","original_freq","replacement_pair","replacement_syll","replacement_freq","freq_diff","char_diff","letter_diff","original_word","replacement_word"
173,"0万","0万-last_blank","last_blank",1,1,"彩夏-last_blank","彩夏",1,0,0,1,"100万","10彩夏"
189,"first_blank","first_blank-11","11",1,1,"first_blank-北中","北中",1,0,0,1,"11月","北中月"
263,"first_blank","first_blank-2番","2番",1,1,"first_blank-やぐ","やぐ",1,0,0,1,"2番目","やぐ目"
388,"first_blank","first_blank-9月","9月",1,1,"first_blank-宝積","宝積",1,0,0,1,"9月","宝積"
962,"first_blank","first_blank-dn","dn",1,10,"first_blank-スケ","スケ",10,0,0,1,"dna","スケa"
726,"first_blank","first_blank-dv","dv",1,15,"first_blank-ベイ","ベイ",15,0,0,1,"dvd","ベイd"
177,"first_blank","first_blank-ïう","ïう",1,1,"first_blank-ヴラ","ヴラ",1,0,0,1,"ïう","ヴラ"
174,"mi","mi-ng","ng",1,2,"ka-ng","ka",2,0,0,1,"ming","kang"
894,"pi","pi-ng","ng",1,2,"ku-ng","ku",2,0,0,1,"ping","kung"
302,"tr","tr-ue","ue",1,4,"tr-oo","oo",4,0,0,1,"true","troo"
307,"first_blank","first_blank-uf","uf",1,6,"first_blank-あわ","あわ",6,0,0,1,"ufo","あわo"
425,"first_blank","first_blank-アー","アー",1,64,"first_blank-言っ","言っ",64,0,0,1,"アーティスト","言っティスト"
18,"ファ","ファ-クト","クト",1,1,"ファ-ーム","ーム",1,0,0,1,"アーティファクト","アーティファーム"
672,"ロニ","ロニ-ー","ー",1,1,"イェ-ー","イェ",1,0,0,1,"アイロニー","アイイェー"
204,"first_blank","first_blank-アウ","アウ",1,18,"first_blank-hs","hs",18,0,0,1,"アウト","hsト"
430,"first_blank","first_blank-アク","アク",1,19,"first_blank-レッ","レッ",19,0,0,1,"アクティブ","レッティブ"
725,"ピリ","ピリ-ン","ン",1,1,"ニア-ン","ニア",1,0,0,1,"アスピリン","アスニアン"
992,"first_blank","first_blank-アナ","アナ",1,19,"first_blank-kh","kh",19,0,0,1,"アナーキー","khーキー"
951,"first_blank","first_blank-アナ","アナ",1,19,"first_blank-何と","何と",19,0,0,1,"アナリスト","何とリスト"
405,"first_blank","first_blank-アフ","アフ",1,8,"first_blank-サク","サク",8,0,0,1,"アフリカ","サクリカ"
502,"first_blank","first_blank-アベ","アベ",1,2,"first_blank-ká","ká",2,0,0,1,"アベニュー","káニュー"
387,"first_blank","first_blank-アマ","アマ",1,9,"first_blank-静岡","静岡",9,0,0,1,"アマチュア","静岡チュア"
975,"first_blank","first_blank-アリ","アリ",1,23,"first_blank-手を","手を",23,0,0,1,"アリーナ","手をーナ"
124,"がた","がた-い","い",1,1,"おく-い","おく",1,0,0,1,"ありがたい","ありおくい"
6,"first_blank","first_blank-アル","アル",1,71,"first_blank-記事","記事",71,0,0,1,"アルコール","記事コール"
660,"バム","バム-last_blank","last_blank",1,11,"az-last_blank","az",11,0,0,1,"アルバム","アルaz"
889,"first_blank","first_blank-アン","アン",1,88,"first_blank-qu","qu",88,0,0,1,"アンカー","quカー"
260,"first_blank","first_blank-いう","いう",1,1,"first_blank-チケ","チケ",1,0,0,1,"いう","チケ"
10,"いつ","いつ-も","も",1,2,"だと-も","だと",2,0,0,1,"いつも","だとも"
939,"first_blank","first_blank-いも","いも",1,2,"first_blank-日テ","日テ",2,0,0,1,"いも虫","日テ虫"
519,"イン","イン-シデ","シデ",1,1,"ディ-シデ","ディ",1,0,0,1,"インシデント","ディシデント"
719,"イヤ","イヤ-last_blank","last_blank",1,1,"曲率-last_blank","曲率",1,0,0,1,"インスパイヤ","インスパ曲率"
617,"クタ","クタ-last_blank","last_blank",1,1,"裕大-last_blank","裕大",1,0,0,1,"インスペクタ","インスペ裕大"
146,"ョナ","ョナ-ル","ル",1,4,"ング-ル","ング",4,0,0,1,"インターナショナル","インターナシングル"
741,"first_blank","first_blank-イン","イン",1,73,"first_blank-pu","pu",73,0,0,1,"インターネット","puターネット"
112,"エン","エン-ザ","ザ",1,1,"ユー-ザ","ユー",1,0,0,1,"インフルエンザ","インフルユーザ"
759,"アル","アル-last_blank","last_blank",1,8,"とん-last_blank","とん",8,0,0,1,"インペリアル","インペリとん"
316,"スキ","スキ-ー","ー",1,3,"テリ-ー","テリ",3,0,0,1,"ウィスキー","ウィテリー"
450,"ウイ","ウイ-ルス","ルス",1,1,"ョナ-ルス","ョナ",1,0,0,1,"ウイルス","ョナルス"
708,"first_blank","first_blank-ウェ","ウェ",1,34,"first_blank-tm","tm",34,0,0,1,"ウェイター","tmイター"
3,"first_blank","first_blank-エー","エー",1,18,"first_blank-さく","さく",18,0,0,1,"エージェント","さくジェント"
4,"first_blank","first_blank-エイ","エイ",1,17,"first_blank-はま","はま",17,0,0,1,"エイズ","はまズ"
520,"first_blank","first_blank-エキ","エキ",1,4,"first_blank-違い","違い",4,0,0,1,"エキサイティング","違いサイティング"
492,"first_blank","first_blank-エキ","エキ",1,4,"first_blank-リベ","リベ",4,0,0,1,"エキスパート","リベスパート"
782,"エラ","エラ-ー","ー",1,3,"ンリ-ー","ンリ",3,0,0,1,"エラー","ンリー"
495,"ジニ","ジニ-ア","ア",1,3,"エリ-ア","エリ",3,0,0,1,"エンジニア","エンエリア"
852,"ガズ","ガズ-ム","ム",1,1,"ブー-ム","ブー",1,0,0,1,"オーガズム","オーブーム"
201,"トラ","トラ-last_blank","last_blank",1,7,"ju-last_blank","ju",7,0,0,1,"オーケストラ","オーケスju"
877,"ブン","ブン-last_blank","last_blank",1,7,"ラマ-last_blank","ラマ",7,0,0,1,"オーブン","オーラマ"
423,"first_blank","first_blank-おじ","おじ",1,5,"first_blank-信用","信用",5,0,0,1,"おじいさん","信用いさん"
308,"first_blank","first_blank-おじ","おじ",1,5,"first_blank-君だ","君だ",5,0,0,1,"おじさん","君ださん"
192,"first_blank","first_blank-オフ","オフ",1,8,"first_blank-つい","つい",8,0,0,1,"オファー","ついァー"
749,"first_blank","first_blank-おも","おも",1,4,"first_blank-ピク","ピク",4,0,0,1,"おもてなし","ピクてなし"
203,"first_blank","first_blank-オリ","オリ",1,34,"first_blank-ji","ji",34,0,0,1,"オリジナル","jiジナル"
893,"first_blank","first_blank-お世","お世",1,4,"first_blank-順調","順調",4,0,0,1,"お世辞","順調辞"
899,"お前","お前-last_blank","last_blank",1,1,"はf-last_blank","はf",1,0,0,1,"お前","はf"
326,"first_blank","first_blank-お姫","お姫",1,1,"first_blank-目白","目白",1,0,0,1,"お姫様","目白様"
318,"first_blank","first_blank-お守","お守",1,1,"first_blank-本規","本規",1,0,0,1,"お守り","本規り"
859,"first_blank","first_blank-お尻","お尻",1,1,"first_blank-横東","横東",1,0,0,1,"お尻","横東"
77,"first_blank","first_blank-お父","お父",1,5,"first_blank-アキ","アキ",5,0,0,1,"お父ちゃん","アキちゃん"
685,"first_blank","first_blank-お腹","お腹",1,2,"first_blank-に記","に記",2,0,0,1,"お腹","に記"
901,"first_blank","first_blank-ガー","ガー",1,19,"first_blank-セン","セン",19,0,0,1,"ガード","センド"
37,"first_blank","first_blank-カー","カー",1,40,"first_blank-によ","によ",40,0,0,1,"カーニバル","によニバル"
68,"first_blank","first_blank-カウ","カウ",1,6,"first_blank-mh","mh",6,0,0,1,"カウント","mhント"
833,"first_blank","first_blank-カエ","カエ",1,3,"first_blank-鳥取","鳥取",3,0,0,1,"カエル","鳥取ル"
600,"first_blank","first_blank-ガス","ガス",1,3,"first_blank-vg","vg",3,0,0,1,"ガス","vg"
991,"first_blank","first_blank-カタ","カタ",1,8,"first_blank-愛の","愛の",8,0,0,1,"カタツムリ","愛のツムリ"
890,"first_blank","first_blank-ガチ","ガチ",1,1,"first_blank-額田","額田",1,0,0,1,"ガチョウ","額田ョウ"
476,"first_blank","first_blank-カッ","カッ",1,15,"first_blank-dv","dv",15,0,0,1,"カップ","dvプ"
38,"first_blank","first_blank-カト","カト",1,5,"first_blank-広瀬","広瀬",5,0,0,1,"カトリック","広瀬リック"
69,"first_blank","first_blank-カバ","カバ",1,2,"first_blank-矢島","矢島",2,0,0,1,"カバー","矢島ー"
847,"first_blank","first_blank-カプ","カプ",1,3,"first_blank-せり","せり",3,0,0,1,"カプセル","せりセル"
595,"first_blank","first_blank-カメ","カメ",1,8,"first_blank-ポル","ポル",8,0,0,1,"カメラ","ポルラ"
444,"first_blank","first_blank-ガラ","ガラ",1,9,"first_blank-彼を","彼を",9,0,0,1,"ガラス","彼をス"
356,"ッジ","ッジ-last_blank","last_blank",1,6,"けば-last_blank","けば",6,0,0,1,"カレッジ","カレけば"
713,"first_blank","first_blank-カレ","カレ",1,11,"first_blank-バト","バト",11,0,0,1,"カレンダー","バトンダー"
227,"いい","いい-last_blank","last_blank",1,30,"ージ-last_blank","ージ",30,0,0,1,"かわいい","かわージ"
34,"ビン","ビン-last_blank","last_blank",1,7,"hm-last_blank","hm",7,0,0,1,"キャビン","キャhm"
418,"first_blank","first_blank-キャ","キャ",1,77,"first_blank-どこ","どこ",77,0,0,1,"キャラクター","どこラクター"
496,"first_blank","first_blank-ギャ","ギャ",1,14,"first_blank-理由","理由",14,0,0,1,"ギャラリー","理由ラリー"
475,"first_blank","first_blank-キャ","キャ",1,77,"first_blank-どこ","どこ",77,0,0,1,"キャリア","どこリア"
601,"first_blank","first_blank-ギャ","ギャ",1,14,"first_blank-最終","最終",14,0,0,1,"ギャング","最終ング"
769,"ンプ","ンプ-last_blank","last_blank",1,11,"oa-last_blank","oa",11,0,0,1,"キャンプ","キャoa"
873,"first_blank","first_blank-ギャ","ギャ",1,14,"first_blank-二重","二重",14,0,0,1,"ギャンブル","二重ンブル"
730,"first_blank","first_blank-キラ","キラ",1,5,"first_blank-うき","うき",5,0,0,1,"キラー","うきー"
757,"キロ","キロ-last_blank","last_blank",1,1,"毛豆-last_blank","毛豆",1,0,0,1,"キロ","毛豆"
406,"first_blank","first_blank-キロ","キロ",1,4,"first_blank-gk","gk",4,0,0,1,"キロメートル","gkメートル"
372,"くま","くま-last_blank","last_blank",1,5,"スケ-last_blank","スケ",5,0,0,1,"くま","スケ"
710,"クモ","クモ-last_blank","last_blank",1,1,"はむ-last_blank","はむ",1,0,0,1,"クモ","はむ"
50,"ウド","ウド-last_blank","last_blank",1,2,"オラ-last_blank","オラ",2,0,0,1,"クラウド","クラオラ"
75,"ウン","ウン-last_blank","last_blank",1,11,"nh-last_blank","nh",11,0,0,1,"クラウン","クラnh"
439,"クラ","クラ-ス","ス",1,1,"リア-ス","リア",1,0,0,1,"クラス","リアス"
511,"first_blank","first_blank-クラ","クラ",1,48,"first_blank-聞い","聞い",48,0,0,1,"クラブ","聞いブ"
71,"ーム","ーム-last_blank","last_blank",1,38,"ため-last_blank","ため",38,0,0,1,"クリーム","クリため"
46,"first_blank","first_blank-クリ","クリ",1,44,"first_blank-スー","スー",44,0,0,1,"クリスマス","スースマス"
419,"first_blank","first_blank-クル","クル",1,6,"first_blank-れい","れい",6,0,0,1,"クルー","れいー"
736,"first_blank","first_blank-クレ","クレ",1,18,"first_blank-とよ","とよ",18,0,0,1,"クレジット","とよジット"
531,"first_blank","first_blank-ケー","ケー",1,22,"first_blank-ちよ","ちよ",22,0,0,1,"ケーブル","ちよブル"
