"cue","target","cosine","fake_cue","fake_target"
"casa","cabana",0.606329793822513,"cana","czbana"
"casa","mansão",0.570503246664042,"caia","zansão"
"casa","garagem",0.547560085880405,"caua","garapem"
"casa","estalagem",0.512611901411836,"cúsa","entalagem"
"casa","banho",0.510833165182379,"caía","banro"
"melhor","excelente",0.445358814206117,"velhor","eccelente"
"melhor","preferível",0.44349318081909,"melyor","preferívef"
"melhor","óptima",0.432257018547198,"melhof","áptima"
"melhor","ideal",0.428400056331723,"meohor","idwal"
"melhor","óptimo",0.41203231840938,"welhor","óptdmo"
"vida","felicidade",0.481388817394428,"xida","fãlicidade"
"vida","carreiro",0.451980944396924,"véda","carreiro"
"vida","experiência",0.440602591663912,"vidâ","dxperiência"
"vida","infelicidade",0.435439609379891,"vída","infelicidape"
"vida","família",0.434463993484129,"oida","famalia"
"falar","conversar",0.680243392510589,"falaj","convursar"
"falar","discutir",0.615862394445836,"facar","discrtir"
"falar","falasse",0.526770106022243,"falwr","falayse"
"falar","gozar",0.478486446233006,"fular","gozax"
"falar","tagarelar",0.471994521323456,"falzr","tégarelar"
"homem","indivíduo",0.662207879455747,"hojem","inrivíduo"
"homem","gajo",0.627209679124291,"homem","gojo"
"homem","rapaz",0.615994084013522,"fomem","ragaz"
"homem","sujeito",0.588101547030292,"homam","sujaito"
"homem","mulher",0.583246258600477,"pomem","mulheb"
"ficar","ficasse",0.580686685094616,"ficôr","fikasse"
"ficar","ficaria",0.565515728742857,"ficaf","ficaréa"
"ficar","permanecer",0.547461224999093,"focar","permúnecer"
"ficar","ficarás",0.532904568162413,"ficer","facarás"
"ficar","deixar",0.499544173370825,"fucar","deixír"
"pai","avô",0.756081830767164,"pak","alô"
"pai","irmão",0.696705065530857,"paé","grmão"
"pai","mãe",0.690345387795703,"pam","máe"
"pai","tio",0.65667977221212,"pli","tik"
"pai","filho",0.646441422461048,"pki","filâo"
"mãe","pai",0.690345387795703,"mãó","êai"
"mãe","tia",0.631300209942427,"mãs","tiq"
"mãe","madrasta",0.607499888237253,"mpe","madrastb"
"mãe","mamãe",0.590469470021457,"bãe","mamãr"
"mãe","mäe",0.575708142248187,"mãa","mäe"
"dinheiro","adiantamento",0.549493035469256,"dinheirt","adiantamentg"
"dinheiro","tostão",0.510116207218907,"dinheirx","tospão"
"dinheiro","cêntimo",0.508900064871956,"dixheiro","cmntimo"
"dinheiro","gastar",0.495779653864853,"jinheiro","gawtar"
"dinheiro","quantia",0.495776082902339,"dinheirà","quantra"
"mulher","rapariga",0.6465553202616,"mílher","rapariga"
"mulher","miúda",0.625114570568054,"nulher","miúra"
"mulher","homem",0.583246258600477,"mulheb","homsm"
"mulher","gaja",0.554072069975759,"mulhmr","gaje"
"mulher","pessoa",0.553642561399318,"muloer","pessla"
"certo","correcto",0.583329619754621,"cêrto","ãorrecto"
"certo","correto",0.548675359659963,"certc","corretô"
"certo","óptimo",0.450754970210617,"cepto","óptião"
"certo","ótimo",0.433023131946369,"cento","ónimo"
"certo","certinho",0.427796960871028,"ceóto","certinbo"
"filho","irmão",0.662475520477685,"fslho","irgão"
"filho","neto",0.6510989299362,"xilho","ieto"
"filho","pai",0.646441422461048,"fulho","yai"
"filho","menino",0.580289281271892,"filhi","menico"
"filho","bebé",0.55390465915937,"ftlho","btbé"
"mundo","país",0.614783828755926,"jundo","áaís"
"mundo","universo",0.610544662256302,"mêndo","universh"
"mundo","continente",0.490094634736615,"musdo","cantinente"
"mundo","reino",0.479950463114151,"muádo","keino"
"mundo","globo",0.4632399875423,"munds","ílobo"
"volta","voltar",0.510935364309734,"vouta","voltaz"
"volta","redor",0.505116541351231,"volja","rtdor"
"volta","regresso",0.493521961961908,"jolta","regéesso"
"volta","regressa",0.491648639931416,"volta","regressf"
"volta","regressar",0.484301545587911,"vofta","regressar"
"carro","jipe",0.770228661187607,"carfo","sipe"
"carro","carrinha",0.705551493172111,"córro","carvinha"
"carro","camião",0.704285476845522,"camro","camiao"
"carro","veículo",0.693161782390748,"óarro","veuculo"
"carro","automóvel",0.636313906850019,"caroo","automóvil"
"pensar","pensa",0.555367359767421,"penwar","pónsa"
"pensar","imaginar",0.542463072176935,"pensvr","imaginar"
"pensar","pense",0.530714333438033,"penshr","oense"
"pensar","penso",0.518718033729353,"ptnsar","penào"
"pensar","acreditar",0.49810101258514,"pepsar","acrdditar"
"voltar","regressar",0.812007028417486,"voltár","regreisar"
"voltar","volte",0.680081846932342,"voltaa","vêlte"
