target_word_unique,word_combo_related,word_combo_unrelated,cue_word_related,cue_word_unrelated
a confirma,confirmarea confirma,pensiea confirma,confirmare,pensie
a rezista,rezistenţăa rezista,jumătatea rezista,rezistenţă,jumătate
a tăia,lacrimăa tăia,telescopa tăia,lacrimă,telescop
abdominal,spinalabdominal,inginerabdominal,spinal,inginer
abilitate,capacitateabilitate,confortabilabilitate,capacitate,confortabil
absență,prezenţăabsență,balaurabsență,prezenţă,balaur
absolvent,diplomăabsolvent,arsenalabsolvent,diplomă,arsenal
absurd,ridicolabsurd,dateabsurd,ridicol,date
accent,voceaccent,cavalerieaccent,voce,cavalerie
accepta,refuzaaccepta,turnaccepta,refuza,turn
accident,incidentaccident,oferiaccident,incident,oferi
acela,ceacela,dvdacela,ce,dvd
acolo,aiciacolo,în mod liberacolo,aici,în mod liber
acord,contractacord,plantăacord,contract,plantă
act,gestact,rudăact,gest,rudă
activa,declanșaactiva,analistactiva,declanșa,analist
activitate,activactivitate,gunoiactivitate,activ,gunoi
actor,autoractor,claractor,autor,clar
acuzație,reclamațieacuzație,în siguranțăacuzație,reclamație,în siguranță
adiţional,suplimentaradiţional,iluzieadiţional,suplimentar,iluzie
administrativ,managementadministrativ,râuadministrativ,management,râu
adolescent,adolescențăadolescent,sângeadolescent,adolescență,sânge
adrenalină,hormonadrenalină,pictareadrenalină,hormon,pictare
adresă,număradresă,adevăratadresă,număr,adevărat
aduna,colectaaduna,prinţesăaduna,colecta,prinţesă
adversar,inamicadversar,bananăadversar,inamic,banană
adăpost,refugiuadăpost,carbonadăpost,refugiu,carbon
aeroport,terminalaeroport,minunataeroport,terminal,minunat
afacere,industrieafacere,dumnezeuafacere,industrie,dumnezeu
afirmație,cometariuafirmație,cumpăraafirmație,cometariu,cumpăra
agenţie,firmăagenţie,baronagenţie,firmă,baron
agitat,îngrijoratagitat,culturăagitat,îngrijorat,cultură
al patrulea,al treileaal patrulea,schimbareal patrulea,al treilea,schimbare
alarma,alertaalarma,ignoranţăalarma,alerta,ignoranţă
albastru,maroalbastru,speranţăalbastru,maro,speranţă
alee,colţalee,creștealee,colţ,crește
alegeri,campaniealegeri,masăalegeri,campanie,masă
alegător,candidatalegător,comandăalegător,candidat,comandă
alfa,bravoalfa,industriealfa,bravo,industrie
alibi,motivalibi,conservarealibi,motiv,conservare
alteță,majestatealteță,cărbunealteță,majestate,cărbune
america,africaamerica,ancorăamerica,africa,ancoră
