"word_id","first","original_pair","second","syll","original_freq","replacement_pair","replacement_syll","replacement_freq","freq_diff","char_diff","letter_diff","original_word","replacement_word"
994,"ab","ab-do","do",1,3,"ab-im","im",3,0,0,1,"abdominal","abimminal"
809,"ab","ab-su","su",1,2,"ab-we","we",2,0,0,1,"absurd","abwerd"
953,"ad","ad-mi","mi",1,9,"co-mi","co",9,0,0,1,"administratif","coministratif"
793,"na","na-li","li",1,28,"mu-li","mu",28,0,0,1,"adrenalin","adremulin"
213,"first_blank","first_blank-ag","ag",1,123,"first_blank-sw","sw",123,0,0,1,"agama","swama"
109,"ag","ag-en","en",1,27,"es-en","es",27,0,0,1,"agen","esen"
542,"r ","r -se","se",1,1,"he-se","he",1,0,0,1,"air seni","aiheseni"
898,"ak","ak-se","se",1,20,"ak-er","er",20,0,0,1,"aksen","akern"
430,"vi","vi-ta","ta",1,42,"se-ta","se",42,0,0,1,"aktivitas","aktisetas"
20,"ak","ak-to","to",1,9,"ku-to","ku",9,0,0,1,"aktor","kutor"
409,"am","am-at","at",1,79,"mp-at","mp",78,1,0,1,"alamat","almpat"
821,"al","al-ar","ar",1,14,"al-ly","ly",14,0,0,1,"alarm","allym"
31,"fa","fa-last_blank","last_blank",1,17,"av-last_blank","av",17,0,0,1,"alfa","alav"
818,"ib","ib-i","i",1,5,"re-i","re",5,0,0,1,"alibi","alrei"
728,"first_blank","first_blank-am","am",1,332,"first_blank-no","no",333,1,0,1,"aman","noan"
405,"first_blank","first_blank-am","am",1,332,"first_blank-ni","ni",332,0,0,1,"amerika","nierika"
366,"ak","ak-last_blank","last_blank",1,381,"ra-last_blank","ra",380,1,0,1,"anak","anra"
339," l"," l-ak","ak",1,1,"oh-ak","oh",1,0,0,1,"anak laki-laki","anakohakilaki"
22,"is","is-is","is",1,20,"is-ku","ku",20,0,0,1,"analisis","analisku"
403,"an","an-eh","eh",1,13,"an-sm","sm",13,0,0,1,"aneh","ansm"
61,"an","an-gg","gg",1,109,"an-ti","ti",109,0,0,1,"anggapan","antiapan"
986,"an","an-gg","gg",1,109,"an-ti","ti",109,0,0,1,"anggun","antiun"
942,"gi","gi-n ","n ",1,1,"gi-zm","zm",1,0,0,1,"angin topan","angizmtopan"
845," l"," l-au","au",1,1,"ku-au","ku",1,0,0,1,"angkatan laut","angkatankuaut"
582,"first_blank","first_blank-ap","ap",1,218,"first_blank-en","en",218,0,0,1,"apartemen","enartemen"
393,"ap","ap-i","i",1,27,"us-i","us",27,0,0,1,"api","usi"
990,"da","da- k"," k",1,1,"da-ii","ii",1,0,0,1,"armada kapal","armadaiiapal"
843,"ar","ar-og","og",1,4,"ar-ky","ky",4,0,0,1,"arogance","arkyance"
495,"te","te-k","k",1,20,"ya-k","ya",20,0,0,1,"arsitek","arsiyak"
722,"ti","ti-le","le",1,5,"ti-hk","hk",5,0,0,1,"artileri","artihkri"
307,"first_blank","first_blank-as","as",1,341,"first_blank-lu","lu",340,1,0,1,"asing","luing"
379,"is","is-te","te",1,48,"et-te","et",48,0,0,1,"asisten","asetten"
691,"at","at-as","as",1,50,"at-in","in",50,0,0,1,"atas","atin"
855,"at","at-la","la",1,31,"ce-la","ce",31,0,0,1,"atlantik","celantik"
308,"ay","ay-ah","ah",1,17,"rb-ah","rb",17,0,0,1,"ayah","rbah"
564,"ba","ba-bi","bi",1,10,"ba-tr","tr",10,0,0,1,"babi","batr"
357,"da","da-i","i",1,20,"ut-i","ut",20,0,0,1,"badai","bauti"
892,"gi","gi-an","an",1,46,"pl-an","pl",46,0,0,1,"bagian","baplan"
101,"gu","gu-s","s",1,19,"al-s","al",19,0,0,1,"bagus","baals"
600,"n ","n -ba","ba",1,1,"il-ba","il",1,0,0,1,"bahan bakar","bahailbakar"
342,"ha","ha-ya","ya",1,46,"ha-nt","nt",46,0,0,1,"bahaya","bahant"
575,"ba","ba-ja","ja",1,15,"mu-ja","mu",15,0,0,1,"baja","muja"
572," z"," z-ir","ir",1,1,"ne-ir","ne",1,0,0,1,"baju zirah","bajuneirah"
649,"ba","ba-ka","ka",1,40,"ji-ka","ji",40,0,0,1,"bakat","jikat"
846,"la","la-pa","pa",1,52,"la-si","si",53,1,0,1,"balapan","balasin"
720,"ba","ba-nd","nd",1,62,"ba-ik","ik",63,1,0,1,"bandara","baikara"
587,"sa","sa-last_blank","last_blank",1,209,"gi-last_blank","gi",208,1,0,1,"bangsa","banggi"
527,"un","un-an","an",1,48,"em-an","em",48,0,0,1,"bangunan","bangeman"
902,"ny","ny-ak","ak",1,71,"ny-em","em",71,0,0,1,"banyak sekali","banyem sekali"
673,"ra","ra-t","t",1,58,"an-t","an",59,1,0,1,"barat","baant"
148,"u ","u -in","in",1,1,"yr-in","yr",1,0,0,1,"baru-baru ini","barubaryrini"
375,"ba","ba-sa","sa",1,23,"ni-sa","ni",23,0,0,1,"basah","nisah"
279,"ba","ba-se","se",1,17,"ba-ji","ji",17,0,0,1,"baseball","bajiball"
718,"ta","ta-ly","ly",1,6,"ta-ii","ii",6,0,0,1,"batalyon","bataiion"
511,"ba","ba-ta","ta",1,64,"li-ta","li",65,1,0,1,"batang","litang"
854,"tm","tm-an","an",1,16,"rn-an","rn",16,0,0,1,"batman","barnan"
