target_word_unique,word_combo_related,word_combo_unrelated,cue_word_related,cue_word_unrelated
άγαλμα,μνημείοάγαλμα,άνοιγμαάγαλμα,μνημείο,άνοιγμα
άγνωστος,ανώνυμοςάγνωστος,μέγεθοςάγνωστος,ανώνυμος,μέγεθος
άδικος,αδικίαάδικος,ασπίδαάδικος,αδικία,ασπίδα
άθλημα,χόμπιάθλημα,ναυτικόςάθλημα,χόμπι,ναυτικός
άλλοθι,κίνητροάλλοθι,παράλογοςάλλοθι,κίνητρο,παράλογος
άλμα,αναρρίχησηάλμα,ουίσκιάλμα,αναρρίχηση,ουίσκι
άλογο,γάιδαροςάλογο,χαμηλόςάλογο,γάιδαρος,χαμηλός
άλφα,μπράβοάλφα,βιομηχανίαάλφα,μπράβο,βιομηχανία
άμμος,λάσπηάμμος,νηφάλιοςάμμος,λάσπη,νηφάλιος
άνευ αξίας,άχρηστοςάνευ αξίας,φλιτζάνιάνευ αξίας,άχρηστος,φλιτζάνι
άνθρωποι,πληθυσμόςάνθρωποι,παγίδαάνθρωποι,πληθυσμός,παγίδα
άνθρωπος,άνδραςάνθρωπος,περιφερειακόάνθρωπος,άνδρας,περιφερειακό
άξιος,αξίζωάξιος,καρναβάλιάξιος,αξίζω,καρναβάλι
άρρωστος,ασθενήςάρρωστος,λεξικόάρρωστος,ασθενής,λεξικό
άρωμα,κραγιόνάρωμα,εφιάλτηςάρωμα,κραγιόν,εφιάλτης
άσκηση,πρακτικήάσκηση,ιδιωτικόςάσκηση,πρακτική,ιδιωτικός
άσυλο,καταφύγιοάσυλο,άνθρακαςάσυλο,καταφύγιο,άνθρακας
άσχημος,διαγράμματοςάσχημος,λείαάσχημος,διαγράμματος,λεία
άτομο,πρόσωποάτομο,ταίζωάτομο,πρόσωπο,ταίζω
έγγραφο,αρχείοέγγραφο,δόσηέγγραφο,αρχείο,δόση
έγκλημα,αμαρτίαέγκλημα,διαχείρισηέγκλημα,αμαρτία,διαχείριση
έγκριση,άδειαέγκριση,φωνήέγκριση,άδεια,φωνή
έθνος,χώραέθνος,αρκετάέθνος,χώρα,αρκετά
έκθεση,εκθεσιακός χώροςέκθεση,μύθοςέκθεση,εκθεσιακός χώρος,μύθος
έκρηξη,σεισμόςέκρηξη,μετάξιέκρηξη,σεισμός,μετάξι
έλα,φθάνωέλα,αστροναύτηςέλα,φθάνω,αστροναύτης
έλεος,συγχώρεσηέλεος,φρέσκοέλεος,συγχώρεση,φρέσκο
έμπνευση,εμπνέωέμπνευση,μωρόέμπνευση,εμπνέω,μωρό
έμπορος,εμπορικόςέμπορος,ισορροπίαέμπορος,εμπορικός,ισορροπία
ένεση,δόσηένεση,ενίοτεένεση,δόση,ενίοτε
ένοχος,αθώοςένοχος,πατάταένοχος,αθώος,πατάτα
έντομο,αράχνηέντομο,αισιόδοξοςέντομο,αράχνη,αισιόδοξος
έξυπνος,ξύπνιοςέξυπνος,διακοπήέξυπνος,ξύπνιος,διακοπή
ήλιος,φεγγάριήλιος,λέσχηήλιος,φεγγάρι,λέσχη
ήττα,νίκηήττα,ανένδυτοςήττα,νίκη,ανένδυτος
ήχος,θόρυβοςήχος,άρθροήχος,θόρυβος,άρθρο
αίτηση,ζήτησηαίτηση,χημείααίτηση,ζήτηση,χημεία
αγάπη,μισώαγάπη,περιβάλλοναγάπη,μισώ,περιβάλλον
αγκαλιά,φιλίαγκαλιά,περιστατικόαγκαλιά,φιλί,περιστατικό
αγοραστής,πωλητήςαγοραστής,δέρμααγοραστής,πωλητής,δέρμα
αγόρι,κορίτσιαγόρι,άβολοςαγόρι,κορίτσι,άβολος
αγώνας,μαραθώναςαγώνας,κούκλααγώνας,μαραθώνας,κούκλα
αγώνας.1,τουρνουάαγώνας,τιμωρώαγώνας,τουρνουά,τιμωρώ
αδελφέ,φίλεαδελφέ,παρασκευήαδελφέ,φίλε,παρασκευή
αδελφός,αδελφήαδελφός,σχόλιοαδελφός,αδελφή,σχόλιο
αδρεναλίνη,ορμόνηαδρεναλίνη,χρώμααδρεναλίνη,ορμόνη,χρώμα
αδύναμος,ισχυρόςαδύναμος,παράδεισοςαδύναμος,ισχυρός,παράδεισος
αεροδρόμιο,τερματικόαεροδρόμιο,εκπληκτικόςαεροδρόμιο,τερματικό,εκπληκτικός
αηδιαστικός,βρώμικοςαηδιαστικός,τρένοαηδιαστικός,βρώμικος,τρένο
αιτία,λόγοςαιτία,ορφανοτροφείοαιτία,λόγος,ορφανοτροφείο
ακάθαρτος,δυσάρεστοςακάθαρτος,τρόπαιοακάθαρτος,δυσάρεστος,τρόπαιο
ακούω,αφουγκράζομαιακούω,γυαλιάακούω,αφουγκράζομαι,γυαλιά
ακτή,παραλίαακτή,τζαζακτή,παραλία,τζαζ
ακτινοβολία,μόλυνσηακτινοβολία,τάξηακτινοβολία,μόλυνση,τάξη
ακόμη,ήδηακόμη,στάδιοακόμη,ήδη,στάδιο
αλαζονεία,άγνοιααλαζονεία,δαχτυλίδιαλαζονεία,άγνοια,δαχτυλίδι
αλεύρι,σιτηράαλεύρι,ησυχίααλεύρι,σιτηρά,ησυχία
αληθινός,αληθήςαληθινός,θάλασσααληθινός,αληθής,θάλασσα
αλιεία,κυνήγιαλιεία,σιωπηλόςαλιεία,κυνήγι,σιωπηλός
αμερική,αφρικήαμερική,συνάδελφοςαμερική,αφρική,συνάδελφος
ανάλυση,αυτοψίαανάλυση,κορίτσιανάλυση,αυτοψία,κορίτσι
ανάπτυξη,πρόοδοςανάπτυξη,νοσοκομείοανάπτυξη,πρόοδος,νοσοκομείο
ανίκανος,αδυναμίαανίκανος,εξετάζωανίκανος,αδυναμία,εξετάζω
ανίσχυρος,ανήμποροςανίσχυρος,καπνόςανίσχυρος,ανήμπορος,καπνός
αναμένω,περίμενεαναμένω,ακτίνα κύκλουαναμένω,περίμενε,ακτίνα κύκλου
ανατολή,δυτικάανατολή,ποινήανατολή,δυτικά,ποινή
ανατριχιαστικός,τρομακτικόςανατριχιαστικός,λάσπηανατριχιαστικός,τρομακτικός,λάσπη
αναχώρηση,άφιξηαναχώρηση,χοιρινόαναχώρηση,άφιξη,χοιρινό
ανεμοστρόβιλος,τυφώναςανεμοστρόβιλος,ζωντανόςανεμοστρόβιλος,τυφώνας,ζωντανός
ανεύθυνος,παράλογοςανεύθυνος,πλατφόρμαανεύθυνος,παράλογος,πλατφόρμα
ανησυχία,έγνοιαανησυχία,πουκάμισοανησυχία,έγνοια,πουκάμισο
ανιψιός,εγγονόςανιψιός,πραγματικότηταανιψιός,εγγονός,πραγματικότητα
αντίγραφο,πρωτότυποαντίγραφο,εθνικόςαντίγραφο,πρωτότυπο,εθνικός
αντίθετος,απέναντι απόαντίθετος,φύλακαςαντίθετος,απέναντι από,φύλακας
αντίο,χαίρετεαντίο,νεφρόαντίο,χαίρετε,νεφρό
αντίπαλος,εχθρόςαντίπαλος,γρατσουνιάαντίπαλος,εχθρός,γρατσουνιά
αντίχειρας,δάχτυλοαντίχειρας,χάοςαντίχειρας,δάχτυλο,χάος
ανταμοιβή,επιχορήγημαανταμοιβή,δευτερεύωνανταμοιβή,επιχορήγημα,δευτερεύων
αντιδραστήρας,γεννήτριααντιδραστήρας,πράγματιαντιδραστήρας,γεννήτρια,πράγματι
αντιστέκομαι,αντίστασηαντιστέκομαι,μισόαντιστέκομαι,αντίσταση,μισό
ανώτατος,ελάχιστοανώτατος,μισώανώτατος,ελάχιστο,μισώ
ανώτερος,χαμηλότεροςανώτερος,φέρετροανώτερος,χαμηλότερος,φέρετρο
αξιολύπητο,άθλιοςαξιολύπητο,πείραμααξιολύπητο,άθλιος,πείραμα
αξιοπρέπεια,υπερηφάνειααξιοπρέπεια,πράσινοςαξιοπρέπεια,υπερηφάνεια,πράσινος
αξιοσημείωτος,εξαιρετικόςαξιοσημείωτος,εξαγόμενοαξιοσημείωτος,εξαιρετικός,εξαγόμενο
απάτη,συνωμοσίααπάτη,φιλίαπάτη,συνωμοσία,φιλί
απαγάγω,απαγωγήαπαγάγω,τζόγοςαπαγάγω,απαγωγή,τζόγος
απαγορεύω,απαγορευμένοςαπαγορεύω,κλειδίαπαγορεύω,απαγορευμένος,κλειδί
απαντώ,απάντησηαπαντώ,μάτιαπαντώ,απάντηση,μάτι
απεργία,κτύπημααπεργία,καλλιτέχνηςαπεργία,κτύπημα,καλλιτέχνης
απλός,απλάαπλός,αρκούδααπλός,απλά,αρκούδα
απογοήτευση,έκπληξηαπογοήτευση,μάρτυραςαπογοήτευση,έκπληξη,μάρτυρας
αποδέχομαι,αρνηθείαποδέχομαι,πύργοςαποδέχομαι,αρνηθεί,πύργος
αποθηκεύσετε,διάσωσηαποθηκεύσετε,κουρασμένοςαποθηκεύσετε,διάσωση,κουρασμένος
αποστολή,έργοαποστολή,ομολογώαποστολή,έργο,ομολογώ
αποτέλεσμα,εξαγόμενοαποτέλεσμα,απαγορευμένοςαποτέλεσμα,εξαγόμενο,απαγορευμένος
αποτελεσματικός,χρήσιμοςαποτελεσματικός,ιππικόαποτελεσματικός,χρήσιμος,ιππικό
αποτυχία,επιτυχίααποτυχία,ντουςαποτυχία,επιτυχία,ντους
απουσία,παρουσίααπουσία,δράκωναπουσία,παρουσία,δράκων
αποφοιτώ,δίπλωμααποφοιτώ,μέλιαποφοιτώ,δίπλωμα,μέλι
απρόσμενα,ξαφνικάαπρόσμενα,αρχείοαπρόσμενα,ξαφνικά,αρχείο
απόγευμα,νύχτααπόγευμα,κρέμααπόγευμα,νύχτα,κρέμα
απόδειξη,αποδεικνύωαπόδειξη,εξαιρετικάαπόδειξη,αποδεικνύω,εξαιρετικά
απόδραση,φυγήαπόδραση,ευγενικόςαπόδραση,φυγή,ευγενικός
απόλυση,παραίτησηαπόλυση,στόμααπόλυση,παραίτηση,στόμα
απόπειρα,προσπαθήστεαπόπειρα,τροχόσπιτοαπόπειρα,προσπαθήστε,τροχόσπιτο
αργία,χριστούγεννααργία,σαφώςαργία,χριστούγεννα,σαφώς
αριστερά,δεξιάαριστερά,ευγενήςαριστερά,δεξιά,ευγενής
αρμονία,ισορροπίααρμονία,πρεσβείααρμονία,ισορροπία,πρεσβεία
αρνητικός,θετικόςαρνητικός,αυτοψίααρνητικός,θετικός,αυτοψία
αρουραίος,ποντίκιαρουραίος,καριέρααρουραίος,ποντίκι,καριέρα
αρπακτικός,λείααρπακτικός,καθημερινάαρπακτικός,λεία,καθημερινά
αρτηρία,φλέβααρτηρία,εθελοντήςαρτηρία,φλέβα,εθελοντής
αρχιτέκτονας,μηχανικόςαρχιτέκτονας,ασθενοφόροαρχιτέκτονας,μηχανικός,ασθενοφόρο
ασήμι,χρυσαφένιοςασήμι,νεύροασήμι,χρυσαφένιος,νεύρο
αστέρι,διασημότητααστέρι,έκπληξηαστέρι,διασημότητα,έκπληξη
αστακός,τόνοςαστακός,αγία γραφήαστακός,τόνος,αγία γραφή
αστείο,τέχνασμααστείο,χέριαστείο,τέχνασμα,χέρι
αστείος,πνευματώδηςαστείος,διαχείρισηαστείος,πνευματώδης,διαχείριση
ασφάλεια,φύλακαςασφάλεια,μπράβοασφάλεια,φύλακας,μπράβο
ασφαλής,ακίνδυνοςασφαλής,φόβοςασφαλής,ακίνδυνος,φόβος
ατλαντικός,ειρηνικόςατλαντικός,κολακεύωατλαντικός,ειρηνικός,κολακεύω
ατμόσφαιρα,περιβάλλονατμόσφαιρα,πολύτιμοςατμόσφαιρα,περιβάλλον,πολύτιμος
ατσάλι,μπετόνατσάλι,βραδινόατσάλι,μπετόν,βραδινό
ατυχία,ατυχήςατυχία,ξύπνιοςατυχία,ατυχής,ξύπνιος
ατύχημα,περιστατικόατύχημα,προσφοράατύχημα,περιστατικό,προσφορά
αυγή,η δύση του ηλίουαυγή,αρσενικόςαυγή,η δύση του ηλίου,αρσενικός
αυγό,φωλιάαυγό,μαφίααυγό,φωλιά,μαφία
αυλόπορτα,πύληαυλόπορτα,φιλοφρόνησηαυλόπορτα,πύλη,φιλοφρόνηση
αυτί,μάτιαυτί,γελοίοςαυτί,μάτι,γελοίος
αυτοκίνητο,όχημααυτοκίνητο,χαίρετεαυτοκίνητο,όχημα,χαίρετε
αυτοκινητόδρομος,δρόμοςαυτοκινητόδρομος,κακόαυτοκινητόδρομος,δρόμος,κακό
αυτοκράτορας,αυτοκρατορικόςαυτοκράτορας,ενήλικαςαυτοκράτορας,αυτοκρατορικός,ενήλικας
αυτοκρατορία,δυναστείααυτοκρατορία,φούρνοςαυτοκρατορία,δυναστεία,φούρνος
αυτοπεποίθηση,σεβασμόςαυτοπεποίθηση,ειδικόςαυτοπεποίθηση,σεβασμός,ειδικός
αφήνω,επιτρέπωαφήνω,στρώμααφήνω,επιτρέπω,στρώμα
αφαιρώ,εξαλείφωαφαιρώ,μέλισσααφαιρώ,εξαλείφω,μέλισσα
αφεντικό,διευθυντήςαφεντικό,κρίσιμοςαφεντικό,διευθυντής,κρίσιμος
αφοσίωση,πιστότητααφοσίωση,κλέφτηςαφοσίωση,πιστότητα,κλέφτης
αφροδίτη,άρηςαφροδίτη,τεχνικόςαφροδίτη,άρης,τεχνικός
βάζω,εισάγετεβάζω,τέχνηβάζω,εισάγετε,τέχνη
βίντεο,dvdβίντεο,παλάτιβίντεο,dvd,παλάτι
βαλίτσα,χαρτοφύλακαςβαλίτσα,κολλέγιοβαλίτσα,χαρτοφύλακας,κολλέγιο
βαμβάκι,μετάξιβαμβάκι,εκδίκησηβαμβάκι,μετάξι,εκδίκηση
βαν,τροχόσπιτοβαν,χήραβαν,τροχόσπιτο,χήρα
βανίλια,κανέλαβανίλια,παππούςβανίλια,κανέλα,παππούς
βαρέλι,γάιδαροςβαρέλι,ενοικιαστήςβαρέλι,γάιδαρος,ενοικιαστής
βαριά,βαρύςβαριά,χήναβαριά,βαρύς,χήνα
βασίλειο,βασιλικόςβασίλειο,αυτόγραφοβασίλειο,βασιλικός,αυτόγραφο
βασανίζω,βασανιστήριοβασανίζω,έναςβασανίζω,βασανιστήριο,ένας
βασιλιάς,βασίλισσαβασιλιάς,ρουκέταβασιλιάς,βασίλισσα,ρουκέτα
βελτίωση,αλλαγήβελτίωση,ροντέοβελτίωση,αλλαγή,ροντέο
βιβλίο,αγία γραφήβιβλίο,βράχοςβιβλίο,αγία γραφή,βράχος
βιβλιογραφία,τέχνηβιβλιογραφία,χρυσαφένιοςβιβλιογραφία,τέχνη,χρυσαφένιος
βιολογία,χημείαβιολογία,χορεύτριαβιολογία,χημεία,χορεύτρια
βιολογικός,χημικόβιολογικός,oυάσιγκτoνβιολογικός,χημικό,oυάσιγκτoν
βιταμίνη,πρωτεΐνηβιταμίνη,πρύτανηςβιταμίνη,πρωτεΐνη,πρύτανης
βλάβη,πληγήβλάβη,ζούγκλαβλάβη,πληγή,ζούγκλα
βλήμα,ρουκέταβλήμα,αδυναμίαβλήμα,ρουκέτα,αδυναμία
βλακεία,παραφροσύνηβλακεία,κείμενοβλακεία,παραφροσύνη,κείμενο
βοήθεια,υποστήριξηβοήθεια,μόλιςβοήθεια,υποστήριξη,μόλις
βοηθός,γραμματέαςβοηθός,μπόταβοηθός,γραμματέας,μπότα
βοηθώ,βοήθειαβοηθώ,αντλίαβοηθώ,βοήθεια,αντλία
βοστώνη,oυάσιγκτoνβοστώνη,ξαφνικάβοστώνη,oυάσιγκτoν,ξαφνικά
βουνό,λόφοςβουνό,επιτρέπωβουνό,λόφος,επιτρέπω
βούτυρο,μέλιβούτυρο,αναζήτησηβούτυρο,μέλι,αναζήτηση
βρίσκω,αναζήτησηβρίσκω,πόλεμοςβρίσκω,αναζήτηση,πόλεμος
βραβείο,νόμπελβραβείο,εκκλησίαβραβείο,νόμπελ,εκκλησία
βρεγμένος,ξηρόςβρεγμένος,ρίσκο βρεγμένος,ξηρός,ρίσκο 
βροντή,αστραπήβροντή,δυσάρεστοςβροντή,αστραπή,δυσάρεστος
βόλτα,οδηγώβόλτα,κανάλιβόλτα,οδηγώ,κανάλι
βόλτα.1,υπνάκοβόλτα,τσιπάκιβόλτα,υπνάκο,τσιπάκι
βόρειος,νότοςβόρειος,ορχήστραβόρειος,νότος,ορχήστρα
