"uk_target","uk_cue","uk_fake_cue","uk_fake_target","en_cue","en_target"
"абсурдний","смішний","смскний","абсуахний","ridiculous","absurd"
"аварія","інцидент","інходент","аварби","incident","accident"
"автобус","потяг","подлг","автокас","train","bus"
"агентство","фірма","фізка","кбентство","firm","agency"
"адміністративний","керівництво","жирівництво","офміністративний","management","administrative"
"адреналін","гормон","гоміон","адтоналін","hormone","adrenaline"
"адреса","число","чичто","шуреса","number","address"
"аеропорт","термінал","термювал","жщропорт","terminal","airport"
"акт","жест","жеве","чёт","gesture","act"
"активувати","тригер","тремер","язтивувати","trigger","activate"
"актор","автор","фотор","умтор","author","actor"
"акцент","голос","гопас","аккунт","voice","accent"
"алея","кут","ект","алаш","corner","alley"
"алібі","мотив","могав","алугі","motive","alibi"
"альфа","браво","брімо","алега","bravo","alpha"
"америка","африка","saрика","сперика","africa","america"
"аналіз","аутопсія","пытопсія","антиіз","autopsy","analysis"
"арешт","покарати","покаразо","арaют","punish","arrest"
"армія","легіон","лезеон","арагя","legion","army"
"артерія","вена","ірна","артеття","vein","artery"
"артилерія","кавалерія","кавалеття","аровлерія","cavalry","artillery"
"архітектор","інженер","іновнер","арейтектор","engineer","architect"
"атакувати","вторгнення","втрыгнення","ідакувати","invasion","attack"
"атлантичний","тихоокеанський","тихоокажнський","ввлантичний","pacific","atlantic"
"атмосфера","середовище","середовиог","атмосекла","environment","atmosphere"
"аудиторія","натовп","натомі","cтдиторія","crowd","audience"
"бабуся","дідусь","діорсь","бабуту","grandfather","grandmother"
"бавовна","шовк","шочю","ривовна","silk","cotton"
"багатий","бідний","аздний","пугатий","poor","rich"
"багатство","скарбниця","скчебниця","багаєштво","treasure","wealth"
"бажання","бажання","батення","бажаєтя","desire","wish"
"бар","клуб","клед","кюр","club","bar"
"батальйон","полк","поlf","бататийон","regiment","battalion"
"батько","дорослий","дорослін","баатко","adult","parent"
"батько","мама","масл","баатко","mother","father"
"бачення","одкровення","еркровення","ничення","revelation","vision"
"безвідповідальний","нерозумний","нерозвонил","безвідповідданное","unreasonable","irresponsible"
"безпека","безпека","безплив","безрыва","security","safety"
"безпечний","сейф","севк","безважний","safe","secure"
"безпосередньо","прямий","прнсий","безпространял","direct","directly"
"безсилий","безпорадний","безсправний","бездовий","helpless","powerless"
"бейсбол","стадіон","стадорн","бейссел","stadium","baseball"
"бекон","тост","тоно","беней","toast","bacon"
"бетмен","супермен","супетрен","бегрен","superman","batman"
"битва","війна","візоа","чотва","war","battle"
"бізнес","галузь","галущо","біллес","industry","business"
"біль","страждання","оправдання","маль","suffering","pain"
"біологічний","хімічний","хіначний","біоробітний","chemical","biological"
"біологія","хімія","хіхая","біолягає","chemistry","biology"
"близький","відчинено","відткнень","близнаий","open","close"
"божевільний","параноїд","параноna","боцивільний","paranoid","crazy"
"божественний","бог","нег","божествеприй","god","divine"
"борода","волосся","володая","бороят","hair","beard"
"боротися","бойовий","ботивий","боробуся","combat","fight"
"борошно","зерно","ісрно","бородро","grain","flour"
"бос","керівник","жирівник","тус","manager","boss"
"бостон","вашингтон","ваюснгтон","боджон","washington","boston"
"брат","чувак","чусик","брию","dude","bro"
"брат","сестра","вістра","брию","sister","brother"
"брехун","лежати","леанти","бртаун","lie","liar"
"броня","щит","отт","брчiя","shield","armor"
"брудний","неприємний","непрошений","брланий","nasty","filthy"
"будівля","башта","баьба","будійня","tower","building"
"будувати","будівельний","будівечнний","ходувати","construction","build"
"буква","телеграма","телестана","бупна","telegram","letter"
"в'язниця","клітина","клгвина","їxязниця","cell","prison"
"вагітність","народження","наромаення","вагіршість","birth","pregnancy"
"важливий","цінний","ціалий","важливно","valuable","important"
"важливість","сенс","сеle","важливнать","meaning","importance"
"вакцина","антидот","антихшт","вачіина","antidote","vaccine"
"валіза","портфель","портчула","валією","briefcase","suitcase"
"вампір","зомбі","зобьі","вампбе","zombie","vampire"
"ван","причіп","причli","лін","trailer","van"
"ваніль","кориця","кориво","ватiль","cinnamon","vanilla"
"ванна кімната","душ","лош","ванновкімната","shower","bathroom"
"вантаж","навантаження","надонтаження","ванттр","load","cargo"
"вантажівка","джип","джщт","вантаженка","jeep","truck"
"ватсон","шервок","шейдок","сятсон","sherlock","watson"
"вбивство","самогубство","самогурутво","вбившиво","suicide","murder"
"вбивця","убивця","убивін","ппивця","killer","murderer"
"вбивця","найманця","нагнанці","ппивця","mercenary","assassin"
"вгору","викинутий","випанутий","neору","down","up"
"великий","відмінний","відземний","величкй","excellent","great"
"великий палець","палець","пандць","великитепалець","finger","thumb"
"величезний","великий","величкй","величеячий","big","huge"
"венера","марс","магo","вещара","mars","venus"
"вентиляція","клапан","клтуан","веджиляція","valve","ventilation"
"вертоліт","швидка допомога","швидка дащомога","вертикіт","ambulance","helicopter"
"верхній","нижній","втжній","верхжил","lower","upper"
"весілля","залучення","долучення","весірия","engagement","wedding"
"вечір","ніч","лач","веьор","night","evening"
"взуття","завантажувати","завантодувати","взутро","boot","shoe"
"вибирати","вибирати","вибиразо","губирати","choose","select"
"вибори","кампанія","кампанце","вибочк","campaign","election"
"виборця","кандидат","кандидеш","викарця","candidate","voter"
"вибух","землетрус","зекаетрус","вигах","earthquake","explosion"
"вибухнути","вибухнути","вигахнути","вигахнути","burst","explode"
"вибуховий","бомба","ботоа","вилаховий","bomb","explosive"
"вивчення","дослідження","дослвиження","вивчасно","research","study"
"вигнати","викрадати","викрадцаи","висяати","kidnap","abduct"
"виграти","завиток","залюток","виставь","gain","win"
"видалити","усунути","усерути","видакати","eliminate","remove"
"вижити","жити","лати","вистти","live","survive"
"визначення","концепція","концукція","вистачання","concept","definition"
"викладач","студент","столент","викладпя","student","teacher"
"виклик","перешкода","перекодую","виерик","obstacle","challenge"
"виконання","висячий","вицучий","вичинання","hanging","execution"
