"el_target","el_cue","type","target_type","cue_type","el_cosine"
"βίντεο","dvd","related","word","word",0.505184096904713
"σαμουράι","ninja","related","word","word",0.338241701027678
"εξωγήινο","ufo","related","word","word",0.432122856644264
"δυσάρεστος","άβολος","related","word","word",0.522784375785573
"διάβολος","άγγελος","related","word","word",0.541874850878424
"γαλλική γλώσσα","αγγλικά","related","word","word",NA
"χοίρος","αγελάδα","related","word","word",0.411242658333379
"βιβλίο","αγια γραφη","related","word","word",NA
"πανι πλοιου","άγκυρα","related","word","word",NA
"αλαζονεία","άγνοια","related","word","word",0.499084635277235
"κορίτσια","αγόγγια","related","word","word",NA
"πουλώ","αγορά","related","word","word",0.375154326407727
"εργάτης","αγρότης","related","word","word",0.553089768623399
"εγκαταλείπω","άδεια","related","word","word",0.207307396391437
"έγκριση","άδεια","related","word","word",0.587556782268416
"γεμάτος","αδειάζω","related","word","word",0.202927944028874
"αδελφός","αδελφή","related","word","word",0.544413111190085
"άδικος","αδικία","related","word","word",0.33991428982252
"ανίκανος","αδυναμία","related","word","word",0.263361350375614
"ανετα","αδύνατο","related","word","word",0.107838685196887
"οξυγόνο","αέρας","related","word","word",0.483426743124789
"καύσιμα","αέριο","related","word","word",0.411093639131355
"αξιολύπητο","άθλιος","related","word","word",0.387609768998987
"ποσό","άθροισμα","related","word","word",0.352956214522964
"ένοχος","αθώος","related","word","word",0.734639845806105
"ούρο","αίμα","related","word","word",NA
"πομπός","αισθητήρας","related","word","word",0.683684070665793
"ρεαλιστικός","αισιόδοξος","related","word","word",0.564224977770211
"δεκαετία","αιώνας","related","word","word",0.245983989109595
"για πάντα","αιώνιος","related","word","word",NA
"κυνηγητό","ακολουθηστε","related","word","word",0.174511997074704
"ακούω","ακούω","related","word","word",1
"φτηνός","ακριβός","related","word","word",0.518997915557185
"δοκιμή","ακρόαση","related","word","word",0.269485847604438
"περίμετρος","ακτίνα κύκλου","related","word","word",NA
"κουνέλι","αλεπού","related","word","word",0.478046335138402
"πραγματικός","αληθησ","related","word","word",NA
"φάρμακο","αλκοόλ","related","word","word",0.392564036848617
"βελτίωση","αλλαγή","related","word","word",0.487492687829943
"κάπου","αλλού-κάπου αλλού","related","word","word",NA
"τραγούδι","άλμπουμ","related","word","word",0.509325046983923
"σκοινί","αλυσίδα","related","word","word",0.438666786867844
"έγκλημα","αμαρτία","related","word","word",0.463843781464733
"ύποπτος","αμφιβολία","related","word","word",0.147674609188524
"γνώριζα","αναγνωρίζω","related","word","word",0.430073093120217
"γραφή","αναγνωση","related","word","word",0.345359071861352
"γράφω","ανάγνωση","related","word","word",0.311893152724381
"εύρημα","αναζήτηση","related","word","word",0.25231528213318
"ανακριτής","αναλυτής","related","word","word",0.486606092810807
"άλμα","αναρρίχηση","related","word","word",0.347135324846139
"θεραπεύω","αναρρώνω","related","word","word",0.467979742014893
"καπιταλισμός","αναρχία","related","word","word",0.378430491733416
"ψυχολογία","ανατομία","related","word","word",0.513021709302623
"ο άνθρωπος","άνδρας","related","word","word",NA
"καταιγίδα","άνεμος","related","word","word",0.450564281204648
"ευχάριστος","άνετος","related","word","word",0.521005621085583
"ανίσχυρος","ανήμπορος","related","word","word",0.565070182855631
"ανησυχία","ανησυχία","related","word","word",1
"νευρικός","ανήσυχος","related","word","word",0.71029356614093
"υδρογόνο","άνθρακας","related","word","word",0.57348282223132
"βλάκας","ανόητος","related","word","word",0.702608357561956
"κλείσιμο","άνοιγμα","related","word","word",0.597845383518228
"κλείσε","άνοιξε","related","word","word",0.538346873224282
"φθινόπωρο","άνοιξη","related","word","word",0.737840652505911
"πρωτάθλημα","ανταγωνισμός","related","word","word",0.28134410141702
"καθρέφτης","αντανάκλαση","related","word","word",0.483359104951078
"εμβόλιο","αντίδοτο","related","word","word",0.630322292176648
"υποκατάστατο","αντικαθιστώ","related","word","word",0.276856176449284
"θέμα","αντικείμενο","related","word","word",0.30241863737764
"αντιστέκομαι","αντίσταση","related","word","word",0.3625332781655
"μάνικα","αντλία","related","word","word",0.413911478337072
"άγνωστος","ανώνυμος","related","word","word",0.514709262936915
"τιμή","αξία","related","word","word",0.468801785130235
"άξιος","αξίζω","related","word","word",0.432679153323005
"απαγορεύω","απαγορευμένος","related","word","word",0.546647700638622
"λύτρα","απαγωγέας","related","word","word",0.383962274004382
"απάγω","απαγωγή","related","word","word",0.149968735996545
"απάντηση","απάντηση","related","word","word",1
"χρειάζομαι","απαραίτητη","related","word","word",0.33687498719559
"αντίθετος","απεναντι απο","related","word","word",NA
"κατευθείαν","απευθείας","related","word","word",0.767507434650495
"απλός","απλά","related","word","word",0.486860556799886
"δαπανούν","απόβλητα","related","word","word",0.241887698736143
"απόδειξη","απόδειξη","related","word","word",1
"ομοσπονδία","αποικία","related","word","word",0.415997861821827
"όραμα","αποκάλυψη","related","word","word",0.263556253453604
"εντελώς","απολύτως","related","word","word",0.590510302131387
"ψευδησ","απομίμηση","related","word","word",NA
"ταχύτητα","απόσταση","related","word","word",0.480152777187063
"αποτέλεσμα","αποτέλεσμα","related","word","word",1
"να σταματήσει","αποτρέψει","related","word","word",NA
"έντομο","αράχνη","related","word","word",0.511458001337222
"νωρίς","αργά","related","word","word",0.570554412057621
"γρήγορα","αργά","related","word","word",0.520763223125328
"γρήγορα","αργός","related","word","word",0.282311986013958
"περιοδικό","αργόσχολος","related","word","word",0.176559519815939
"πεδίο μάχης","αρένα","related","word","word",NA
"αφροδίτη","άρης","related","word","word",0.517901491376048
"εφημερίδα","άρθρο","related","word","word",0.561561334972827
"διεύθυνση","αριθμός","related","word","word",0.341810641033777
"επαρκής","αρκετά","related","word","word",0.305407156303198
"πανεμορφη","αρκετά","related","word","word",0.146953839323591
"λύκος","αρκούδα","related","word","word",0.500871272826853
"αποδέχομαι","αρνηθεί","related","word","word",0.350730497145927
"σύλληψη","αρπάζω","related","word","word",0.138566808506209
"θηλυκός","αρσενικός","related","word","word",0.748516115084045
"κατώτερος","αρχαιότερος","related","word","word",0.491496878485628
"έγγραφο","αρχείο","related","word","word",0.552220204040446
"κυρία","άρχοντας","related","word","word",0.200547331015247
"ελικόπτερο","ασθενοφόρο","related","word","word",0.568639606441956
"πανοπλία","ασπίδα","related","word","word",0.550865481673178
"μορφίνη","ασπιρίνη","related","word","word",0.60385654968442
"βροντή","αστραπή","related","word","word",0.469170220866274
"πιλότος","αστροναύτης","related","word","word",0.586087244604888
"παράξενος","ασυνήθης","related","word","word",0.355258020017623
"ασφάλεια","ασφάλεια","related","word","word",1
"ασφαλής","ασφαλής","related","word","word",1
"πυρηνικός","ατομικός","related","word","word",0.542014302140694
"ατυχία","ατυχής","related","word","word",0.500128432826066
"περιορίζω","αυξάνουν","related","word","word",0.338876582974866
"πρωί","αύριο","related","word","word",0.603503272452576
"φωτογράφος","αυτόγραφο","related","word","word",0.252971262267164
"αυτοκράτορας","αυτοκρατορικός","related","word","word",0.605170165083293
"δολοφονία","αυτοκτονία","related","word","word",0.572112389069491
"ανάλυση","αυτοψία","related","word","word",0.46094269346772
"χαζος","αφελής","related","word","word",0.37998919283851
"κυνικός","αφελής","related","word","word",0.529893474107448
"αναχώρηση","άφιξη","related","word","word",0.5706811460642
"τιμιότητα","αφοσίωση","related","word","word",0.606335770890525
"αμερική","αφρική","related","word","word",0.58301811254564
"άνευ αξίας","άχρηστος","related","word","word",NA
"σύλληψη","βαζω τιμωρια","related","word","word",NA
"εξαερισμός","βαλβίδα","related","word","word",0.42230319453281
"ύψος","βάρος","related","word","word",0.503791251404389
"βαριά","βαρύς","related","word","word",0.487473192660974
"κόμισσα","βαρώνος","related","word","word",0.295524101843459
"βασανιστήριο","βασανιστήριο","related","word","word",1
"κεντρικά γραφεία","βάση","related","word","word",NA
"βοστώνος","βάσιγκτων","related","word","word",NA
"βασίλειο","βασιλικός","related","word","word",0.373590988245936
"βασιλιάς","βασίλισσα","related","word","word",0.658591718731243
"σαύρα","βάτραχος","related","word","word",0.328939603527778
"σύριγγα","βελόνα","related","word","word",0.624801813647654
"πυρετός","βήχας","related","word","word",0.569911895167975
"μουσείο","βιβλιοθήκη","related","word","word",0.411604496440038
"επιχείρηση","βιομηχανία","related","word","word",0.386577736418731
"συναντώ","βλέπω","related","word","word",0.475398202843008
"βοηθώ","βοήθεια","related","word","word",0.286837591536292
"ιό","βοηθός","related","word","word",0.0318630445625294
"βλαστός","βολή","related","word","word",0.14706027962357
"εκρηκτικός","βόμβα","related","word","word",0.504781018617208
"πρωινο γευμα","βραδινό","related","word","word",NA
"πέτρα","βράχος","related","word","word",0.460717437305259
"χιόνι","βροχή","related","word","word",0.582777537928689
"βρυκόλακας","βρυκόλακας","related","word","word",1
"αηδιαστικός","βρώμικος","related","word","word",0.624841689793535
"πλάκα","γαβάθα","related","word","word",0.129323413778228
"άλογο","γάιδαρος","related","word","word",0.429214070073105
"βαρέλι","γάιδαρος","related","word","word",0.230155778980124
"χυμός","γάλα","related","word","word",0.45722028402608
"νυφη","γαμπρός","related","word","word",0.38000595223885
"παράλογος","γελοίος","related","word","word",0.610867731412809
"συνταγματάρχης","γενικός","related","word","word",0.287204395385611
"εγκυμοσύνη","γέννηση","related","word","word",0.383193465699796
"αντιδραστήρας","γεννήτρια","related","word","word",0.541891557835505
"μυρωδιά","γεύση","related","word","word",0.622598088775346
"νόστιμο","γευστικός","related","word","word",0.423129421656003
"σήραγγα","γέφυρα","related","word","word",0.500854953230695
"πετώ","γη","related","word","word",0.0882966283757927
"μασάζ","γιόγκα","related","word","word",0.537764895760627
"τένις","γκολφ","related","word","word",0.718383874616116
"χαριτωμένος","γλυκός","related","word","word",0.683232532694116
"στάση","γνώμη","related","word","word",0.287813221140874
"ομορφιά","γοητεία","related","word","word",0.601100943095531
"βοηθός","γραμματέας","related","word","word",0.603974484669818
"μώλωπας","γρατσουνιά","related","word","word",0.47371641716453
"γραφείο","γραφείο","related","word","word",1
