"de_target","de_cue","type","target_type","cue_type","de_cosine"
"frühstück","abendessen","related","word","word",0.712240680802583
"ausgeben","abfall","related","word","word",0.175651579912036
"vollständig","absolut","related","word","word",0.277507285163315
"spiel","abspielen","related","word","word",0.338375213331023
"uniform","abzeichen","related","word","word",0.439182858098547
"aktivieren sie","abzug","related","word","word",NA
"gorilla","affe","related","word","word",0.42420252754594
"amerika","afrika","related","word","word",0.536275584494561
"detektiv","agent","related","word","word",0.313857273652972
"unterschiedlich","ähnlich","related","word","word",0.426768237554696
"hiv","aids","related","word","word",0.610352009881257
"koffer","aktentasche","related","word","word",0.572059466440892
"aktivität","aktiv","related","word","word",0.422360408093878
"bieten","aktivieren","related","word","word",0.0761628578824489
"alarm","alarm","related","word","word",1
"traum","albtraum","related","word","word",0.631883847785464
"lied","album","related","word","word",0.396063123724642
"arzneimittel","alkohol","related","word","word",0.377658374017704
"straße","allee","related","word","word",0.38689807050276
"einsam","allein","related","word","word",0.446088001172775
"oberst","allgemeines","related","word","word",0.153498660120352
"jung","alt","related","word","word",0.572020080828906
"tot","am leben","related","word","word",NA
"fachmann","amateur","related","word","word",0.418597125585942
"ermittler","analytiker","related","word","word",0.422454990806974
"kapitalismus","anarchie","related","word","word",0.357093700429398
"psychologie","anatomie","related","word","word",0.506357248441867
"irgendwo","anderswo","related","word","word",0.358717845192761
"anfrage","anforderung","related","word","word",0.518247468637355
"geben sie","angebot","related","word","word",NA
"van","anhänger","related","word","word",0.217546379266583
"segel","anker","related","word","word",0.492563385917775
"kommen sie","ankommen","related","word","word",NA
"abfahrt","ankunft","related","word","word",0.476275493851752
"sorge","anliegen","related","word","word",0.3221935792079
"unbekannt","anonym","related","word","word",0.376294130654226
"telefon","anruf","related","word","word",0.415247675497405
"perspektive","ansicht","related","word","word",0.35059400383213
"ehrlich","anständig","related","word","word",0.526302590995378
"antwort","antworten","related","word","word",0.766618205404105
"staatsanwalt","anwalt","related","word","word",0.56885628388328
"verwenden","anwenden","related","word","word",0.603050527448871
"berechnung","anzahl","related","word","word",0.221386561045052
"die anschrift","anzahl","related","word","word",NA
"frucht","apfel","related","word","word",0.425629640642652
"arbeit","arbeit","related","word","word",1
"chirurgie","arbeiten","related","word","word",0.178015088973787
"schlachtfeld","arena","related","word","word",0.367969113479403
"problem","ärger","related","word","word",0.269310545072215
"reich","arm","related","word","word",0.129645612264519
"elend","armut","related","word","word",0.516445656230482
"hintern","arsch","related","word","word",0.781644719734059
"waffenkammer","arsenal","related","word","word",0.414250220868657
"medaillon","artefakt","related","word","word",0.413680602201043
"zeitung","artikel","related","word","word",0.511551956327534
"staub","asche","related","word","word",0.50466363235082
"morphium","aspirin","related","word","word",0.541033854262961
"pilot","astronaut","related","word","word",0.52846990288557
"nuklearer","atomisch","related","word","word",NA
"charmant","attraktiv","related","word","word",0.592737717781473
"mission","aufgabe","related","word","word",0.520294351868008
"anziehen","aufmerksamkeit","related","word","word",0.148447048944393
"interessant","aufregend","related","word","word",0.630211040849981
"ohr","auge","related","word","word",0.456897168794048
"über","aus","related","word","word",0.183929653924647
"eingang","ausfahrt","related","word","word",0.396333351250003
"großartig","ausgezeichnet","related","word","word",0.590684826812973
"ausrüstend","ausrüstung","related","word","word",NA
"innerhalb","außen","related","word","word",0.205707149943616
"bemerkenswert","außergewöhnlich","related","word","word",0.635594614513806
"sehr","äußerst","related","word","word",0.65758556882315
"möglichkeit","auswahl","related","word","word",0.241809993744372
"fotograf","autogramm","related","word","word",0.324143081412313
"analyse","autopsie","related","word","word",0.53160958628881
"schauspieler","autor","related","word","word",0.498149874131787
"kind","baby","related","word","word",0.72816007925289
"harmonie","balance","related","word","word",0.437987077898857
"erdbeere","banane","related","word","word",0.571376844567307
"finanziell","banken","related","word","word",0.276523853429707
"investor","banker","related","word","word",0.383294860822758
"wolf","bär","related","word","word",0.450242349416511
"gräfin","baron","related","word","word",0.451248363650318
"hauptquartier","base","related","word","word",0.175984616004744
"football","basketball","related","word","word",0.719489127210769
"arbeiter","bauer","related","word","word",0.289696869995432
"kaffee","becher","related","word","word",0.380758242073287
"bedeutung","bedeutung","related","word","word",1
"wartung","bedienung","related","word","word",0.309866532112389
"tolle","beeindruckend","related","word","word",0.3440608633414
"wirkung","beeinflussen","related","word","word",0.313876086947863
"befehl","befehl","related","word","word",1
"glücklich","befriedigt","related","word","word",0.274618381607375
"hingabe","begeisterung","related","word","word",0.534808473785834
"begleiten","begleiten","related","word","word",1
"ladung","belastung","related","word","word",0.184548947640217
"beleidigen","beleidigung","related","word","word",0.465253371637647
"berühmt","beliebt","related","word","word",0.404932607138074
"zone","bereich","related","word","word",0.448448662500912
"bereiten","bereit","related","word","word",0.376281300761311
"still","bereits","related","word","word",0.077902970426916
"stern","berühmtheit","related","word","word",0.150477292648271
"schiff","besatzung","related","word","word",0.472847650741337
"bescheiden","bescheiden","related","word","word",1
"ausdrücken","beschreiben","related","word","word",0.452614040441771
"verteidigen","beschützen","related","word","word",0.571860488574334
"anklage","beschwerde","related","word","word",0.414653120609172
"löschen","beseitigen","related","word","word",0.351221020141611
"einzigartig","besondere","related","word","word",0.423022780715823
"nervös","besorgt","related","word","word",0.383828580039366
"bestätigen sie","bestätigung","related","word","word",NA
"bestechung","bestechung","related","word","word",1
"festnahme","bestrafen","related","word","word",0.210502706133693
"stahl","beton","related","word","word",0.440102992303008
"depression","betonen","related","word","word",0.140404720411317
"spiegel","betrachtung","related","word","word",0.206581313541495
"gehen","betreten","related","word","word",0.336128853886652
"funktional","betriebsbereit","related","word","word",0.392397511436688
"raubtier","beute","related","word","word",0.433883384740231
"patrouillieren","bewachen","related","word","word",0.518981718313261
"pflegen","bewahren","related","word","word",0.279781645708698
"transfer","bewegung","related","word","word",0.169690437399253
"nachweisen","beweis","related","word","word",0.377058877207848
"schätzen","bewundern","related","word","word",0.408052926511229
"freundschaft","beziehung","related","word","word",0.600403459950056
"bezirk","bezirk","related","word","word",1
"buchen","bibel","related","word","word",0.153083030302213
"ameise","biene","related","word","word",0.423146102940436
"foto","bild","related","word","word",0.796732515193293
"schild","bilden","related","word","word",0.147895805705019
"monitor","bildschirm","related","word","word",0.629956908380482
"binden","binden","related","word","word",1
"kardinal","bischof","related","word","word",0.588943707185426
"bleiben übrig","bleibe","related","word","word",NA
"taub","blind","related","word","word",0.580688726952344
"donner","blitz","related","word","word",0.534688489031558
"urin","blut","related","word","word",0.536603311292415
"teppich","boden","related","word","word",0.47613529341119
"explosiv","bombe","related","word","word",0.409516441104836
"belohnen","bonus","related","word","word",0.264598198909872
"schmutzig","böse","related","word","word",0.317043732258471
"ministerium","botschaft","related","word","word",0.259920745988503
"minister","botschafter","related","word","word",0.472544329500241
"blau","braun","related","word","word",0.580601172140153
"braut","bräutigam","related","word","word",0.680560672206513
"alpha","bravo","related","word","word",0.423788575113047
"unterschrift","briefmarke","related","word","word",0.376858431215023
"deckel","brille","related","word","word",0.245626599335229
"schicken","bringen","related","word","word",0.41029192630559
"käse","brot","related","word","word",0.478473649770102
"tunnel","brücke","related","word","word",0.428452687516452
"grausam","brutal","related","word","word",0.652670302195572
"museum","bücherei","related","word","word",0.341861345551326
"praktisch","buchstäblich","related","word","word",0.427308930256923
"hafen","bucht","related","word","word",0.52880172160498
"finanzierung","budget","related","word","word",0.457144972541533
"militär-","bürgerlich","related","word","word",NA
"baum","busch","related","word","word",0.510460438287928
"rom","caesar","related","word","word",0.335204185862752
"kämpfer","champion","related","word","word",0.459270697588421
"wahrscheinlichkeit","chance","related","word","word",0.421539634938101
"verwechslung","chaos","related","word","word",0.218757737952176
"persönlichkeit","charakter","related","word","word",0.506051711704538
"schönheit","charme","related","word","word",0.428106565187277
"biologie","chemie","related","word","word",0.579768928761635
"biologisch","chemisch","related","word","word",0.537794517848215
"gerät","chip","related","word","word",0.358000572299154
"familie","clan","related","word","word",0.417261718960319
"intelligent","clever","related","word","word",0.583348834189177
"spieler","coachen","related","word","word",0.33837338505436
"passwort","code","related","word","word",0.553958920394647
"danken","dankbar","related","word","word",0.678159388401955
"bestimmung","das schicksal","related","word","word",NA
"dokumentieren","datei","related","word","word",0.219654652820649
"information","daten","related","word","word",0.559349861677752
"professor","dean","related","word","word",0.156313561912572
"handtuch","decke","related","word","word",0.391256628953426
"arzt","der chirurg","related","word","word",NA
"offensichtlich","deutlich","related","word","word",0.301054625667072
"juwel","diamant","related","word","word",0.511755997693508
"schriftsteller","dichter","related","word","word",0.643815881061887
"gemeinschaft","die gesellschaft","related","word","word",NA
"ausbildung","die gesundheit","related","word","word",NA
"gehalt","die pension","related","word","word",NA
"baumwolle","die seide","related","word","word",NA
"kriminell","dieb","related","word","word",0.281389360181453
"raub","diebstahl","related","word","word",0.628814638594818
"absolvent","diplom","related","word","word",0.456267110819434
"direkt","direkte","related","word","word",0.50619117246123
"geschwindigkeit","distanz","related","word","word",0.387162681202885
"fingerabdruck","dna","related","word","word",0.559445985485773
"verdreifachen","doppelt","related","word","word",0.435562343852519
"injektion","dosis","related","word","word",0.574503439917195
"löwe","drachen","related","word","word",0.329245905149312
"romantisch","dramatisch","related","word","word",0.4308884309209
"sand","dreck","related","word","word",0.349107699742357
"widerlich","dreckig","related","word","word",0.485425702657042
"notfall","dringend","related","word","word",0.330979276964607
"vierte","dritter","related","word","word",0.461047459173177
"ziehen","drücken","related","word","word",0.354936812327423
"wald","dschungel","related","word","word",0.534437442778118
"hässlich","dufusting","related","word","word",NA
"hell","dunkelheit","related","word","word",0.368817813609638
"dick","dünn","related","word","word",0.655753931203528
"brechreiz","durchfall","related","word","word",0.497708428891998
"bad","dusche","related","word","word",0.60782198039693
"video","dvd","related","word","word",0.473819165909287
"reich","dynastie","related","word","word",0.208940511968927
"fax","e-mail","related","word","word",NA
"gasse","ecke","related","word","word",0.477187898535399
"tapfer","edel","related","word","word",0.411723518959825
"ehefrau","ehemann","related","word","word",0.621646004995776
"waschbär","eichhörnchen","related","word","word",0.386731377794893
"ja wirklich","eigentlich","related","word","word",NA
"eigentümer","eigentum","related","word","word",0.414590635285563
"drei","ein","related","word","word",0.178977746037022
"gefühl","eindruck","related","word","word",0.435562041485022
"einfach","einfach","related","word","word",1
"setzen","einfügung","related","word","word",NA
"einteilung","einheit","related","word","word",0.375280744132768
"laden","einkaufen","related","word","word",0.397510232934042
"verheiratet","einzel","related","word","word",0.115764315979063
"metall","eisen","related","word","word",0.563297675106133
"empfidlich","empfindlich","related","word","word",NA
"ziel","ende","related","word","word",0.303884424852017
"letztlich","endlich","related","word","word",0.26292914017092
"energie","energie","related","word","word",1
"hochzeit","engagement","related","word","word",0.172255595561536
"französisch","englisch","related","word","word",0.7725755547985
"neffe","enkel","related","word","word",0.423501657360437
"entführen","entführen","related","word","word",1
"geisel","entführer","related","word","word",0.419581194378488
"inhalt","enthalten","related","word","word",0.397399828893075
"erben","erbe","related","word","word",0.654450785535643
"explosion","erdbeben","related","word","word",0.478875358064224
"wissen","erfahrung","related","word","word",0.216148307743591
"versagen","erfolg","related","word","word",0.305347903492173
"ergebnis","ergebnis","related","word","word",1
"wusste","erkenne","related","word","word",0.292867617098206
"die genehmigung","erlaubnis","related","word","word",NA
"plausibel","erläuterung","related","word","word",0.284648519624533
"lassen","ermöglichen","related","word","word",0.193206454122585
"fehler","error","related","word","word",0.129743124921132
"ersatz","ersetzen","related","word","word",0.400215428546642
"zuletzt","erste","related","word","word",0.230280669119517
"schwimmen","ertrinken","related","word","word",0.582718615832896
"elternteil","erwachsene","related","word","word",0.381881946477969
"überlegen","erwägen","related","word","word",0.364488640022087
"pferd","esel","related","word","word",0.485321729368005
"mutation","evolution","related","word","word",0.513537080965516
"für immer","ewig","related","word","word",NA
"prüfung","experiment","related","word","word",0.273276740854347
"spezialist","experte","related","word","word",0.652613865595126
"zusätzlich","extra","related","word","word",0.373571835736034
"produktion","fabrik","related","word","word",0.393703965482056
"reisepass","fahrkarte","related","word","word",0.463190481025767
"fahrt","fahrt","related","word","word",1
"wagen","fahrzeug","related","word","word",0.635484340656203
"element","faktor","related","word","word",0.345299641323325
"korrekt","falsch","related","word","word",0.505126147358423
"köder","fangen","related","word","word",0.35492751207157
"annahme","fazit","related","word","word",0.187501706322522
