"hy_cue","hy_target","hy_fake_target","hy_fake_cue","en_cue","en_target"
"dvd","տեսանյութ","տեսաողութ","գթd","dvd","video"
"ninja","սամուրայ","սամոենայ","nigma","ninja","samurai"
"playboy","ամսագիր","ամակգիր","playiny","playboy","magazine"
"ufo","օտար","օտլը","վգo","ufo","alien"
"zombie","վամպիր","վացնիր","есmbie","zombie","vampire"
"ադամանդ","ոսկեգույն","ոսւնգույն","օգամանդ","diamond","jewel"
"ազատորեն","անվճար","անեքար","ազատամեն","freely","free"
"ազատություն","ժողովրդավարություն","ժողովրծովարություն","սպատություն","freedom","democracy"
"ազգական","զարմիկ","զաբնիկ","ազգանոն","relative","cousin"
"ազգային","համաշխարհային","համարէարհային","ազգաղթն","national","global"
"ազդեցություն","ազդեցություն","ազդերըւթյուն","ազդերըւթյուն","influence","effect"
"ազնվական","մրցանակ","շոցանակ","ազռնական","nobel","prize"
"ալբոմ","երգ","անգ","ալզիմ","album","song"
"ալկոհոլ","դեղ","ստղ","ղակոհոլ","alcohol","drug"
"ախտանիշ","սինդրոմ","սիզմրոմ","paտանիշ","symptom","syndrome"
"ածխածին","ջրածին","գվածին","saխածին","carbon","hydrogen"
"ածուխ","յուղ","յոնթ","քլուխ","coal","oil"
"ակնոց","գլխարկ","գլխաch","լանոց","glasses","cap"
"ակտիվ","գործունեություն","գործունեանթյուն","ակելվ","active","activity"
"ահ","տագնապ","տագնur","ոլ","alert","alarm"
"աղբ","աղբ","մկբ","հեբ","trash","garbage"
"աղբյուր","տեղեկատու","տեղեկաղաւ","բնբյուր","source","informant"
"աղմուկ","ձայն","քնյն","աղմոդո","noise","sound"
"աղջիկ","տղա","ոզա","աղձակ","girl","boy"
"աղվես","ճագար","ճահիր","աղհոս","fox","rabbit"
"աղտոտում","ճառագայթում","ճառագաքնում","տիտոտում","contamination","radiation"
"աղքատ","հարուստ","հասաւստ","աղզոտ","poor","rich"
"աղքատություն","աղքատություն","տաքատություն","աղքասթւթյուն","poverty","misery"
"աճ","նվազեցնել","քոազեցնել","ию","increase","reduce"
"աճուրդ","վաճառք","վաճախա","նմուրդ","auction","sale"
"ամառ","ձմեռ","fuեռ","գրառ","summer","winter"
"ամբոխ","լսարան","wiարան","ամարխ","crowd","audience"
"ամիս","շաբաթ","շակոթ","ամբի","month","week"
"ամուսին","կին","ծան","ամուղեն","husband","wife"
"ամուսնալուծություն","ամուսնություն","ամուհիություն","ամուսնալուրգւթյուն","divorce","marriage"
"ամուր","գործակալություն","գործակրտություն","ամտեր","firm","agency"
"ամուր","խիստ","էթստ","ամտեր","firmly","strongly"
"ամպ","մառախուղ","մառախոոջ","ւսպ","cloud","fog"
"այժմ","իմանալ","կիանալ","այֆթ","now","know"
"այլուր","ինչ-որ տեղ","ինչորիեեղ","այժմւր","elsewhere","somewhere"
"այստեղ","այնտեղ","այնտկո","գեստեղ","here","there"
"այսօր","երեկ","երոգ","այփար","today","yesterday"
"այրին","կին","ծան","լիրին","widow","woman"
"անախորժություն","խնդիր","խնքեր","անախորմէւթյուն","trouble","problem"
"անակնկալ","հիասթափություն","հիբեթափություն","անակցիալ","surprise","disappointment"
"անանուն","անհայտ","անհաла","ւսանուն","anonymous","unknown"
"անապահով","ապահով","ապահայ","անապահայ","safe","secure"
"անապատ","հովիտ","հոայտ","անգոատ","desert","valley"
"անատոմիա","հոգեբանություն","հոռմբանություն","անատւցիա","anatomy","psychology"
"անարդարություն","անարդար","անարգեր","անարդամբւթյուն","injustice","unfair"
"անարխիա","կապիտալիզմ","կապիտալիաղ","անջախիա","anarchy","capitalism"
"անգլերեն","ֆրանսիական","ֆրանոշական","անգլխոեն","english","french"
"անդամ","ղեկավար","ղեկակեր","անիզմ","member","leader"
"անիծել","կախարդ","կախաիր","անոլել","curse","witch"
"անխոհեմ","անպատասխանատու","անգնտասխանատու","անրահեմ","unreasonable","irresponsible"
"անկարողություն","անկարող","անբերող","անկարուցւթյուն","inability","unable"
"անկյուն","ծառուղի","ծառոսիի","անյնուն","corner","alley"
"անկում","գդալ","վթալ","տակում","drop","sip"
"անհանգստությամբ","նյարդային","ելարդային","անհանգւնությամբ","worried","nervous"
"անհաջող","դժբախտություն","աքբախտություն","անհանձղ","unfortunate","misfortune"
"անհաջողակ","հաղթող","հաջոող","անհաղթղակ","loser","winner"
"անհարմար","տհաճ","տհir","անհարմլը","uncomfortable","unpleasant"
"անհնարին","պարզ","պաif","անցմարին","impossible","easy"
"անհրաժեշտ","կարիք","կանեք","անդըաժեշտ","necessary","need"
"անձնակազմ","նավ","բով","անձնակհիմ","crew","ship"
"անձնական","մտերիմ","հիերիմ","անւրական","personal","intimate"
"անձրեւ","ձյուն","օզուն","անցմեւ","rain","snow"
"անմեղ","մեղավոր","մեղամար","սամեղ","innocent","guilty"
"անուն","կոչում","կոլեւմ","կոուն","name","title"
"անսովոր","օտար","օտլը","անիիվոր","unusual","strange"
"անվտանգություն","անվտանգություն","անառանգություն","անվտանգոյայուն","security","safety"
"անտեղյակություն","գոռոզություն","գուպզություն","անտենչակություն","ignorance","arrogance"
"անօգնական","անզոր","անտվր","անկմնական","helpless","powerless"
"անօգուտ","անարժեք","անարուք","անմփուտ","useless","worthless"
"անօրինական","օրինական","սպինական","անչեինական","illegal","legal"
"աշխատանք","աշխատանք","բնխատանք","բնխատանք","job","work"
"աշտարակ","շինություն","մտնություն","բնտարակ","tower","building"
"աչք","ականջ","ակռաջ","ղեք","eye","ear"
"ապագա","անցյալ","անգիալ","ծկագա","future","past"
"ապակի","շիշ","դեշ","ապոնի","glass","bottle"
"ապաստան","ապաստարան","պեաստարան","պեաստան","refuge","shelter"
"ապուր","աղցան","մոցան","տմուր","soup","salad"
"ապրանքանիշը","ապրանքի","պերանքի","ապրանքանեղը","brand","product"
"ապրել","գոյատեւել","գոյարկւել","պերել","live","survive"
"աջակցություն","օգնություն","ադնություն","լսակցություն","support","assistance"
"առաջադիմություն","զարգացում","ուրգացում","առաջադեսություն","progress","development"
"առաջարկել","առաջարկել","առնգարկել","առրտարկել","propose","suggest"
"առաջարկել","տալ","ծել","առրտարկել","offer","give"
"առաջին","տեւել","տեմպլ","առսթին","first","last"
"առասպել","լեգենդ","լեզանդ","առնոպել","myth","legend"
"առեվանգել","առեվանգել","առզեանգել","առժյանգել","kidnap","abduct"
"առլան","փրկանք","փրկագն","առիչն","kidnapper","ransom"
"առլտրական","վաճառական","վաճաովկան","առլտիքկան","commercial","merchant"
"առկայություն","բացակայություն","բացակառաւթյուն","դեկայություն","presence","absence"
"առողջ","նորմալ","նոզգալ","առջիջ","healthy","normal"
