"word_combo","ru_cue","ru_target","type","cue_type","target_type","ru_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"aeммиллистье","aeм","миллистье","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aeмсистема","aeм","система","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eмуснехваткуратура","eмус","нехваткуратура","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eмусрассвет","eмус","рассвет","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"prатьасабрин","prать","асабрин","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"prатьзакрытый","prать","закрытый","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"абсолютнограбить","абсолютно","грабить","unrelated","word","word",0.0967112796310673,-0.480071947952222,0.427415200731498,0.0547249087375534,61,65,68,5,0.955882352941177,64,68,5,0.941176470588235,TRUE,TRUE,TRUE
"абсолютноподпиментывать","абсолютно","подпиментывать","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"абсолютнополностью","абсолютно","полностью","related","word","word",0.540515908087956,-0.313252598853139,1.27142990113147,0.162789917594263,61,70,74,4,0.945945945945946,68,73,5,0.931506849315068,FALSE,TRUE,TRUE
"абсоральноварный","абсорально","варный","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"абсоральнопереносить","абсорально","переносить","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"авкамзаний","авкам","заний","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"авкамзащищать","авкам","защищать","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"автовифзапись","автовиф","запись","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"автовифнесчастный кручай","автовиф","несчастный кручай","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"автографнесчастный кручай","автограф","несчастный кручай","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"автографсубъект","автограф","субъект","unrelated","word","word",0.0971092940509291,-0.328121756078431,0.531890625963637,0.0675501770475927,62,69,73,10,0.945205479452055,70,74,9,0.945945945945946,TRUE,TRUE,TRUE
"автограффотограф","автограф","фотограф","related","word","word",0.563562623983566,-0.536118907026666,0.535285150356506,0.063526659834664,71,76,78,8,0.974358974358974,71,78,8,0.91025641025641,TRUE,TRUE,TRUE
"авторактер","автор","актер","related","word","word",0.46616086468155,-0.594654377828352,0.73589759059172,0.0892406910484471,68,72,78,8,0.923076923076923,70,77,9,0.909090909090909,TRUE,TRUE,TRUE
"автордоллар","автор","доллар","unrelated","word","word",0.0593195310002553,-0.586655569961215,0.702905677922422,0.0956533471230572,54,61,64,5,0.953125,61,64,5,0.953125,FALSE,TRUE,TRUE
"авторпреди","автор","преди","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"агентдетектив","агент","детектив","related","word","word",0.428630042561036,-0.618859171583623,0.483059732889464,0.062889020563567,59,68,72,9,0.944444444444444,66,72,9,0.916666666666667,TRUE,TRUE,TRUE
"агентзападный","агент","западный","unrelated","word","word",0.127327431220093,-0.387679066527792,0.589571538122304,0.0720276272206941,67,75,77,11,0.974025974025974,69,78,10,0.884615384615385,TRUE,TRUE,TRUE
"агентокупа","агент","окупа","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"агострыба","агост","рыба","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
