en_cue,en_target,type,cue_type,target_type,en_cosine
leave,abandon,related,word,word,0.542610126
spinal,abdominal,related,word,word,0.50481941
kidnap,abduct,related,word,word,0.74600833
capacity,ability,related,word,word,0.554707507
out,about,related,word,word,0.230926408
presence,absence,related,word,word,0.508694232
ridiculous,absurd,related,word,word,0.769056431
voice,accent,related,word,word,0.449146101
refuse,accept,related,word,word,0.583660362
incident,accident,related,word,word,0.631125351
escort,accompany,related,word,word,0.63024693
complaint,accusation,related,word,word,0.45878313
gesture,act,related,word,word,0.305815951
trigger,activate,related,word,word,0.5182829
active,activity,related,word,word,0.544325657
author,actor,related,word,word,0.405272104
extra,additional,related,word,word,0.573474666
number,address,related,word,word,0.418242669
management,administrative,related,word,word,0.52799505
hormone,adrenaline,related,word,word,0.568549754
advice,advise,related,word,word,0.540822556
firm,agency,related,word,word,0.46862755
contract,agreement,related,word,word,0.66715929
terminal,airport,related,word,word,0.476352958
alert,alarm,related,word,word,0.507431735
motive,alibi,related,word,word,0.558725989
ufo,alien,related,word,word,0.408397552
corner,alley,related,word,word,0.506774501
bravo,alpha,related,word,word,0.551594078
impressive,amazing,related,word,word,0.630607163
africa,america,related,word,word,0.528233128
sum,amount,related,word,word,0.538584351
autopsy,analysis,related,word,word,0.457883041
jealous,angry,related,word,word,0.552747097
beast,animal,related,word,word,0.588791586
bee,ant,related,word,word,0.50442493
house,apartment,related,word,word,0.68846111
admire,appreciate,related,word,word,0.601250058
permission,approval,related,word,word,0.597247057
engineer,architect,related,word,word,0.60521943
hand,arm,related,word,word,0.572595559
shield,armor,related,word,word,0.562977196
arsenal,armory,related,word,word,0.549470805
legion,army,related,word,word,0.44057678
round,around,related,word,word,0.590096655
punish,arrest,related,word,word,0.377886696
ignorance,arrogance,related,word,word,0.618950556
vein,artery,related,word,word,0.620984143
natural,artificial,related,word,word,0.486547591
cavalry,artillery,related,word,word,0.606064891
question,ask,related,word,word,0.559971952
mercenary,assassin,related,word,word,0.468936391
help,assist,related,word,word,0.601310558
support,assistance,related,word,word,0.502623543
secretary,assistant,related,word,word,0.585232817
conclusion,assumption,related,word,word,0.445613286
pacific,atlantic,related,word,word,0.731946802
environment,atmosphere,related,word,word,0.587638974
invasion,attack,related,word,word,0.564666207
victim,attacker,related,word,word,0.563043078
try,attempt,related,word,word,0.586404582
opinion,attitude,related,word,word,0.398216165
attention,attract,related,word,word,0.446378342
crowd,audience,related,word,word,0.577308597
jurisdiction,authority,related,word,word,0.552841314
spring,autumn,related,word,word,0.661799523
toast,bacon,related,word,word,0.427285971
