"url_lab","timestamp","uuid","url_special_code","keep","n_trials","correct.y","n_answered","start","end","study_length"
"2650",2022-12-14 08:08:29,"3607331a-c500-4d02-b254-b65a6613e165",NA,"exclude",483,0.302277432712215,231,2022-12-14 08:09:04,2022-12-14 08:36:53,27.8200333317121
"2650",2022-12-14 03:30:20,"626a71d5-78ef-48d6-9af9-829872f9a192",NA,"exclude",168,0.291666666666667,64,2022-12-14 03:31:05,2022-12-14 08:04:04,272.967299997807
"2650",2022-12-14 03:27:20,"3c0cbe19-bca9-457f-bec6-c66f97e51808",NA,"exclude",800,0.59875,764,2022-12-14 03:28:16,2022-12-14 03:47:14,18.9657333334287
"9999",2022-12-13 17:09:46,"ec41259d-691e-401f-b80f-e2a8a87a450a",NA,"exclude",800,0.00625,9,2022-12-13 17:10:29,2022-12-13 18:04:02,53.5477333347003
"44",2023-01-31 01:03:08,"c438e3ee-a44d-453d-84b5-4bc346fcb7a6",NA,"keep",800,0.86875,799,2023-01-31 01:04:14,2023-01-31 01:21:06,16.8568500002225
"44",2023-01-31 01:02:37,"b6f7bf53-c8e8-447f-b402-6e088219e20f",NA,"keep",800,0.94625,800,2023-01-31 01:03:52,2023-01-31 01:23:24,19.5355333367983
"2076",2023-02-12 12:22:53,"784a218f-5186-4f5e-90e2-0a1483d1a173",NA,"keep",800,0.97375,795,2023-02-12 12:24:19,2023-02-12 12:42:04,17.745733332634
"44",2023-02-15 23:58:16,"5e7ee521-6359-42cb-8aa0-9ff99f60d9eb",NA,"keep",800,0.91875,799,2023-02-16 00:00:46,2023-02-16 00:16:07,15.3493666688601
"14",2023-02-25 21:56:43,"a9b6c9ef-1313-448b-91d5-d0e8a4f590bc",NA,"keep",108,0.888888888888889,107,2023-02-25 21:57:47,2023-02-25 22:00:14,2.43964999914169
"2076",2023-02-25 15:28:03,"0a4a7a21-8e88-4fb2-ba01-ac7c4c155c54",NA,"keep",800,0.96625,800,2023-02-25 15:35:56,2023-02-25 15:55:03,19.1157666683197
"2076",2023-02-25 06:34:11,"d9d6bdaf-4263-4718-93fa-496fc4112374",NA,"keep",800,0.96875,794,2023-02-25 06:35:37,2023-02-25 06:56:50,21.2224500020345
"2076",2023-02-24 07:55:27,"05213016-528c-4c48-80b6-0cb1ba86d384",NA,"keep",800,0.97625,794,2023-02-24 07:56:57,2023-02-24 08:22:17,25.3406666676203
